Senate - 1998 Election									
Votes Counted by Vote Type									
By Division									
									
									
National Summary									
		Ordinary	Absent	Postal	Pre-Poll	Provisional	Total		
State	Enrolment	Votes	Votes	Votes	Votes	Votes	Votes	%	
New South Wales	4076081	3107128	296893	164093	268599	47608	3884321	95.30	
Victoria	3081632	2482393	164441	119732	157793	30487	2954846	95.89	
Queensland	2188024	1714385	142557	92766	103054	13807	2066569	94.45	
Western Australia	1149619	920134	84042	29860	48695	10701	1093432	95.11	
South Australia	1013989	791057	70173	55940	47809	9261	974240	96.08	
Tasmania	330121	276516	14889	13269	12549	858	318081	96.35	
Australian Capital Territory	209536	140574	3864	10172	45302	1075	200987	95.92	
Northern Territory	105048	81113	0	2839	8576	2361	94889	90.33	
NATIONAL TOTAL	12154050	9513300	776859	488671	692377	116158	11587365	95.34
								
								
New South Wales								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Banks	80108	61676	6401	2638	5207	504	76426	95.40
Barton	83151	64847	5294	3209	4547	1121	79018	95.03
Bennelong	83725	63355	6771	4046	5018	664	79854	95.38
Berowra	86091	63193	7319	3290	7985	515	82302	95.60
Blaxland	80590	63702	5173	2677	3540	1247	76339	94.73
Bradfield	80669	58755	6660	3852	6905	336	76508	94.84
Calare	78339	59839	5397	3499	5655	1012	75402	96.25
Charlton	86091	65692	6328	3030	7106	839	82995	96.40
Chifley	82386	64184	6857	2396	3576	1360	78373	95.13
Cook	80733	60182	6028	3668	6345	777	77000	95.38
Cowper	79213	61258	4683	2460	5993	1056	75450	95.25
Cunningham	77221	60339	4823	3835	4102	576	73675	95.41
Dobell	82861	63120	5313	3330	6592	1047	79402	95.83
Eden-Monaro	78927	59569	3412	4557	6996	1133	75667	95.87
Farrer	75126	59512	2211	3827	5493	815	71858	95.65
Fowler	90623	72825	6262	1534	3108	2016	85745	94.62
Gilmore	78777	60591	4715	3556	6166	848	75876	96.32
Grayndler	85901	64172	7545	2872	4093	1570	80252	93.42
Greenway	86328	66565	7587	3082	4044	941	82219	95.24
Gwydir	72930	55960	5640	3023	4247	813	69683	95.55
Hughes	87821	65760	7927	4534	6050	448	84719	96.47
Hume	75237	59518	4830	3805	3687	580	72420	96.26
Hunter	77139	58908	5314	2866	6442	921	74451	96.52
Kingsford-Smith	80581	60975	5286	2367	6128	1257	76013	94.33
Lindsay	84257	65053	7219	3208	4724	954	81158	96.32
Lowe	81910	63480	5594	3746	4466	932	78218	95.49
Lyne	82215	65453	4890	1792	6052	987	79174	96.30
Macarthur	91700	69912	8011	3397	5618	919	87857	95.81
Mackellar	81571	61400	6336	2803	5999	937	77475	94.98
Macquarie	82050	61701	6972	3792	5013	924	78402	95.55
Mitchell	82764	61461	7900	4138	5358	573	79430	95.97
Newcastle	77596	59934	6358	2763	4957	761	74773	96.36
New England	74637	54107	5482	3442	7068	913	71012	95.14
North Sydney	87686	61460	8243	3909	7517	1038	82167	93.71
Page	80248	62549	3980	3938	5489	1142	77098	96.07
Parkes	79589	59102	5245	4196	6482	652	75677	95.08
Parramatta	78800	58283	7294	4904	3893	888	75262	95.51
Paterson	82019	64843	5158	3764	4875	761	79401	96.81
Prospect	78030	62839	5663	2390	2645	1107	74644	95.66
Reid	82635	64555	5995	2727	3205	902	77384	93.65
Richmond	87997	67187	3375	3919	7821	1282	83584	94.99
Riverina	79880	62226	4435	3239	5682	1021	76603	95.90
Robertson	80631	61521	5773	3654	5282	1078	77308	95.88
Shortland	78527	61083	5338	2945	5745	653	75764	96.48
Sydney	87278	59725	8891	3020	6477	1868	79981	91.64
Throsby	78879	64079	4398	2699	3534	867	75577	95.81
Warringah	79007	57258	6467	3078	6685	903	74391	94.16
Watson	81571	63911	5537	2584	3327	1174	76533	93.82
Wentworth	82463	56964	7425	3094	7796	1033	76312	92.54
Werriwa	81573	62545	7138	2999	3864	943	77489	94.99
TOTAL	4076081	3107128	296893	164093	268599	47608	3884321	95.30
								
Victoria								
								
Division	Enrolment	Ordinary	Absent	Postal	Pre-Poll	Provisional	Total	
		Votes	Votes	Votes	Votes	Votes	Votes	%
Aston	84875	70096	4724	3437	3554	414	82225	96.88
Ballarat	81818	66165	3808	3728	4520	950	79171	96.76
Batman	88729	72157	4250	3276	3437	772	83892	94.55
Bendigo	83912	69001	3410	3602	4583	826	81422	97.03
Bruce	84659	69277	4388	3570	3785	570	81590	96.37
Burke	80245	65931	4701	2401	3399	958	77390	96.44
