Senate - 1998 Election: Australian Capital Territory																																																																																																										
First Preference Votes by Candidate																																																																																																										
By Polling Place																																																																																																										


Canberra (105359)																																																																																																										

	   		 A Abolish Child Support/Family Court Party												 B Pauline Hanson's One Nation												 C Australian Women's Party												 D Liberal Party of Australia - ACT Division												 E Australian Democrats												 F Australian Labor Party (ALP)												 G Australian Greens												Ungrouped																			
    			TICKET VOTES			ROGERS			HARDY			Group Total			TICKET VOTES			O'BRIEN			LEYLAND			Group Total			TICKET VOTES			HARIDAN			EDWARDS			Group Total			TICKET VOTES			# REID			RICHARDS			Group Total			TICKET VOTES			FARLEY			SIEVERS			Group Total			TICKET VOTES			# LUNDY			CONWAY			Group Total			TICKET VOTES			FOSKEY			CHRISTIAN			Group Total			HARRIS			EDGAR			MILLER			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Peter Leonard			Anthony									Estelle			Jeremy									Annette M			Susanne J									Margaret			Gayle									Rick			Wayne									Kate			Peter Michael									Deb			Lesley Anne						Cec			Andrew			John													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bonython		                                   	5	0.31	 	4	0.25	 	1	0.06	 	10	0.62	 	66	4.12	 	26	1.62	 	4	0.25	 	96	5.99	 	6	0.37	 	2	0.12	 	0	0	 	8	0.5	 	438	27.32	 	49	3.06	 	4	0.25	 	491	30.63	 	134	8.36	 	82	5.12	 	3	0.19	 	219	13.66	 	649	40.49	 	92	5.74	 	4	0.25	 	745	46.48	 	20	1.25	 	4	0.25	 	0	0	 	24	1.5	 	0	0	 	2	0.12	 	8	0.5	 	10	0.62	 	1603	98.52	 	24	1.48	 	1627	1.61
Calwell		                                    	8	0.34	 	5	0.21	 	0	0	 	13	0.54	 	104	4.36	 	18	0.75	 	2	0.08	 	124	5.2	 	6	0.25	 	1	0.04	 	1	0.04	 	8	0.34	 	706	29.59	 	72	3.02	 	8	0.34	 	786	32.94	 	223	9.35	 	120	5.03	 	2	0.08	 	345	14.46	 	892	37.38	 	162	6.79	 	7	0.29	 	1061	44.47	 	27	1.13	 	6	0.25	 	2	0.08	 	35	1.47	 	1	0.04	 	2	0.08	 	11	0.46	 	14	0.59	 	2386	97.35	 	65	2.65	 	2451	2.42
Canberra Hospital		                          	5	0.64	 	1	0.13	 	0	0	 	6	0.77	 	23	2.96	 	11	1.42	 	1	0.13	 	35	4.51	 	5	0.64	 	3	0.39	 	1	0.13	 	9	1.16	 	210	27.06	 	33	4.25	 	4	0.52	 	247	31.83	 	55	7.09	 	64	8.25	 	1	0.13	 	120	15.46	 	281	36.21	 	42	5.41	 	5	0.64	 	328	42.27	 	19	2.45	 	7	0.9	 	1	0.13	 	27	3.48	 	1	0.13	 	0	0	 	3	0.39	 	4	0.52	 	776	98.23	 	14	1.77	 	790	0.78
Chapman		                                    	1	0.05	 	3	0.15	 	0	0	 	4	0.2	 	42	2.06	 	18	0.88	 	3	0.15	 	63	3.1	 	4	0.2	 	1	0.05	 	1	0.05	 	6	0.29	 	673	33.07	 	118	5.8	 	10	0.49	 	801	39.36	 	205	10.07	 	211	10.37	 	2	0.1	 	418	20.54	 	510	25.06	 	170	8.35	 	9	0.44	 	689	33.86	 	26	1.28	 	18	0.88	 	4	0.2	 	48	2.36	 	1	0.05	 	3	0.15	 	2	0.1	 	6	0.29	 	2035	98.59	 	29	1.41	 	2064	2.04
Chifley		                                    	1	0.08	 	4	0.32	 	0	0	 	5	0.4	 	48	3.81	 	15	1.19	 	4	0.32	 	67	5.31	 	1	0.08	 	1	0.08	 	0	0	 	2	0.16	 	328	26.01	 	50	3.97	 	4	0.32	 	382	30.29	 	111	8.8	 	102	8.09	 	3	0.24	 	216	17.13	 	434	34.42	 	100	7.93	 	5	0.4	 	539	42.74	 	26	2.06	 	17	1.35	 	0	0	 	43	3.41	 	2	0.16	 	0	0	 	5	0.4	 	7	0.56	 	1261	97.98	 	26	2.02	 	1287	1.27
Chisholm		                                   	6	0.35	 	1	0.06	 	0	0	 	7	0.41	 	67	3.95	 	27	1.59	 	2	0.12	 	96	5.66	 	2	0.12	 	2	0.12	 	0	0	 	4	0.24	 	470	27.71	 	65	3.83	 	3	0.18	 	538	31.72	 	168	9.91	 	70	4.13	 	3	0.18	 	241	14.21	 	666	39.27	 	111	6.54	 	2	0.12	 	779	45.93	 	22	1.3	 	3	0.18	 	1	0.06	 	26	1.53	 	0	0	 	1	0.06	 	4	0.24	 	5	0.29	 	1696	98.03	 	34	1.97	 	1730	1.71
Conder		                                     	9	0.39	 	6	0.26	 	0	0	 	15	0.65	 	109	4.72	 	26	1.13	 	1	0.04	 	136	5.89	 	7	0.3	 	4	0.17	 	0	0	 	11	0.48	 	634	27.45	 	67	2.9	 	2	0.09	 	703	30.43	 	172	7.45	 	99	4.29	 	6	0.26	 	277	11.99	 	971	42.03	 	129	5.58	 	8	0.35	 	1108	47.97	 	35	1.52	 	9	0.39	 	2	0.09	 	46	1.99	 	0	0	 	2	0.09	 	12	0.52	 	14	0.61	 	2310	98.42	 	37	1.58	 	2347	2.32
