Senate - 1998 Election: Northern Territory																																																																												
First Preference Votes by Candidate																																																																												
By Polling Place																																																																												


Northern Territory (105048)																																																																												

	   		 A Australian Greens												 B Northern Territory Country Liberal Party												 C Australian Democrats												 D Pauline Hanson's One Nation												 E Australian Labor Party (ALP)												Ungrouped													
    			TICKET VOTES			MARTIN			GOUGH			Group Total			TICKET VOTES			# TAMBLING			AUSTIN			Group Total			TICKET VOTES			EDWARDS			CLEMENTS			Group Total			TICKET VOTES			HAGGER			MILLS			Group Total			TICKET VOTES			# CROSSIN			PHILLIPS			Group Total			POLKE			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Lex			Andy									Grant			Maisie Pauline									Victor			Peter									Ted			Dee									Trish			Charlie						Jonathan													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alice Springs		                              	44	2.72	  	29	1.79	  	6	0.37	  	79	4.89	  	592	36.61	  	68	4.21	  	11	0.68	  	671	41.5	  	115	7.11	  	31	1.92	  	12	0.74	  	158	9.77	  	127	7.85	  	22	1.36	  	10	0.62	  	159	9.83	  	458	28.32	  	79	4.89	  	7	0.43	  	544	33.64	  	6	0.37	  	6	0.37	  	1617	98.6	  	23	1.4	  	1640	1.73
Alyangula		                                  	13	3.37	  	1	0.26	  	0	0	  	14	3.63	  	125	32.38	  	16	4.15	  	2	0.52	  	143	37.05	  	24	6.22	  	12	3.11	  	2	0.52	  	38	9.84	  	37	9.59	  	6	1.55	  	1	0.26	  	44	11.4	  	126	32.64	  	20	5.18	  	1	0.26	  	147	38.08	  	0	0	  	0	0	  	386	100	  	0	0	  	386	0.41
Anula		                                      	61	2.41	  	23	0.91	  	0	0	  	84	3.32	  	888	35.1	  	85	3.36	  	15	0.59	  	988	39.05	  	89	3.52	  	46	1.82	  	4	0.16	  	139	5.49	  	156	6.17	  	22	0.87	  	11	0.43	  	189	7.47	  	953	37.67	  	127	5.02	  	21	0.83	  	1101	43.52	  	29	1.15	  	29	1.15	  	2530	97.83	  	56	2.17	  	2586	2.73
Batchelor		                                  	10	2.87	  	9	2.59	  	1	0.29	  	20	5.75	  	84	24.14	  	15	4.31	  	3	0.86	  	102	29.31	  	11	3.16	  	2	0.57	  	1	0.29	  	14	4.02	  	36	10.34	  	14	4.02	  	3	0.86	  	53	15.23	  	130	37.36	  	24	6.9	  	3	0.86	  	157	45.11	  	2	0.57	  	2	0.57	  	348	97.48	  	9	2.52	  	357	0.38
Berrimah		                                   	13	1.9	  	7	1.02	  	1	0.15	  	21	3.07	  	291	42.48	  	33	4.82	  	2	0.29	  	326	47.59	  	20	2.92	  	8	1.17	  	0	0	  	28	4.09	  	86	12.55	  	16	2.34	  	2	0.29	  	104	15.18	  	165	24.09	  	24	3.5	  	7	1.02	  	196	28.61	  	10	1.46	  	10	1.46	  	685	98.28	  	12	1.72	  	697	0.73
Berry Springs		                              	19	2.87	  	10	1.51	  	2	0.3	  	31	4.68	  	231	34.84	  	19	2.87	  	4	0.6	  	254	38.31	  	24	3.62	  	12	1.81	  	1	0.15	  	37	5.58	  	95	14.33	  	24	3.62	  	4	0.6	  	123	18.55	  	188	28.36	  	21	3.17	  	0	0	  	209	31.52	  	9	1.36	  	9	1.36	  	663	97.79	  	15	2.21	  	678	0.71
Braitling		                                  	20	1.11	  	21	1.17	  	1	0.06	  	42	2.34	  	757	42.17	  	78	4.35	  	13	0.72	  	848	47.24	  	90	5.01	  	24	1.34	  	8	0.45	  	122	6.8	  	147	8.19	  	35	1.95	  	7	0.39	  	189	10.53	  	505	28.13	  	65	3.62	  	7	0.39	  	577	32.14	  	17	0.95	  	17	0.95	  	1795	98.09	  	35	1.91	  	1830	1.93
Casuarina		                                  	90	2.89	  	23	0.74	  	5	0.16	  	118	3.79	  	1036	33.25	  	111	3.56	  	17	0.55	  	1164	37.36	  	125	4.01	  	48	1.54	  	7	0.22	  	180	5.78	  	198	6.35	  	39	1.25	  	14	0.45	  	251	8.06	  	1201	38.54	  	142	4.56	  	26	0.83	  	1369	43.93	  	34	1.09	  	34	1.09	  	3116	97.47	  	81	2.53	  	3197	3.37
Christmas Island		                           	22	5.09	  	6	1.39	  	1	0.23	  	29	6.71	  	97	22.45	  	7	1.62	  	1	0.23	  	105	24.31	  	11	2.55	  	4	0.93	  	0	0	  	15	3.47	  	14	3.24	  	1	0.23	  	0	0	  	15	3.47	  	251	58.1	  	15	3.47	  	2	0.46	  	268	62.04	  	0	0	  	0	0	  	432	98.63	  	6	1.37	  	438	0.46
Darwin		                                     	52	5.46	  	23	2.41	  	2	0.21	  	77	8.08	  	356	37.36	  	35	3.67	  	6	0.63	  	397	41.66	  	46	4.83	  	16	1.68	  	4	0.42	  	66	6.93	  	46	4.83	  	13	1.36	  	1	0.1	  	60	6.3	  	288	30.22	  	40	4.2	  	9	0.94	  	337	35.36	  	16	1.68	  	16	1.68	  	953	99.17	  	8	0.83	  	961	1.01
Doomadgee		                                  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0
