Senate - 1998 Election: Tasmania																																																																																																																																																																																					
First Preference Votes by Candidate																																																																																																																																																																																					
By Polling Place																																																																																																																																																																																					


Bass (65933)																																																																																																																																																																																					

	   		 A Abolish Child Support/Family Court Party												 B Australian Greens												 C Liberal Party of Australia - Tasmanian Division																		 D Democratic Socialist Electoral League												 E Tasmania First Party															 F Christian Democratic Party (Fred Nile Group)												 G Australian Democrats															 H Tasmanian Independent Senator Brian # HARRADINE Group									 I Australian Labor Party (Tasmanian Branch)															 J Republican Party of Australia												 K Pauline Hanson's One Nation															 L Australian Women's Party												Ungrouped																			
    			TICKET VOTES			HICKMAN			LOMBARDI			Group Total			TICKET VOTES			CROSSLEY			BAPTIST			Group Total			TICKET VOTES			# ABETZ			# GIBSON			BARNETT			COLLENETTE			Group Total			TICKET VOTES			EMANUEL			JAMIESON			Group Total			TICKET VOTES			PICKFORD			JACKSON			ABBLITT			Group Total			TICKET VOTES			ROGERS			ROGERS			Group Total			TICKET VOTES			BELL			BUTLER			IVORY			Group Total			TICKET VOTES			# HARRADINE			Group Total			TICKET VOTES			# O'BRIEN			# MURPHY			# DENMAN			Group Total			TICKET VOTES			SHERIDAN			DARE			Group Total			TICKET VOTES			STOKES			CARTWRIGHT			SPICER			Group Total			TICKET VOTES			MACQUEEN			BINDON			Group Total			JAMIESON			HEATHORN			SULI			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						Ian			Fred									Louise			Simon									Eric			Brian			Guy			Peter									Kamala			Ian									David			David			Petita									Don			Beryl									Robert			Debbie			Chris									Brian									Kerry			Shayne			Kay									Jenny			Rena									Peter			Michael			Leigh									Lin			Carolyn						Norma			Laurie			Steven													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alanvale		                                   	15	0.53	  	9	0.32	  	0	0	  	24	0.85	  	58	2.06	  	41	1.46	  	3	0.11	  	102	3.62	  	714	25.36	  	74	2.63	  	12	0.43	  	9	0.32	  	11	0.39	  	820	29.13	  	3	0.11	  	1	0.04	  	0	0	  	4	0.14	  	26	0.92	  	11	0.39	  	1	0.04	  	0	0	  	38	1.35	  	7	0.25	  	6	0.21	  	0	0	  	13	0.46	  	51	1.81	  	21	0.75	  	8	0.28	  	1	0.04	  	81	2.88	  	117	4.16	  	71	2.52	  	188	6.68	  	1230	43.69	  	152	5.4	  	48	1.71	  	18	0.64	  	1448	51.44	  	1	0.04	  	0	0	  	0	0	  	1	0.04	  	74	2.63	  	12	0.43	  	2	0.07	  	0	0	  	88	3.13	  	6	0.21	  	0	0	  	0	0	  	6	0.21	  	1	0.04	  	0	0	  	1	0.04	  	2	0.07	  	2815	95.72	  	126	4.28	  	2941	4.64
Blessington Upper		                          	0	0	  	0	0	  	0	0	  	0	0	  	2	2.47	  	2	2.47	  	0	0	  	4	4.94	  	24	29.63	  	1	1.23	  	0	0	  	0	0	  	1	1.23	  	26	32.1	  	0	0	  	0	0	  	0	0	  	0	0	  	5	6.17	  	1	1.23	  	0	0	  	0	0	  	6	7.41	  	0	0	  	0	0	  	0	0	  	0	0	  	4	4.94	  	1	1.23	  	0	0	  	0	0	  	5	6.17	  	3	3.7	  	4	4.94	  	7	8.64	  	26	32.1	  	1	1.23	  	1	1.23	  	0	0	  	28	34.57	  	0	0	  	0	0	  	0	0	  	0	0	  	4	4.94	  	1	1.23	  	0	0	  	0	0	  	5	6.17	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	81	95.29	  	4	4.71	  	85	0.13
Branxholm		                                  	0	0	  	0	0	  	0	0	  	0	0	  	6	2.54	  	4	1.69	  	0	0	  	10	4.24	  	72	30.51	  	9	3.81	  	2	0.85	  	1	0.42	  	2	0.85	  	86	36.44	  	1	0.42	  	0	0	  	0	0	  	1	0.42	  	5	2.12	  	1	0.42	  	0	0	  	1	0.42	  	7	2.97	  	1	0.42	  	0	0	  	0	0	  	1	0.42	  	4	1.69	  	1	0.42	  	0	0	  	0	0	  	5	2.12	  	12	5.08	  	4	1.69	  	16	6.78	  	83	35.17	  	8	3.39	  	7	2.97	  	3	1.27	  	101	42.8	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.97	  	1	0.42	  	1	0.42	  	0	0	  	9	3.81	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	236	94.02	  	15	5.98	  	251	0.4
Bridport		                                   	2	0.18	  	3	0.27	  	0	0	  	5	0.44	  	16	1.42	  	10	0.89	  	0	0	  	26	2.3	  	403	35.73	  	56	4.96	  	5	0.44	  	8	0.71	  	10	0.89	  	482	42.73	  	2	0.18	  	0	0	  	0	0	  	2	0.18	  	18	1.6	  	2	0.18	  	0	0	  	0	0	  	20	1.77	  	1	0.09	  	0	0	  	0	0	  	1	0.09	  	27	2.39	  	20	1.77	  	0	0	  	0	0	  	47	4.17	  	50	4.43	  	26	2.3	  	76	6.74	  	305	27.04	  	43	3.81	  	11	0.98	  	2	0.18	  	361	32	  	1	0.09	  	1	0.09	  	0	0	  	2	0.18	  	78	6.91	  	17	1.51	  	5	0.44	  	0	0	  	100	8.87	  	2	0.18	  	1	0.09	  	0	0	  	3	0.27	  	3	0.27	  	0	0	  	0	0	  	3	0.27	  	1128	95.19	  	57	4.81	  	1185	1.87
Cape Barren Island		                         	1	3.33	  	0	0	  	0	0	  	1	3.33	  	0	0	  	0	0	  	0	0	  	0	0	  	5	16.67	  	0	0	  	0	0	  	0	0	  	0	0	  	5	16.67	  	0	0	  	0	0	  	0	0	  	0	0	  	1	3.33	  	0	0	  	0	0	  	0	0	  	1	3.33	  	0	0	  	0	0	  	0	0	  	0	0	  	1	3.33	  	0	0	  	0	0	  	0	0	  	1	3.33	  	0	0	  	0	0	  	0	0	  	20	66.67	  	2	6.67	  	0	0	  	0	0	  	22	73.33	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	30	90.91	  	3	9.09	  	33	0.05
Cosgrove Park		                              	2	0.68	  	0	0	  	0	0	  	2	0.68	  	10	3.4	  	0	0	  	0	0	  	10	3.4	  	81	27.55	  	3	1.02	  	3	1.02	  	0	0	  	2	0.68	  	89	30.27	  	0	0	  	1	0.34	  	0	0	  	1	0.34	  	6	2.04	  	3	1.02	  	0	0	  	0	0	  	9	3.06	  	0	0	  	0	0	  	0	0	  	0	0	  	9	3.06	  	1	0.34	  	0	0	  	0	0	  	10	3.4	  	23	7.82	  	5	1.7	  	28	9.52	  	117	39.8	  	11	3.74	  	5	1.7	  	2	0.68	  	135	45.92	  	0	0	  	0	0	  	0	0	  	0	0	  	8	2.72	  	1	0.34	  	0	0	  	0	0	  	9	3.06	  	1	0.34	  	0	0	  	0	0	  	1	0.34	  	0	0	  	0	0	  	0	0	  	0	0	  	294	97.67	  	7	2.33	  	301	0.47
Derby		                                      	2	1.27	  	0	0	  	0	0	  	2	1.27	  	6	3.82	  	4	2.55	  	1	0.64	  	11	7.01	  	53	33.76	  	5	3.18	  	1	0.64	  	0	0	  	0	0	  	59	37.58	  	1	0.64	  	0	0	  	0	0	  	1	0.64	  	3	1.91	  	0	0	  	0	0	  	0	0	  	3	1.91	  	1	0.64	  	0	0	  	0	0	  	1	0.64	  	1	0.64	  	3	1.91	  	1	0.64	  	0	0	  	5	3.18	  	6	3.82	  	2	1.27	  	8	5.1	  	52	33.12	  	8	5.1	  	0	0	  	1	0.64	  	61	38.85	  	0	0	  	0	0	  	0	0	  	0	0	  	5	3.18	  	1	0.64	  	0	0	  	0	0	  	6	3.82	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	157	96.91	  	5	3.09	  	162	0.26
