Senate - 1998 Election: Western Australia																																																																																																																																																																																																																																																										
First Preference Votes by Candidate																																																																																																																																																																																																																																																										
By Polling Place																																																																																																																																																																																																																																																										


Brand (77633)																																																																																																																																																																																																																																																										

	   		 A Pauline Hanson's One Nation															 B Australian Shooters Party												 C National Party of Australia (WA) Inc												 D Natural Law Party												 E Liberal Party (W.A. Division) Inc.																		 F Taxi Operators Political Service (Oceania)												 G Unity - Say No To Hanson															 H Abolish Child Support/Family Court Party												 I Citizens Electoral Council of Australia												 J Australian Labor Party (Western Australian Branch)																								 K Democratic Socialist Electoral League												 L Christian Democratic Party (Fred Nile Group)												 M The Greens (WA) Inc															 N - Unendorsed Group 												 O - Unendorsed Group 												 P Australian Democrats															 Q Republican Party of Australia												Ungrouped													
    			TICKET VOTES			FISCHER			TINCKNELL			SUTER			Group Total			TICKET VOTES			MOTTERAM			TAYLOR			Group Total			TICKET VOTES			MORGAN			MASLEN			Group Total			TICKET VOTES			KAILIS			D'CRUZ			Group Total			TICKET VOTES			# ELLISON			# CAMPBELL			# KNOWLES			IVANKOVIC			Group Total			TICKET VOTES			BATESON			FINNEY			Group Total			TICKET VOTES			WILKES			LEUNG			CAREY			Group Total			TICKET VOTES			GRIFFIN			JOHNSON			Group Total			TICKET VOTES			DRAKE			ROBINSON			Group Total			TICKET VOTES			# COOK			# EVANS			GRIFFITHS			ELLERY			ANDERSON			FOO			Group Total			TICKET VOTES			STEPHEN			JORQUERA			Group Total			TICKET VOTES			MOSELEY			JOHNSON			Group Total			TICKET VOTES			MARGETTS			DAVIES			XAMON			Group Total			TICKET VOTES			HOBBS			BESSANT			Group Total			TICKET VOTES			TORR			PRATT			Group Total			TICKET VOTES			# GREIG			CRABBE			CLIFFORD			Group Total			TICKET VOTES			O'DONNELL			MCNALLY			Group Total			GARCIA			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
    						John			Colin			Martin									Raymond William			Ken									Beryle			Dudley									George			Cathryn									Christopher			Ian Gordon			Sue			Ivan									Alan			Rick									Ted			Mai-Yie			Michael John									Brendan			Sam									Tony			Jean									Peter			Chris			Rhonda			Sue			Lois			Chilip									Sarah			Roberto									Justin			Peter									Dee			Kayt			Alison									Kate			Morris									Joan			C Roger									Brian			Stephen G			Margot									Michael			Kerry						Rod													
Polling Places			Vote	%		Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Baldivis		                                   	127	11.06	  	15	1.31	  	0	0	  	0	0	  	142	12.37	  	0	0	  	0	0	  	0	0	  	0	0	  	3	0.26	  	0	0	  	0	0	  	3	0.26	  	2	0.17	  	0	0	  	0	0	  	2	0.17	  	460	40.07	  	15	1.31	  	1	0.09	  	2	0.17	  	1	0.09	  	479	41.72	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	0.35	  	0	0	  	0	0	  	4	0.35	  	1	0.09	  	0	0	  	0	0	  	1	0.09	  	374	32.58	  	3	0.26	  	0	0	  	0	0	  	1	0.09	  	0	0	  	0	0	  	378	32.93	  	2	0.17	  	0	0	  	0	0	  	2	0.17	  	5	0.44	  	2	0.17	  	0	0	  	7	0.61	  	50	4.36	  	14	1.22	  	0	0	  	0	0	  	64	5.57	  	1	0.09	  	1	0.09	  	0	0	  	2	0.17	  	1	0.09	  	0	0	  	0	0	  	1	0.09	  	56	4.88	  	7	0.61	  	0	0	  	0	0	  	63	5.49	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1148	97.7	  	27	2.3	  	1175	1.58
Broome (Brand)		                             	7	20	  	0	0	  	0	0	  	0	0	  	7	20	  	0	0	  	0	0	  	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	0	0	  	0	0	  	8	22.86	  	0	0	  	0	0	  	0	0	  	0	0	  	8	22.86	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	0	0	  	0	0	  	12	34.29	  	1	2.86	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	13	37.14	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	11.43	  	0	0	  	0	0	  	0	0	  	4	11.43	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	35	97.22	  	1	2.78	  	36	0.05
Calista		                                    	284	10.89	  	36	1.38	  	1	0.04	  	0	0	  	321	12.31	  	2	0.08	  	2	0.08	  	0	0	  	4	0.15	  	4	0.15	  	0	0	  	0	0	  	4	0.15	  	4	0.15	  	0	0	  	0	0	  	4	0.15	  	443	16.99	  	10	0.38	  	0	0	  	1	0.04	  	0	0	  	454	17.41	  	2	0.08	  	0	0	  	0	0	  	2	0.08	  	2	0.08	  	1	0.04	  	0	0	  	0	0	  	3	0.12	  	5	0.19	  	1	0.04	  	0	0	  	6	0.23	  	3	0.12	  	0	0	  	0	0	  	3	0.12	  	1549	59.42	  	19	0.73	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.04	  	1569	60.18	  	7	0.27	  	3	0.12	  	0	0	  	10	0.38	  	16	0.61	  	2	0.08	  	0	0	  	18	0.69	  	85	3.26	  	12	0.46	  	0	0	  	0	0	  	97	3.72	  	2	0.08	  	2	0.08	  	0	0	  	4	0.15	  	2	0.08	  	0	0	  	0	0	  	2	0.08	  	95	3.64	  	7	0.27	  	0	0	  	0	0	  	102	3.91	  	3	0.12	  	0	0	  	0	0	  	3	0.12	  	1	0.04	  	1	0.04	  	2607	97.9	  	56	2.1	  	2663	3.58
Carnarvon (Brand)		                          	3	13.64	  	0	0	  	1	4.55	  	0	0	  	4	18.18	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	36.36	  	0	0	  	0	0	  	0	0	  	0	0	  	8	36.36	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	36.36	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	8	36.36	  	0	0	  	0	0	  	0	0	  	0	0	  	1	4.55	  	0	0	  	0	0	  	1	4.55	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	4.55	  	0	0	  	0	0	  	0	0	  	1	4.55	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	22	95.65	  	1	4.35	  	23	0.03
Coodanup		                                   	278	16.01	  	13	0.75	  	1	0.06	  	1	0.06	  	293	16.88	  	9	0.52	  	0	0	  	0	0	  	9	0.52	  	4	0.23	  	0	0	  	0	0	  	4	0.23	  	2	0.12	  	0	0	  	0	0	  	2	0.12	  	401	23.1	  	3	0.17	  	2	0.12	  	0	0	  	0	0	  	406	23.39	  	2	0.12	  	0	0	  	0	0	  	2	0.12	  	1	0.06	  	0	0	  	0	0	  	0	0	  	1	0.06	  	1	0.06	  	0	0	  	0	0	  	1	0.06	  	2	0.12	  	1	0.06	  	0	0	  	3	0.17	  	859	49.48	  	14	0.81	  	0	0	  	1	0.06	  	1	0.06	  	0	0	  	1	0.06	  	876	50.46	  	2	0.12	  	0	0	  	0	0	  	2	0.12	  	10	0.58	  	1	0.06	  	0	0	  	11	0.63	  	57	3.28	  	1	0.06	  	0	0	  	0	0	  	58	3.34	  	1	0.06	  	0	0	  	0	0	  	1	0.06	  	2	0.12	  	0	0	  	0	0	  	2	0.12	  	59	3.4	  	6	0.35	  	0	0	  	0	0	  	65	3.74	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1736	98.13	  	33	1.87	  	1769	2.38
Cooloongup		                                 	411	10.58	  	20	0.51	  	0	0	  	1	0.03	  	432	11.12	  	3	0.08	  	1	0.03	  	0	0	  	4	0.1	  	13	0.33	  	0	0	  	0	0	  	13	0.33	  	6	0.15	  	0	0	  	0	0	  	6	0.15	  	788	20.28	  	5	0.13	  	1	0.03	  	0	0	  	1	0.03	  	795	20.46	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.05	  	0	0	  	0	0	  	0	0	  	2	0.05	  	5	0.13	  	0	0	  	0	0	  	5	0.13	  	5	0.13	  	0	0	  	0	0	  	5	0.13	  	2281	58.71	  	13	0.33	  	1	0.03	  	3	0.08	  	0	0	  	0	0	  	0	0	  	2298	59.15	  	13	0.33	  	1	0.03	  	0	0	  	14	0.36	  	16	0.41	  	0	0	  	0	0	  	16	0.41	  	108	2.78	  	10	0.26	  	1	0.03	  	0	0	  	119	3.06	  	8	0.21	  	0	0	  	0	0	  	8	0.21	  	0	0	  	1	0.03	  	0	0	  	1	0.03	  	147	3.78	  	14	0.36	  	0	0	  	0	0	  	161	4.14	  	2	0.05	  	0	0	  	0	0	  	2	0.05	  	4	0.1	  	4	0.1	  	3885	97.69	  	92	2.31	  	3977	5.35
Exmouth (Brand)		                            	11	17.74	  	0	0	  	0	0	  	0	0	  	11	17.74	  	1	1.61	  	0	0	  	0	0	  	1	1.61	  	0	0	  	1	1.61	  	0	0	  	1	1.61	  	0	0	  	0	0	  	0	0	  	0	0	  	28	45.16	  	1	1.61	  	0	0	  	1	1.61	  	0	0	  	30	48.39	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	14	22.58	  	1	1.61	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	15	24.19	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	3.23	  	0	0	  	0	0	  	0	0	  	2	3.23	  	1	1.61	  	0	0	  	0	0	  	1	1.61	  	0	0	  	0	0	  	0	0	  	0	0	  	1	1.61	  	0	0	  	0	0	  	0	0	  	1	1.61	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	62	98.41	  	1	1.59	  	63	0.08
