Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Beverly Hills North		                        	29	1.15	  	1	0.04	  	2	0.08	  	1	0.04	  	1	0.04	  	2	0.08	  	3	0.12	  	1158	45.99	  	3	0.12	  	0	0	  	213	8.46	  	715	28.4	  	160	6.35	  	4	0.16	  	8	0.32	  	0	0	  	1	0.04	  	0	0	  	0	0	  	42	1.67	  	20	0.79	  	155	6.16	  	0	0	  	2518	96.36	  	95	3.64	  	2613	3.42
East Hills		                                 	11	1.05	  	3	0.29	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.19	  	443	42.19	  	0	0	  	1	0.1	  	175	16.67	  	304	28.95	  	58	5.52	  	0	0	  	1	0.1	  	0	0	  	0	0	  	0	0	  	0	0	  	35	3.33	  	12	1.14	  	4	0.38	  	1	0.1	  	1050	95.8	  	46	4.2	  	1096	1.43
Hannans Road		                               	30	1.27	  	2	0.08	  	2	0.08	  	0	0	  	3	0.13	  	6	0.25	  	2	0.08	  	1290	54.71	  	0	0	  	3	0.13	  	222	9.41	  	519	22.01	  	91	3.86	  	3	0.13	  	4	0.17	  	0	0	  	0	0	  	0	0	  	0	0	  	28	1.19	  	15	0.64	  	137	5.81	  	1	0.04	  	2358	94.4	  	140	5.6	  	2498	3.27
Lugarno		                                    	11	0.38	  	0	0	  	3	0.1	  	0	0	  	2	0.07	  	0	0	  	4	0.14	  	697	24.08	  	3	0.1	  	2	0.07	  	276	9.54	  	1483	51.24	  	274	9.47	  	2	0.07	  	3	0.1	  	0	0	  	1	0.03	  	1	0.03	  	3	0.1	  	47	1.62	  	45	1.55	  	33	1.14	  	4	0.14	  	2894	96.79	  	96	3.21	  	2990	3.91
Milperra		                                   	14	0.6	  	3	0.13	  	4	0.17	  	0	0	  	1	0.04	  	8	0.34	  	13	0.56	  	838	35.92	  	2	0.09	  	0	0	  	340	14.57	  	875	37.51	  	138	5.92	  	4	0.17	  	9	0.39	  	2	0.09	  	0	0	  	0	0	  	0	0	  	37	1.59	  	24	1.03	  	21	0.9	  	0	0	  	2333	97.05	  	71	2.95	  	2404	3.15
Mortdale Central		                           	10	0.53	  	1	0.05	  	2	0.11	  	1	0.05	  	1	0.05	  	1	0.05	  	5	0.27	  	844	44.82	  	7	0.37	  	0	0	  	161	8.55	  	597	31.7	  	140	7.43	  	2	0.11	  	4	0.21	  	0	0	  	1	0.05	  	0	0	  	0	0	  	17	0.9	  	18	0.96	  	68	3.61	  	3	0.16	  	1883	94.77	  	104	5.23	  	1987	2.6
Mortdale Heights		                           	5	0.56	  	1	0.11	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.11	  	325	36.31	  	3	0.34	  	0	0	  	109	12.18	  	354	39.55	  	58	6.48	  	2	0.22	  	2	0.22	  	0	0	  	0	0	  	1	0.11	  	1	0.11	  	11	1.23	  	13	1.45	  	9	1.01	  	0	0	  	895	96.65	  	31	3.35	  	926	1.21
Mortdale West		                              	9	0.48	  	3	0.16	  	1	0.05	  	1	0.05	  	1	0.05	  	1	0.05	  	3	0.16	  	757	40.57	  	1	0.05	  	1	0.05	  	237	12.7	  	608	32.58	  	133	7.13	  	3	0.16	  	4	0.21	  	0	0	  	0	0	  	0	0	  	0	0	  	26	1.39	  	24	1.29	  	53	2.84	  	0	0	  	1866	95.99	  	78	4.01	  	1944	2.54
Narwee		                                     	20	0.77	  	2	0.08	  	1	0.04	  	1	0.04	  	0	0	  	6	0.23	  	1	0.04	  	1079	41.42	  	2	0.08	  	2	0.08	  	256	9.83	  	767	29.44	  	167	6.41	  	2	0.08	  	4	0.15	  	0	0	  	1	0.04	  	0	0	  	0	0	  	49	1.88	  	25	0.96	  	218	8.37	  	2	0.08	  	2605	96.02	  	108	3.98	  	2713	3.55
