Senate -  1998 Election: Northern Territory																												
First Preference Votes by Group																												
By Polling Place																												


Northern Territory (105048)																												

	   		Group Total GRN			Group Total CLP			Group Total DEM			Group Total HAN			Group Total ALP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alice Springs		                              	79	4.89	  	671	41.5	  	158	9.77	  	159	9.83	  	544	33.64	  	6	0.37	  	1617	98.6	  	23	1.4	  	1640	1.73
Alyangula		                                  	14	3.63	  	143	37.05	  	38	9.84	  	44	11.4	  	147	38.08	  	0	0	  	386	100	  	0	0	  	386	0.41
Anula		                                      	84	3.32	  	988	39.05	  	139	5.49	  	189	7.47	  	1101	43.52	  	29	1.15	  	2530	97.83	  	56	2.17	  	2586	2.73
Batchelor		                                  	20	5.75	  	102	29.31	  	14	4.02	  	53	15.23	  	157	45.11	  	2	0.57	  	348	97.48	  	9	2.52	  	357	0.38
Berrimah		                                   	21	3.07	  	326	47.59	  	28	4.09	  	104	15.18	  	196	28.61	  	10	1.46	  	685	98.28	  	12	1.72	  	697	0.73
Berry Springs		                              	31	4.68	  	254	38.31	  	37	5.58	  	123	18.55	  	209	31.52	  	9	1.36	  	663	97.79	  	15	2.21	  	678	0.71
Braitling		                                  	42	2.34	  	848	47.24	  	122	6.8	  	189	10.53	  	577	32.14	  	17	0.95	  	1795	98.09	  	35	1.91	  	1830	1.93
Casuarina		                                  	118	3.79	  	1164	37.36	  	180	5.78	  	251	8.06	  	1369	43.93	  	34	1.09	  	3116	97.47	  	81	2.53	  	3197	3.37
Christmas Island		                           	29	6.71	  	105	24.31	  	15	3.47	  	15	3.47	  	268	62.04	  	0	0	  	432	98.63	  	6	1.37	  	438	0.46
Darwin		                                     	77	8.08	  	397	41.66	  	66	6.93	  	60	6.3	  	337	35.36	  	16	1.68	  	953	99.17	  	8	0.83	  	961	1.01
Doomadgee		                                  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0
Driver		                                     	73	2.28	  	1303	40.77	  	172	5.38	  	473	14.8	  	1143	35.76	  	32	1	  	3196	97.59	  	79	2.41	  	3275	3.45
Durack		                                     	26	2.59	  	547	54.59	  	47	4.69	  	122	12.18	  	252	25.15	  	8	0.8	  	1002	98.24	  	18	1.76	  	1020	1.07
Gillen		                                     	66	2.58	  	1231	48.1	  	168	6.57	  	280	10.94	  	812	31.73	  	2	0.08	  	2559	97.93	  	54	2.07	  	2613	2.75
Gray		                                       	58	2.94	  	793	40.23	  	97	4.92	  	266	13.5	  	734	37.24	  	23	1.17	  	1971	97.72	  	46	2.28	  	2017	2.13
Home Island		                                	15	6.3	  	17	7.14	  	5	2.1	  	0	0	  	200	84.03	  	1	0.42	  	238	97.54	  	6	2.46	  	244	0.26
Howard Springs		                             	92	3.92	  	1135	48.4	  	113	4.82	  	335	14.29	  	645	27.51	  	25	1.07	  	2345	98.24	  	42	1.76	  	2387	2.52
Humpty Doo		                                 	119	4.33	  	1204	43.8	  	138	5.02	  	487	17.72	  	783	28.48	  	18	0.65	  	2749	98.64	  	38	1.36	  	2787	2.94
Jabiru		                                     	41	5.95	  	327	47.46	  	33	4.79	  	35	5.08	  	251	36.43	  	2	0.29	  	689	98.29	  	12	1.71	  	701	0.74
Karama		                                     	123	3.32	  	1360	36.72	  	206	5.56	  	340	9.18	  	1644	44.38	  	31	0.84	  	3704	97.94	  	78	2.06	  	3782	3.99
Katherine		                                  	48	2.71	  	870	49.04	  	90	5.07	  	235	13.25	  	526	29.65	  	5	0.28	  	1774	98.12	  	34	1.88	  	1808	1.91
Katherine East		                             	29	2.47	  	563	48	  	64	5.46	  	151	12.87	  	363	30.95	  	3	0.26	  	1173	98.9	  	13	1.1	  	1186	1.25
Larapinta		                                  	29	2.12	  	698	51.14	  	98	7.18	  	130	9.52	  	409	29.96	  	1	0.07	  	1365	98.27	  	24	1.73	  	1389	1.46
Larrakeyah		                                 	56	3.85	  	851	58.45	  	74	5.08	  	110	7.55	  	352	24.18	  	13	0.89	  	1456	97.59	  	36	2.41	  	1492	1.57
Leanyer		                                    	59	2.69	  	997	45.4	  	126	5.74	  	177	8.06	  	820	37.34	  	17	0.77	  	2196	97.86	  	48	2.14	  	2244	2.36
Ludmilla		                                   	110	5.89	  	785	42.02	  	109	5.84	  	170	9.1	  	663	35.49	  	31	1.66	  	1868	97.44	  	49	2.56	  	1917	2.02
