Senate -  1998 Election: Queensland																																																																												
First Preference Votes by Group																																																																												
By Polling Place																																																																												

The results in this table reflect the result of the count before the Court of Disputed Returns found Ms Hill ineligible to stand.																																																																												
For further information on this issue refer to the Table Notes 'Note on the Queensland Senate election – 1998’																																																																												

Blair (74211)																																																																												

	   		Group Total QF			Group Total - Unendorsed Group B			Group Total - Unendorsed Group C			Group Total UNI			Group Total NP			Group Total FST			Group Total CDP			Group Total FLR			Group Total HAN			Group Total CEC			Group Total OAP			Group Total NLP			Group Total ARP			Group Total DEM			Group Total ACS			Group Total ALP			Group Total LP			Group Total AWP			Group Total - Unendorsed Group S			Group Total DSL			Group Total GRN			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Amberley		                                   	1	0.12	 	0	0	 	1	0.12	 	2	0.25	 	32	3.95	 	3	0.37	 	6	0.74	 	1	0.12	 	244	30.12	 	0	0	 	3	0.37	 	0	0	 	0	0	 	71	8.77	 	1	0.12	 	163	20.12	 	266	32.84	 	4	0.49	 	0	0	 	2	0.25	 	10	1.23	 	0	0	 	810	98.54	 	12	1.46	 	822	1.16
Blackbutt		                                  	5	0.56	 	3	0.34	 	0	0	 	4	0.45	 	98	11.04	 	9	1.01	 	3	0.34	 	1	0.11	 	349	39.3	 	1	0.11	 	7	0.79	 	0	0	 	0	0	 	25	2.82	 	2	0.23	 	218	24.55	 	150	16.89	 	5	0.56	 	0	0	 	0	0	 	8	0.9	 	0	0	 	888	93.08	 	66	6.92	 	954	1.35
Blair School		                               	6	0.36	 	0	0	 	0	0	 	7	0.42	 	53	3.19	 	6	0.36	 	14	0.84	 	4	0.24	 	347	20.92	 	1	0.06	 	11	0.66	 	0	0	 	0	0	 	155	9.34	 	1	0.06	 	613	36.95	 	388	23.39	 	12	0.72	 	0	0	 	8	0.48	 	23	1.39	 	10	0.6	 	1659	97.93	 	35	2.07	 	1694	2.39
Blenheim		                                   	0	0	 	1	0.37	 	0	0	 	1	0.37	 	25	9.29	 	1	0.37	 	0	0	 	1	0.37	 	129	47.96	 	0	0	 	3	1.12	 	0	0	 	0	0	 	12	4.46	 	0	0	 	46	17.1	 	48	17.84	 	0	0	 	0	0	 	0	0	 	2	0.74	 	0	0	 	269	96.42	 	10	3.58	 	279	0.39
Brassall		                                   	1	0.08	 	0	0	 	0	0	 	4	0.33	 	43	3.57	 	2	0.17	 	9	0.75	 	0	0	 	368	30.59	 	0	0	 	5	0.42	 	0	0	 	1	0.08	 	99	8.23	 	369	30.67	 	270	22.44	 	11	0.91	 	0	0	 	2	0.17	 	16	1.33	 	2	0.17	 	1	0.08	 	1203	97.17	 	35	2.83	 	1238	1.75
Brassall School		                            	15	0.51	 	0	0	 	0	0	 	11	0.37	 	107	3.63	 	10	0.34	 	17	0.58	 	3	0.1	 	913	30.97	 	1	0.03	 	14	0.47	 	2	0.07	 	5	0.17	 	194	6.58	 	9	0.31	 	940	31.89	 	629	21.34	 	10	0.34	 	1	0.03	 	5	0.17	 	61	2.07	 	1	0.03	 	2948	97.49	 	76	2.51	 	3024	4.27
Brisbane City (Blair)		                      	1	1.1	 	1	1.1	 	0	0	 	1	1.1	 	5	5.49	 	0	0	 	0	0	 	0	0	 	11	12.09	 	0	0	 	0	0	 	0	0	 	0	0	 	14	15.38	 	0	0	 	21	23.08	 	31	34.07	 	1	1.1	 	0	0	 	0	0	 	5	5.49	 	0	0	 	91	96.81	 	3	3.19	 	94	0.13
Churchill (Blair)		                          	6	0.44	 	0	0	 	1	0.07	 	3	0.22	 	56	4.13	 	0	0	 	14	1.03	 	1	0.07	 	383	28.27	 	1	0.07	 	7	0.52	 	4	0.3	 	5	0.37	 	101	7.45	 	11	0.81	 	480	35.42	 	252	18.6	 	5	0.37	 	0	0	 	4	0.3	 	20	1.48	 	1	0.07	 	1355	97.34	 	37	2.66	 	1392	1.96
Coolabunia		                                 	3	0.86	 	0	0	 	0	0	 	0	0	 	94	26.86	 	0	0	 	2	0.57	 	0	0	 	119	34	 	0	0	 	2	0.57	 	0	0	 	0	0	 	20	5.71	 	1	0.29	 	37	10.57	 	65	18.57	 	0	0	 	0	0	 	1	0.29	 	5	1.43	 	1	0.29	 	350	93.83	 	23	6.17	 	373	0.53
Coominya		                                   	3	0.47	 	1	0.16	 	1	0.16	 	2	0.31	 	67	10.39	 	1	0.16	 	3	0.47	 	2	0.31	 	270	41.86	 	0	0	 	6	0.93	 	0	0	 	4	0.62	 	26	4.03	 	1	0.16	 	161	24.96	 	89	13.8	 	1	0.16	 	0	0	 	3	0.47	 	4	0.62	 	0	0	 	645	95.98	 	27	4.02	 	672	0.95
Cooyar		                                     	2	0.99	 	0	0	 	0	0	 	2	0.99	 	54	26.6	 	0	0	 	2	0.99	 	0	0	 	86	42.36	 	0	0	 	2	0.99	 	0	0	 	0	0	 	6	2.96	 	0	0	 	29	14.29	 	17	8.37	 	0	0	 	0	0	 	0	0	 	3	1.48	 	0	0	 	203	95.31	 	10	4.69	 	213	0.3
Crows Nest		                                 	3	0.24	 	3	0.24	 	0	0	 	2	0.16	 	317	25.61	 	1	0.08	 	16	1.29	 	0	0	 	449	36.27	 	1	0.08	 	6	0.48	 	0	0	 	0	0	 	72	5.82	 	1	0.08	 	162	13.09	 	177	14.3	 	5	0.4	 	0	0	 	2	0.16	 	21	1.7	 	0	0	 	1238	95.08	 	64	4.92	 	1302	1.84
Esk		                                        	5	0.51	 	1	0.1	 	0	0	 	1	0.1	 	138	14.04	 	5	0.51	 	8	0.81	 	1	0.1	 	362	36.83	 	2	0.2	 	4	0.41	 	1	0.1	 	12	1.22	 	52	5.29	 	5	0.51	 	214	21.77	 	147	14.95	 	4	0.41	 	0	0	 	0	0	 	21	2.14	 	0	0	 	983	96.66	 	34	3.34	 	1017	1.44
