Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Adelaide)		                        	6	1.52	  	1	0.25	  	98	24.75	  	0	0	  	0	0	  	125	31.57	  	0	0	  	3	0.76	  	17	4.29	  	20	5.05	  	124	31.31	  	0	0	  	1	0.25	  	1	0.25	  	396	98.02	  	8	1.98	  	404	0.52
Adelaide East		                              	1	0.19	  	2	0.37	  	74	13.86	  	2	0.37	  	1	0.19	  	228	42.7	  	0	0	  	3	0.56	  	20	3.75	  	22	4.12	  	177	33.15	  	2	0.37	  	1	0.19	  	1	0.19	  	534	98.34	  	9	1.66	  	543	0.69
Adelaide Hospital		                          	3	1.16	  	1	0.39	  	47	18.22	  	0	0	  	0	0	  	97	37.6	  	0	0	  	4	1.55	  	11	4.26	  	9	3.49	  	85	32.95	  	0	0	  	0	0	  	1	0.39	  	258	98.47	  	4	1.53	  	262	0.34
Adelaide South		                             	6	0.38	  	4	0.25	  	314	19.64	  	2	0.13	  	1	0.06	  	612	38.27	  	1	0.06	  	12	0.75	  	82	5.13	  	64	4	  	494	30.89	  	5	0.31	  	1	0.06	  	1	0.06	  	1599	97.8	  	36	2.2	  	1635	2.09
Adelaide West		                              	4	1.72	  	0	0	  	58	24.89	  	0	0	  	1	0.43	  	44	18.88	  	0	0	  	0	0	  	19	8.15	  	8	3.43	  	97	41.63	  	2	0.86	  	0	0	  	0	0	  	233	96.28	  	9	3.72	  	242	0.31
Black Forest		                               	6	0.85	  	2	0.28	  	113	15.96	  	0	0	  	2	0.28	  	295	41.67	  	1	0.14	  	5	0.71	  	12	1.69	  	44	6.21	  	227	32.06	  	1	0.14	  	0	0	  	0	0	  	708	96.33	  	27	3.67	  	735	0.94
Blair Athol Central		                        	12	0.94	  	9	0.71	  	136	10.69	  	0	0	  	0	0	  	472	37.11	  	2	0.16	  	3	0.24	  	26	2.04	  	147	11.56	  	462	36.32	  	2	0.16	  	1	0.08	  	0	0	  	1272	95	  	67	5	  	1339	1.71
Blair Athol North		                          	12	0.9	  	3	0.23	  	120	9.04	  	1	0.08	  	2	0.15	  	272	20.5	  	0	0	  	9	0.68	  	20	1.51	  	145	10.93	  	732	55.16	  	4	0.3	  	4	0.3	  	3	0.23	  	1327	95.95	  	56	4.05	  	1383	1.77
Broadview		                                  	9	0.5	  	3	0.17	  	251	13.88	  	1	0.06	  	1	0.06	  	864	47.79	  	0	0	  	6	0.33	  	21	1.16	  	128	7.08	  	517	28.6	  	4	0.22	  	0	0	  	3	0.17	  	1808	97.36	  	49	2.64	  	1857	2.38
Brompton		                                   	7	0.8	  	3	0.34	  	160	18.35	  	1	0.11	  	0	0	  	202	23.17	  	0	0	  	5	0.57	  	44	5.05	  	46	5.28	  	401	45.99	  	1	0.11	  	1	0.11	  	1	0.11	  	872	97.98	  	18	2.02	  	890	1.14
Clarence Park		                              	6	0.55	  	1	0.09	  	182	16.71	  	0	0	  	1	0.09	  	522	47.93	  	2	0.18	  	3	0.28	  	17	1.56	  	57	5.23	  	295	27.09	  	1	0.09	  	2	0.18	  	0	0	  	1089	96.97	  	34	3.03	  	1123	1.44
Clarence Park West		                         	11	0.6	  	8	0.43	  	321	17.38	  	1	0.05	  	6	0.32	  	767	41.53	  	1	0.05	  	8	0.43	  	56	3.03	  	96	5.2	  	567	30.7	  	4	0.22	  	0	0	  	1	0.05	  	1847	97.47	  	48	2.53	  	1895	2.42
Collinswood		                                	9	1.15	  	4	0.51	  	121	15.41	  	1	0.13	  	1	0.13	  	421	53.63	  	0	0	  	5	0.64	  	16	2.04	  	36	4.59	  	169	21.53	  	0	0	  	1	0.13	  	1	0.13	  	785	97.15	  	23	2.85	  	808	1.03
Croydon		                                    	13	1.01	  	7	0.54	  	148	11.49	  	0	0	  	0	0	  	333	25.85	  	0	0	  	10	0.78	  	34	2.64	  	51	3.96	  	672	52.17	  	14	1.09	  	6	0.47	  	0	0	  	1288	96.99	  	40	3.01	  	1328	1.7
Croydon Park		                               	11	0.77	  	13	0.91	  	89	6.24	  	0	0	  	2	0.14	  	391	27.42	  	1	0.07	  	6	0.42	  	22	1.54	  	114	7.99	  	769	53.93	  	3	0.21	  	2	0.14	  	3	0.21	  	1426	93.94	  	92	6.06	  	1518	1.94
Croydon Park West (Adelaide)		               	7	1.43	  	4	0.81	  	32	6.52	  	0	0	  	0	0	  	106	21.59	  	1	0.2	  	0	0	  	3	0.61	  	53	10.79	  	285	58.04	  	0	0	  	0	0	  	0	0	  	491	94.42	  	29	5.58	  	520	0.67
Enfield		                                    	14	1.06	  	6	0.46	  	147	11.15	  	1	0.08	  	0	0	  	461	34.98	  	0	0	  	6	0.46	  	17	1.29	  	127	9.64	  	533	40.44	  	1	0.08	  	5	0.38	  	0	0	  	1318	94.96	  	70	5.04	  	1388	1.78
Enfield North (Adelaide)		                   	11	0.95	  	4	0.35	  	91	7.88	  	0	0	  	0	0	  	307	26.58	  	0	0	  	7	0.61	  	30	2.6	  	131	11.34	  	563	48.74	  	6	0.52	  	5	0.43	  	0	0	  	1155	95.93	  	49	4.07	  	1204	1.54
Enfield South		                              	4	0.56	  	3	0.42	  	81	11.44	  	2	0.28	  	3	0.42	  	221	31.21	  	1	0.14	  	5	0.71	  	14	1.98	  	67	9.46	  	301	42.51	  	4	0.56	  	0	0	  	2	0.28	  	708	96.72	  	24	3.28	  	732	0.94
Fullarton		                                  	19	0.9	  	5	0.24	  	384	18.1	  	1	0.05	  	9	0.42	  	1037	48.89	  	0	0	  	10	0.47	  	60	2.83	  	80	3.77	  	507	23.9	  	5	0.24	  	3	0.14	  	1	0.05	  	2121	97.43	  	56	2.57	  	2177	2.79
Goodwood		                                   	16	0.9	  	6	0.34	  	363	20.37	  	2	0.11	  	0	0	  	575	32.27	  	0	0	  	12	0.67	  	82	4.6	  	66	3.7	  	648	36.36	  	5	0.28	  	5	0.28	  	2	0.11	  	1782	96.27	  	69	3.73	  	1851	2.37
Goodwood Park		                              	3	0.56	  	1	0.19	  	79	14.79	  	0	0	  	1	0.19	  	189	35.39	  	1	0.19	  	2	0.37	  	11	2.06	  	10	1.87	  	234	43.82	  	3	0.56	  	0	0	  	0	0	  	534	95.87	  	23	4.13	  	557	0.71
Hackney		                                    	6	0.57	  	3	0.29	  	158	15.08	  	0	0	  	3	0.29	  	513	48.95	  	0	0	  	6	0.57	  	40	3.82	  	35	3.34	  	275	26.24	  	5	0.48	  	3	0.29	  	1	0.1	  	1048	97.85	  	23	2.15	  	1071	1.37
Hindmarsh		                                  	3	0.69	  	2	0.46	  	44	10.19	  	0	0	  	0	0	  	93	21.53	  	0	0	  	3	0.69	  	21	4.86	  	26	6.02	  	239	55.32	  	0	0	  	0	0	  	1	0.23	  	432	96.86	  	14	3.14	  	446	0.57
Hyde Park		                                  	4	0.29	  	1	0.07	  	177	12.73	  	1	0.07	  	0	0	  	864	62.16	  	0	0	  	3	0.22	  	24	1.73	  	33	2.37	  	270	19.42	  	13	0.94	  	0	0	  	0	0	  	1390	98.51	  	21	1.49	  	1411	1.81
Joslin		                                     	17	1.04	  	8	0.49	  	252	15.36	  	0	0	  	2	0.12	  	769	46.86	  	2	0.12	  	5	0.3	  	60	3.66	  	67	4.08	  	454	27.67	  	3	0.18	  	1	0.06	  	1	0.06	  	1641	96.76	  	55	3.24	  	1696	2.17
Keswick		                                    	4	0.59	  	3	0.45	  	85	12.63	  	2	0.3	  	1	0.15	  	238	35.36	  	1	0.15	  	6	0.89	  	22	3.27	  	52	7.73	  	249	37	  	3	0.45	  	5	0.74	  	2	0.3	  	673	98.1	  	13	1.9	  	686	0.88
Kilburn		                                    	12	0.72	  	11	0.66	  	126	7.55	  	4	0.24	  	2	0.12	  	283	16.97	  	2	0.12	  	5	0.3	  	35	2.1	  	200	11.99	  	978	58.63	  	6	0.36	  	1	0.06	  	3	0.18	  	1668	94.67	  	94	5.33	  	1762	2.25
Lower North Adelaide		                       	2	0.25	  	1	0.13	  	129	16.39	  	1	0.13	  	0	0	  	409	51.97	  	0	0	  	4	0.51	  	23	2.92	  	24	3.05	  	190	24.14	  	2	0.25	  	2	0.25	  	0	0	  	787	98.75	  	10	1.25	  	797	1.02
Malvern		                                    	4	0.31	  	5	0.39	  	204	15.8	  	0	0	  	4	0.31	  	735	56.93	  	2	0.15	  	1	0.08	  	26	2.01	  	36	2.79	  	260	20.14	  	12	0.93	  	2	0.15	  	0	0	  	1291	98.7	  	17	1.3	  	1308	1.67
Marden West (Adelaide)		                     	6	2.43	  	1	0.4	  	49	19.84	  	0	0	  	0	0	  	80	32.39	  	0	0	  	0	0	  	9	3.64	  	15	6.07	  	86	34.82	  	1	0.4	  	0	0	  	0	0	  	247	97.24	  	7	2.76	  	254	0.33
Myrtle Bank		                                	13	0.81	  	7	0.43	  	246	15.24	  	2	0.12	  	3	0.19	  	939	58.18	  	0	0	  	5	0.31	  	31	1.92	  	61	3.78	  	299	18.53	  	4	0.25	  	4	0.25	  	0	0	  	1614	98	  	33	2	  	1647	2.11
Nailsworth		                                 	9	0.7	  	7	0.55	  	214	16.67	  	0	0	  	1	0.08	  	502	39.1	  	1	0.08	  	4	0.31	  	33	2.57	  	83	6.46	  	424	33.02	  	3	0.23	  	1	0.08	  	2	0.16	  	1284	96.83	  	42	3.17	  	1326	1.7
North Adelaide		                             	4	0.18	  	12	0.55	  	395	18.17	  	3	0.14	  	26	1.2	  	1118	51.43	  	0	0	  	12	0.55	  	67	3.08	  	64	2.94	  	441	20.29	  	19	0.87	  	8	0.37	  	5	0.23	  	2174	98.5	  	33	1.5	  	2207	2.82
Northfield South (Adelaide)		                	8	0.65	  	6	0.49	  	133	10.75	  	2	0.16	  	4	0.32	  	423	34.2	  	2	0.16	  	8	0.65	  	20	1.62	  	142	11.48	  	486	39.29	  	0	0	  	0	0	  	3	0.24	  	1237	94.86	  	67	5.14	  	1304	1.67
Parkside East (Adelaide)		                   	7	0.38	  	10	0.55	  	292	16.01	  	1	0.05	  	3	0.16	  	784	42.98	  	2	0.11	  	9	0.49	  	69	3.78	  	56	3.07	  	587	32.18	  	4	0.22	  	0	0	  	0	0	  	1824	96.76	  	61	3.24	  	1885	2.41
Prospect		                                   	11	0.79	  	4	0.29	  	210	15.09	  	0	0	  	4	0.29	  	516	37.07	  	1	0.07	  	11	0.79	  	48	3.45	  	87	6.25	  	494	35.49	  	5	0.36	  	1	0.07	  	0	0	  	1392	97.27	  	39	2.73	  	1431	1.83
Prospect Estate		                            	5	0.61	  	1	0.12	  	99	12.16	  	0	0	  	0	0	  	230	28.26	  	0	0	  	7	0.86	  	16	1.97	  	90	11.06	  	361	44.35	  	3	0.37	  	1	0.12	  	1	0.12	  	814	95.54	  	38	4.46	  	852	1.09
Prospect North		                             	20	1.63	  	8	0.65	  	196	15.96	  	0	0	  	0	0	  	381	31.03	  	1	0.08	  	5	0.41	  	32	2.61	  	80	6.51	  	498	40.55	  	0	0	  	6	0.49	  	1	0.08	  	1228	96.39	  	46	3.61	  	1274	1.63
