Senate -  1998 Election: Tasmania																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Bass (65933)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alanvale		                                   	24	0.85	  	102	3.62	  	820	29.13	  	4	0.14	  	38	1.35	  	13	0.46	  	81	2.88	  	188	6.68	  	1448	51.44	  	1	0.04	  	88	3.13	  	6	0.21	  	2	0.07	  	2815	95.72	  	126	4.28	  	2941	4.64
Blessington Upper		                          	0	0	  	4	4.94	  	26	32.1	  	0	0	  	6	7.41	  	0	0	  	5	6.17	  	7	8.64	  	28	34.57	  	0	0	  	5	6.17	  	0	0	  	0	0	  	81	95.29	  	4	4.71	  	85	0.13
Branxholm		                                  	0	0	  	10	4.24	  	86	36.44	  	1	0.42	  	7	2.97	  	1	0.42	  	5	2.12	  	16	6.78	  	101	42.8	  	0	0	  	9	3.81	  	0	0	  	0	0	  	236	94.02	  	15	5.98	  	251	0.4
Bridport		                                   	5	0.44	  	26	2.3	  	482	42.73	  	2	0.18	  	20	1.77	  	1	0.09	  	47	4.17	  	76	6.74	  	361	32	  	2	0.18	  	100	8.87	  	3	0.27	  	3	0.27	  	1128	95.19	  	57	4.81	  	1185	1.87
Cape Barren Island		                         	1	3.33	  	0	0	  	5	16.67	  	0	0	  	1	3.33	  	0	0	  	1	3.33	  	0	0	  	22	73.33	  	0	0	  	0	0	  	0	0	  	0	0	  	30	90.91	  	3	9.09	  	33	0.05
Cosgrove Park		                              	2	0.68	  	10	3.4	  	89	30.27	  	1	0.34	  	9	3.06	  	0	0	  	10	3.4	  	28	9.52	  	135	45.92	  	0	0	  	9	3.06	  	1	0.34	  	0	0	  	294	97.67	  	7	2.33	  	301	0.47
Derby		                                      	2	1.27	  	11	7.01	  	59	37.58	  	1	0.64	  	3	1.91	  	1	0.64	  	5	3.18	  	8	5.1	  	61	38.85	  	0	0	  	6	3.82	  	0	0	  	0	0	  	157	96.91	  	5	3.09	  	162	0.26
Dilston		                                    	5	0.75	  	56	8.38	  	285	42.66	  	4	0.6	  	16	2.4	  	1	0.15	  	33	4.94	  	58	8.68	  	189	28.29	  	0	0	  	21	3.14	  	0	0	  	0	0	  	668	98.09	  	13	1.91	  	681	1.07
Elphin		                                     	4	0.67	  	34	5.73	  	231	38.95	  	0	0	  	12	2.02	  	3	0.51	  	24	4.05	  	44	7.42	  	219	36.93	  	0	0	  	20	3.37	  	1	0.17	  	1	0.17	  	593	95.65	  	27	4.35	  	620	0.98
Emita		                                      	0	0	  	8	10.81	  	41	55.41	  	0	0	  	2	2.7	  	0	0	  	5	6.76	  	3	4.05	  	9	12.16	  	0	0	  	6	8.11	  	0	0	  	0	0	  	74	98.67	  	1	1.33	  	75	0.12
Franklin Village		                           	1	0.42	  	6	2.5	  	105	43.75	  	0	0	  	5	2.08	  	1	0.42	  	12	5	  	26	10.83	  	71	29.58	  	0	0	  	13	5.42	  	0	0	  	0	0	  	240	99.17	  	2	0.83	  	242	0.38
General Hospital		                           	2	0.45	  	25	5.61	  	133	29.82	  	1	0.22	  	4	0.9	  	3	0.67	  	23	5.16	  	32	7.17	  	209	46.86	  	0	0	  	10	2.24	  	2	0.45	  	2	0.45	  	446	98.24	  	8	1.76	  	454	0.72
George Town		                                	26	1.17	  	66	2.96	  	521	23.41	  	2	0.09	  	24	1.08	  	6	0.27	  	44	1.98	  	105	4.72	  	1305	58.63	  	2	0.09	  	112	5.03	  	10	0.45	  	3	0.13	  	2226	96.87	  	72	3.13	  	2298	3.62
George Town South		                          	7	0.83	  	22	2.59	  	218	25.71	  	3	0.35	  	6	0.71	  	1	0.12	  	16	1.89	  	56	6.6	  	470	55.42	  	0	0	  	44	5.19	  	5	0.59	  	0	0	  	848	96.69	  	29	3.31	  	877	1.38
Gladstone		                                  	0	0	  	5	4.24	  	38	32.2	  	0	0	  	17	14.41	  	0	0	  	0	0	  	4	3.39	  	46	38.98	  	0	0	  	7	5.93	  	1	0.85	  	0	0	  	118	92.91	  	9	7.09	  	127	0.2
Hillwood		                                   	1	0.27	  	21	5.6	  	138	36.8	  	0	0	  	8	2.13	  	1	0.27	  	16	4.27	  	25	6.67	  	145	38.67	  	0	0	  	18	4.8	  	0	0	  	2	0.53	  	375	98.68	  	5	1.32	  	380	0.6
Inveresk		                                   	18	1.71	  	53	5.03	  	206	19.54	  	3	0.28	  	33	3.13	  	1	0.09	  	29	2.75	  	62	5.88	  	601	57.02	  	0	0	  	43	4.08	  	5	0.47	  	0	0	  	1054	93.94	  	68	6.06	  	1122	1.77
Invermay		                                   	9	0.68	  	78	5.9	  	366	27.69	  	1	0.08	  	18	1.36	  	5	0.38	  	40	3.03	  	121	9.15	  	620	46.9	  	2	0.15	  	59	4.46	  	2	0.15	  	1	0.08	  	1322	96.99	  	41	3.01	  	1363	2.15
Karoola		                                    	2	0.71	  	11	3.9	  	106	37.59	  	0	0	  	8	2.84	  	0	0	  	16	5.67	  	12	4.26	  	107	37.94	  	0	0	  	17	6.03	  	2	0.71	  	1	0.35	  	282	97.24	  	8	2.76	  	290	0.46
Kings Meadows		                              	15	0.89	  	48	2.86	  	617	36.79	  	5	0.3	  	23	1.37	  	8	0.48	  	63	3.76	  	115	6.86	  	726	43.29	  	3	0.18	  	47	2.8	  	4	0.24	  	3	0.18	  	1677	95.34	  	82	4.66	  	1759	2.77
Lady Barron		                                	0	0	  	9	5.96	  	64	42.38	  	1	0.66	  	1	0.66	  	0	0	  	7	4.64	  	4	2.65	  	41	27.15	  	0	0	  	22	14.57	  	2	1.32	  	0	0	  	151	99.34	  	1	0.66	  	152	0.24
Launceston		                                 	2	0.26	  	91	11.77	  	259	33.51	  	1	0.13	  	7	0.91	  	4	0.52	  	47	6.08	  	62	8.02	  	274	35.45	  	0	0	  	18	2.33	  	4	0.52	  	4	0.52	  	773	98.85	  	9	1.15	  	782	1.23
Launceston Central		                         	3	0.29	  	149	14.27	  	361	34.58	  	4	0.38	  	3	0.29	  	2	0.19	  	66	6.32	  	86	8.24	  	346	33.14	  	1	0.1	  	18	1.72	  	5	0.48	  	0	0	  	1044	98.03	  	21	1.97	  	1065	1.68
Launceston East		                            	8	0.57	  	146	10.41	  	640	45.62	  	4	0.29	  	11	0.78	  	5	0.36	  	79	5.63	  	77	5.49	  	401	28.58	  	0	0	  	27	1.92	  	5	0.36	  	0	0	  	1403	97.84	  	31	2.16	  	1434	2.26
Launceston South		                           	14	0.76	  	108	5.83	  	653	35.24	  	4	0.22	  	26	1.4	  	9	0.49	  	52	2.81	  	159	8.58	  	734	39.61	  	5	0.27	  	81	4.37	  	5	0.27	  	3	0.16	  	1853	96.11	  	75	3.89	  	1928	3.04
Launceston West		                            	4	0.22	  	189	10.36	  	690	37.81	  	8	0.44	  	17	0.93	  	11	0.6	  	110	6.03	  	144	7.89	  	611	33.48	  	0	0	  	37	2.03	  	4	0.22	  	0	0	  	1825	97.33	  	50	2.67	  	1875	2.96
Lebrina		                                    	2	0.79	  	18	7.09	  	93	36.61	  	1	0.39	  	12	4.72	  	0	0	  	8	3.15	  	7	2.76	  	91	35.83	  	1	0.39	  	20	7.87	  	1	0.39	  	0	0	  	254	96.21	  	10	3.79	  	264	0.42
Legana (Bass)		                              	11	0.89	  	66	5.31	  	592	47.67	  	2	0.16	  	17	1.37	  	13	1.05	  	53	4.27	  	96	7.73	  	329	26.49	  	1	0.08	  	59	4.75	  	2	0.16	  	1	0.08	  	1242	97.95	  	26	2.05	  	1268	2
Lilydale		                                   	8	1.23	  	83	12.73	  	169	25.92	  	1	0.15	  	41	6.29	  	1	0.15	  	35	5.37	  	37	5.67	  	220	33.74	  	0	0	  	56	8.59	  	1	0.15	  	0	0	  	652	95.04	  	34	4.96	  	686	1.08
Mowbray		                                    	12	0.79	  	44	2.91	  	418	27.65	  	5	0.33	  	17	1.12	  	4	0.26	  	31	2.05	  	98	6.48	  	810	53.57	  	1	0.07	  	63	4.17	  	5	0.33	  	4	0.26	  	1512	95.27	  	75	4.73	  	1587	2.5
Myrtle Park		                                	0	0	  	10	13.89	  	19	26.39	  	0	0	  	2	2.78	  	1	1.39	  	4	5.56	  	4	5.56	  	29	40.28	  	0	0	  	3	4.17	  	0	0	  	0	0	  	72	98.63	  	1	1.37	  	73	0.12
