Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bayswater		                                  	4	0.19	  	1	0.05	  	235	11.22	  	24	1.15	  	37	1.77	  	2	0.1	  	1	0.05	  	3	0.14	  	6	0.29	  	22	1.05	  	835	39.86	  	782	37.33	  	3	0.14	  	16	0.76	  	1	0.05	  	103	4.92	  	0	0	  	16	0.76	  	1	0.05	  	1	0.05	  	2	0.1	  	2095	94.71	  	117	5.29	  	2212	2.69
Bayswater South		                            	5	0.36	  	1	0.07	  	148	10.7	  	13	0.94	  	24	1.74	  	0	0	  	5	0.36	  	5	0.36	  	3	0.22	  	21	1.52	  	527	38.11	  	555	40.13	  	2	0.14	  	6	0.43	  	7	0.51	  	49	3.54	  	0	0	  	6	0.43	  	4	0.29	  	1	0.07	  	1	0.07	  	1383	96.71	  	47	3.29	  	1430	1.74
Bayswater West		                             	7	0.35	  	1	0.05	  	178	8.88	  	22	1.1	  	41	2.04	  	0	0	  	1	0.05	  	10	0.5	  	4	0.2	  	18	0.9	  	741	36.96	  	878	43.79	  	0	0	  	9	0.45	  	5	0.25	  	71	3.54	  	2	0.1	  	14	0.7	  	3	0.15	  	0	0	  	0	0	  	2005	96.81	  	66	3.19	  	2071	2.52
Blackwood Park		                             	3	0.24	  	0	0	  	151	12.31	  	8	0.65	  	17	1.39	  	4	0.33	  	0	0	  	4	0.33	  	4	0.33	  	20	1.63	  	483	39.36	  	470	38.3	  	2	0.16	  	6	0.49	  	2	0.16	  	45	3.67	  	3	0.24	  	3	0.24	  	0	0	  	0	0	  	2	0.16	  	1227	95.56	  	57	4.44	  	1284	1.56
Charlesworth Park		                          	12	0.38	  	1	0.03	  	397	12.63	  	50	1.59	  	34	1.08	  	1	0.03	  	1	0.03	  	4	0.13	  	4	0.13	  	28	0.89	  	975	31.01	  	1543	49.08	  	3	0.1	  	9	0.29	  	1	0.03	  	72	2.29	  	2	0.06	  	7	0.22	  	0	0	  	0	0	  	0	0	  	3144	96.56	  	112	3.44	  	3256	3.96
Eastmont		                                   	3	0.21	  	0	0	  	197	13.69	  	9	0.63	  	15	1.04	  	1	0.07	  	0	0	  	9	0.63	  	2	0.14	  	16	1.11	  	504	35.02	  	639	44.41	  	0	0	  	6	0.42	  	0	0	  	30	2.08	  	1	0.07	  	6	0.42	  	0	0	  	0	0	  	1	0.07	  	1439	98.02	  	29	1.98	  	1468	1.79
Flamingo		                                   	1	0.05	  	0	0	  	228	11.8	  	40	2.07	  	15	0.78	  	0	0	  	2	0.1	  	2	0.1	  	2	0.1	  	5	0.26	  	634	32.8	  	950	49.15	  	0	0	  	13	0.67	  	1	0.05	  	34	1.76	  	0	0	  	6	0.31	  	0	0	  	0	0	  	0	0	  	1933	96.46	  	71	3.54	  	2004	2.44
Heany Park		                                 	5	0.19	  	0	0	  	210	7.99	  	15	0.57	  	35	1.33	  	0	0	  	0	0	  	8	0.3	  	7	0.27	  	24	0.91	  	916	34.84	  	1308	49.75	  	6	0.23	  	9	0.34	  	3	0.11	  	61	2.32	  	1	0.04	  	20	0.76	  	1	0.04	  	0	0	  	0	0	  	2629	96.83	  	86	3.17	  	2715	3.3
Heathmont East		                             	2	0.16	  	0	0	  	187	14.72	  	2	0.16	  	31	2.44	  	0	0	  	0	0	  	8	0.63	  	4	0.31	  	12	0.94	  	381	30	  	583	45.91	  	1	0.08	  	15	1.18	  	0	0	  	34	2.68	  	1	0.08	  	8	0.63	  	1	0.08	  	0	0	  	0	0	  	1270	97.77	  	29	2.23	  	1299	1.58
Heathmont High		                             	2	0.12	  	0	0	  	242	14.88	  	3	0.18	  	31	1.91	  	2	0.12	  	1	0.06	  	4	0.25	  	2	0.12	  	12	0.74	  	487	29.95	  	776	47.72	  	1	0.06	  	17	1.05	  	0	0	  	42	2.58	  	1	0.06	  	2	0.12	  	1	0.06	  	0	0	  	0	0	  	1626	97.25	  	46	2.75	  	1672	2.03
