Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Baldivis		                                   	142	12.37	  	0	0	  	3	0.26	  	2	0.17	  	479	41.72	  	0	0	  	0	0	  	4	0.35	  	1	0.09	  	378	32.93	  	2	0.17	  	7	0.61	  	64	5.57	  	2	0.17	  	1	0.09	  	63	5.49	  	0	0	  	0	0	  	1148	97.7	  	27	2.3	  	1175	1.58
Broome (Brand)		                             	7	20	  	0	0	  	1	2.86	  	0	0	  	8	22.86	  	0	0	  	0	0	  	1	2.86	  	0	0	  	13	37.14	  	0	0	  	0	0	  	4	11.43	  	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	35	97.22	  	1	2.78	  	36	0.05
Calista		                                    	321	12.31	  	4	0.15	  	4	0.15	  	4	0.15	  	454	17.41	  	2	0.08	  	3	0.12	  	6	0.23	  	3	0.12	  	1569	60.18	  	10	0.38	  	18	0.69	  	97	3.72	  	4	0.15	  	2	0.08	  	102	3.91	  	3	0.12	  	1	0.04	  	2607	97.9	  	56	2.1	  	2663	3.58
Carnarvon (Brand)		                          	4	18.18	  	0	0	  	0	0	  	0	0	  	8	36.36	  	0	0	  	0	0	  	0	0	  	0	0	  	8	36.36	  	0	0	  	1	4.55	  	0	0	  	0	0	  	0	0	  	1	4.55	  	0	0	  	0	0	  	22	95.65	  	1	4.35	  	23	0.03
Coodanup		                                   	293	16.88	  	9	0.52	  	4	0.23	  	2	0.12	  	406	23.39	  	2	0.12	  	1	0.06	  	1	0.06	  	3	0.17	  	876	50.46	  	2	0.12	  	11	0.63	  	58	3.34	  	1	0.06	  	2	0.12	  	65	3.74	  	0	0	  	0	0	  	1736	98.13	  	33	1.87	  	1769	2.38
Cooloongup		                                 	432	11.12	  	4	0.1	  	13	0.33	  	6	0.15	  	795	20.46	  	0	0	  	2	0.05	  	5	0.13	  	5	0.13	  	2298	59.15	  	14	0.36	  	16	0.41	  	119	3.06	  	8	0.21	  	1	0.03	  	161	4.14	  	2	0.05	  	4	0.1	  	3885	97.69	  	92	2.31	  	3977	5.35
Exmouth (Brand)		                            	11	17.74	  	1	1.61	  	1	1.61	  	0	0	  	30	48.39	  	0	0	  	0	0	  	0	0	  	0	0	  	15	24.19	  	0	0	  	0	0	  	2	3.23	  	1	1.61	  	0	0	  	1	1.61	  	0	0	  	0	0	  	62	98.41	  	1	1.59	  	63	0.08
Golden Bay		                                 	110	14.67	  	3	0.4	  	1	0.13	  	4	0.53	  	236	31.47	  	0	0	  	0	0	  	2	0.27	  	0	0	  	291	38.8	  	5	0.67	  	11	1.47	  	42	5.6	  	3	0.4	  	0	0	  	42	5.6	  	0	0	  	0	0	  	750	96.9	  	24	3.1	  	774	1.04
Greenfields		                                	328	15.32	  	5	0.23	  	4	0.19	  	1	0.05	  	605	28.26	  	1	0.05	  	1	0.05	  	4	0.19	  	4	0.19	  	1017	47.5	  	6	0.28	  	16	0.75	  	67	3.13	  	1	0.05	  	0	0	  	79	3.69	  	1	0.05	  	1	0.05	  	2141	97.85	  	47	2.15	  	2188	2.94
