House of Representatives - 2001 Election: Australian Capital Territory																
First Preference Votes and TCP																
By Candidate by Vote Type by Division																
																
Canberra (108959)																
																
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total			
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		
	"COX, Barry"	HAN	2494	3.12	93	3.48	24	4.29	460	3.16	108	4.06	3179	3.17		
	"BARNIER, Belinda"	LP	27071	33.89	809	30.25	167	29.82	5023	34.53	1078	40.51	34148	34.04		
#	"ELLIS, Annette"	ALP	37418	46.84	1108	41.44	268	47.86	6739	46.33	1099	41.30	46632	46.48		
	"MILLER, John"	CTA	1643	2.06	64	2.39	12	2.14	256	1.76	28	1.05	2003	2.00		
	"KOOREY, Stephanie"	GRN	4922	6.16	295	11.03	33	5.89	888	6.10	130	4.89	6268	6.25		
	"MATTHEWS, Aaron"	DEM	6338	7.93	305	11.41	56	10.00	1181	8.12	218	8.19	8098	8.07		
		FORMAL	79886	96.40	2674	95.53	560	94.75	14547	97.57	2661	98.59	100328	96.59		
		INFORMAL	2985	3.60	125	4.47	31	5.25	363	2.43	38	1.41	3542	3.41		
		TOTAL	82871	79.78	2799	2.69	591	0.57	14910	14.35	2699	2.60	103870	95.33		
Two Candidate Preferred																
	"BARNIER, Belinda"	LP	32245	40.36	1026	38.37	205	36.61	5985	41.14	1235	46.41	40696	40.56		
#	"ELLIS, Annette"	ALP	47641	59.64	1648	61.63	355	63.39	8562	58.86	1426	53.59	59632	59.44		
	EXHAUSTED		0		0		0		0		0		0			
																
																
																
Fraser (112225)																
																
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total			
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%		
	"DUNN, Martin"	LP	24675	30.44	697	29.60	176	26.04	4766	31.85	1189	36.22	31503	30.78		
	"O'CALLAGHAN, Ben"	GRN	6305	7.78	261	11.08	56	8.28	1253	8.37	192	5.85	8067	7.88		
	"KEMP, Paul"	HAN	1878	2.32	58	2.46	19	2.81	341	2.28	101	3.08	2397	2.34		
#	"McMULLAN, Bob"	ALP	38713	47.76	1021	43.35	332	49.11	7010	46.85	1507	45.90	48583	47.47		
	"WIMBORNE, Fleur"	DEM	6422	7.92	228	9.68	63	9.32	1248	8.34	207	6.31	8168	7.98		
	"VASSILOPOULOS, James"		1184	1.46	28	1.19	17	2.51	113	0.76	27	0.82	1369	1.34		
	"O'SULLIVAN, Caroline"	CTA	1884	2.32	62	2.63	13	1.92	232	1.55	60	1.83	2251	2.20		
		FORMAL	81061	96.01	2355	95.50	676	96.57	14963	98.03	3283	98.83	102338	96.38		
		INFORMAL	3369	3.99	111	4.50	24	3.43	301	1.97	39	1.17	3844	3.62		
		TOTAL	84430	79.51	2466	2.32	700	0.66	15264	14.38	3322	3.13	106182	94.62		
Two Candidate Preferred																
	"DUNN, Martin"	LP	29964	36.96	911	38.68	219	32.40	5693	38.05	1397	42.55	38184	37.31		
#	"McMULLAN, Bob"	ALP	51097	63.04	1444	61.32	457	67.60	9270	61.95	1886	57.45	64154	62.69		
	EXHAUSTED		0		0		0		0		0		0			
																
																
