House of Representatives - 2001 Election: Australian Capital Territory																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				

Canberra (108959)																																				
		COX			BARNIER			# ELLIS			MILLER			KOOREY			MATTHEWS			FORMAL			INFORMAL			TOTAL										
		Barry			Belinda			Annette			John			Stephanie			Aaron												Two Candidate Preferred							
		HAN			LP			ALP			CTA			GRN			DEM												 BARNIER LP			# ELLIS ALP				
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Bonython		63	3.34		645	34.15		904	47.86		31	1.64		65	3.44		181	9.58		1889	97.02		58	2.98		1947	1.87		784	41.50		1105	58.50			
Calwell		93	3.21		1051	36.29		1394	48.14		40	1.38		105	3.63		213	7.35		2896	95.93		123	4.07		3019	2.91		1211	41.82		1685	58.18			
Canberra Hospital		14	1.49		319	34.01		413	44.03		21	2.24		86	9.17		85	9.06		938	95.33		46	4.67		984	0.95		377	40.19		561	59.81			
Chapman		55	2.23		865	35.11		1081	43.87		51	2.07		200	8.12		212	8.60		2464	97.55		62	2.45		2526	2.43		1023	41.52		1441	58.48			
Chifley		42	2.87		415	28.37		740	50.58		22	1.50		126	8.61		118	8.07		1463	96.70		50	3.30		1513	1.46		503	34.38		960	65.62			
Chisholm		67	3.53		648	34.14		927	48.84		36	1.90		74	3.90		146	7.69		1898	94.62		108	5.38		2006	1.93		753	39.67		1145	60.33			
Conder		143	5.12		877	31.39		1408	50.39		44	1.57		121	4.33		201	7.19		2794	95.78		123	4.22		2917	2.81		1077	38.55		1717	61.45			
Curtin		101	3.33		948	31.29		1386	45.74		47	1.55		294	9.70		254	8.38		3030	97.18		88	2.82		3118	3.00		1136	37.49		1894	62.51
Deakin		22	1.50		704	48.09		492	33.61		14	0.96		141	9.63		91	6.22		1464	96.95		46	3.05		1510	1.45		779	53.21		685	46.79
Duffy		49	2.43		553	27.38		991	49.06		43	2.13		195	9.65		189	9.36		2020	96.47		74	3.53		2094	2.02		687	34.01		1333	65.99
Fadden		44	1.95		937	41.44		977	43.21		31	1.37		92	4.07		180	7.96		2261	97.41		60	2.59		2321	2.23		1054	46.62		1207	53.38
Farrer		54	1.94		1141	41.03		1170	42.07		42	1.51		176	6.33		198	7.12		2781	96.83		91	3.17		2872	2.76		1290	46.39		1491	53.61
Gilmore		104	4.60		777	34.37		1049	46.40		43	1.90		93	4.11		195	8.62		2261	95.00		119	5.00		2380	2.29		949	41.97		1312	58.03
Gordon		143	3.76		1359	35.74		1772	46.61		86	2.26		150	3.95		292	7.68		3802	96.06		156	3.94		3958	3.81		1648	43.35		2154	56.65
Gowrie		51	2.66		675	35.21		930	48.51		41	2.14		77	4.02		143	7.46		1917	96.14		77	3.86		1994	1.92		802	41.84		1115	58.16
Holder		45	2.81		472	29.43		788	49.13		38	2.37		121	7.54		140	8.73		1604	97.39		43	2.61		1647	1.59		577	35.97		1027	64.03
Hughes		64	2.15		1037	34.88		1315	44.23		48	1.61		288	9.69		221	7.43		2973	97.13		88	2.87		3061	2.95		1218	40.97		1755	59.03
Isabella Plains		104	4.07		862	33.76		1220	47.79		71	2.78		85	3.33		211	8.26		2553	95.98		107	4.02		2660	2.56		1051	41.17		1502	58.83
Kambah East		63	3.19		614	31.04		982	49.65		52	2.63		90	4.55		177	8.95		1978	96.02		82	3.98		2060	1.98		749	37.87		1229	62.13
Kambah North		48	2.91		484	29.32		817	49.49		44	2.67		102	6.18		156	9.45		1651	97.40		44	2.60		1695	1.63		600	36.34		1051	63.66
Kambah South		44	2.69		475	29.00		843	51.47		58	3.54		96	5.86		122	7.45		1638	96.35		62	3.65		1700	1.64		585	35.71		1053	64.29
Kambah West		112	3.21		1119	32.09		1682	48.24		101	2.90		214	6.14		259	7.43		3487	95.88		150	4.12		3637	3.50		1343	38.51		2144	61.49
Lyons		47	3.31		373	26.25		711	50.04		23	1.62		140	9.85		127	8.94		1421	97.20		41	2.80		1462	1.41		455	32.02		966	67.98
Mawson		78	2.69		1065	36.76		1282	44.25		32	1.10		209	7.21		231	7.97		2897	95.90		124	4.10		3021	2.91		1224	42.25		1673	57.75			
Monash		106	3.51		1004	33.27		1505	49.87		68	2.25		127	4.21		208	6.89		3018	96.08		123	3.92		3141	3.02		1189	39.40		1829	60.60			
Oaks Estate		21	12.35		47	27.65		74	43.53		5	2.94		13	7.65		10	5.88		170	96.59		6	3.41		176	0.17		67	39.41		103	60.59			
Pearce		87	3.60		846	35.00		1081	44.72		45	1.86		157	6.50		201	8.32		2417	96.64		84	3.36		2501	2.41		1010	41.79		1407	58.21			
Red Hill		28	1.51		785	42.34		767	41.37		21	1.13		144	7.77		109	5.88		1854	97.17		54	2.83		1908	1.84		881	47.52		973	52.48			
Richardson		82	4.61		605	34.01		869	48.85		33	1.85		70	3.93		120	6.75		1779	95.85		77	4.15		1856	1.79		723	40.64		1056	59.36			
Rivett		65	3.47		576	30.72		894	47.68		65	3.47		105	5.60		170	9.07		1875	97.05		57	2.95		1932	1.86		713	38.03		1162	61.97			
Tharwa		5	3.70		50	37.04		41	30.37		4	2.96		18	13.33		17	12.59		135	97.12		4	2.88		139	0.13		62	45.93		73	54.07			
Theodore		48	3.11		489	31.73		763	49.51		36	2.34		67	4.35		138	8.96		1541	95.95		65	4.05		1606	1.55		600	38.94		941	61.06			
Wanniassa		104	3.72		843	30.19		1385	49.61		81	2.90		134	4.80		245	8.78		2792	95.68		126	4.32		2918	2.81		1039	37.21		1753	62.79			
Wanniassa Hills		91	3.35		869	31.98		1276	46.96		102	3.75		163	6.00		216	7.95		2717	96.55		97	3.45		2814	2.71		1108	40.78		1609	59.22			
Waramanga		104	3.22		986	30.51		1572	48.64		62	1.92		232	7.18		276	8.54		3232	96.10		131	3.90		3363	3.24		1189	36.79		2043	63.21			
Weston		53	2.85		602	32.37		865	46.51		35	1.88		166	8.92		139	7.47		1860	96.98		58	3.02		1918	1.85		723	38.87		1137	61.13			
Yarralumla		32	1.83		571	32.65		827	47.28		22	1.26		172	9.83		125	7.15		1749	97.17		51	2.83		1800	1.73		661	37.79		1088	62.21			
Special Hospitals		18	2.70		383	57.42		225	33.73		5	0.75		14	2.10		22	3.30		667	95.70		30	4.30		697	0.67		405	60.72		262	39.28			
Total Ordinary		2494	3.12		27071	33.89		37418	46.84		1643	2.06		4922	6.16		6338	7.93		79886	96.40		2985	3.60		82871	79.78		32245	40.36		47641	59.64			
ABSENT		93	3.48		809	30.25		1108	41.44		64	2.39		295	11.03		305	11.41		2674	95.53		125	4.47		2799	2.69		1026	38.37		1648	61.63			
POSTAL		108	4.06		1078	40.51		1099	41.30		28	1.05		130	4.89		218	8.19		2661	98.59		38	1.41		2699	2.60		1235	46.41		1426	53.59			
PRE_POLL		460	3.16		5023	34.53		6739	46.33		256	1.76		888	6.10		1181	8.12		14547	97.57		363	2.43		14910	14.35		5985	41.14		8562	58.86			
PROVISIONAL		24	4.29		167	29.82		268	47.86		12	2.14		33	5.89		56	10.00		560	94.75		31	5.25		591	0.57		205	36.61		355	63.39			
Division Summary		3179	3.17		34148	34.04		46632	46.48		2003	2.00		6268	6.25		8098	8.07		100328	96.59		3542	3.41		103870	95.33		40696	40.56		59632	59.44			
																																				
																																				
																																				
																																				
																																				
