House of Representatives - 2001 Election: Australian Capital Territory																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							
																																							

Fraser (112225)																																							
																																							
		DUNN			O'CALLAGHAN			KEMP			# MCMULLAN			WIMBORNE			VASSILOPOULOS			O'SULLIVAN			FORMAL			INFORMAL			TOTAL										
		Martin			Ben			Paul			Bob			Fleur			James			Caroline												Two Candidate Preferred							
		LP			GRN			HAN			ALP			DEM						CTA												 DUNN LP			# MCMULLAN ALP				
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Ainslie		372	22.61		201	12.22		35	2.13		865	52.58		124	7.54		31	1.88		17	1.03		1645	94.49		96	5.51		1741	1.64		457	27.78		1188	72.22			
Ainslie North		459	21.49		308	14.42		54	2.53		1074	50.28		148	6.93		45	2.11		48	2.25		2136	96.09		87	3.91		2223	2.09		586	27.43		1550	72.57			
Aranda		681	24.34		347	12.40		52	1.86		1388	49.61		232	8.29		45	1.61		53	1.89		2798	96.98		87	3.02		2885	2.72		841	30.06		1957	69.94			
Baker Gardens		156	21.46		100	13.76		13	1.79		407	55.98		37	5.09		11	1.51		3	0.41		727	96.29		28	3.71		755	0.71		181	24.90		546	75.10			
Barton		486	34.57		133	9.46		23	1.64		618	43.95		115	8.18		18	1.28		13	0.92		1406	97.37		38	2.63		1444	1.36		568	40.40		838	59.60			
Belconnen		655	26.97		204	8.40		42	1.73		1139	46.89		272	11.20		52	2.14		65	2.68		2429	96.81		80	3.19		2509	2.36		874	35.98		1555	64.02
Bruce		243	37.27		37	5.67		9	1.38		286	43.87		41	6.29		7	1.07		29	4.45		652	97.46		17	2.54		669	0.63		277	42.48		375	57.52
Campbell		979	42.73		205	8.95		25	1.09		871	38.02		147	6.42		26	1.13		38	1.66		2291	97.70		54	2.30		2345	2.21		1103	48.14		1188	51.86
Charnwood		995	30.61		145	4.46		112	3.45		1619	49.80		240	7.38		37	1.14		103	3.17		3251	95.42		156	4.58		3407	3.21		1233	37.93		2018	62.07
City		301	25.27		187	15.70		12	1.01		487	40.89		149	12.51		30	2.52		25	2.10		1191	96.28		46	3.72		1237	1.16		386	32.41		805	67.59
Dickson		350	23.65		196	13.24		22	1.49		711	48.04		145	9.80		23	1.55		33	2.23		1480	96.48		54	3.52		1534	1.44		437	29.53		1043	70.47
Downer		374	25.49		133	9.07		18	1.23		796	54.26		95	6.48		29	1.98		22	1.50		1467	95.76		65	4.24		1532	1.44		436	29.72		1031	70.28
Evatt		978	30.76		177	5.57		128	4.03		1524	47.94		235	7.39		37	1.16		100	3.15		3179	95.72		142	4.28		3321	3.13		1223	38.47		1956	61.53
Evatt South		485	33.54		75	5.19		21	1.45		687	47.51		121	8.37		20	1.38		37	2.56		1446	96.53		52	3.47		1498	1.41		578	39.97		868	60.03
Florey		639	29.80		102	4.76		46	2.15		1150	53.64		128	5.97		37	1.73		42	1.96		2144	94.45		126	5.55		2270	2.14		771	35.96		1373	64.04
Flynn		510	30.09		92	5.43		41	2.42		859	50.68		129	7.61		32	1.89		32	1.89		1695	96.97		53	3.03		1748	1.65		612	36.11		1083	63.89
Fraser		497	32.98		97	6.44		43	2.85		694	46.05		122	8.10		13	0.86		41	2.72		1507	96.66		52	3.34		1559	1.47		623	41.34		884	58.66
Giralang		630	30.58		114	5.53		68	3.30		987	47.91		169	8.20		22	1.07		70	3.40		2060	94.80		113	5.20		2173	2.05		802	38.93		1258	61.07
Griffith		590	31.74		144	7.75		28	1.51		922	49.60		133	7.15		17	0.91		25	1.34		1859	97.23		53	2.77		1912	1.80		665	35.77		1194	64.23
Gungahlin		657	41.32		56	3.52		37	2.33		641	40.31		150	9.43		14	0.88		35	2.20		1590	97.07		48	2.93		1638	1.54		772	48.55		818	51.45
Hall		152	44.57		33	9.68		8	2.35		115	33.72		21	6.16		4	1.17		8	2.35		341	97.71		8	2.29		349	0.33		180	52.79		161	47.21
Higgins		686	31.69		175	8.08		72	3.33		973	44.94		162	7.48		32	1.48		65	3.00		2165	95.04		113	4.96		2278	2.15		860	39.72		1305	60.28
Holt		689	29.90		117	5.08		83	3.60		1113	48.31		188	8.16		26	1.13		88	3.82		2304	95.56		107	4.44		2411	2.27		877	38.06		1427	61.94
Jervis Bay		48	44.44		8	7.41		4	3.70		43	39.81		3	2.78		0	0.00		2	1.85		108	99.08		1	0.92		109	0.10		56	51.85		52	48.15
Kaleen		886	30.88		153	5.33		79	2.75		1441	50.23		189	6.59		47	1.64		74	2.58		2869	95.38		139	4.62		3008	2.83		1060	36.95		1809	63.05
Kaleen South		507	30.75		104	6.31		49	2.97		778	47.18		132	8.00		22	1.33		57	3.46		1649	95.26		82	4.74		1731	1.63		636	38.57		1013	61.43
Latham		669	34.70		91	4.72		55	2.85		901	46.73		148	7.68		15	0.78		49	2.54		1928	96.21		76	3.79		2004	1.89		805	41.75		1123	58.25
Lyneham		792	21.88		535	14.78		66	1.82		1784	49.30		279	7.71		110	3.04		53	1.46		3619	95.54		169	4.46		3788	3.57		949	26.22		2670	73.78
Macgregor		513	29.50		103	5.92		58	3.34		841	48.36		152	8.74		21	1.21		51	2.93		1739	96.66		60	3.34		1799	1.69		648	37.26		1091	62.74
Macquarie		437	25.74		185	10.90		51	3.00		803	47.29		157	9.25		21	1.24		44	2.59		1698	95.99		71	4.01		1769	1.67		565	33.27		1133	66.73
Melba		743	32.82		141	6.23		37	1.63		1079	47.66		193	8.52		17	0.75		54	2.39		2264	97.00		70	3.00		2334	2.20		891	39.36		1373	60.64
Narrabundah		451	24.99		124	6.87		45	2.49		1016	56.29		132	7.31		21	1.16		16	0.89		1805	94.40		107	5.60		1912	1.80		548	30.36		1257	69.64
Ngunnawal		992	35.85		120	4.34		55	1.99		1244	44.96		239	8.64		30	1.08		87	3.14		2767	94.86		150	5.14		2917	2.75		1191	43.04		1576	56.96
Ngunnawal South		395	37.51		40	3.80		28	2.66		444	42.17		107	10.16		12	1.14		27	2.56		1053	98.23		19	1.77		1072	1.01		473	44.92		580	55.08
Nicholls		1082	40.48		61	2.28		49	1.83		1177	44.03		219	8.19		31	1.16		54	2.02		2673	96.22		105	3.78		2778	2.62		1243	46.50		1430	53.50
Page		469	29.37		91	5.70		39	2.44		772	48.34		144	9.02		17	1.06		65	4.07		1597	96.15		64	3.85		1661	1.56		595	37.26		1002	62.74
Palmerston		1131	36.61		113	3.66		62	2.01		1450	46.94		234	7.58		37	1.20		62	2.01		3089	94.29		187	5.71		3276	3.09		1339	43.35		1750	56.65
Reid		206	30.56		70	10.39		5	0.74		345	51.19		37	5.49		4	0.59		7	1.04		674	97.40		18	2.60		692	0.65		235	34.87		439	65.13			
Scullin		609	29.85		155	7.60		61	2.99		973	47.70		164	8.04		22	1.08		56	2.75		2040	95.68		92	4.32		2132	2.01		764	37.45		1276	62.55			
Turner		304	16.74		344	18.94		21	1.16		913	50.28		154	8.48		55	3.03		25	1.38		1816	96.39		68	3.61		1884	1.77		391	21.53		1425	78.47			
Watson		730	25.87		328	11.62		80	2.83		1372	48.62		202	7.16		60	2.13		50	1.77		2822	95.95		119	4.05		2941	2.77		910	32.25		1912	67.75			
Weetangera		893	35.79		143	5.73		34	1.36		1128	45.21		216	8.66		33	1.32		48	1.92		2495	97.31		69	2.69		2564	2.41		1046	41.92		1449	58.08			
