Senate - 2001 Election: Australian Capital Territory																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												


Fraser (112225)																																																																																																																																																																																																																																																												

	   		 A Australian Democrats												 B Christian Democratic Party (Fred Nile Group)												 C Australian Greens												 D Australian Labor Party (ACT Branch)												 E Liberal Party of Australia - ACT Division												 F Pauline Hanson's One Nation												Ungrouped																																																																																																																																																																																	
    			TICKET VOTES			SIEVERS			DUNDAS			Group Total			TICKET VOTES			MCCLURE			JANES			Group Total			TICKET VOTES			CORR			FAHEY			Group Total			TICKET VOTES			# LUNDY			POKE			Group Total			TICKET VOTES			# REID			HANLON			Group Total			TICKET VOTES			TARLINTON			TARLINTON			Group Total			ARNOLD			HELM			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																		
    						Wayne			Roslyn Jane									Ian			Tim									Gary			Felicity									Kate			Robin									Margaret			Bill									Don			Ted						James T A			Ken																																																																																																																																																																														
Polling Places			Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																	
Ainslie			122	7.24		56	3.33		29	1.72		207	12.29		7	0.42		6	0.36		0	0.00		13	0.77		115	6.83		85	5.05		30	1.78		230	13.66		603	35.81		164	9.74		7	0.42		774	45.96		327	19.42		48	2.85		8	0.48		383	22.74		29	1.72		3	0.18		0	0.00		32	1.90		0	0.00		45	2.67		45	2.67		1684	96.67		58	3.33		1742	1.64																																																																																																																																																																	
Ainslie North			117	5.40		70	3.23		28	1.29		215	9.93		18	0.83		14	0.65		1	0.05		33	1.52		160	7.39		135	6.23		49	2.26		344	15.88		735	33.93		217	10.02		13	0.60		965	44.55		422	19.48		65	3.00		6	0.28		493	22.76		32	1.48		19	0.88		1	0.05		52	2.40		3	0.14		61	2.82		64	2.95		2166	97.26		61	2.74		2227	2.09																																																																																																																																																																	
Aranda			173	6.14		123	4.37		52	1.85		348	12.35		22	0.78		20	0.71		5	0.18		47	1.67		173	6.14		179	6.35		53	1.88		405	14.38		863	30.64		305	10.83		7	0.25		1175	41.71		585	20.77		105	3.73		8	0.28		698	24.78		28	0.99		10	0.35		0	0.00		38	1.35		5	0.18		101	3.59		106	3.76		2817	97.58		70	2.42		2887	2.71																																																																																																																																																																	
Baker Gardens			30	4.14		12	1.66		12	1.66		54	7.46		3	0.41		0	0.00		0	0.00		3	0.41		48	6.63		58	8.01		15	2.07		121	16.71		246	33.98		96	13.26		4	0.55		346	47.79		133	18.37		30	4.14		1	0.14		164	22.65		7	0.97		6	0.83		0	0.00		13	1.80		0	0.00		23	3.18		23	3.18		724	96.02		30	3.98		754	0.71																																																																																																																																																																	
Barton			112	7.88		39	2.74		15	1.06		166	11.68		2	0.14		5	0.35		2	0.14		9	0.63		74	5.21		58	4.08		18	1.27		150	10.56		390	27.45		129	9.08		6	0.42		525	36.95		423	29.77		70	4.93		16	1.13		509	35.82		13	0.91		7	0.49		0	0.00		20	1.41		2	0.14		40	2.81		42	2.96		1421	98.07		28	1.93		1449	1.36																																																																																																																																																																	
Belconnen			239	9.72		85	3.46		42	1.71		366	14.88		32	1.30		13	0.53		4	0.16		49	1.99		124	5.04		58	2.36		23	0.94		205	8.34		871	35.42		176	7.16		14	0.57		1061	43.15		600	24.40		92	3.74		8	0.33		700	28.47		24	0.98		12	0.49		0	0.00		36	1.46		3	0.12		39	1.59		42	1.71		2459	98.20		45	1.80		2504	2.35																																																																																																																																																															
Bruce			30	4.54		12	1.82		17	2.57		59	8.93		10	1.51		9	1.36		0	0.00		19	2.87		16	2.42		21	3.18		8	1.21		45	6.81		217	32.83		44	6.66		5	0.76		266	40.24		217	32.83		31	4.69		1	0.15		249	37.67		9	1.36		0	0.00		0	0.00		9	1.36		0	0.00		14	2.12		14	2.12		661	98.66		9	1.34		670	0.63																																																																																																																																																															
Campbell			147	6.40		73	3.18		19	0.83		239	10.41		21	0.91		14	0.61		1	0.04		36	1.57		105	4.57		86	3.75		35	1.52		226	9.84		525	22.87		171	7.45		11	0.48		707	30.79		853	37.15		129	5.62		30	1.31		1012	44.08		12	0.52		11	0.48		1	0.04		24	1.05		0	0.00		52	2.26		52	2.26		2296	98.33		39	1.67		2335	2.19																																																																																																																																																															
Charnwood			221	6.65		71	2.14		25	0.75		317	9.55		38	1.14		31	0.93		2	0.06		71	2.14		98	2.95		41	1.23		12	0.36		151	4.55		1355	40.80		225	6.78		12	0.36		1592	47.94		938	28.24		104	3.13		10	0.30		1052	31.68		74	2.23		21	0.63		1	0.03		96	2.89		1	0.03		41	1.23		42	1.26		3321	97.53		84	2.47		3405	3.20																																																																																																																																																															
City			121	10.07		63	5.24		37	3.08		221	18.39		19	1.58		4	0.33		0	0.00		23	1.91		91	7.57		83	6.91		24	2.00		198	16.47		317	26.37		101	8.40		10	0.83		428	35.61		241	20.05		43	3.58		10	0.83		294	24.46		8	0.67		4	0.33		2	0.17		14	1.16		2	0.17		22	1.83		24	2.00		1202	96.94		38	3.06		1240	1.17																																																																																																																																																															
Dickson			125	8.39		64	4.30		20	1.34		209	14.04		14	0.94		9	0.60		2	0.13		25	1.68		92	6.18		83	5.57		40	2.69		215	14.44		495	33.24		119	7.99		6	0.40		620	41.64		309	20.75		40	2.69		8	0.54		357	23.98		14	0.94		8	0.54		1	0.07		23	1.54		1	0.07		39	2.62		40	2.69		1489	97.45		39	2.55		1528	1.44																																																																																																																																																															
Downer			85	5.75		31	2.10		23	1.56		139	9.40		10	0.68		8	0.54		1	0.07		19	1.29		77	5.21		67	4.53		19	1.29		163	11.03		589	39.85		123	8.32		7	0.47		719	48.65		344	23.27		48	3.25		3	0.20		395	26.73		20	1.35		3	0.20		0	0.00		23	1.56		0	0.00		20	1.35		20	1.35		1478	96.35		56	3.65		1534	1.44																																																																																																																																																															
Evatt			189	5.84		91	2.81		24	0.74		304	9.40		40	1.24		30	0.93		5	0.15		75	2.32		104	3.21		52	1.61		13	0.40		169	5.22		1247	38.55		195	6.03		8	0.25		1450	44.82		939	29.03		101	3.12		17	0.53		1057	32.67		85	2.63		20	0.62		5	0.15		110	3.40		2	0.06		68	2.10		70	2.16		3235	97.32		89	2.68		3324	3.12																																																																																																																																																															
Evatt South			100	6.79		41	2.79		20	1.36		161	10.94		16	1.09		11	0.75		2	0.14		29	1.97		32	2.17		28	1.90		14	0.95		74	5.03		529	35.94		116	7.88		11	0.75		656	44.57		441	29.96		60	4.08		9	0.61		510	34.65		17	1.15		4	0.27		0	0.00		21	1.43		1	0.07		20	1.36		21	1.43		1472	98.26		26	1.74		1498	1.41																																																																																																																																																															
Florey			136	6.21		55	2.51		27	1.23		218	9.96		24	1.10		13	0.59		0	0.00		37	1.69		66	3.02		31	1.42		11	0.50		108	4.93		884	40.38		165	7.54		12	0.55		1061	48.47		608	27.78		78	3.56		2	0.09		688	31.43		30	1.37		13	0.59		1	0.05		44	2.01		0	0.00		33	1.51		33	1.51		2189	96.39		82	3.61		2271	2.13																																																																																																																																																															
Flynn			109	6.41		47	2.76		14	0.82		170	10.00		11	0.65		10	0.59		2	0.12		23	1.35		59	3.47		25	1.47		15	0.88		99	5.82		665	39.12		126	7.41		9	0.53		800	47.06		485	28.53		54	3.18		4	0.24		543	31.94		21	1.24		7	0.41		1	0.06		29	1.71		2	0.12		34	2.00		36	2.12		1700	97.25		48	2.75		1748	1.64																																																																																																																																																															
Fraser			113	7.40		30	1.97		16	1.05		159	10.42		16	1.05		12	0.79		1	0.07		29	1.90		49	3.21		41	2.69		12	0.79		102	6.68		514	33.68		121	7.93		6	0.39		641	42.01		461	30.21		57	3.74		6	0.39		524	34.34		38	2.49		8	0.52		1	0.07		47	3.08		0	0.00		24	1.57		24	1.57		1526	97.88		33	2.12		1559	1.47																																																																																																																																																															
Giralang			156	7.43		53	2.52		24	1.14		233	11.09		35	1.67		30	1.43		4	0.19		69	3.28		62	2.95		45	2.14		9	0.43		116	5.52		773	36.79		145	6.90		10	0.48		928	44.17		577	27.46		78	3.71		11	0.52		666	31.70		45	2.14		10	0.48		0	0.00		55	2.62		1	0.05		33	1.57		34	1.62		2101	96.78		70	3.22		2171	2.04																																																																																																																																																															
