House of Representatives - 2001 Election: Australian Capital Territory																						
Distribution of Preferences																						
By Polling Place																						
																						
Canberra																						
					COX			BARNIER			ELLIS			MILLER			KOOREY			MATTHEWS		
					Barry			Belinda			Annette			John			Stephanie			Aaron		
					HAN			LP			ALP			CTA			GRN			DEM		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Bonython                                                       																						
	FIRST			63	3.34		645	34.15		904	47.86		31	1.64		65	3.44		181	9.58		1889
	SECOND			2	6.45		19	61.29		5	16.13			Excluded		0	0.00		5	16.13		31
		TOTAL		65	3.44		664	35.15		909	48.12					65	3.44		186	9.85		1889
	THIRD				Excluded		41	63.08		16	24.62					5	7.69		3	4.62		65
		TOTAL					705	37.32		925	48.97					70	3.71		189	10.01		1889
	FOURTH						2	2.86		23	32.86						Excluded		45	64.29		70
		TOTAL					707	37.43		948	50.19								234	12.39		1889
	FIFTH						77	32.91		157	67.09									Excluded		234
		TOTAL					784	41.50		1105	58.50											1889
										Elected												
																						
Calwell                                                        																						
	FIRST			93	3.21		1051	36.29		1394	48.14		40	1.38		105	3.63		213	7.35		2896
	SECOND			0	0.00		20	50.00		9	22.50			Excluded		6	15.00		5	12.50		40
		TOTAL		93	3.21		1071	36.98		1403	48.45					111	3.83		218	7.53		2896
	THIRD				Excluded		43	46.24		29	31.18					11	11.83		10	10.75		93
		TOTAL					1114	38.47		1432	49.45					122	4.21		228	7.87		2896
	FOURTH						17	13.93		36	29.51						Excluded		69	56.56		122
		TOTAL					1131	39.05		1468	50.69								297	10.26		2896
	FIFTH						80	26.94		217	73.06									Excluded		297
		TOTAL					1211	41.82		1685	58.18											2896
										Elected												
																						
Canberra Hospital                                              																						
	FIRST			14	1.49		319	34.01		413	44.03		21	2.24		86	9.17		85	9.06		938
	SECOND			1	4.76		9	42.86		5	23.81			Excluded		0	0.00		6	28.57		21
		TOTAL		15	1.60		328	34.97		418	44.56					86	9.17		91	9.70		938
	THIRD				Excluded		5	33.33		4	26.67					3	20.00		3	20.00		15
		TOTAL					333	35.50		422	44.99					89	9.49		94	10.02		938
	FOURTH						5	5.62		28	31.46						Excluded		56	62.92		89
		TOTAL					338	36.03		450	47.97								150	15.99		938
	FIFTH						39	26.00		111	74.00									Excluded		150
		TOTAL					377	40.19		561	59.81											938
										Elected												
																						
Chapman                                                        																						
	FIRST			55	2.23		865	35.11		1081	43.87		51	2.07		200	8.12		212	8.60		2464
	SECOND			3	5.88		18	35.29		16	31.37			Excluded		7	13.73		7	13.73		51
		TOTAL		58	2.35		883	35.84		1097	44.52					207	8.40		219	8.89		2464
	THIRD				Excluded		37	63.79		9	15.52					6	10.34		6	10.34		58
		TOTAL					920	37.34		1106	44.89					213	8.64		225	9.13		2464
	FOURTH						17	7.98		86	40.38						Excluded		110	51.64		213
		TOTAL					937	38.03		1192	48.38								335	13.60		2464
	FIFTH						86	25.67		249	74.33									Excluded		335
		TOTAL					1023	41.52		1441	58.48											2464
										Elected												
																						
Chifley                                                        																						
	FIRST			42	2.87		415	28.37		740	50.58		22	1.50		126	8.61		118	8.07		1463
	SECOND			5	22.73		9	40.91		4	18.18			Excluded		2	9.09		2	9.09		22
		TOTAL		47	3.21		424	28.98		744	50.85					128	8.75		120	8.20		1463
	THIRD				Excluded		25	53.19		11	23.40					9	19.15		2	4.26		47
		TOTAL					449	30.69		755	51.61					137	9.36		122	8.34		1463
	FOURTH						10	7.30		58	42.34						Excluded		69	50.36		137
		TOTAL					459	31.37		813	55.57								191	13.06		1463
	FIFTH						44	23.04		147	76.96									Excluded		191
		TOTAL					503	34.38		960	65.62											1463
										Elected												
																						
Chisholm                                                       																						
