General Information: Election 2001 - National									
Party Representation									
									
House of Representatives									
									
	LP	NP	CLP	ALP	IND	Seats			
NSW	21	7	-	20	2	50			
VIC	15	2	-	20	-	37			
QLD	15	4	-	7	1	27			
WA	8	-	-	7	-	15			
SA	9	-	-	3	-	12			
TAS	-	-	-	5	-	5			
ACT	-	-	-	2	-	2			
NT	-	-	1	1	-	2			
TOTAL	68	13	1	65	3	150			
									
Senate											
											
Elected at 10 November 2001 federal election; terms expire on 30 June 2008											
	ALP	CLR	LP	NP	DEM	HAN	HAR	CLP	GRN	IND	Seats
NSW 	1	1	2	1	-	-	-	-	1	-	6
VIC	2	-	3	-	1	-	-	-	-	-	6
QLD	2	-	2	1	1	-	-	-	-	-	6
WA	2	-	3	-	1	-	-	-	-	-	6
SA	2	-	3	-	1	-	-	-	-	-	6
TAS	2	-	3	-	-	-	-	-	1	-	6
ACT*	1	-	1	-	-	-	-	-	-	-	2
NT*	1	-	-	-	-	-	-	1	-	-	2
TOTAL	13	1	17	2	4	-	-	1	2	-	40
* Terms expire on the day before the next general election of the House of Representatives											
Senate											
											
Elected at 3 October 1998 federal election; terms expire on 30 June 2005											
	ALP	CLR	LP	NP	DEM	HAN	HAR	CLP	GRN	IND	Seats
NSW 	3	-	2	-	1	-	-	-	-	-	6
VIC	3	-	2	1	-	-	-	-	-	-	6
QLD	2	-	2	-	1	1	-	-	-	-	6
WA	2	-	3	-	1	-	-	-	-	-	6
SA	2	-	3	-	-	-	-	-	-	1*	6
TAS	2	-	2	-	-	-	1	-	-	1*	6
TOTAL	14	-	14	1	3	1	1	-	-	2	36
The 4 Senators elected for the ACT & NT at the 3 October 1998 election are not shown in this table as their term expired at close of day before polling day for the general election of members of the House of Representatives - that is 9 November 2001.											
*Senator Shayne Murphy Independent (formerly ALP 1.7.1993 - 2.10.2001)											
*Senator Meg Lees Independent (formerly DEM 4.4.90 to 26.7.02)											

Total party representation from 1 July 2002											
	ALP	CLR	LP	NP	DEM	HAN	HAR	CLP	GRN	IND	Seats
NSW 	4	1	4	1	1	-	-	-	1	-	12
VIC	5	-	5	1	1	-	-	-	-	-	12
QLD	4	-	4	1	2	1	-	-	-	-	12
WA	4	-	6	-	2	-	-	-	-	-	12
SA	4	-	6	-	1	-	-	-	-	1	12
TAS	4	-	5	-	-	-	1	-	1	1	12
ACT*	1	-	1	-	-	-	-	-	-	-	2
NT*	1	-	-	-	-	-	-	1	-	-	2
TOTAL	27	1	31	3	7	1	1	1	2	2	76
* Terms expire on the day before the next general election of the House of Representatives											
