House of Representatives:  Election 2001 - National				
List of Candidates				
				
Candidate	Party		Division	State

"ABBOTT, Tony"	LP		Warringah	NSW
"ABBOTTO, John"	NGST		Calwell	VIC
"ABRAHAMS, Lynn"	HAN		Banks	NSW
"ADAIR, Michele"	DEM		Barton	NSW
"ADAMS, Dick"	ALP		Lyons	TAS
"ADAMS, Pat"			Indi	VIC
"ADAMS, Steven Mark"	DEM		Shortland	NSW
"AITCHISON, Neil"	IND		Sturt	SA
"AITKEN, Chris"	GRN		Gippsland	VIC
"AKHURST, Alan"	LP		Throsby	NSW
"ALBANESE, Anthony"	ALP		Grayndler	NSW
"ALBISTON, Andrew"	ALP		Riverina	NSW
"ALECKSON, Maxwell A"	IND		Moncrieff	QLD
"ALLEN, Jason"	IND		La Trobe	VIC
"ALLEN-ANKINS, Stephen"	IND		Ryan	QLD
"ANDERSON, John"	NP		Gwydir	NSW
"ANDERSON, Sonia"	DEM		Lyons	TAS
"ANDREN, Peter"	IND		Calare	NSW
"ANDREW, Neil"	LP		Wakefield	SA
"ANDREWS, Kevin"	LP		Menzies	VIC
"ANNY, Munther"	IND		Blaxland	NSW
"ANTHONY, Larry"	NP		Richmond	NSW
"AQUILINA, Heather"	GWA		Stirling	WA
"ARANDELOVIC, Gordon"	NGST		Kingston	SA
"ARCHER, Adrian Peter"	DEM		Reid	NSW
"ARMSTRONG, Geoff"	DEM		Fisher	QLD
"ARMSTRONG, Richard"	DEM		Flinders	VIC
"ARMSTRONG, Thomas John"	HAN		Oxley	QLD
"ARNOLD, Phil"	CTA		Bendigo	VIC
"ARUNDELL, Simon"	IND		Corangamite	VIC
"ASARLOGLOU, Costa"	LP		Chifley	NSW
"AUSTIN, Maisie"	IND		Solomon	NT
"AYLIFFE, Nahum"	DEM		Deakin	VIC

"BAGGS, David"	DEM		Mitchell	NSW
"BAILEY, Alison"	DEM		Cook	NSW
"BAILEY, Fran"	LP		McEwen	VIC
"BAIRD, Bruce"	LP		Cook	NSW
"BAIRD, Matthew"	DEM		Grayndler	NSW
"BAISSARI, Sam"	CTA		Banks	NSW
"BAKER, Errol"	HAN		Robertson	NSW
"BALDWIN, Bob"	LP		Paterson	NSW
"BALK, Casey"	DEM		Richmond	NSW
"BALL, Harry"	HAN		Berowra	NSW
"BALLINGER, Liz"	IND		Barker	SA
"BANGE, Jane"	GRN		Gilmore	NSW
"BARCLAY, Grahame"	LP		Maribyrnong	VIC
"BARHAM, Jan"	GRN		Richmond	NSW
"BARKER, Bee"	GRN		Calwell	VIC
"BARKER, David"	CTA		Barton	NSW
"BARNES, J F"	IND		Dickson	QLD
"BARNIER, Belinda"	LP		Canberra	ACT
"BARRESI, Phil"	LP		Deakin	VIC
"BARROW, Ron"			Bendigo	VIC
"BARSONY, Roger"	GRN		Werriwa	NSW
"BARTLETT, Kerry"	LP		Macquarie	NSW
"BARWICK, Wayne"	CEC		Batman	VIC
"BASTICK, Patricia"	GRN		Franklin	TAS
"BATCHELOR, Neil"	HAN		Lyons	TAS
"BATES, Barbie"	SAS		Chifley	NSW
"BATES, Theresa"	GRN		Hinkler	QLD
"BATTERSBY, Elaine"	CTA		Newcastle	NSW
"BAWDEN, Bob"	CTA		Greenway	NSW
"BAWDEN, Matilda"	DEM		Port Adelaide	SA
"BEAUMONT, Rosemary"	GRN		Eden-Monaro	NSW
"BEAZLEY, Kim"	ALP		Brand	WA
"BECK, Jeremy"	CEC		Melbourne Ports	VIC
"BECKETT, Stephen"	ALP		Longman	QLD
"BECKWITH, Jules"	GRN		Maribyrnong	VIC
"BEHN, Doug"	IND		Page	NSW
"BELL, David"	GRN		Bradfield	NSW
"BELL, Joshua"	DEM		Charlton	NSW
"BENNETT, James"	DEM		Chisholm	VIC
"BENNETT, Ollie"	GRN		Hotham	VIC
"BENNETTS, Lyn"	HAN		Indi	VIC
"BENNEWORTH, Tony"	LP		Bass	TAS
"BENNISON, Rod"	DEM		Hunter	NSW
"BERRY, Carol"	GRN		Cunningham	NSW
"BERRY, Rob"	IND		Groom	QLD
"BEVIS, Arch"	ALP		Brisbane	QLD
"BHATHAL, Alexandra"	GRN		Batman	VIC
"BILLSON, Bruce"	LP		Dunkley	VIC
"BISHOP, Bronwyn"	LP		Mackellar	NSW
"BISHOP, Julie"	LP		Curtin	WA
"BJORK-BILLINGS, Michael"	ALP		Corangamite	VIC
"BLACK, Bill"	HAN		Petrie	QLD
"BLADE, Ashley"	IND		Flinders	VIC
"BLAIR, Gillian"	GRN		Wannon	VIC
"BLAKE, Lisa"	GRN		Bonython	SA
"BLANCH, Glenda"	DEM		Werriwa	NSW
"BLANCHARD, John"	HAN		Ballarat	VIC
"BLUNT, Kathie"	ALP		Bradfield	NSW
