Senate: Election 2001 - National				
First Preference Votes by Group				
By State				
				
National Summary				
Enrolment 12708837				

Group	Votes	%	Swing	
LP	1824639	15.69	2.06	
NP	222860	1.92	0.06	
LNP	2776089	23.88	2.00	
CLP	40680	0.35	0.03	
ALP/CLR	3990903	34.32	-2.99	
DEM	842984	7.25	-1.20	
GRN	509814	4.38	2.21	
GWA	64736	0.56	0.01	
HAN	644346	5.54	-3.44	
OTH	710478	6.11	1.27	
FORMAL	11627529	96.11	-0.65	
INFORMAL	470961	3.89	0.65	
TOTAL	12098490	95.20	-0.14	
				
				
New South Wales				
Enrolment 4227937				
State Quota 554207				

Group	Votes	%	Swing	Quota
LNP	1620235	41.76	5.14	2.92
ACL (ALP/CLR)	1299488	33.50	-5.18	2.34
DEM	240867	6.21	-1.14	0.43
GRN	169139	4.36	2.19	0.31
HAN	216522	5.58	-4.03	0.39
OTH	333192	8.59	3.02	0.60
FORMAL	3879443	96.46	-0.23	
INFORMAL	142281	3.54	0.23	
TOTAL	4021724	95.12	-0.17	


Victoria				
Enrolment 3234874				
State Quota 416896				

Group	Votes	%	Swing	Quota
LNP	1155854	39.61	1.73	2.77
ALP	1073667	36.79	-3.77	2.58
DEM	228272	7.82	-2.02	0.55
GRN	174817	5.99	3.50	0.42
HAN	71605	2.45	-1.66	0.17
OTH	214052	7.33	2.22	0.51
FORMAL	2918267	94.39	-1.83	
INFORMAL	173592	5.61	1.83	
TOTAL	3091859	95.58	-0.31	


Queensland				
Enrolment 2336698				
State Quota 307154				

Group	Votes	%	Swing	Quota
LP	750416	34.90	6.42	2.44
NP	196845	9.16	-0.36	0.64
ALP	682239	31.73	-0.94	2.22
DEM	143942	6.69	-1.11	0.47
GRN	71102	3.31	1.20	0.23
HAN	215400	10.02	-4.82	0.70
OTH	90133	4.19	-0.39	0.29
FORMAL	2150077	97.05	0.09	
INFORMAL	65450	2.95	-0.09	
TOTAL	2215527	94.81	0.37	


Western Australia				
Enrolment 1206422				
State Quota 157933				

Group	Votes	%	Swing	Quota
LP	443597	40.13	1.71	2.81
NP	26015	2.35	1.09	0.16
ALP	377547	34.15	-0.52	2.39
DEM	64773	5.86	-0.54	0.41
GWA	64736	5.86	0.12	0.41
HAN	77757	7.03	-3.33	0.49
OTH	51104	4.62	1.47	0.32
FORMAL	1105529	96.42	-0.89	
INFORMAL	41025	3.58	0.89	
TOTAL	1146554	95.04	-0.07	


South Australia				
Enrolment 1039025				
State Quota 138146				

Group	Votes	%	Swing	Quota
LP	440431	45.55	5.03	3.19
ALP	321422	33.24	1.21	2.33
DEM	121989	12.62	0.19	0.88
GRN	33385	3.45	1.25	0.24
HAN	44055	4.56	-5.15	0.32
OTH	5733	0.59	-2.52	0.04
FORMAL	967015	96.94	-0.25	
INFORMAL	30556	3.06	0.25	
TOTAL	997571	96.01	-0.07	


Tasmania				
Enrolment 331675				
State Quota 44095				

Group	Votes	%	Swing	Quota
LP	119720	38.79	4.97	2.72
ALP	113709	36.84	-4.79	2.58
DEM	14273	4.62	0.70	0.32
GRN	42568	13.79	7.98	0.97
HAN	10169	3.29	-0.48	0.23
OTH	8223	2.66	-8.38	0.19
FORMAL	308662	96.71	-0.24	
INFORMAL	10493	3.29	0.24	
TOTAL	319155	96.23	-0.13	


Australian Capital Territory				
Enrolment 221184				
Territory Quota 68492				

Group	Votes	%	Swing	Quota
LP	70475	34.30	3.14	1.03
ALP	86331	42.02	-0.55	1.26
DEM	22072	10.74	-5.92	0.32
GRN	14825	7.22	3.97	0.22
HAN	4485	2.18	-2.70	0.07
OTH	7286	3.55	2.05	0.05
FORMAL	205474	97.66	-0.37	
INFORMAL	4924	2.34	0.37	
TOTAL	210398	95.12	-0.80	


Northern Territory				
Enrolment 111022				
Territory Quota 31021				

Group	Votes	%	Swing	Quota
CLP	40680	43.71	4.94	1.31
ALP	36500	39.22	-1.92	1.18
DEM	6796	7.30	1.80	0.22
GRN	3978	4.27	-0.28	0.13
HAN	4353	4.68	-4.63	0.14
OTH	755	0.81	0.09	0.02
FORMAL	93062	97.24	-0.77	
INFORMAL	2640	2.76	0.77	
TOTAL	95702	86.20	-4.13	


				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
