General Information: Election 2001 - National														
Declaration Votes Issued														
By Division														
							Pre-Poll 				Postal Vote Applications			
		State/Division	Provisional		Absent		Total Issued		Own Division		Total Issued		Own Division	
	National Summary													
		New South Wales                	59469		294186		196880		120410		168915		137456	
		Victoria                       	40979		213631		135903		78232		148969		129369	
		Queensland                     	29244		150154		101349		50850		131144		121235	
		Western Australia              	14445		101004		42081		19268		39000		31992	
		South Australia                	12637		68637		31219		14416		41192		37375	
		Tasmania                       	4419		16467		11106		6338		14527		13665	
		Australian Capital Territory   	2228		5589		29942		17888		7059		3567	
		Northern Territory             	1817		2283		11475		4639		3816		2162	
		Overseas                       	0		0		50006		0		13030		0	
		Antarctic                      	0		0		88		0		0		0	
		NATIONAL TOTAL                 	165238		851951		610049		312041		657652		476821	
														
	New South Wales                 													
		Banks                          	934		3945		1549		1213		3282		3042	
		Barton                         	1594		5380		1911		1324		2727		2514	
		Bennelong                      	860		5476		1684		941		10763		3956	
		Berowra                        	791		4950		3024		2123		3338		3098	
		Blaxland                       	1641		4116		2203		1460		2869		2651	
		Bradfield                      	817		5066		5240		1914		929		928	
		Calare                         	1184		6047		5304		4147		2871		2647	
		Charlton                       	998		4471		2786		2467		3088		2869	
		Chifley                        	1793		4533		2028		1521		2010		1862	
		Cook                           	1164		4369		3110		2367		3589		3384	
		Cowper                         	1149		6529		4188		2675		3299		2955	
		Cunningham                     	650		4857		4267		2479		3435		3231	
		Dobell                         	1063		6568		3148		2331		3194		2900	
		Eden-Monaro                    	1030		5441		7684		4785		4099		3873
		Farrer                         	948		2828		3748		2030		4171		3884
		Fowler                         	1377		4712		2467		735		2167		1886
		Gilmore                        	1143		10884		6834		5814		3441		3325
		Grayndler                      	1935		8868		2335		1340		13137		2123
		Greenway                       	1028		5464		3136		1939		2526		2291
		Gwydir                         	1172		6388		3116		2069		3991		3680
		Hughes                         	800		4387		3008		2072		2916		2687
		Hume                           	882		6089		3636		2690		3501		3292
		Hunter                         	1141		5029		6094		4765		2239		2029
		Kingsford Smith                	1507		8085		6290		2037		3483		2946
		Lindsay                        	1654		4703		2959		1958		2298		2173
		Lowe                           	1194		6348		2420		1361		3480		3199
		Lyne                           	1251		6460		5414		4112		2952		2832
		Macarthur                      	1081		4904		3850		2416		655		655
		Mackellar                      	814		4637		2850		2228		2291		2127
		Macquarie                      	862		6379		3288		2461		3152		2967
		Mitchell                       	896		4770		3152		2054		3035		2855
		Newcastle                      	678		6626		3072		1830		4435		4002
		New England                    	1431		4877		5703		4565		3561		3294
		North Sydney                   	1257		8174		1950		834		888		888
		Page                           	1152		4315		5683		3199		3775		3455
		Parkes                         	1252		4556		4671		3238		3728		3462
		Parramatta                     	1623		7610		4173		1824		4915		4416
		Paterson                       	921		10992		5048		3858		3977		3656
		Prospect                       	961		5060		1593		685		2061		1759
		Reid                           	760		4435		1311		915		2644		2473
		Richmond                       	1063		4656		7947		4602		3937		3643
		Riverina                       	1219		4307		5991		3856		2740		2469
		Robertson                      	1198		6867		5067		3621		4070		3860
		Shortland                      	1120		6595		4855		2982		4008		3618
		Sydney                         	2550		15118		8232		1028		1136		717
		Throsby                        	1021		2839		1571		1326		2896		2737
		Warringah                      	1116		6213		4789		2902		3315		2905
		Watson                         	1742		4822		2295		778		2393		2114
		Wentworth                      	1744		8273		9595		4034		1782		1428
		Werriwa                        	1308		5168		611		505		3726		1699
	NSW TOTAL                       		59469		294186		196880		120410		168915		137456
													
	Victoria                        												
		Aston                          	487		4187		1588		1081		5543		5240
		Ballarat                       	1297		5624		4445		3465		4484		4304
		Batman                         	1337		5671		3241		1852		3229		2928
		Bendigo                        	909		4532		3471		2666		4517		4380
		Bruce                          	922		4491		2518		1094		4495		4253
		Burke                          	1038		4830		2004		1620		3112		2869
		Calwell                        	1687		5669		5075		1618		2489		2089
		Casey                          	904		3621		2018		1543		3182		3167
		Chisholm                       	632		5895		3563		1174		4729		4668
		Corangamite                    	931		8502		2977		2320		4523		4355
		Corio                          	1223		4466		4639		2655		4098		3985
		Deakin                         	663		6022		3531		1532		6377		4682
		Dunkley                        	1113		4039		4795		3127		4475		4029
		Flinders                       	1199		10075		6294		5066		4784		4521
		Gellibrand                     	1574		6531		3853		1893		3358		2921
		Gippsland                      	694		6167		2585		1872		2840		2647
		Goldstein                      	998		5287		2233		1697		4416		4153
		Higgins                        	1117		8519		3315		1712		4704		4155
		Holt                           	2038		5174		4698		2175		3204		2678
		Hotham                         	1220		5773		1423		924		4279		3801
		Indi                           	684		5493		6657		5017		3296		3099
		Isaacs                         	1391		5079		2223		854		3903		3440
		Jagajaga                       	638		4897		2318		1475		4891		4463
		Kooyong                        	870		6265		2882		1397		4033		3695
		Lalor                          	1121		4325		4239		3414		2191		1958
		La Trobe                       	999		5670		2016		1216		4324		4093
		McEwen                         	1338		7135		1126		669		4828		4492
		McMillan                       	866		2996		6024		5013		3236		3088
		Mallee                         	636		3789		5388		3817		3037		2827
		Maribyrnong                    	1193		4874		2221		1236		1976		1693
		Melbourne                      	2324		14293		7731		893		11535		2828
		Melbourne Ports                	1678		9702		8646		2824		1653		1653
		Menzies                        	742		3098		1863		1488		3246		3237
		Murray                         	1340		5831		3164		2174		3266		3113
		Scullin                        	1002		4099		2738		924		2634		2358
		Wannon                         	814		3696		4128		3255		4859		4738
		Wills                          	1360		7314		4273		1480		3223		2769
	VIC TOTAL                       		40979		213631		135903		78232		148969		129369
													
	Queensland                      												
		Blair                          	688		4380		   N/A 		   N/A  		4121		3751
		Bowman                         	813		4509		3975		2300		4423		4140
		Brisbane                       	1508		11454		6202		1205		5901		4691
		Capricornia                    	854		5228		2702		1888		6602		6187
		Dawson                         	1068		4579		5289		3015		4023		3637
		Dickson                        	768		3963		2142		1392		3924		3739
		Fadden                         	1037		5184		   N/A 		   N/A  		4670		4002
		Fairfax                        	1043		7065		5486		2535		4288		3998
		Fisher                         	1182		8139		6039		3801		4540		4293
		Forde                          	1253		4138		1823		1031		3815		3603
		Griffith                       	1018		6007		1907		502		5466		5026
		Groom                          	891		4629		3683		2505		4528		4407
		Herbert                        	1517		5022		4356		2436		4272		3967
		Hinkler                        	825		4050		5071		3941		4409		4178
		Kennedy                        	1517		4899		1221		616		4766		4395
		Leichhardt                     	1958		4118		5049		2167		3534		3059
		Lilley                         	1117		6684		1313		631		6199		5300
		Longman                        	992		4365		2517		1707		4031		3890
		McPherson                      	1459		7495		9703		5410		4319		3968
		Maranoa                        	1046		6138		1682		785		9982		9610
		Moncrieff                      	1445		6751		11707		4225		4443		4078
		Moreton                        	1105		7626		3097		758		5913		5415
		Oxley                          	782		3939		2413		995		3325		3325
		Petrie                         	777		4668		4175		1692		5718		5404
		Rankin                         	1173		3545		2950		1344		3503		3500
		Ryan                           	710		6410		3458		1636		4211		3743
		Wide Bay                       	698		5169		3389		2333		6218		5929
	QLD TOTAL                       		29244		150154		101349		50850		131144		121235
													
	Western Australia               												
		Brand                          	1321		4978		4793		3386		2162		1907
		Canning                        	1020		5192		1792		784		1992		1892
		Cowan                          	800		5198		1670		990		1845		1655
		Curtin                         	1015		8732		2012		1272		3487		3140
		Forrest                        	977		10637		3166		2173		2280		2164
		Fremantle                      	843		5447		2301		1190		2150		1901
		Hasluck                        	1052		5906		2614		763		701		701
		Kalgoorlie                     	861		10197		5318		2061		3619		2657
		Moore                          	640		3714		1924		957		2139		1992
		O'Connor                       	974		6948		2179		1015		1978		1813
		Pearce                         	876		6354		0		0		4125		2253
		Perth                          	1093		7726		3699		619		4152		2472
		Stirling                       	1150		6366		3180		1438		3216		2934
		Swan                           	1130		8280		5238		1330		2910		2521
		Tangney                        	693		5329		2195		1290		2244		1990
	WA  TOTAL                       		14445		101004		42081		19268		39000		31992
													
	South Australia                 												
		Adelaide                       	1321		11205		4885		891		5111		3957
		Barker                         	1192		6066		2693		1579		3282		3174
		Bonython                       	1063		4544		2263		1104		2248		2020
		Boothby                        	827		5856		3937		1672		3236		3033
		Grey                           	1115		4542		3664		1953		3867		3547
		Hindmarsh                      	1035		6308		1882		825		4211		3930
		Kingston                       	1074		3182		1824		1267		3031		2869
		Makin                          	1057		4393		2292		1247		3194		2920
		Mayo                           	851		4526		865		527		2682		2557
		Port Adelaide                  	1229		4857		2237		1282		3786		3386
		Sturt                          	971		6616		3241		1428		3943		3534
		Wakefield                      	902		6542		1436		641		2601		2448
	SA  TOTAL                       		12637		68637		31219		14416		41192		37375
													
	Tasmania                        												
		Bass                           	1114		2606		2891		1599		2997		2830
		Braddon                        	861		1687		2406		1510		2258		2154
		Denison                        	945		4598		3461		1654		3486		3205
		Franklin                       	798		2433		1863		1278		2917		2727
		Lyons                          	701		5143		485		297		2869		2749
	TAS TOTAL                       		4419		16467		11106		6338		14527		13665
													
	Australian Capital Territory    												
		Canberra                       	1002		2633		11950		8383		6302		2810
		Fraser                         	1226		2956		17992		9505		757		757
	ACT TOTAL                       		2228		5589		29942		17888		7059		3567
													
	Northern Territory              												
		Lingiari                       	1166		997		4500		1805		935		934
		Solomon                        	651		1286		6975		2834		2881		1228
	NT  TOTAL                       		1817		2283		11475		4639		3816		2162
													
	Overseas                        													
		Overseas                       	0		0		50006		0		13030		0	
	OS  TOTAL                       		0		0		50006		0		13030		0	
														
	Antarctic                       													
		Antarctic                      	0		0		88		0		0		0	
	ANT TOTAL                       		0		0		88		0		0		0	
														
	NATIONAL TOTAL                 		165238		851951		610049		312041		567652		476821	
