House of Representative: Election 2001 - National																																														
Nomination Numbers by Gender																																														
by Party by State																																														
																																														
			NSW					VIC					QLD					WA					SA					TAS					ACT					NT					Total			Grand
Party		M		F			M		F			M		F			M		F			M		F			M		F			M		F			M		F			M		F		Total
AFI		8		1																																						8		1		9
ALP		28		22			25		12			15		12			9		6			9		3			4		1			1		1			1		1			92		58		150
CEC		6		3			10		2			4		3			7		1										1													27		10		37
CLA																	3		1																							3		1		4
CLP																																					2					2		0		2
CTA		26		4			4		1								8		3													1		1								39		9		48
DEM		35		15			24		13			16		11			11		4			6		6			1		4			1		1			1		1			95		55		150
FPY		1																																								1		0		1
GRN		22		28			21		16			16		11								5		7			2		3			1		1			2					69		66		135
GWA																	9		6																							9		6		15
HAN		41		7			12		3			25		2			14		1			9		3			4					2					2					109		16		125
HMP		1		1								1																														2		1		3
IND		43		3			22		4			25		2			5					6		1													1		1			102		11		113
LEF		2					1																																			3		0		3
LFF							1										4		1										1													5		2		7
LP		35		6			30		5			19		3			9		6			9		3			5					1		1								108		24		132
NCP		6																																								6		0		6
NGST		4		2			3															1		1																		8		3		11
NP		11		1			4					5		6			3		3																							23		10		33
ORP												1																														1		0		1
PLP		2																																								2		0		2
SAS		3		1																																						3		1		4
TFP																											1															1		0		1
UNI		15		2																																						15		2		17
OTH		3		7			8		4			2					1		1			2										1					1					18		12		30
Sub-Total		292		103			165		60			129		50			83		33			47		24			17		10			8		5			10		3			751		288		1039
TOTAL			395					225					179					116					71					27					13					13					1039			1039
