Senate: Election 2001 - National																																					
Nomination Numbers by Gender																																					
by Party by State																																					
																																					
		NSW				VIC				QLD				WA				SA				TAS				ACT				NT				Total			Grand
Party	M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		M		F		Total
AAP	2		1																														2		1		3
AFI	2																																2		0		2
ALP/CLR	2		2		4				1		2		3		1		1		2		1		2		1		1				2		13		12		25
CEC	1		1		1		1		2				1		1		1				1				1				1				9		3		12
CLA													1		1																		1		1		2
CLP																													2				2		0		2
CTA	2				2				2				1		1										2								9		1		10
DEM	2		4		2		2		1		2		2		1		3		1		1		1		1		1		2				14		12		26
DLP					3		2																										3		2		5
FPY	2																																2		0		2
GRN	2		2		2		2		1		2						1		1		1				1		1				2		8		10		18
GWA													2		2																		2		2		4
HAN	2		1		1		1		3		1		3		1		2				1		1		2				2				16		5		21
HMP	2								2																								4		0		4
HPA					1		1														1		1										2		2		4
IND	3		1		3				7		1				1		2				2		1		1								18		4		22
LEF	2																																2		0		2
LFF					2								1		1						2												5		1		6
LP	2		2		4		1		3		1		6				2		2		4				1		1						22		7		29
NCP	1		1																														1		1		2
NDP	1		1																														1		1		2
NGST	2								2																								4		0		4
NP	1		1		1				2		1		1		1																		5		3		8
OCF	1		1																														1		1		2
PCA					1		1																										1		1		2
PLP	1		1												2																		1		3		4
RLS			2																														0		2		2
RPA	2								2								2				2												8		0		8
TFP																					2		1										2		1		3
TPS													2																				2		0		2
UNI	2				2		1						2																				6		1		7
OTH	5		2		6		5		1		1		6		2		2		4		3		1						1		1		24		16		40
Sub-Total	42		23		35		17		29		11		31		15		16		10		21		8		10		4		8		5		192		93		285
TOTAL		65				52				40				46				26				29				14				13				285			285
