House of Representatives:  Election 2001 - National															
First Preference Votes															
By Vote Type by Party by State															
															
National															
Enrolment 12708837															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	132	132	68	3560217	36.88	257695	36.12	21757	28.70	213128	37.97	201274	42.94	4254071	37.08
NP	33	33	13	534172	5.53	34465	4.83	3474	4.58	36980	6.59	34835	7.43	643926	5.61
CLP	2	2	1	31026	0.32	690	0.10	194	0.26	3769	0.67	1282	0.27	36961	0.32
ALP	150	150	65	3711467	38.44	239089	33.51	32777	43.24	196403	34.99	161684	34.49	4341420	37.84
DEM	150	150	0	509621	5.28	55744	7.81	4634	6.11	32158	5.73	18068	3.85	620225	5.41
GRN	135	135	0	412659	4.27	48990	6.87	4531	5.98	25979	4.63	11976	2.55	504135	4.39
GWA	15	15	0	52271	0.54	8006	1.12	497	0.66	2817	0.50	1348	0.29	64939	0.57
HAN	125	125	0	414145	4.29	33410	4.68	3663	4.83	24595	4.38	22219	4.74	498032	4.34
Other	124	297	3	429238	4.45	35322	4.95	4269	5.63	25481	4.54	16055	3.43	510365	4.45
FORMAL				9654816	94.94	713411	95.11	75796	93.27	561310	97.19	468741	98.31	11474074	95.18
INFORMAL				514136	5.06	36714	4.89	5470	6.73	16220	2.81	8050	1.69	580590	4.82
TOTAL				10168952	84.36	750125	6.22	81266	0.67	577530	4.79	476791	3.96	12054664	94.85


New South Wales															
Enrolment 4227937															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	41	41	21	1059463	33.29	81247	33.73	6434	25.16	69047	34.35	56017	40.33	1272208	33.58
NP	12	12	7	291164	9.15	18133	7.53	2098	8.20	23028	11.46	14949	10.76	349372	9.22
ALP	50	50	20	1181164	37.12	77712	32.26	10843	42.40	65865	32.77	45238	32.57	1380822	36.45
DEM	50	50	0	130632	4.11	15029	6.24	1129	4.41	9497	4.73	4419	3.18	160706	4.24
GRN	50	50	0	146835	4.61	18669	7.75	1632	6.38	9303	4.63	3640	2.62	180079	4.75
HAN	48	48	0	150754	4.74	11884	4.93	1168	4.57	9888	4.92	7119	5.13	180813	4.77
Other	47	144	2	222112	6.98	18193	7.55	2270	8.88	14362	7.15	7523	5.42	264460	6.98
FORMAL				3182124	94.30	240867	94.52	25574	92.63	200990	96.86	138905	98.24	3788460	94.58
INFORMAL				192172	5.70	13967	5.48	2034	7.37	6509	3.14	2487	1.76	217169	5.42
TOTAL				3374296	84.24	254834	6.36	27608	0.69	207499	5.18	141392	3.53	4005629	94.74


Victoria															
Enrolment 3234874															

Party	Divisions	Number	Number	Ordinary		Absent		Provisional		Pre-Poll		Postal		Total	
	Contested	Nominated	Elected	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
LP	35	35	15	963242	38.66	66488	37.37	5897	32.20	57823	41.11	61043	48.15	1154493	39.07
NP	4	4	2	78176	3.14	3882	2.18	309	1.69	5388	3.83	3293	2.60	91048	3.08
ALP	37	37	20	1054695	42.33	65054	36.56	8585	46.88	54441	38.71	47989	37.85	1230764	41.65
DEM	37	37	0	151161	6.07	17299	9.72	1281	7.00	8899	6.33	5924	4.67	184564	6.25
GRN	37	37	0	143717	5.77	17410	9.79	1285	7.02	7728	5.49	4256	3.36	174396	5.90
HAN	15	15	0	31443	1.26	1944	1.09	283	1.55	2299	1.63	1843	1.45	37812	1.28
