House of Represenatives:  Election 2001 - National																					
Votes Counted																					
by Vote Type by Division																					
																					
Division	Enrolment			Ordinary			Absent			Postal			Pre-Poll			Provisional			Total		
				Votes			Votes			Votes			Votes			Votes			Votes		%
New South Wales																					
Banks		83122			67444			5231			2914			3063			400			79052	95.10
Barton		84752			68412			5169			2521			3297			624			80023	94.42
Bennelong		86896			69149			5540			3680			3482			344			82195	94.59
Berowra		85766			68074			5497			2988			4466			328			81353	94.85
Blaxland		82779			67409			4647			2488			2434			747			77725	93.89
Bradfield		89832			70344			5384			3766			4817			330			84641	94.22
Calare		85310			69280			4462			2440			5134			731			82047	96.18
Charlton		83459			66785			5296			2947			4309			476			79813	95.63
Chifley		83474			68146			5149			1720			2860			770			78645	94.21
Cook		82150			65385			4769			3068			4425			627			78274	95.28
Cowper		79982			64309			4270			2731			4275			646			76231	95.31
Cunningham		81540			66756			4122			3089			3494			346			77807	95.42
Dobell		82002			64609			5857			2729			4253			440			77888	94.98
Eden-Monaro		85815			67898			3018			3631			7125			453			82125	95.70
Farrer		84423			69813			2113			3749			4510			503			80688	95.58
Fowler		82745			68276			4655			1715			1945			650			77241	93.35
Gilmore		83909			64682			4542			3136			7319			606			80285	95.68
Grayndler		86146			66034			6814			1940			3638			786			79212	91.95
Greenway		85876			70012			5666			2173			3101			469			81421	94.81
Gwydir		84602			66557			6434			3413			3571			498			80473	95.12
Hughes		85741			69644			5761			2765			3919			347			82436	96.15
Hume		85640			68336			5727			3082			4407			430			81982	95.73
Hunter		84649			68956			4333			1936			5514			638			81377	96.13
Kingsford Smith		86647			68505			5331			2766			4087			697			81386	93.93
Lindsay		81618			66786			5287			2073			2915			894			77955	95.51
Lowe		83707			67651			5015			3046			3277			459			79448	94.91
Lyne		86901			70036			4851			2548			5129			792			83356	95.92
Macarthur		80127			65353			4840			2140			3223			517			76073	94.94
Mackellar		86505			69227			5498			2232			4283			383			81623	94.36
Macquarie		86364			69060			5870			2873			3850			378			82031	94.98
Mitchell		86647			69819			5925			2859			3820			334			82757	95.51
Newcastle		89198			71542			5474			3586			3128			359			84089	94.27
New England		84941			67580			4330			3012			5792			797			81511	95.96
North Sydney		88755			66540			6654			3587			5058			459			82298	92.72
Page		82272			66661			3672			3182			4607			622			78744	95.71
Parkes		83036			66220			4932			3123			4499			585			79359	95.57
Parramatta		87286			67669			6506			4045			3252			586			82058	94.01
Paterson		82782			66727			4148			3393			5251			492			80011	96.65
Prospect		86641			73358			5222			1722			1879			380			82561	95.29
Reid		77031			62504			4597			2328			2104			322			71855	93.28
Richmond		81312			63079			2789			3425			6915			551			76759	94.40
Riverina		87399			71503			3852			2350			5422			721			83848	95.94
Robertson		84366			66491			5209			3567			4687			657			80611	95.55
Shortland		86261			69229			5195			3317			4200			579			82520	95.66
Sydney		86143			61259			8032			2262			5152			946			77651	90.14
Throsby		84412			70491			4186			2531			2869			548			80625	95.51
Warringah		85405			65914			5497			2935			5228			446			80020	93.69
Watson		81961			65548			5357			2115			2415			668			76103	92.85
Wentworth		86457			61674			5983			4154			6830			664			79305	91.73
Werriwa		83153			67560			6126			1600			2269			583			78138	93.97
TOTAL		4227937			3374296			254834			141392			207499			27608			4005629	94.74
																					
Victoria																					
Aston		90211			74934			4204			5087			2964			213			87402	96.89
Ballarat		85877			69296			4289			3994			4479			882			82940	96.58
Batman		89998			71989			5513			2698			3154			513			83867	93.19
Bendigo		88150			72834			4174			4016			3550			531			85105	96.55
Bruce		85447			68914			5052			4108			2997			374			81445	95.32
Burke		88943			72882			5445			2899			3352			428			85006	95.57
Calwell		98330			81568			5314			2077			3519			730			93208	94.79
Casey		85278			69307			5216			3207			3491			428			81649	95.74
Chisholm		86680			68543			5814			4614			3229			218			82418	95.08
Corangamite		85955			68772			4968			4068			4470			512			82790	96.32
Corio		85836			70301			3565			3709			3909			699			82183	95.74
Deakin		85208			67994			5281			4406			3267			310			81258	95.36
Dunkley		85129			68770			4020			3682			4236			657			81365	95.58
Flinders		91403			71184			4861			4228			6721			624			87618	95.86
Gellibrand		86496			68897			4709			2650			3339			708			80303	92.84
Gippsland		83845			69710			4207			2546			3417			357			80237	95.70
Goldstein		89948			71162			5323			4085			4010			352			84932	94.42
Higgins		88043			66331			6912			3973			4349			412			81977	93.11
Holt		88172			71236			5321			2611			3082			943			83193	94.35
Hotham		89090			71298			5536			3896			3242			488			84460	94.80
Indi		85758			68311			3723			2796			6827			360			82017	95.64
Isaacs		82675			68108			4407			3497			2651			785			79448	96.10
Jagajaga		88073			71223			4987			4271			3498			275			84254	95.66
Kooyong		87128			68281			6208			3875			3716			358			82438	94.62
Lalor		89277			73767			4213			2051			4877			552			85460	95.72
La Trobe		88269			71206			5801			3928			2998			409			84342	95.55
McEwen		89021			72175			5937			4299			2641			738			85790	96.37
McMillan		85551			68953			3750			2831			6053			485			82072	95.93
Mallee		81774			67134			3548			2597			4991			384			78654	96.18
Maribyrnong		83750			68184			5016			2012			3504			408			79124	94.48
Melbourne		95848			69735			8697			2759			5037			962			87190	90.97
Melbourne Ports		89113			63134			6464			5577			5798			728			81701	91.68
Menzies		84613			68710			4922			3237			3621			303			80793	95.49
Murray		85651			71638			3924			2808			3267			838			82475	96.29
Scullin		88866			75560			5012			2366			2077			487			85502	96.21
Wannon		82915			66549			4159			4434			4502			459			80103	96.61
Wills		88553			70301			5615			2797			3617			541			82871	93.58
TOTAL		3234874			2598891			186107			128689			144452			19451			3077590	95.14
																					
Queensland																					
Blair		76853			62648			5019			3574			1916			373			73530	95.68
Bowman		87122			71364			3797			3999			3508			519			83187	95.48
Brisbane		95781			71059			7959			4597			4614			814			89043	92.97
Capricornia		81499			63637			5073			5808			2723			554			77795	95.46
Dawson		87405			70875			4246			3407			3967			735			83230	95.22
Dickson		88001			72526			5101			3656			2962			353			84598	96.13
Fadden		86004			67700			5460			3986			3743			412			81301	94.53
Fairfax		84217			66687			4589			3729			3988			636			79629	94.55
Fisher		85315			66204			4216			4127			5568			762			80877	94.80
Forde		86672			69591			5353			3566			2721			636			81867	94.46
Griffith		92367			72882			6163			4990			2927			512			87474	94.70
Groom		84838			67864			4727			4140			3460			633			80824	95.27
Herbert		90904			73732			3704			3473			4629			973			86511	95.17
Hinkler		81566			65076			3869			3877			4829			545			78196	95.87
Kennedy		84739			67268			5161			3984			1921			834			79168	93.43
Leichhardt		85689			67898			3593			2566			3688			1196			78941	92.13
Lilley		87642			68659			5722			5052			3138			570			83141	94.86
Longman		83408			68200			4388			3641			2845			563			79637	95.48
McPherson		94653			72788			3580			3757			8239			868			89232	94.27
Maranoa		84022			61906			6368			8805			1914			638			79631	94.77
Moncrieff		89483			68300			4340			3949			6349			784			83722	93.56
Moreton		89254			68890			6324			5148			3055			501			83918	94.02
Oxley		84787			69883			4981			3116			2239			474			80693	95.17
Petrie		89711			71010			5770			5166			3085			384			85415	95.21
Rankin		85204			67739			5304			3477			2833			486			79839	93.70
Ryan		88171			70617			5464			3749			3945			385			84160	95.45
Wide Bay		81391			63429			4844			5576			3396			443			77688	95.45
TOTAL		2336698			1848432			135115			114915			98202			16583			2213247	94.72
																					
Western Australia																					
Brand		78366			62520			4851			1949			4542			742			74604	95.20
Canning		76632			61886			6291			1981			2265			513			72936	95.18
Cowan		79648			65650			6047			1812			2372			355			76236	95.72
Curtin		82561			65855			5345			3009			3764			504			78477	95.05
Forrest		82248			68190			4741			2105			3064			597			78697	95.68
Fremantle		80927			66219			5517			1889			2820			390			76835	94.94
Hasluck		78418			63572			5947			2174			2529			443			74665	95.21
Kalgoorlie		82534			59792			5536			2482			3647			188			71645	86.81
Moore		74103			60290			5439			2024			2743			288			70784	95.52
O'Connor		83118			66796			7967			1803			2110			532			79208	95.30
Pearce		77880			61919			7214			2124			2321			385			73963	94.97
Perth		82049			65359			7076			2468			2454			463			77820	94.85
Stirling		85975			67803			7241			2910			2958			534			81446	94.73
Swan		78991			62181			6280			2579			2904			487			74431	94.23
Tangney		82972			67538			5807			2178			3323			335			79181	95.43
TOTAL		1206422			965570			91299			33487			43816			6756			1140928	94.57
																					
South Australia																					
Adelaide		86538			68523			5677			3833			3077			559			81669	94.37
Barker		87836			73650			4198			3118			2833			761			84560	96.27
Bonython		85484			72022			4948			2016			2023			587			81596	95.45
Boothby		89617			73871			5030			3116			3433			345			85795	95.74
Grey		85745			69854			4519			3166			3038			539			81116	94.60
Hindmarsh		84806			68716			5239			3800			2792			413			80960	95.46
Kingston		85398			70780			4841			2706			3081			593			82001	96.02
Makin		88248			73874			5165			2929			2468			474			84910	96.22
Mayo		86319			71575			5564			2727			2489			391			82746	95.86
Port Adelaide		86297			71011			4699			3208			2475			618			82011	95.03
Sturt		86359			69769			5388			3471			3169			403			82200	95.18
Wakefield		86378			73408			5039			2370			1895			471			83183	96.30
TOTAL		1039025			857053			60307			36460			32773			6154			992747	95.55
																					
Tasmania																					
