House of Representatives - 2001 Election: New South Wales														
First Preference Votes and TCP														
By Candidate by Vote Type by Division														

New South Wales														

Banks (83122)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"O'LEARY, Ken"	AFI	2018	3.22	266	5.49	27	7.44	123	4.16	88	3.09	2522	3.42
	"WILCOX, David"	GRN	1653	2.64	269	5.56	13	3.58	98	3.31	33	1.16	2066	2.81
	"ABRAHAMS, Lynn"	HAN	4015	6.41	246	5.08	19	5.23	192	6.49	177	6.21	4649	6.31
	"HANNOUN, Nazim"	IND	315	0.50	77	1.59	1	0.28	20	0.68	5	0.18	418	0.57
	"WATZLAFF, Marcus"	LP	22404	35.77	1633	33.73	98	27.00	1073	36.25	1150	40.37	26358	35.79
	"MURPHY, Lynne"	UNI	604	0.96	66	1.36	2	0.55	44	1.49	15	0.53	731	0.99
	"COLE, Stephen"	DEM	1974	3.15	214	4.42	10	2.75	95	3.21	57	2.00	2350	3.19
#	"MELHAM, Daryl"	ALP	28004	44.71	1915	39.56	185	50.96	1223	41.32	1265	44.40	32592	44.25
	"BAISSARI, Sam"	CTA	1654	2.64	155	3.20	8	2.20	92	3.11	59	2.07	1968	2.67
		FORMAL	62641	92.88	4841	92.54	363	90.75	2960	96.64	2849	97.77	73654	93.17
		INFORMAL	4803	7.12	390	7.46	37	9.25	103	3.36	65	2.23	5398	6.83
		TOTAL	67444	85.32	5231	6.62	400	0.51	3063	3.87	2914	3.69	79052	95.10
Two Candidate Preferred														
	"WATZLAFF, Marcus"	LP	29431	46.98	2327	48.07	132	36.36	1442	48.72	1370	48.09	34702	47.11
#	"MELHAM, Daryl"	ALP	33210	53.02	2514	51.93	231	63.64	1518	51.28	1479	51.91	38952	52.89
														
														
														
Barton (84752)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"BRENNAN, Jan"	LP	23828	37.39	1794	37.31	122	21.90	1273	40.02	1181	47.66	28198	37.73
	"LAU, John"	UNI	1181	1.85	96	2.00	13	2.33	67	2.11	18	0.73	1375	1.84
	"RYDSTRAND, David"	HAN	2242	3.52	226	4.70	13	2.33	127	3.99	117	4.72	2725	3.65
	"HARRIS, Chris"	GRN	1679	2.63	315	6.55	13	2.33	124	3.90	37	1.49	2168	2.90
	"BARKER, David"	CTA	855	1.34	110	2.29	12	2.15	56	1.76	48	1.94	1081	1.45
#	"McCLELLAND, Robert"	ALP	31120	48.84	1981	41.19	355	63.73	1397	43.92	1018	41.08	35871	47.99
	"ADAIR, Michele"	DEM	2816	4.42	287	5.97	29	5.21	137	4.31	59	2.38	3328	4.45
		FORMAL	63721	93.14	4809	93.04	557	89.26	3181	96.48	2478	98.29	74746	93.41
		INFORMAL	4691	6.86	360	6.96	67	10.74	116	3.52	43	1.71	5277	6.59
		TOTAL	68412	85.49	5169	6.46	624	0.78	3297	4.12	2521	3.15	80023	94.42
Two Candidate Preferred														
	"BRENNAN, Jan"	LP	27680	43.44	2213	46.02	155	27.83	1493	46.93	1332	53.75	32873	43.98
#	"McCLELLAND, Robert"	ALP	36041	56.56	2596	53.98	402	72.17	1688	53.07	1146	46.25	41873	56.02
														
														
														
Bennelong (86896)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"WEBECK, Robert"	HAN	1783	2.73	168	3.21	9	2.83	74	2.22	92	2.53	2126	2.73
	"CAMPBELL, Nicole"	ALP	20690	31.72	1352	25.84	116	36.48	1018	30.52	877	24.16	24053	30.94
	"HARKNESS, Bruce"	NGST	392	0.60	83	1.59	2	0.63	32	0.96	26	0.72	535	0.69
	"PLUMB, Noel"	SAS	152	0.23	23	0.44	5	1.57	12	0.36	13	0.36	205	0.26
	"DAWSON, John"	IND	353	0.54	57	1.09	3	0.94	30	0.90	15	0.41	458	0.59
	"SHAW, Jimmy"	GRN	2533	3.88	379	7.24	12	3.77	146	4.38	63	1.74	3133	4.03
	"GOLDFINCH, Peter Lloyd"	DEM	3732	5.72	374	7.15	12	3.77	178	5.34	119	3.28	4415	5.68
	"MARSH, Peter"	NCP	62	0.10	18	0.34	0	0.00	2	0.06	2	0.06	84	0.11
	"LAW, May"	UNI	1282	1.97	60	1.15	3	0.94	89	2.67	40	1.10	1474	1.90
#	"HOWARD, John Winston"	LP	34244	52.50	2718	51.95	156	49.06	1754	52.59	2383	65.65	41255	53.07
		FORMAL	65223	94.32	5232	94.44	318	92.44	3335	95.78	3630	98.64	77738	94.58
		INFORMAL	3926	5.68	308	5.56	26	7.56	147	4.22	50	1.36	4457	5.42
		TOTAL	69149	84.13	5540	6.74	344	0.42	3482	4.24	3680	4.48	82195	94.59
Two Candidate Preferred														
	"CAMPBELL, Nicole"	ALP	28022	42.96	2166	41.40	146	45.91	1422	42.64	1121	30.88	32877	42.29
#	"HOWARD, John Winston"	LP	37201	57.04	3066	58.60	172	54.09	1913	57.36	2509	69.12	44861	57.71
														
														
														
Berowra (85766)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"SPARKS, Philip"	DEM	4195	6.46	449	8.53	22	7.10	273	6.28	108	3.67	5047	6.49
	"BALL, Harry"	HAN	1231	1.90	137	2.60	7	2.26	99	2.28	63	2.14	1537	1.98
	"CHOI, Daniel"	UNI	961	1.48	39	0.74	4	1.29	73	1.68	47	1.60	1124	1.44
	"SLATER, Richard"	ALP	15173	23.36	1021	19.39	82	26.45	983	22.60	489	16.62	17748	22.81
#	"RUDDOCK, Philip Maxwell"	LP	37899	58.36	2904	55.15	162	52.26	2556	58.77	2054	69.79	45575	58.57
	"GALE, Maureen"	GRN	3239	4.99	465	8.83	17	5.48	212	4.87	96	3.26	4029	5.18
	"NANNELLI, Owen"	CTA	1379	2.12	120	2.28	6	1.94	73	1.68	54	1.83	1632	2.10
