House of Representatives - 2001 Election: New South Wales																																								
Distribution of Preferences																																								
By Division																																								
																																								
																																								
Banks																																								
			O'LEARY			WILCOX			ABRAHAMS			HANNOUN			WATZLAFF			MURPHY			COLE			MELHAM			BAISSARI													
			Ken			David			Lynn			Nazim			Marcus			Lynne			Stephen			Daryl			Sam													
			(AFI)			(GRN)			(HAN)			(IND)			(LP)			(UNI)			(DEM)			(ALP)			(CTA)													
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total										
FIRST			2522	3.42		2066	2.81		4649	6.31		418	0.57		26358	35.79		731	0.99		2350	3.19		32592	44.25		1968	2.67		73654										
SECOND			36	8.61		49	11.72		53	12.68			Excluded		126	30.14		19	4.55		45	10.77		66	15.79		24	5.74		418										
	TOTAL		2558	3.47		2115	2.87		4702	6.38					26484	35.96		750	1.02		2395	3.25		32658	44.34		1992	2.70		73654										
THIRD			28	3.73		70	9.33		25	3.33					85	11.33			Excluded		140	18.67		379	50.53		23	3.07		750										
	TOTAL		2586	3.51		2185	2.97		4727	6.42					26569	36.07					2535	3.44		33037	44.85		2015	2.74		73654										
FOURTH			103	5.11		102	5.06		108	5.36					1087	53.95					165	8.19		450	22.33			Excluded		2015										
	TOTAL		2689	3.65		2287	3.11		4835	6.56					27656	37.55					2700	3.67		33487	45.47					73654										
FIFTH			341	14.91			Excluded		177	7.74					256	11.19					818	35.77		695	30.39					2287										
	TOTAL		3030	4.11					5012	6.80					27912	37.90					3518	4.78		34182	46.41					73654										
SIXTH				Excluded					1786	58.94					509	16.80					270	8.91		465	15.35					3030										
	TOTAL								6798	9.23					28421	38.59					3788	5.14		34647	47.04					73654										
SEVENTH									376	9.93					968	25.55						Excluded		2444	64.52					3788										
	TOTAL								7174	9.74					29389	39.90								37091	50.36					73654										
EIGHTH										Excluded					5313	74.06								1861	25.94					7174										
	TOTAL														34702	47.11								38952	52.89					73654										
																									Elected															
																																								
Barton																																								
			BRENNAN			LAU			RYDSTRAND			HARRIS			BARKER			MCCLELLAND			ADAIR																			
			Jan			John			David			Chris			David			Robert			Michele																			
			(LP)			(UNI)			(HAN)			(GRN)			(CTA)			(ALP)			(DEM)																			
Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total																
FIRST			28198	37.73		1375	1.84		2725	3.65		2168	2.90		1081	1.45		35871	47.99		3328	4.45		74746																
SECOND			432	39.96		56	5.18		168	15.54		115	10.64			Excluded		198	18.32		112	10.36		1081																
	TOTAL		28630	38.30		1431	1.91		2893	3.87		2283	3.05					36069	48.26		3440	4.60		74746																
THIRD			358	25.02			Excluded		68	4.75		198	13.84					580	40.53		227	15.86		1431																
	TOTAL		28988	38.78					2961	3.96		2481	3.32					36649	49.03		3667	4.91		74746																
FOURTH			327	13.18					218	8.79			Excluded					893	35.99		1043	42.04		2481																
	TOTAL		29315	39.22					3179	4.25								37542	50.23		4710	6.30		74746																
FIFTH			1997	62.82						Excluded								768	24.16		414	13.02		3179																
	TOTAL		31312	41.89														38310	51.25		5124	6.86		74746																
SIXTH			1561	30.46														3563	69.54			Excluded		5124																
	TOTAL		32873	43.98														41873	56.02					74746																
																			Elected																					
																																								
Bennelong																																								
