House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Beverly Hills North	2596	1499	57.74	1097	42.26	-4.47	
Beverly Hills South (Banks)	699	424	60.66	275	39.34	2.32	
East Hills	1050	533	50.76	517	49.24	-6.09	
Hannans Road	2411	1624	67.36	787	32.64	-2.33	
Lugarno	2987	986	33.01	2001	66.99	-2.00	
Milperra	2424	1092	45.05	1332	54.95	-6.33	
Mortdale Central	1925	1073	55.74	852	44.26	-3.94	
Mortdale Heights	972	436	44.86	536	55.14	-3.10	
Mortdale West	1899	990	52.13	909	47.87	-4.05	
Narwee	2748	1492	54.29	1256	45.71	-6.58	
Oatley (Banks)	576	239	41.49	337	58.51	2.04	
Oatley West	2446	1077	44.03	1369	55.97	0.75	
Padstow	3466	1958	56.49	1508	43.51	-7.94	
Padstow East	1513	816	53.93	697	46.07	-7.19	
Padstow North	543	282	51.93	261	48.07	-6.76	
Padstow South	2634	1235	46.89	1399	53.11	-5.16	
Panania	1718	961	55.94	757	44.06	-3.85	
Panania Central	1395	752	53.91	643	46.09	-7.99	
Panania North	1891	1056	55.84	835	44.16	-6.54	
Panania South	2735	1297	47.42	1438	52.58	-5.95	
Peakhurst	517	285	55.13	232	44.87	-6.49	
Peakhurst East	1637	880	53.76	757	46.24	-5.64	
Peakhurst South	1722	656	38.10	1066	61.90	-4.23	
Peakhurst West	2567	1164	45.34	1403	54.66	-6.26	
Penshurst	1588	895	56.36	693	43.64	-1.91	
Penshurst Central	1939	1145	59.05	794	40.95	-5.44	
Picnic Point North	2064	898	43.51	1166	56.49	-5.46	
Punchbowl (Banks)	1962	1450	73.90	512	26.10	-3.21	
Revesby	1572	1032	65.65	540	34.35	-4.82	
Revesby North	2849	1701	59.71	1148	40.29	-4.40	
Revesby South	2470	1281	51.86	1189	48.14	-5.58	
Riverwood North	1400	1010	72.14	390	27.86	-5.72	
Riverwood South	1468	848	57.77	620	42.23	-2.99	
Special Hospital Team 1	135	67	49.63	68	50.37	-0.75	
Sydney (Banks)	123	76	61.79	47	38.21	-1.37	
ABSENT	4841	2514	51.93	2327	48.07	-	
POSTAL	2849	1479	51.91	1370	48.09	-	
PRE POLL	2960	1518	51.28	1442	48.72	-	
PROVISIONAL	363	231	63.64	132	36.36	-	
Division Total	73654	38952	52.89	34702	47.11	-4.38	
							
							
Barton							
							
Polling Place	Formal	McCLELLAND		BRENNAN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Allawah	1426	880	61.71	546	38.29	-3.91	
Allawah South	984	572	58.13	412	41.87	-2.65	
Arncliffe	1313	924	70.37	389	29.63	-4.58	
Athelstane	2501	1740	69.57	761	30.43	-6.45	
Bald Face	1566	417	26.63	1149	73.37	2.16	
Banksia	1680	1242	73.93	438	26.07	-4.02	
Bell Park	697	357	51.22	340	48.78	-5.66	
Bexley	2325	1409	60.60	916	39.40	-6.80	
Bexley Central	860	545	63.37	315	36.63	-4.36	
Bexley East	1216	811	66.69	405	33.31	-2.39	
Bexley South	384	261	67.97	123	32.03	-1.66	
Blakehurst	823	371	45.08	452	54.92	0.41	
Bona Park	703	352	50.07	351	49.93	-5.38	
Brighton North	1108	586	52.89	522	47.11	-2.34	
Brighton-Le-Sands	2557	1513	59.17	1044	40.83	-4.91	
Carlton	2585	1713	66.27	872	33.73	-3.32	
Carlton North	1105	729	65.97	376	34.03	-1.32	
Carss Park	864	319	36.92	545	63.08	-1.47	
Clareville Park	2132	897	42.07	1235	57.93	-4.89	
Connells Point	2779	950	34.18	1829	65.82	-0.77	
Hurstville Central	1384	835	60.33	549	39.67	-1.91	
Hurstville Grove	2172	1024	47.15	1148	52.85	-5.63	
Hurstville South	556	307	55.22	249	44.78	0.12	
Jubilee	3025	1792	59.24	1233	40.76	-2.30	
Kogarah	817	550	67.32	267	32.68	-1.46	
Kogarah Bay	958	419	43.74	539	56.26	0.19	
Kogarah Central	1593	1140	71.56	453	28.44	-2.71	
Kyeemagh	959	558	58.19	401	41.81	-6.75	
Monterey	1964	1049	53.41	915	46.59	-0.58	
Moorefield	825	485	58.79	340	41.21	-5.24	
Mortdale East	1088	556	51.10	532	48.90	-3.36	
Oatley (Barton)	2195	869	39.59	1326	60.41	-4.95	
Ramsgate	1961	1037	52.88	924	47.12	-3.14	
Ramsgate Beach	1869	893	47.78	976	52.22	-9.05	
Rockdale	1610	1205	74.84	405	25.16	-7.03	
Rockdale Central	1691	1194	70.61	497	29.39	-5.69	
Rockdale Park	988	678	68.62	310	31.38	-5.84	
Rockdale West	1473	1102	74.81	371	25.19	-2.54	
Sans Souci	2162	989	45.74	1173	54.26	-3.93	
South Haven	690	441	63.91	249	36.09	-5.69	
