House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Bennelong (86896)											
		Candidate		"CAMPBELL, Nicole"		           	"HOWARD, John Winston"		       	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Balaclava										
			1st Prefs	691	35.17		1274	64.83		1965	
		"WEBECK, Robert (HAN)"	44	19	43.18		25	56.82		44	
		"HARKNESS, Bruce (NGST)"	16	10	62.50		6	37.50		16	
		"PLUMB, Noel (SAS)"	2	2	100.00		0	0.00		2	
		"DAWSON, John (IND)"	19	7	36.84		12	63.16		19	
		"SHAW, Jimmy (GRN)"	129	96	74.42		33	25.58		129	
		"GOLDFINCH, Peter Lloyd (DEM)"	202	140	69.31		62	30.69		202	
		"MARSH, Peter (NCP)"	3	1	33.33		2	66.67		3	
		"LAW, May (UNI)"	84	68	80.95		16	19.05		84	
		Total	499	1034	41.96		1430	58.04		2464	

	Boronia Park (Bennelong)										
			1st Prefs	256	34.88		478	65.12		734	
		"WEBECK, Robert (HAN)"	17	9	52.94		8	47.06		17	
		"HARKNESS, Bruce (NGST)"	4	3	75.00		1	25.00		4	
		"PLUMB, Noel (SAS)"	5	4	80.00		1	20.00		5	
		"DAWSON, John (IND)"	1	1	100.00		0	0.00		1	
		"SHAW, Jimmy (GRN)"	57	53	92.98		4	7.02		57	
		"GOLDFINCH, Peter Lloyd (DEM)"	47	37	78.72		10	21.28		47	
		"MARSH, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"LAW, May (UNI)"	2	2	100.00		0	0.00		2	
		Total	134	366	42.17		502	57.83		868	

	Carlingford (Bennelong)										
			1st Prefs	285	30.61		646	69.39		931	
		"WEBECK, Robert (HAN)"	22	11	50.00		11	50.00		22	
		"HARKNESS, Bruce (NGST)"	7	7	100.00		0	0.00		7	
		"PLUMB, Noel (SAS)"	0	0	0.00		0	0.00		0	
		"DAWSON, John (IND)"	8	6	75.00		2	25.00		8	
		"SHAW, Jimmy (GRN)"	19	15	78.95		4	21.05		19	
		"GOLDFINCH, Peter Lloyd (DEM)"	64	50	78.13		14	21.88		64	
		"MARSH, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"LAW, May (UNI)"	41	36	87.80		5	12.20		41	
		Total	162	411	37.60		682	62.40		1093	

	Denistone										
			1st Prefs	292	40.22		434	59.78		726	
		"WEBECK, Robert (HAN)"	20	7	35.00		13	65.00		20	
		"HARKNESS, Bruce (NGST)"	7	5	71.43		2	28.57		7	
		"PLUMB, Noel (SAS)"	2	2	100.00		0	0.00		2	
		"DAWSON, John (IND)"	7	5	71.43		2	28.57		7	
		"SHAW, Jimmy (GRN)"	29	24	82.76		5	17.24		29	
		"GOLDFINCH, Peter Lloyd (DEM)"	51	40	78.43		11	21.57		51	
		"MARSH, Peter (NCP)"	1	0	0.00		1	100.00		1	
		"LAW, May (UNI)"	18	14	77.78		4	22.22		18	
		Total	135	389	45.18		472	54.82		861	

	Denistone East										
			1st Prefs	750	37.75		1237	62.25		1987	
		"WEBECK, Robert (HAN)"	60	24	40.00		36	60.00		60	
		"HARKNESS, Bruce (NGST)"	9	5	55.56		4	44.44		9	
		"PLUMB, Noel (SAS)"	6	3	50.00		3	50.00		6	
		"DAWSON, John (IND)"	5	1	20.00		4	80.00		5	
		"SHAW, Jimmy (GRN)"	89	75	84.27		14	15.73		89	
