House of Representatives - 2001 Election: New South Wales														
Two Candidate Preferred Preference Flow Result														
By Polling Place														
														
Berowra (85766)														
		Candidate		                  	"SLATER, Richard"		            	"RUDDOCK, Philip Maxwell"		    	Exhausted		Total	
				                           	ALP		                        	LP		                         				
				                           	Votes	%	                     	Votes	%	                     	Votes			
	Arcadia													
			1st Prefs		127	19.10		538	80.90		                      		665	
		"SPARKS, Philip (DEM)"	41		30	73.17		11	26.83		0		41	
		"BALL, Harry (HAN)"	31		7	22.58		24	77.42		0		31	
		"CHOI, Daniel (UNI)"	1		1	100.00		0	0.00		0		1	
		"GALE, Maureen (GRN)"	46		34	73.91		12	26.09		0		46	
		"NANNELLI, Owen (CTA)"	19		2	10.53		17	89.47		0		19	
		"GALLAGHER, P J (NGST)"	6		1	16.67		5	83.33		0		6	
		Total	144		202	24.97		607	75.03		0		809	

	Asquith													
			1st Prefs		648	37.28		1090	62.72		                      		1738	
		"SPARKS, Philip (DEM)"	135		93	68.89		42	31.11		0		135	
		"BALL, Harry (HAN)"	52		24	46.15		28	53.85		0		52	
		"CHOI, Daniel (UNI)"	44		34	77.27		10	22.73		0		44	
		"GALE, Maureen (GRN)"	79		55	69.62		24	30.38		0		79	
		"NANNELLI, Owen (CTA)"	29		8	27.59		21	72.41		0		29	
		"GALLAGHER, P J (NGST)"	38		24	63.16		14	36.84		0		38	
		Total	377		886	41.89		1229	58.11		0		2115	

	Beecroft													
			1st Prefs		620	23.83		1982	76.17		                      		2602	
		"SPARKS, Philip (DEM)"	258		203	78.68		55	21.32		0		258	
		"BALL, Harry (HAN)"	30		10	33.33		20	66.67		0		30	
		"CHOI, Daniel (UNI)"	76		56	73.68		20	26.32		0		76	
		"GALE, Maureen (GRN)"	199		157	78.89		42	21.11		0		199	
		"NANNELLI, Owen (CTA)"	72		11	15.28		61	84.72		0		72	
		"GALLAGHER, P J (NGST)"	15		8	53.33		7	46.67		0		15	
		Total	650		1065	32.75		2187	67.25		0		3252	

	Berowra													
			1st Prefs		813	30.87		1821	69.13		                      		2634	
		"SPARKS, Philip (DEM)"	226		140	61.95		86	38.05		0		226	
		"BALL, Harry (HAN)"	69		21	30.43		48	69.57		0		69	
		"CHOI, Daniel (UNI)"	23		14	60.87		9	39.13		0		23	
		"GALE, Maureen (GRN)"	141		109	77.30		32	22.70		0		141	
		"NANNELLI, Owen (CTA)"	63		16	25.40		47	74.60		0		63	
		"GALLAGHER, P J (NGST)"	53		24	45.28		29	54.72		0		53	
		Total	575		1137	35.43		2072	64.57		0		3209	

	Berowra Heights													
			1st Prefs		458	32.39		956	67.61		                      		1414	
		"SPARKS, Philip (DEM)"	104		79	75.96		25	24.04		0		104	
		"BALL, Harry (HAN)"	45		16	35.56		29	64.44		0		45	
		"CHOI, Daniel (UNI)"	5		5	100.00		0	0.00		0		5	
		"GALE, Maureen (GRN)"	117		89	76.07		28	23.93		0		117	
		"NANNELLI, Owen (CTA)"	57		10	17.54		47	82.46		0		57	
		"GALLAGHER, P J (NGST)"	25		15	60.00		10	40.00		0		25	
		Total	353		672	38.03		1095	61.97		0		1767	

	Berowra Waters													
			1st Prefs		17	25.76		49	74.24		                      		66	
		"SPARKS, Philip (DEM)"	2		1	50.00		1	50.00		0		2	
		"BALL, Harry (HAN)"	4		3	75.00		1	25.00		0		4	
		"CHOI, Daniel (UNI)"	0		0	0.00		0	0.00		0		0	
		"GALE, Maureen (GRN)"	3		2	66.67		1	33.33		0		3	
		"NANNELLI, Owen (CTA)"	0		0	0.00		0	0.00		0		0	
		"GALLAGHER, P J (NGST)"	1		1	100.00		0	0.00		0		1	
		Total	10		24	31.58		52	68.42		0		76	

	Bowden Brae													
			1st Prefs		82	19.95		329	80.05		                      		411	
		"SPARKS, Philip (DEM)"	20		11	55.00		9	45.00		0		20	
		"BALL, Harry (HAN)"	10		5	50.00		5	50.00		0		10	
		"CHOI, Daniel (UNI)"	5		5	100.00		0	0.00		0		5	
		"GALE, Maureen (GRN)"	30		23	76.67		7	23.33		0		30	
		"NANNELLI, Owen (CTA)"	6		4	66.67		2	33.33		0		6	
		"GALLAGHER, P J (NGST)"	3		2	66.67		1	33.33		0		3	
		Total	74		132	27.22		353	72.78		0		485	

	Brooklyn													
			1st Prefs		142	40.00		213	60.00		                      		355	
		"SPARKS, Philip (DEM)"	31		27	87.10		4	12.90		0		31	
		"BALL, Harry (HAN)"	23		10	43.48		13	56.52		0		23	
		"CHOI, Daniel (UNI)"	1		1	100.00		0	0.00		0		1	
		"GALE, Maureen (GRN)"	24		21	87.50		3	12.50		0		24	
		"NANNELLI, Owen (CTA)"	2		2	100.00		0	0.00		0		2	
		"GALLAGHER, P J (NGST)"	11		7	63.64		4	36.36		0		11	
		Total	92		210	46.98		237	53.02		0		447	

	Cheltenham													
			1st Prefs		263	25.56		766	74.44		                      		1029	
		"SPARKS, Philip (DEM)"	108		71	65.74		37	34.26		0		108	
		"BALL, Harry (HAN)"	17		6	35.29		11	64.71		0		17	
		"CHOI, Daniel (UNI)"	17		12	70.59		5	29.41		0		17	
		"GALE, Maureen (GRN)"	109		90	82.57		19	17.43		0		109	
		"NANNELLI, Owen (CTA)"	25		5	20.00		20	80.00		0		25	
		"GALLAGHER, P J (NGST)"	8		5	62.50		3	37.50		0		8	
		Total	284		452	34.42		861	65.58		0		1313	

	Cherrybrook													
			1st Prefs		706	27.96		1819	72.04		                      		2525	
		"SPARKS, Philip (DEM)"	131		90	68.70		41	31.30		0		131	
		"BALL, Harry (HAN)"	35		12	34.29		23	65.71		0		35	
		"CHOI, Daniel (UNI)"	58		46	79.31		12	20.69		0		58	
		"GALE, Maureen (GRN)"	91		72	79.12		19	20.88		0		91	
		"NANNELLI, Owen (CTA)"	60		21	35.00		39	65.00		0		60	
		"GALLAGHER, P J (NGST)"	33		21	63.64		12	36.36		0		33	
		Total	408		968	33.00		1965	67.00		0		2933	

	Cherrybrook Central													
			1st Prefs		202	25.31		596	74.69		                      		798	
		"SPARKS, Philip (DEM)"	40		20	50.00		20	50.00		0		40	
		"BALL, Harry (HAN)"	11		4	36.36		7	63.64		0		11	
		"CHOI, Daniel (UNI)"	10		7	70.00		3	30.00		0		10	
		"GALE, Maureen (GRN)"	22		17	77.27		5	22.73		0		22	
		"NANNELLI, Owen (CTA)"	35		9	25.71		26	74.29		0		35	
		"GALLAGHER, P J (NGST)"	6		5	83.33		1	16.67		0		6	
		Total	124		264	28.63		658	71.37		0		922	

	Cherrybrook South													
			1st Prefs		224	21.94		797	78.06		                      		1021	
		"SPARKS, Philip (DEM)"	58		41	70.69		17	29.31		0		58	
		"BALL, Harry (HAN)"	14		6	42.86		8	57.14		0		14	
		"CHOI, Daniel (UNI)"	17		10	58.82		7	41.18		0		17	
		"GALE, Maureen (GRN)"	35		20	57.14		15	42.86		0		35	
		"NANNELLI, Owen (CTA)"	28		3	10.71		25	89.29		0		28	
		"GALLAGHER, P J (NGST)"	5		2	40.00		3	60.00		0		5	
		Total	157		306	25.98		872	74.02		0		1178	

	Cowan													
			1st Prefs		88	39.11		137	60.89		                      		225	
		"SPARKS, Philip (DEM)"	20		13	65.00		7	35.00		0		20	
		"BALL, Harry (HAN)"	17		10	58.82		7	41.18		0		17	
		"CHOI, Daniel (UNI)"	1		1	100.00		0	0.00		0		1	
		"GALE, Maureen (GRN)"	19		15	78.95		4	21.05		0		19	
		"NANNELLI, Owen (CTA)"	9		2	22.22		7	77.78		0		9	
		"GALLAGHER, P J (NGST)"	9		7	77.78		2	22.22		0		9	
		Total	75		136	45.33		164	54.67		0		300	

	Dangar Island													
			1st Prefs		40	57.14		30	42.86		                      		70	
		"SPARKS, Philip (DEM)"	17		16	94.12		1	5.88		0		17	
		"BALL, Harry (HAN)"	0		0	0.00		0	0.00		0		0	
		"CHOI, Daniel (UNI)"	2		1	50.00		1	50.00		0		2	
		"GALE, Maureen (GRN)"	30		27	90.00		3	10.00		0		30	
		"NANNELLI, Owen (CTA)"	3		0	0.00		3	100.00		0		3	
		"GALLAGHER, P J (NGST)"	2		2	100.00		0	0.00		0		2	
		Total	54		86	69.35		38	30.65		0		124	

	Dural (Berowra)													
			1st Prefs		218	15.80		1162	84.20		                      		1380	
		"SPARKS, Philip (DEM)"	75		49	65.33		26	34.67		0		75	
		"BALL, Harry (HAN)"	31		11	35.48		20	64.52		0		31	
		"CHOI, Daniel (UNI)"	6		5	83.33		1	16.67		0		6	
		"GALE, Maureen (GRN)"	68		51	75.00		17	25.00		0		68	
		"NANNELLI, Owen (CTA)"	19		1	5.26		18	94.74		0		19	
		"GALLAGHER, P J (NGST)"	13		8	61.54		5	38.46		0		13	
		Total	212		343	21.55		1249	78.45		0		1592	

	Epping Heights (Berowra)													
			1st Prefs		40	30.53		91	69.47		                      		131	
		"SPARKS, Philip (DEM)"	10		6	60.00		4	40.00		0		10	
		"BALL, Harry (HAN)"	1		0	0.00		1	100.00		0		1	
		"CHOI, Daniel (UNI)"	3		3	100.00		0	0.00		0		3	
