House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Blaxland (82779)											
		Candidate		"HATTON, Michael"		            	"OSMOND, Les"		                	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Bankstown										
			1st Prefs	1833	83.78		355	16.22		2188	
		"MCDERMOTT, Colin (DEM)"	146	130	89.04		16	10.96		146	
		"VINNICOMBE, Bob (HAN)"	73	35	47.95		38	52.05		73	
		"ANNY, Munther (IND)"	16	6	37.50		10	62.50		16	
		"SAYEGH, Peter (IND)"	50	34	68.00		16	32.00		50	
		"PETERSON, Janne (CTA)"	41	16	39.02		25	60.98		41	
		"HAWAT, Dario (UNI)"	104	73	70.19		31	29.81		104	
		"MCKAY, Sonya (GRN)"	52	41	78.85		11	21.15		52	
		Total	482	2168	81.20		502	18.80		2670	

	Bankstown Central										
			1st Prefs	1347	79.19		354	20.81		1701	
		"MCDERMOTT, Colin (DEM)"	75	58	77.33		17	22.67		75	
		"VINNICOMBE, Bob (HAN)"	44	17	38.64		27	61.36		44	
		"ANNY, Munther (IND)"	8	4	50.00		4	50.00		8	
		"SAYEGH, Peter (IND)"	35	9	25.71		26	74.29		35	
		"PETERSON, Janne (CTA)"	9	5	55.56		4	44.44		9	
		"HAWAT, Dario (UNI)"	101	61	60.40		40	39.60		101	
		"MCKAY, Sonya (GRN)"	35	25	71.43		10	28.57		35	
		Total	307	1526	76.00		482	24.00		2008	

	Bankstown North										
			1st Prefs	708	72.62		267	27.38		975	
		"MCDERMOTT, Colin (DEM)"	75	57	76.00		18	24.00		75	
		"VINNICOMBE, Bob (HAN)"	88	39	44.32		49	55.68		88	
		"ANNY, Munther (IND)"	6	2	33.33		4	66.67		6	
		"SAYEGH, Peter (IND)"	6	4	66.67		2	33.33		6	
		"PETERSON, Janne (CTA)"	10	7	70.00		3	30.00		10	
		"HAWAT, Dario (UNI)"	34	29	85.29		5	14.71		34	
		"MCKAY, Sonya (GRN)"	32	21	65.63		11	34.38		32	
		Total	251	867	70.72		359	29.28		1226	

	Bankstown South										
			1st Prefs	926	69.94		398	30.06		1324	
		"MCDERMOTT, Colin (DEM)"	82	66	80.49		16	19.51		82	
		"VINNICOMBE, Bob (HAN)"	92	26	28.26		66	71.74		92	
		"ANNY, Munther (IND)"	11	6	54.55		5	45.45		11	
		"SAYEGH, Peter (IND)"	17	4	23.53		13	76.47		17	
		"PETERSON, Janne (CTA)"	20	6	30.00		14	70.00		20	
		"HAWAT, Dario (UNI)"	27	15	55.56		12	44.44		27	
		"MCKAY, Sonya (GRN)"	46	36	78.26		10	21.74		46	
		Total	295	1085	67.02		534	32.98		1619	

	Bankstown West										
			1st Prefs	998	74.15		348	25.85		1346	
		"MCDERMOTT, Colin (DEM)"	90	75	83.33		15	16.67		90	
		"VINNICOMBE, Bob (HAN)"	88	22	25.00		66	75.00		88	
		"ANNY, Munther (IND)"	8	6	75.00		2	25.00		8	
		"SAYEGH, Peter (IND)"	39	18	46.15		21	53.85		39	
		"PETERSON, Janne (CTA)"	42	12	28.57		30	71.43		42	
		"HAWAT, Dario (UNI)"	36	21	58.33		15	41.67		36	
		"MCKAY, Sonya (GRN)"	43	30	69.77		13	30.23		43	
		Total	346	1182	69.86		510	30.14		1692	

	Bass Hill										
			1st Prefs	1098	63.95		619	36.05		1717	
