House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Cunningham (81540)											
		Candidate		"FIELDS, Jeremy"		             	"MARTIN, Stephen"		            	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Austinmer										
			1st Prefs	249	40.29		369	59.71		618	
		"CURTIS, John (HAN)"	30	15	50.00		15	50.00		30	
		"PINK, J Edwin (NGST)"	2	0	0.00		2	100.00		2	
		"BERRY, Carol (GRN)"	180	20	11.11		160	88.89		180	
		"MOTT, Trevor (IND)"	58	21	36.21		37	63.79		58	
		"NEWMAN, Michael (DEM)"	93	21	22.58		72	77.42		93	
		"SKINNER, Paul (CTA)"	14	7	50.00		7	50.00		14	
		Total	377	333	33.47		662	66.53		995	

	Balgownie										
			1st Prefs	445	47.70		488	52.30		933	
		"CURTIS, John (HAN)"	40	27	67.50		13	32.50		40	
		"PINK, J Edwin (NGST)"	3	0	0.00		3	100.00		3	
		"BERRY, Carol (GRN)"	68	10	14.71		58	85.29		68	
		"MOTT, Trevor (IND)"	73	39	53.42		34	46.58		73	
		"NEWMAN, Michael (DEM)"	107	36	33.64		71	66.36		107	
		"SKINNER, Paul (CTA)"	29	20	68.97		9	31.03		29	
		Total	320	577	46.05		676	53.95		1253	

	Balgownie Central										
			1st Prefs	789	40.99		1136	59.01		1925	
		"CURTIS, John (HAN)"	89	54	60.67		35	39.33		89	
		"PINK, J Edwin (NGST)"	18	11	61.11		7	38.89		18	
		"BERRY, Carol (GRN)"	103	17	16.50		86	83.50		103	
		"MOTT, Trevor (IND)"	111	63	56.76		48	43.24		111	
		"NEWMAN, Michael (DEM)"	141	40	28.37		101	71.63		141	
		"SKINNER, Paul (CTA)"	43	27	62.79		16	37.21		43	
		Total	505	1001	41.19		1429	58.81		2430	

	Bellambi										
			1st Prefs	196	19.66		801	80.34		997	
		"CURTIS, John (HAN)"	82	41	50.00		41	50.00		82	
		"PINK, J Edwin (NGST)"	31	12	38.71		19	61.29		31	
		"BERRY, Carol (GRN)"	48	14	29.17		34	70.83		48	
		"MOTT, Trevor (IND)"	80	27	33.75		53	66.25		80	
		"NEWMAN, Michael (DEM)"	48	10	20.83		38	79.17		48	
		"SKINNER, Paul (CTA)"	30	16	53.33		14	46.67		30	
		Total	319	316	24.01		1000	75.99		1316	

	Bulli										
			1st Prefs	160	30.77		360	69.23		520	
		"CURTIS, John (HAN)"	55	32	58.18		23	41.82		55	
		"PINK, J Edwin (NGST)"	8	3	37.50		5	62.50		8	
		"BERRY, Carol (GRN)"	44	5	11.36		39	88.64		44	
		"MOTT, Trevor (IND)"	91	42	46.15		49	53.85		91	
		"NEWMAN, Michael (DEM)"	59	17	28.81		42	71.19		59	
		"SKINNER, Paul (CTA)"	6	2	33.33		4	66.67		6	
		Total	263	261	33.33		522	66.67		783	

	Bulli Central										
			1st Prefs	525	33.65		1035	66.35		1560	
		"CURTIS, John (HAN)"	133	83	62.41		50	37.59		133	
		"PINK, J Edwin (NGST)"	26	12	46.15		14	53.85		26	
		"BERRY, Carol (GRN)"	114	20	17.54		94	82.46		114	
		"MOTT, Trevor (IND)"	405	120	29.63		285	70.37		405	
		"NEWMAN, Michael (DEM)"	171	48	28.07		123	71.93		171	
		"SKINNER, Paul (CTA)"	36	22	61.11		14	38.89		36	
		Total	885	830	33.95		1615	66.05		2445	

	Bulli Hospital										
			1st Prefs	40	39.60		61	60.40		101	
		"CURTIS, John (HAN)"	6	1	16.67		5	83.33		6	
		"PINK, J Edwin (NGST)"	1	0	0.00		1	100.00		1	
		"BERRY, Carol (GRN)"	11	4	36.36		7	63.64		11	
		"MOTT, Trevor (IND)"	13	6	46.15		7	53.85		13	
		"NEWMAN, Michael (DEM)"	10	0	0.00		10	100.00		10	
		"SKINNER, Paul (CTA)"	2	2	100.00		0	0.00		2	
		Total	43	53	36.81		91	63.19		144	

	Coalcliff										
			1st Prefs	25	34.72		47	65.28		72	
		"CURTIS, John (HAN)"	11	10	90.91		1	9.09		11	
		"PINK, J Edwin (NGST)"	0	0	0.00		0	0.00		0	
		"BERRY, Carol (GRN)"	4	1	25.00		3	75.00		4	
		"MOTT, Trevor (IND)"	8	4	50.00		4	50.00		8	
		"NEWMAN, Michael (DEM)"	9	2	22.22		7	77.78		9	
		"SKINNER, Paul (CTA)"	1	1	100.00		0	0.00		1	
		Total	33	43	40.95		62	59.05		105	

	Coledale										
			1st Prefs	162	34.11		313	65.89		475	
		"CURTIS, John (HAN)"	40	24	60.00		16	40.00		40	
		"PINK, J Edwin (NGST)"	5	1	20.00		4	80.00		5	
		"BERRY, Carol (GRN)"	162	13	8.02		149	91.98		162	
		"MOTT, Trevor (IND)"	46	22	47.83		24	52.17		46	
		"NEWMAN, Michael (DEM)"	47	11	23.40		36	76.60		47	
		"SKINNER, Paul (CTA)"	12	7	58.33		5	41.67		12	
		Total	312	240	30.50		547	69.50		787	

	Coniston										
			1st Prefs	346	27.03		934	72.97		1280	
		"CURTIS, John (HAN)"	94	56	59.57		38	40.43		94	
		"PINK, J Edwin (NGST)"	32	19	59.38		13	40.63		32	
		"BERRY, Carol (GRN)"	90	28	31.11		62	68.89		90	
		"MOTT, Trevor (IND)"	57	24	42.11		33	57.89		57	
		"NEWMAN, Michael (DEM)"	125	42	33.60		83	66.40		125	
		"SKINNER, Paul (CTA)"	27	16	59.26		11	40.74		27	
		Total	425	531	31.14		1174	68.86		1705	

	Cordeaux Heights										
			1st Prefs	381	45.47		457	54.53		838	
		"CURTIS, John (HAN)"	32	17	53.13		15	46.88		32	
		"PINK, J Edwin (NGST)"	7	4	57.14		3	42.86		7	
		"BERRY, Carol (GRN)"	27	7	25.93		20	74.07		27	
		"MOTT, Trevor (IND)"	42	27	64.29		15	35.71		42	
		"NEWMAN, Michael (DEM)"	95	41	43.16		54	56.84		95	
		"SKINNER, Paul (CTA)"	66	49	74.24		17	25.76		66	
		Total	269	526	47.52		581	52.48		1107	

	Corrimal										
			1st Prefs	587	31.59		1271	68.41		1858	
		"CURTIS, John (HAN)"	121	86	71.07		35	28.93		121	
		"PINK, J Edwin (NGST)"	33	14	42.42		19	57.58		33	
		"BERRY, Carol (GRN)"	93	19	20.43		74	79.57		93	
		"MOTT, Trevor (IND)"	98	44	44.90		54	55.10		98	
		"NEWMAN, Michael (DEM)"	87	26	29.89		61	70.11		87	
		"SKINNER, Paul (CTA)"	78	56	71.79		22	28.21		78	
		Total	510	832	35.14		1536	64.86		2368	

	Corrimal East										
			1st Prefs	690	30.25		1591	69.75		2281	
		"CURTIS, John (HAN)"	161	113	70.19		48	29.81		161	
		"PINK, J Edwin (NGST)"	37	19	51.35		18	48.65		37	
		"BERRY, Carol (GRN)"	142	31	21.83		111	78.17		142	
		"MOTT, Trevor (IND)"	162	65	40.12		97	59.88		162	
		"NEWMAN, Michael (DEM)"	168	42	25.00		126	75.00		168	
		"SKINNER, Paul (CTA)"	76	54	71.05		22	28.95		76	
		Total	746	1014	33.50		2013	66.50		3027	

	Fairy Meadow										
			1st Prefs	448	30.79		1007	69.21		1455	
		"CURTIS, John (HAN)"	83	61	73.49		22	26.51		83	
		"PINK, J Edwin (NGST)"	19	10	52.63		9	47.37		19	
		"BERRY, Carol (GRN)"	97	21	21.65		76	78.35		97	
		"MOTT, Trevor (IND)"	67	34	50.75		33	49.25		67	
		"NEWMAN, Michael (DEM)"	115	20	17.39		95	82.61		115	
		"SKINNER, Paul (CTA)"	36	22	61.11		14	38.89		36	
		Total	417	616	32.91		1256	67.09		1872	

	Fairy Meadow South										
			1st Prefs	44	31.21		97	68.79		141	
		"CURTIS, John (HAN)"	8	5	62.50		3	37.50		8	
		"PINK, J Edwin (NGST)"	2	2	100.00		0	0.00		2	
		"BERRY, Carol (GRN)"	20	4	20.00		16	80.00		20	
		"MOTT, Trevor (IND)"	6	1	16.67		5	83.33		6	
		"NEWMAN, Michael (DEM)"	16	4	25.00		12	75.00		16	
		"SKINNER, Paul (CTA)"	4	4	100.00		0	0.00		4	
		Total	56	64	32.49		133	67.51		197	

	Figtree										
			1st Prefs	1075	43.97		1370	56.03		2445	
		"CURTIS, John (HAN)"	155	115	74.19		40	25.81		155	
		"PINK, J Edwin (NGST)"	40	20	50.00		20	50.00		40	
		"BERRY, Carol (GRN)"	155	39	25.16		116	74.84		155	
		"MOTT, Trevor (IND)"	130	78	60.00		52	40.00		130	
		"NEWMAN, Michael (DEM)"	275	85	30.91		190	69.09		275	
		"SKINNER, Paul (CTA)"	136	105	77.21		31	22.79		136	
		Total	891	1517	45.47		1819	54.53		3336	

	Figtree Heights										
			1st Prefs	501	53.35		438	46.65		939	
		"CURTIS, John (HAN)"	50	24	48.00		26	52.00		50	
		"PINK, J Edwin (NGST)"	14	7	50.00		7	50.00		14	
		"BERRY, Carol (GRN)"	56	15	26.79		41	73.21		56	
		"MOTT, Trevor (IND)"	90	48	53.33		42	46.67		90	
