House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Eden-Monaro (85815)											
		Candidate		"WHAN, Steve"		                	"NAIRN, Gary"		                	Total	
				CLR		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Adaminaby										
			1st Prefs	74	31.49		161	68.51		235	
		"CHAPMAN, Linda (DEM)"	4	2	50.00		2	50.00		4	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	6	4	66.67		2	33.33		6	
		"SWIFT, Matthew (IND)"	14	6	42.86		8	57.14		14	
		"VLUG, Peter (NCP)"	2	1	50.00		1	50.00		2	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	53	14	26.42		39	73.58		53	
		"BRIDGES, Barry (HAN)"	10	3	30.00		7	70.00		10	
		Total	89	104	32.10		220	67.90		324	

	Araluen										
			1st Prefs	23	34.85		43	65.15		66	
		"CHAPMAN, Linda (DEM)"	1	1	100.00		0	0.00		1	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	8	7	87.50		1	12.50		8	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	6	0	0.00		6	100.00		6	
		"BRIDGES, Barry (HAN)"	6	2	33.33		4	66.67		6	
		Total	21	33	37.93		54	62.07		87	
											
	Batehaven										
			1st Prefs	561	45.91		661	54.09		1222	
		"CHAPMAN, Linda (DEM)"	35	29	82.86		6	17.14		35	
		"PHILLIPS, Frank (CTA)"	21	7	33.33		14	66.67		21	
		"BEAUMONT, Rosemary (GRN)"	35	29	82.86		6	17.14		35	
		"SWIFT, Matthew (IND)"	4	2	50.00		2	50.00		4	
		"VLUG, Peter (NCP)"	2	1	50.00		1	50.00		2	
		"URQUHART, Steve (IND)"	5	3	60.00		2	40.00		5	
		"COCHRAN, Peter (IND)"	75	23	30.67		52	69.33		75	
		"BRIDGES, Barry (HAN)"	50	23	46.00		27	54.00		50	
		Total	227	678	46.79		771	53.21		1449	

	Batemans Bay										
			1st Prefs	890	45.20		1079	54.80		1969	
		"CHAPMAN, Linda (DEM)"	55	42	76.36		13	23.64		55	
		"PHILLIPS, Frank (CTA)"	57	13	22.81		44	77.19		57	
		"BEAUMONT, Rosemary (GRN)"	71	62	87.32		9	12.68		71	
		"SWIFT, Matthew (IND)"	4	4	100.00		0	0.00		4	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	8	2	25.00		6	75.00		8	
		"COCHRAN, Peter (IND)"	126	40	31.75		86	68.25		126	
		"BRIDGES, Barry (HAN)"	115	39	33.91		76	66.09		115	
		Total	436	1092	45.41		1313	54.59		2405	

	Bega										
			1st Prefs	629	42.13		864	57.87		1493	
		"CHAPMAN, Linda (DEM)"	42	34	80.95		8	19.05		42	
		"PHILLIPS, Frank (CTA)"	24	12	50.00		12	50.00		24	
		"BEAUMONT, Rosemary (GRN)"	81	76	93.83		5	6.17		81	
		"SWIFT, Matthew (IND)"	5	1	20.00		4	80.00		5	
		"VLUG, Peter (NCP)"	3	2	66.67		1	33.33		3	
		"URQUHART, Steve (IND)"	26	20	76.92		6	23.08		26	
		"COCHRAN, Peter (IND)"	141	29	20.57		112	79.43		141	
		"BRIDGES, Barry (HAN)"	83	34	40.96		49	59.04		83	
		Total	405	837	44.10		1061	55.90		1898	

	Bega Central										
			1st Prefs	413	43.66		533	56.34		946	
		"CHAPMAN, Linda (DEM)"	37	32	86.49		5	13.51		37	
		"PHILLIPS, Frank (CTA)"	8	1	12.50		7	87.50		8	
		"BEAUMONT, Rosemary (GRN)"	44	41	93.18		3	6.82		44	
		"SWIFT, Matthew (IND)"	2	2	100.00		0	0.00		2	
		"VLUG, Peter (NCP)"	1	1	100.00		0	0.00		1	
		"URQUHART, Steve (IND)"	1	1	100.00		0	0.00		1	
		"COCHRAN, Peter (IND)"	97	19	19.59		78	80.41		97	
		"BRIDGES, Barry (HAN)"	43	21	48.84		22	51.16		43	
		Total	233	531	45.04		648	54.96		1179	
											
	Bemboka										
			1st Prefs	107	38.35		172	61.65		279	
		"CHAPMAN, Linda (DEM)"	11	8	72.73		3	27.27		11	
		"PHILLIPS, Frank (CTA)"	5	3	60.00		2	40.00		5	
		"BEAUMONT, Rosemary (GRN)"	28	27	96.43		1	3.57		28	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	1	0	0.00		1	100.00		1	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	62	14	22.58		48	77.42		62	
		"BRIDGES, Barry (HAN)"	10	1	10.00		9	90.00		10	
		Total	117	160	40.40		236	59.60		396	

	Bermagui										
			1st Prefs	560	51.90		519	48.10		1079	
		"CHAPMAN, Linda (DEM)"	23	19	82.61		4	17.39		23	
		"PHILLIPS, Frank (CTA)"	21	6	28.57		15	71.43		21	
		"BEAUMONT, Rosemary (GRN)"	104	98	94.23		6	5.77		104	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	2	2	100.00		0	0.00		2	
		"URQUHART, Steve (IND)"	36	23	63.89		13	36.11		36	
		"COCHRAN, Peter (IND)"	29	6	20.69		23	79.31		29	
		"BRIDGES, Barry (HAN)"	76	40	52.63		36	47.37		76	
		Total	291	754	55.04		616	44.96		1370	

	Berridale										
			1st Prefs	185	38.87		291	61.13		476	
		"CHAPMAN, Linda (DEM)"	12	9	75.00		3	25.00		12	
		"PHILLIPS, Frank (CTA)"	7	0	0.00		7	100.00		7	
		"BEAUMONT, Rosemary (GRN)"	22	19	86.36		3	13.64		22	
		"SWIFT, Matthew (IND)"	5	1	20.00		4	80.00		5	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
		"COCHRAN, Peter (IND)"	75	16	21.33		59	78.67		75	
		"BRIDGES, Barry (HAN)"	28	8	28.57		20	71.43		28	
		Total	149	238	38.08		387	61.92		625	

	Bibbenluke										
			1st Prefs	32	31.37		70	68.63		102	
		"CHAPMAN, Linda (DEM)"	0	0	0.00		0	0.00		0	
		"PHILLIPS, Frank (CTA)"	0	0	0.00		0	0.00		0	
		"BEAUMONT, Rosemary (GRN)"	5	4	80.00		1	20.00		5	
		"SWIFT, Matthew (IND)"	0	0	0.00		0	0.00		0	
		"VLUG, Peter (NCP)"	0	0	0.00		0	0.00		0	
		"URQUHART, Steve (IND)"	0	0	0.00		0	0.00		0	
