House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result 											
By Polling Place											
											
Farrer (84423)											
		Candidate		"BOTT, Bill"		                 	"LEY, Sussan"			Total	
				NP		                         	LP				
				Votes	%	                     	Votes	%			
	Adelong										
			1st Prefs	117	29.77		276	70.23		393	
		"SOBEY, Chris (GRN)"	25	18	72.00		7	28.00		25	
		"WEYRICH, Tom (IND)"	5	4	80.00		1	20.00		5	
		"WILKINSON, Max (HAN)"	58	30	51.72		28	48.28		58	
		"WATSON, Stuart (IND)"	51	32	62.75		19	37.25		51	
		"KREUTZBERGER, Keith"	7	6	85.71		1	14.29		7	
		"MILLEN, Frank (CLR)"	184	143	77.72		41	22.28		184	
		"CORBETT, David (IND)"	2	2	100.00		0	0.00		2	
		"PATERSON, Brett (DEM)"	14	9	64.29		5	35.71		14	
		"TAYLOR, Sue (IND)"	8	6	75.00		2	25.00		8	
		"GIBSON, Andrew (IND)"	2	0	0.00		2	100.00		2	
		Total	356	367	49.00		382	51.00		749	

	Albury										
			1st Prefs	331	28.24		841	71.76		1172	
		"SOBEY, Chris (GRN)"	165	78	47.27		87	52.73		165	
		"WEYRICH, Tom (IND)"	14	11	78.57		3	21.43		14	
		"WILKINSON, Max (HAN)"	83	24	28.92		59	71.08		83	
		"WATSON, Stuart (IND)"	22	10	45.45		12	54.55		22	
		"KREUTZBERGER, Keith"	19	9	47.37		10	52.63		19	
		"MILLEN, Frank (CLR)"	479	380	79.33		99	20.67		479	
		"CORBETT, David (IND)"	18	12	66.67		6	33.33		18	
		"PATERSON, Brett (DEM)"	129	52	40.31		77	59.69		129	
		"TAYLOR, Sue (IND)"	21	11	52.38		10	47.62		21	
		"GIBSON, Andrew (IND)"	10	6	60.00		4	40.00		10	
		Total	960	924	43.34		1208	56.66		2132	

	Albury East										
			1st Prefs	184	29.39		442	70.61		626	
		"SOBEY, Chris (GRN)"	38	16	42.11		22	57.89		38	
		"WEYRICH, Tom (IND)"	5	3	60.00		2	40.00		5	
		"WILKINSON, Max (HAN)"	57	28	49.12		29	50.88		57	
		"WATSON, Stuart (IND)"	13	6	46.15		7	53.85		13	
		"KREUTZBERGER, Keith"	16	8	50.00		8	50.00		16	
		"MILLEN, Frank (CLR)"	243	192	79.01		51	20.99		243	
		"CORBETT, David (IND)"	8	4	50.00		4	50.00		8	
		"PATERSON, Brett (DEM)"	30	15	50.00		15	50.00		30	
		"TAYLOR, Sue (IND)"	11	6	54.55		5	45.45		11	
		"GIBSON, Andrew (IND)"	5	3	60.00		2	40.00		5	
		Total	426	465	44.20		587	55.80		1052	

	Albury High School										
			1st Prefs	310	23.34		1018	76.66		1328	
		"SOBEY, Chris (GRN)"	197	95	48.22		102	51.78		197	
		"WEYRICH, Tom (IND)"	9	5	55.56		4	44.44		9	
		"WILKINSON, Max (HAN)"	75	24	32.00		51	68.00		75	
		"WATSON, Stuart (IND)"	13	5	38.46		8	61.54		13	
		"KREUTZBERGER, Keith"	16	4	25.00		12	75.00		16	
		"MILLEN, Frank (CLR)"	402	325	80.85		77	19.15		402	
		"CORBETT, David (IND)"	10	8	80.00		2	20.00		10	
		"PATERSON, Brett (DEM)"	136	62	45.59		74	54.41		136	
		"TAYLOR, Sue (IND)"	27	13	48.15		14	51.85		27	
		"GIBSON, Andrew (IND)"	6	3	50.00		3	50.00		6	
		Total	891	854	38.49		1365	61.51		2219	

	Albury Mercy Hospital										
			1st Prefs	15	27.78		39	72.22		54	
		"SOBEY, Chris (GRN)"	3	1	33.33		2	66.67		3	
		"WEYRICH, Tom (IND)"	0	0	0.00		0	0.00		0	
		"WILKINSON, Max (HAN)"	3	1	33.33		2	66.67		3	
		"WATSON, Stuart (IND)"	1	0	0.00		1	100.00		1	
		"KREUTZBERGER, Keith"	0	0	0.00		0	0.00		0	
		"MILLEN, Frank (CLR)"	24	20	83.33		4	16.67		24	
		"CORBETT, David (IND)"	0	0	0.00		0	0.00		0	
		"PATERSON, Brett (DEM)"	2	1	50.00		1	50.00		2	
		"TAYLOR, Sue (IND)"	1	0	0.00		1	100.00		1	
		"GIBSON, Andrew (IND)"	1	0	0.00		1	100.00		1	
		Total	35	38	42.70		51	57.30		89	

	Albury North										
			1st Prefs	285	30.16		660	69.84		945	
		"SOBEY, Chris (GRN)"	85	51	60.00		34	40.00		85	
		"WEYRICH, Tom (IND)"	11	11	100.00		0	0.00		11	
		"WILKINSON, Max (HAN)"	101	39	38.61		62	61.39		101	
		"WATSON, Stuart (IND)"	21	16	76.19		5	23.81		21	
		"KREUTZBERGER, Keith"	26	20	76.92		6	23.08		26	
		"MILLEN, Frank (CLR)"	355	276	77.75		79	22.25		355	
		"CORBETT, David (IND)"	14	11	78.57		3	21.43		14	
		"PATERSON, Brett (DEM)"	81	45	55.56		36	44.44		81	
		"TAYLOR, Sue (IND)"	24	15	62.50		9	37.50		24	
		"GIBSON, Andrew (IND)"	16	8	50.00		8	50.00		16	
		Total	734	777	46.28		902	53.72		1679	

	Albury North Central										
			1st Prefs	199	28.07		510	71.93		709	
		"SOBEY, Chris (GRN)"	38	28	73.68		10	26.32		38	
		"WEYRICH, Tom (IND)"	12	9	75.00		3	25.00		12	
		"WILKINSON, Max (HAN)"	96	42	43.75		54	56.25		96	
		"WATSON, Stuart (IND)"	17	9	52.94		8	47.06		17	
		"KREUTZBERGER, Keith"	18	9	50.00		9	50.00		18	
