House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Fowler (82745)											
		Candidate		"WATSON, Glenn"		              	"IRWIN, Julia"		               	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Ashcroft										
			1st Prefs	228	18.77		987	81.23		1215	
		"JOHNSON, Hal (CEC)"	34	31	91.18		3	8.82		34	
		"GRANT, Lee (GRN)"	37	14	37.84		23	62.16		37	
		"POULARAS, Manny (CTA)"	21	13	61.90		8	38.10		21	
		"BRAZENALL, Max (AFI)"	34	19	55.88		15	44.12		34	
		"CHUNG, Steve (UNI)"	19	7	36.84		12	63.16		19	
		"ROSSO, Oscar (HAN)"	80	40	50.00		40	50.00		80	
		"GASKELL, Robin (NGST)"	23	7	30.43		16	69.57		23	
		"MENDELSSOHN, David (DEM)"	21	7	33.33		14	66.67		21	
		Total	269	366	24.66		1118	75.34		1484	

	Bonnyrigg										
			1st Prefs	197	12.66		1359	87.34		1556	
		"JOHNSON, Hal (CEC)"	68	61	89.71		7	10.29		68	
		"GRANT, Lee (GRN)"	46	27	58.70		19	41.30		46	
		"POULARAS, Manny (CTA)"	14	8	57.14		6	42.86		14	
		"BRAZENALL, Max (AFI)"	19	13	68.42		6	31.58		19	
		"CHUNG, Steve (UNI)"	111	24	21.62		87	78.38		111	
		"ROSSO, Oscar (HAN)"	35	22	62.86		13	37.14		35	
		"GASKELL, Robin (NGST)"	47	9	19.15		38	80.85		47	
		"MENDELSSOHN, David (DEM)"	39	9	23.08		30	76.92		39	
		Total	379	370	19.12		1565	80.88		1935	

	Bonnyrigg Heights										
			1st Prefs	573	24.95		1724	75.05		2297	
		"JOHNSON, Hal (CEC)"	51	43	84.31		8	15.69		51	
		"GRANT, Lee (GRN)"	61	21	34.43		40	65.57		61	
		"POULARAS, Manny (CTA)"	43	34	79.07		9	20.93		43	
		"BRAZENALL, Max (AFI)"	19	13	68.42		6	31.58		19	
		"CHUNG, Steve (UNI)"	77	27	35.06		50	64.94		77	
		"ROSSO, Oscar (HAN)"	73	57	78.08		16	21.92		73	
		"GASKELL, Robin (NGST)"	36	11	30.56		25	69.44		36	
		"MENDELSSOHN, David (DEM)"	46	13	28.26		33	71.74		46	
		Total	406	792	29.30		1911	70.70		2703	

	Bonnyrigg High										
			1st Prefs	137	16.23		707	83.77		844	
		"JOHNSON, Hal (CEC)"	29	25	86.21		4	13.79		29	
		"GRANT, Lee (GRN)"	22	11	50.00		11	50.00		22	
		"POULARAS, Manny (CTA)"	16	13	81.25		3	18.75		16	
		"BRAZENALL, Max (AFI)"	14	6	42.86		8	57.14		14	
		"CHUNG, Steve (UNI)"	91	21	23.08		70	76.92		91	
		"ROSSO, Oscar (HAN)"	26	20	76.92		6	23.08		26	
		"GASKELL, Robin (NGST)"	23	8	34.78		15	65.22		23	
		"MENDELSSOHN, David (DEM)"	16	6	37.50		10	62.50		16	
		Total	237	247	22.85		834	77.15		1081	

	Cabramatta										
			1st Prefs	380	10.98		3081	89.02		3461	
		"JOHNSON, Hal (CEC)"	127	118	92.91		9	7.09		127	
		"GRANT, Lee (GRN)"	74	30	40.54		44	59.46		74	
		"POULARAS, Manny (CTA)"	27	17	62.96		10	37.04		27	
		"BRAZENALL, Max (AFI)"	31	17	54.84		14	45.16		31	
		"CHUNG, Steve (UNI)"	490	114	23.27		376	76.73		490	
		"ROSSO, Oscar (HAN)"	32	21	65.63		11	34.38		32	
		"GASKELL, Robin (NGST)"	78	21	26.92		57	73.08		78	
		"MENDELSSOHN, David (DEM)"	58	14	24.14		44	75.86		58	
		Total	917	732	16.72		3646	83.28		4378	

	Cabramatta East										
			1st Prefs	272	14.29		1632	85.71		1904	
		"JOHNSON, Hal (CEC)"	88	74	84.09		14	15.91		88	
		"GRANT, Lee (GRN)"	42	21	50.00		21	50.00		42	
		"POULARAS, Manny (CTA)"	33	25	75.76		8	24.24		33	
		"BRAZENALL, Max (AFI)"	27	11	40.74		16	59.26		27	
		"CHUNG, Steve (UNI)"	213	48	22.54		165	77.46		213	
		"ROSSO, Oscar (HAN)"	44	22	50.00		22	50.00		44	
		"GASKELL, Robin (NGST)"	43	13	30.23		30	69.77		43	
		"MENDELSSOHN, David (DEM)"	32	13	40.63		19	59.38		32	
		Total	522	499	20.57		1927	79.43		2426	

	Cabramatta High										
			1st Prefs	277	16.44		1408	83.56		1685	
		"JOHNSON, Hal (CEC)"	62	52	83.87		10	16.13		62	
		"GRANT, Lee (GRN)"	36	20	55.56		16	44.44		36	
		"POULARAS, Manny (CTA)"	19	9	47.37		10	52.63		19	
		"BRAZENALL, Max (AFI)"	15	4	26.67		11	73.33		15	
		"CHUNG, Steve (UNI)"	228	55	24.12		173	75.88		228	
		"ROSSO, Oscar (HAN)"	30	19	63.33		11	36.67		30	
		"GASKELL, Robin (NGST)"	36	13	36.11		23	63.89		36	
		"MENDELSSOHN, David (DEM)"	19	4	21.05		15	78.95		19	
		Total	445	453	21.27		1677	78.73		2130	

	Cabramatta West										
			1st Prefs	258	21.39		948	78.61		1206	
		"JOHNSON, Hal (CEC)"	62	56	90.32		6	9.68		62	
		"GRANT, Lee (GRN)"	44	22	50.00		22	50.00		44	
		"POULARAS, Manny (CTA)"	34	27	79.41		7	20.59		34	
		"BRAZENALL, Max (AFI)"	14	8	57.14		6	42.86		14	
		"CHUNG, Steve (UNI)"	123	30	24.39		93	75.61		123	
		"ROSSO, Oscar (HAN)"	45	27	60.00		18	40.00		45	
		"GASKELL, Robin (NGST)"	33	8	24.24		25	75.76		33	
		"MENDELSSOHN, David (DEM)"	37	10	27.03		27	72.97		37	
		Total	392	446	27.91		1152	72.09		1598	

	Canley Heights										
			1st Prefs	483	20.02		1929	79.98		2412	
		"JOHNSON, Hal (CEC)"	97	90	92.78		7	7.22		97	
		"GRANT, Lee (GRN)"	65	33	50.77		32	49.23		65	
		"POULARAS, Manny (CTA)"	39	27	69.23		12	30.77		39	
		"BRAZENALL, Max (AFI)"	32	16	50.00		16	50.00		32	
		"CHUNG, Steve (UNI)"	215	64	29.77		151	70.23		215	
		"ROSSO, Oscar (HAN)"	101	74	73.27		27	26.73		101	
		"GASKELL, Robin (NGST)"	64	12	18.75		52	81.25		64	
		"MENDELSSOHN, David (DEM)"	46	13	28.26		33	71.74		46	
		Total	659	812	26.44		2259	73.56		3071	

	Canley Vale										
			1st Prefs	268	13.89		1662	86.11		1930	
		"JOHNSON, Hal (CEC)"	100	86	86.00		14	14.00		100	
		"GRANT, Lee (GRN)"	47	29	61.70		18	38.30		47	
		"POULARAS, Manny (CTA)"	39	27	69.23		12	30.77		39	
		"BRAZENALL, Max (AFI)"	24	15	62.50		9	37.50		24	
		"CHUNG, Steve (UNI)"	290	84	28.97		206	71.03		290	
		"ROSSO, Oscar (HAN)"	28	21	75.00		7	25.00		28	
		"GASKELL, Robin (NGST)"	39	12	30.77		27	69.23		39	
		"MENDELSSOHN, David (DEM)"	29	8	27.59		21	72.41		29	
		Total	596	550	21.77		1976	78.23		2526	

	Canley Vale High										
			1st Prefs	62	22.30		216	77.70		278	
		"JOHNSON, Hal (CEC)"	3	3	100.00		0	0.00		3	
		"GRANT, Lee (GRN)"	10	3	30.00		7	70.00		10	
		"POULARAS, Manny (CTA)"	4	2	50.00		2	50.00		4	
		"BRAZENALL, Max (AFI)"	3	1	33.33		2	66.67		3	
		"CHUNG, Steve (UNI)"	24	3	12.50		21	87.50		24	
		"ROSSO, Oscar (HAN)"	14	6	42.86		8	57.14		14	
		"GASKELL, Robin (NGST)"	8	0	0.00		8	100.00		8	
		"MENDELSSOHN, David (DEM)"	11	3	27.27		8	72.73		11	
		Total	77	83	23.38		272	76.62		355	

	Cartwright (Fowler)										
			1st Prefs	134	24.23		419	75.77		553	
		"JOHNSON, Hal (CEC)"	18	17	94.44		1	5.56		18	
		"GRANT, Lee (GRN)"	12	3	25.00		9	75.00		12	
		"POULARAS, Manny (CTA)"	11	7	63.64		4	36.36		11	
		"BRAZENALL, Max (AFI)"	13	7	53.85		6	46.15		13	
		"CHUNG, Steve (UNI)"	6	3	50.00		3	50.00		6	
		"ROSSO, Oscar (HAN)"	35	20	57.14		15	42.86		35	
		"GASKELL, Robin (NGST)"	12	3	25.00		9	75.00		12	
		"MENDELSSOHN, David (DEM)"	16	3	18.75		13	81.25		16	
		Total	123	197	29.14		479	70.86		676	

	Edensor Park										
			1st Prefs	611	32.48		1270	67.52		1881	
		"JOHNSON, Hal (CEC)"	84	73	86.90		11	13.10		84	
		"GRANT, Lee (GRN)"	53	22	41.51		31	58.49		53	
		"POULARAS, Manny (CTA)"	66	43	65.15		23	34.85		66	
		"BRAZENALL, Max (AFI)"	42	24	57.14		18	42.86		42	
		"CHUNG, Steve (UNI)"	108	41	37.96		67	62.04		108	
		"ROSSO, Oscar (HAN)"	63	36	57.14		27	42.86		63	
