House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Gilmore (83909)											
		Candidate		"KNOTT, Peter"		               	"GASH, Joanna"		               	Total	
				CLR		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Avoca										
			1st Prefs	27	15.43		148	84.57		175	
		"RYAN, Steve (CTA)"	4	0	0.00		4	100.00		4	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	11	9	81.82		2	18.18		11	
		"HAYES, Michael (DEM)"	8	4	50.00		4	50.00		8	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	11	4	36.36		7	63.64		11	
		Total	34	44	21.05		165	78.95		209	

	Basin View										
			1st Prefs	249	34.16		480	65.84		729	
		"RYAN, Steve (CTA)"	12	4	33.33		8	66.67		12	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	34	27	79.41		7	20.59		34	
		"HAYES, Michael (DEM)"	37	29	78.38		8	21.62		37	
		"MCLEOD, Paul (UNI)"	2	1	50.00		1	50.00		2	
		"CROCKER, Geoff (HAN)"	55	19	34.55		36	65.45		55	
		Total	140	329	37.86		540	62.14		869	

	Bawley Point										
			1st Prefs	186	43.26		244	56.74		430	
		"RYAN, Steve (CTA)"	5	1	20.00		4	80.00		5	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	32	26	81.25		6	18.75		32	
		"HAYES, Michael (DEM)"	15	10	66.67		5	33.33		15	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	62	19	30.65		43	69.35		62	
		Total	114	242	44.49		302	55.51		544	

	Berry										
			1st Prefs	331	22.05		1170	77.95		1501	
		"RYAN, Steve (CTA)"	23	4	17.39		19	82.61		23	
		"MCCLUNG, Jean (CEC)"	3	2	66.67		1	33.33		3	
		"BANGE, Jane (GRN)"	182	151	82.97		31	17.03		182	
		"HAYES, Michael (DEM)"	143	101	70.63		42	29.37		143	
		"MCLEOD, Paul (UNI)"	5	3	60.00		2	40.00		5	
		"CROCKER, Geoff (HAN)"	66	8	12.12		58	87.88		66	
		Total	422	600	31.20		1323	68.80		1923	

	Bomaderry										
			1st Prefs	600	25.35		1767	74.65		2367	
		"RYAN, Steve (CTA)"	54	12	22.22		42	77.78		54	
		"MCCLUNG, Jean (CEC)"	5	3	60.00		2	40.00		5	
		"BANGE, Jane (GRN)"	96	70	72.92		26	27.08		96	
		"HAYES, Michael (DEM)"	97	53	54.64		44	45.36		97	
		"MCLEOD, Paul (UNI)"	12	6	50.00		6	50.00		12	
		"CROCKER, Geoff (HAN)"	174	46	26.44		128	73.56		174	
		Total	438	790	28.16		2015	71.84		2805	

	Bomaderry South										
			1st Prefs	136	25.61		395	74.39		531	
		"RYAN, Steve (CTA)"	22	2	9.09		20	90.91		22	
		"MCCLUNG, Jean (CEC)"	1	0	0.00		1	100.00		1	
		"BANGE, Jane (GRN)"	24	13	54.17		11	45.83		24	
		"HAYES, Michael (DEM)"	24	14	58.33		10	41.67		24	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	36	9	25.00		27	75.00		36	
		Total	107	174	27.27		464	72.73		638	

	Bundanoon										
			1st Prefs	276	32.21		581	67.79		857	
		"RYAN, Steve (CTA)"	23	6	26.09		17	73.91		23	
		"MCCLUNG, Jean (CEC)"	6	1	16.67		5	83.33		6	
		"BANGE, Jane (GRN)"	89	68	76.40		21	23.60		89	
		"HAYES, Michael (DEM)"	68	45	66.18		23	33.82		68	
		"MCLEOD, Paul (UNI)"	3	1	33.33		2	66.67		3	
		"CROCKER, Geoff (HAN)"	44	14	31.82		30	68.18		44	
		Total	233	411	37.71		679	62.29		1090	

	Burrawang										
			1st Prefs	42	15.44		230	84.56		272	
		"RYAN, Steve (CTA)"	6	1	16.67		5	83.33		6	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	25	18	72.00		7	28.00		25	
		"HAYES, Michael (DEM)"	24	16	66.67		8	33.33		24	
		"MCLEOD, Paul (UNI)"	0	0	0.00		0	0.00		0	
		"CROCKER, Geoff (HAN)"	14	6	42.86		8	57.14		14	
		Total	70	84	24.56		258	75.44		342	

	Burrill Lake										
			1st Prefs	363	37.15		614	62.85		977	
		"RYAN, Steve (CTA)"	7	0	0.00		7	100.00		7	
		"MCCLUNG, Jean (CEC)"	1	1	100.00		0	0.00		1	
		"BANGE, Jane (GRN)"	55	44	80.00		11	20.00		55	
		"HAYES, Michael (DEM)"	29	15	51.72		14	48.28		29	
		"MCLEOD, Paul (UNI)"	2	1	50.00		1	50.00		2	
		"CROCKER, Geoff (HAN)"	87	28	32.18		59	67.82		87	
		Total	181	452	39.03		706	60.97		1158	

	Callala Bay										
			1st Prefs	261	34.48		496	65.52		757	
		"RYAN, Steve (CTA)"	12	2	16.67		10	83.33		12	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	39	24	61.54		15	38.46		39	
		"HAYES, Michael (DEM)"	22	15	68.18		7	31.82		22	
		"MCLEOD, Paul (UNI)"	2	1	50.00		1	50.00		2	
		"CROCKER, Geoff (HAN)"	86	23	26.74		63	73.26		86	
		Total	161	326	35.51		592	64.49		918	

	Callala Beach										
			1st Prefs	118	37.58		196	62.42		314	
		"RYAN, Steve (CTA)"	2	2	100.00		0	0.00		2	
		"MCCLUNG, Jean (CEC)"	1	0	0.00		1	100.00		1	
		"BANGE, Jane (GRN)"	19	13	68.42		6	31.58		19	
		"HAYES, Michael (DEM)"	7	6	85.71		1	14.29		7	
		"MCLEOD, Paul (UNI)"	1	0	0.00		1	100.00		1	
		"CROCKER, Geoff (HAN)"	20	9	45.00		11	55.00		20	
		Total	50	148	40.66		216	59.34		364	

	Cambewarra										
			1st Prefs	129	16.71		643	83.29		772	
		"RYAN, Steve (CTA)"	23	4	17.39		19	82.61		23	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	69	58	84.06		11	15.94		69	
		"HAYES, Michael (DEM)"	46	25	54.35		21	45.65		46	
		"MCLEOD, Paul (UNI)"	3	3	100.00		0	0.00		3	
		"CROCKER, Geoff (HAN)"	28	7	25.00		21	75.00		28	
		Total	169	226	24.02		715	75.98		941	

	Cudmirrah										
			1st Prefs	119	35.00		221	65.00		340	
		"RYAN, Steve (CTA)"	2	1	50.00		1	50.00		2	
		"MCCLUNG, Jean (CEC)"	0	0	0.00		0	0.00		0	
		"BANGE, Jane (GRN)"	21	15	71.43		6	28.57		21	
