House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Grayndler (86146)											
		Candidate		"ALBANESE, Anthony"		          	"KENWORTHY, Brett"		           	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Annandale										
			1st Prefs	747	60.83		481	39.17		1228	
		"BAIRD, Matthew (DEM)"	269	197	73.23		72	26.77		269	
		"O'CONNOR, Kane (HAN)"	27	14	51.85		13	48.15		27	
		"JOHNSON, Sue ()"	21	20	95.24		1	4.76		21	
		"HALE, Sylvia (GRN)"	321	293	91.28		28	8.72		321	
		"WAN, Guang Hua (UNI)"	21	16	76.19		5	23.81		21	
		"HERDEN, Chris (CTA)"	17	9	52.94		8	47.06		17	
		Total	676	1296	68.07		608	31.93		1904	

	Annandale North (Grayndler)										
			1st Prefs	518	58.01		375	41.99		893	
		"BAIRD, Matthew (DEM)"	171	132	77.19		39	22.81		171	
		"O'CONNOR, Kane (HAN)"	24	14	58.33		10	41.67		24	
		"JOHNSON, Sue ()"	8	5	62.50		3	37.50		8	
		"HALE, Sylvia (GRN)"	248	225	90.73		23	9.27		248	
		"WAN, Guang Hua (UNI)"	14	12	85.71		2	14.29		14	
		"HERDEN, Chris (CTA)"	10	3	30.00		7	70.00		10	
		Total	475	909	66.45		459	33.55		1368	

	Ashbury										
			1st Prefs	1050	59.32		720	40.68		1770	
		"BAIRD, Matthew (DEM)"	109	84	77.06		25	22.94		109	
		"O'CONNOR, Kane (HAN)"	50	24	48.00		26	52.00		50	
		"JOHNSON, Sue ()"	21	14	66.67		7	33.33		21	
		"HALE, Sylvia (GRN)"	134	114	85.07		20	14.93		134	
		"WAN, Guang Hua (UNI)"	23	14	60.87		9	39.13		23	
		"HERDEN, Chris (CTA)"	32	10	31.25		22	68.75		32	
		Total	369	1310	61.24		829	38.76		2139	

	Ashfield										
			1st Prefs	1092	68.46		503	31.54		1595	
		"BAIRD, Matthew (DEM)"	106	77	72.64		29	27.36		106	
		"O'CONNOR, Kane (HAN)"	44	17	38.64		27	61.36		44	
		"JOHNSON, Sue ()"	19	15	78.95		4	21.05		19	
		"HALE, Sylvia (GRN)"	108	91	84.26		17	15.74		108	
		"WAN, Guang Hua (UNI)"	89	81	91.01		8	8.99		89	
		"HERDEN, Chris (CTA)"	24	9	37.50		15	62.50		24	
		Total	390	1382	69.62		603	30.38		1985	

	Ashfield East										
			1st Prefs	600	64.72		327	35.28		927	
		"BAIRD, Matthew (DEM)"	75	57	76.00		18	24.00		75	
		"O'CONNOR, Kane (HAN)"	22	12	54.55		10	45.45		22	
		"JOHNSON, Sue ()"	18	16	88.89		2	11.11		18	
		"HALE, Sylvia (GRN)"	82	74	90.24		8	9.76		82	
		"WAN, Guang Hua (UNI)"	33	24	72.73		9	27.27		33	
		"HERDEN, Chris (CTA)"	19	9	47.37		10	52.63		19	
		Total	249	792	67.35		384	32.65		1176	

	Ashfield North (Grayndler)										
			1st Prefs	437	62.43		263	37.57		700	
		"BAIRD, Matthew (DEM)"	66	53	80.30		13	19.70		66	
		"O'CONNOR, Kane (HAN)"	26	7	26.92		19	73.08		26	
		"JOHNSON, Sue ()"	20	16	80.00		4	20.00		20	
		"HALE, Sylvia (GRN)"	73	63	86.30		10	13.70		73	
		"WAN, Guang Hua (UNI)"	16	9	56.25		7	43.75		16	
