House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Gwydir (84602)											
		Candidate		"ANDERSON, John"		             	"MURNAIN, Anne"		              	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Aberdeen										
			1st Prefs	424	52.28		387	47.72		811	
		"WITTEN, Richard (CEC)"	26	24	92.31		2	7.69		26	
		"HAIGH, Bruce (IND)"	23	16	69.57		7	30.43		23	
		"GRAHAM, Ken (DEM)"	30	18	60.00		12	40.00		30	
		"ROGERS, Colin (HAN)"	116	44	37.93		72	62.07		116	
		"STRACHAN, Neil (GRN)"	19	10	52.63		9	47.37		19	
		"WEBER, Harry (LEF)"	27	16	59.26		11	40.74		27	
		"EDWARDS, Gary (IND)"	5	1	20.00		4	80.00		5	
		"O'REGAN, Bevan (IND)"	11	4	36.36		7	63.64		11	
		Total	257	557	52.15		511	47.85		1068	

	Ashley										
			1st Prefs	93	80.17		23	19.83		116	
		"WITTEN, Richard (CEC)"	2	2	100.00		0	0.00		2	
		"HAIGH, Bruce (IND)"	4	2	50.00		2	50.00		4	
		"GRAHAM, Ken (DEM)"	1	0	0.00		1	100.00		1	
		"ROGERS, Colin (HAN)"	19	9	47.37		10	52.63		19	
		"STRACHAN, Neil (GRN)"	1	1	100.00		0	0.00		1	
		"WEBER, Harry (LEF)"	0	0	0.00		0	0.00		0	
		"EDWARDS, Gary (IND)"	1	0	0.00		1	100.00		1	
		"O'REGAN, Bevan (IND)"	4	1	25.00		3	75.00		4	
		Total	32	108	72.97		40	27.03		148	

	Baan Baa										
			1st Prefs	89	89.90		10	10.10		99	
		"WITTEN, Richard (CEC)"	1	1	100.00		0	0.00		1	
		"HAIGH, Bruce (IND)"	9	7	77.78		2	22.22		9	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	12	4	33.33		8	66.67		12	
		"STRACHAN, Neil (GRN)"	2	1	50.00		1	50.00		2	
		"WEBER, Harry (LEF)"	2	2	100.00		0	0.00		2	
		"EDWARDS, Gary (IND)"	1	1	100.00		0	0.00		1	
		"O'REGAN, Bevan (IND)"	10	8	80.00		2	20.00		10	
		Total	37	113	83.09		23	16.91		136	

	Balladoran										
			1st Prefs	55	90.16		6	9.84		61	
		"WITTEN, Richard (CEC)"	0	0	0.00		0	0.00		0	
		"HAIGH, Bruce (IND)"	6	2	33.33		4	66.67		6	
		"GRAHAM, Ken (DEM)"	0	0	0.00		0	0.00		0	
		"ROGERS, Colin (HAN)"	31	8	25.81		23	74.19		31	
		"STRACHAN, Neil (GRN)"	0	0	0.00		0	0.00		0	
		"WEBER, Harry (LEF)"	0	0	0.00		0	0.00		0	
		"EDWARDS, Gary (IND)"	0	0	0.00		0	0.00		0	
		"O'REGAN, Bevan (IND)"	0	0	0.00		0	0.00		0	
		Total	37	65	66.33		33	33.67		98	

	Baradine										
			1st Prefs	382	78.28		106	21.72		488	
		"WITTEN, Richard (CEC)"	19	17	89.47		2	10.53		19	
		"HAIGH, Bruce (IND)"	19	11	57.89		8	42.11		19	
		"GRAHAM, Ken (DEM)"	1	1	100.00		0	0.00		1	
		"ROGERS, Colin (HAN)"	75	19	25.33		56	74.67		75	
		"STRACHAN, Neil (GRN)"	1	0	0.00		1	100.00		1	
