House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hume (85640)											
		Candidate		"SCHULTZ, Alby"		              	"MERRIMAN, Jan"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Appin										
			1st Prefs	462	61.27		292	38.73		754	
		"WATCHIRS, Kevin (GRN)"	34	16	47.06		18	52.94		34	
		"ROXBURGH, James (DEM)"	42	18	42.86		24	57.14		42	
		"PRELL, Charlie (HAN)"	98	40	40.82		58	59.18		98	
		Total	174	536	57.76		392	42.24		928	

	Bargo										
			1st Prefs	870	57.43		645	42.57		1515	
		"WATCHIRS, Kevin (GRN)"	81	35	43.21		46	56.79		81	
		"ROXBURGH, James (DEM)"	92	25	27.17		67	72.83		92	
		"PRELL, Charlie (HAN)"	169	73	43.20		96	56.80		169	
		Total	342	1003	54.01		854	45.99		1857	

	Bendick Murrell										
			1st Prefs	91	71.09		37	28.91		128	
		"WATCHIRS, Kevin (GRN)"	3	1	33.33		2	66.67		3	
		"ROXBURGH, James (DEM)"	5	3	60.00		2	40.00		5	
		"PRELL, Charlie (HAN)"	18	5	27.78		13	72.22		18	
		Total	26	100	64.94		54	35.06		154	

	Berrima										
			1st Prefs	311	71.33		125	28.67		436	
		"WATCHIRS, Kevin (GRN)"	40	9	22.50		31	77.50		40	
		"ROXBURGH, James (DEM)"	24	13	54.17		11	45.83		24	
		"PRELL, Charlie (HAN)"	38	18	47.37		20	52.63		38	
		Total	102	351	65.24		187	34.76		538	

	Bigga										
			1st Prefs	114	77.03		34	22.97		148	
		"WATCHIRS, Kevin (GRN)"	2	1	50.00		1	50.00		2	
		"ROXBURGH, James (DEM)"	3	2	66.67		1	33.33		3	
		"PRELL, Charlie (HAN)"	26	11	42.31		15	57.69		26	
		Total	31	128	71.51		51	28.49		179	

	Binalong										
			1st Prefs	185	72.83		69	27.17		254	
		"WATCHIRS, Kevin (GRN)"	14	2	14.29		12	85.71		14	
		"ROXBURGH, James (DEM)"	2	0	0.00		2	100.00		2	
		"PRELL, Charlie (HAN)"	28	11	39.29		17	60.71		28	
		Total	44	198	66.44		100	33.56		298	

	Binda										
			1st Prefs	104	66.24		53	33.76		157	
		"WATCHIRS, Kevin (GRN)"	7	0	0.00		7	100.00		7	
		"ROXBURGH, James (DEM)"	2	1	50.00		1	50.00		2	
		"PRELL, Charlie (HAN)"	23	6	26.09		17	73.91		23	
		Total	32	111	58.73		78	41.27		189	

	Bookham										
			1st Prefs	88	82.24		19	17.76		107	
		"WATCHIRS, Kevin (GRN)"	2	0	0.00		2	100.00		2	
		"ROXBURGH, James (DEM)"	1	1	100.00		0	0.00		1	
		"PRELL, Charlie (HAN)"	13	9	69.23		4	30.77		13	
		Total	16	98	79.67		25	20.33		123	

	Boorowa										
			1st Prefs	544	64.68		297	35.32		841	
		"WATCHIRS, Kevin (GRN)"	9	7	77.78		2	22.22		9	
		"ROXBURGH, James (DEM)"	11	6	54.55		5	45.45		11	
		"PRELL, Charlie (HAN)"	93	36	38.71		57	61.29		93	
		Total	113	593	62.16		361	37.84		954	

	Bowning										
			1st Prefs	147	69.34		65	30.66		212	
		"WATCHIRS, Kevin (GRN)"	8	0	0.00		8	100.00		8	
		"ROXBURGH, James (DEM)"	7	3	42.86		4	57.14		7	
		"PRELL, Charlie (HAN)"	5	4	80.00		1	20.00		5	
		Total	20	154	66.38		78	33.62		232	

	Bowral										
			1st Prefs	2120	74.39		730	25.61		2850	
		"WATCHIRS, Kevin (GRN)"	230	54	23.48		176	76.52		230	
		"ROXBURGH, James (DEM)"	233	89	38.20		144	61.80		233	
		"PRELL, Charlie (HAN)"	121	57	47.11		64	52.89		121	
		Total	584	2320	67.56		1114	32.44		3434	

	Bowral South										
			1st Prefs	1262	71.66		499	28.34		1761	
		"WATCHIRS, Kevin (GRN)"	107	23	21.50		84	78.50		107	
		"ROXBURGH, James (DEM)"	141	55	39.01		86	60.99		141	
		"PRELL, Charlie (HAN)"	92	31	33.70		61	66.30		92	
		Total	340	1371	65.25		730	34.75		2101	

	Bradfordville										
			1st Prefs	716	51.88		664	48.12		1380	
		"WATCHIRS, Kevin (GRN)"	47	20	42.55		27	57.45		47	
		"ROXBURGH, James (DEM)"	75	34	45.33		41	54.67		75	
		"PRELL, Charlie (HAN)"	185	75	40.54		110	59.46		185	
		Total	307	845	50.09		842	49.91		1687	

	Bribbaree										
			1st Prefs	129	89.58		15	10.42		144	
		"WATCHIRS, Kevin (GRN)"	0	0	0.00		0	0.00		0	
		"ROXBURGH, James (DEM)"	1	0	0.00		1	100.00		1	
		"PRELL, Charlie (HAN)"	19	7	36.84		12	63.16		19	
		Total	20	136	82.93		28	17.07		164	

	Bungonia										
			1st Prefs	89	64.49		49	35.51		138	
		"WATCHIRS, Kevin (GRN)"	9	5	55.56		4	44.44		9	
		"ROXBURGH, James (DEM)"	12	4	33.33		8	66.67		12	
		"PRELL, Charlie (HAN)"	31	5	16.13		26	83.87		31	
		Total	52	103	54.21		87	45.79		190	

	Buxton										
			1st Prefs	332	52.61		299	47.39		631	
		"WATCHIRS, Kevin (GRN)"	48	17	35.42		31	64.58		48	
		"ROXBURGH, James (DEM)"	44	23	52.27		21	47.73		44	
		"PRELL, Charlie (HAN)"	102	54	52.94		48	47.06		102	
		Total	194	426	51.64		399	48.36		825	

	Canyonleigh										
			1st Prefs	67	71.28		27	28.72		94	
		"WATCHIRS, Kevin (GRN)"	14	4	28.57		10	71.43		14	
		"ROXBURGH, James (DEM)"	0	0	0.00		0	0.00		0	
		"PRELL, Charlie (HAN)"	10	5	50.00		5	50.00		10	
		Total	24	76	64.41		42	35.59		118	

	Cawdor (Hume)										
			1st Prefs	270	84.38		50	15.63		320	
		"WATCHIRS, Kevin (GRN)"	15	5	33.33		10	66.67		15	
		"ROXBURGH, James (DEM)"	14	5	35.71		9	64.29		14	
		"PRELL, Charlie (HAN)"	15	12	80.00		3	20.00		15	
		Total	44	292	80.22		72	19.78		364	

	Cobbitty (Hume)										
			1st Prefs	218	78.70		59	21.30		277	
		"WATCHIRS, Kevin (GRN)"	15	8	53.33		7	46.67		15	
		"ROXBURGH, James (DEM)"	8	1	12.50		7	87.50		8	
		"PRELL, Charlie (HAN)"	29	13	44.83		16	55.17		29	
		Total	52	240	72.95		89	27.05		329	

	Collector										
			1st Prefs	84	71.79		33	28.21		117	
		"WATCHIRS, Kevin (GRN)"	9	5	55.56		4	44.44		9	
		"ROXBURGH, James (DEM)"	17	7	41.18		10	58.82		17	
		"PRELL, Charlie (HAN)"	18	12	66.67		6	33.33		18	
		Total	44	108	67.08		53	32.92		161	

	Colo Vale										
			1st Prefs	366	59.13		253	40.87		619	
		"WATCHIRS, Kevin (GRN)"	49	13	26.53		36	73.47		49	
		"ROXBURGH, James (DEM)"	42	16	38.10		26	61.90		42	
		"PRELL, Charlie (HAN)"	54	23	42.59		31	57.41		54	
		Total	145	418	54.71		346	45.29		764	

	Crookwell										
			1st Prefs	846	63.42		488	36.58		1334	
		"WATCHIRS, Kevin (GRN)"	24	6	25.00		18	75.00		24	
		"ROXBURGH, James (DEM)"	59	26	44.07		33	55.93		59	
		"PRELL, Charlie (HAN)"	224	93	41.52		131	58.48		224	
		Total	307	971	59.17		670	40.83		1641	

	Dalton										
			1st Prefs	131	72.38		50	27.62		181	
		"WATCHIRS, Kevin (GRN)"	14	3	21.43		11	78.57		14	
		"ROXBURGH, James (DEM)"	4	1	25.00		3	75.00		4	
		"PRELL, Charlie (HAN)"	19	8	42.11		11	57.89		19	
		Total	37	143	65.60		75	34.40		218	

	Douglas Park										
			1st Prefs	369	63.29		214	36.71		583	
		"WATCHIRS, Kevin (GRN)"	32	11	34.38		21	65.63		32	
		"ROXBURGH, James (DEM)"	30	13	43.33		17	56.67		30	
		"PRELL, Charlie (HAN)"	90	29	32.22		61	67.78		90	
		Total	152	422	57.41		313	42.59		735	

	Frogmore										
			1st Prefs	73	81.11		17	18.89		90	
		"WATCHIRS, Kevin (GRN)"	1	1	100.00		0	0.00		1	
		"ROXBURGH, James (DEM)"	3	1	33.33		2	66.67		3	
		"PRELL, Charlie (HAN)"	10	2	20.00		8	80.00		10	
		Total	14	77	74.04		27	25.96		104	

	Galong										
			1st Prefs	93	76.86		28	23.14		121	
		"WATCHIRS, Kevin (GRN)"	3	0	0.00		3	100.00		3	
		"ROXBURGH, James (DEM)"	0	0	0.00		0	0.00		0	
		"PRELL, Charlie (HAN)"	4	3	75.00		1	25.00		4	
		Total	7	96	75.00		32	25.00		128	

	Glenquarry										
			1st Prefs	83	72.81		31	27.19		114	
		"WATCHIRS, Kevin (GRN)"	1	1	100.00		0	0.00		1	
		"ROXBURGH, James (DEM)"	5	1	20.00		4	80.00		5	
		"PRELL, Charlie (HAN)"	3	2	66.67		1	33.33		3	
		Total	9	87	70.73		36	29.27		123	

	Goulburn										
