House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hunter (84649)											
		Candidate		"MACAULAY, Rob"		              	"FITZGIBBON, Joel"		           	Total	
				NP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Aberdare										
			1st Prefs	177	20.07		705	79.93		882	
		"O'BRIEN, Larry (GRN)"	37	14	37.84		23	62.16		37	
		"BENNISON, Rod (DEM)"	40	20	50.00		20	50.00		40	
		"LAWLER, Ann (CEC)"	11	7	63.64		4	36.36		11	
		"FOX, Bill (HAN)"	116	81	69.83		35	30.17		116	
		Total	204	299	27.53		787	72.47		1086	

	Aberdare West										
			1st Prefs	203	22.43		702	77.57		905	
		"O'BRIEN, Larry (GRN)"	49	26	53.06		23	46.94		49	
		"BENNISON, Rod (DEM)"	26	12	46.15		14	53.85		26	
		"LAWLER, Ann (CEC)"	12	8	66.67		4	33.33		12	
		"FOX, Bill (HAN)"	144	102	70.83		42	29.17		144	
		Total	231	351	30.90		785	69.10		1136	

	Abermain										
			1st Prefs	166	17.38		789	82.62		955	
		"O'BRIEN, Larry (GRN)"	56	26	46.43		30	53.57		56	
		"BENNISON, Rod (DEM)"	44	27	61.36		17	38.64		44	
		"LAWLER, Ann (CEC)"	6	3	50.00		3	50.00		6	
		"FOX, Bill (HAN)"	154	94	61.04		60	38.96		154	
		Total	260	316	26.01		899	73.99		1215	

	Allandale Hospital										
			1st Prefs	23	23.47		75	76.53		98	
		"O'BRIEN, Larry (GRN)"	7	3	42.86		4	57.14		7	
		"BENNISON, Rod (DEM)"	5	1	20.00		4	80.00		5	
		"LAWLER, Ann (CEC)"	1	1	100.00		0	0.00		1	
		"FOX, Bill (HAN)"	3	2	66.67		1	33.33		3	
		Total	16	30	26.32		84	73.68		114	

	Ashtonfield										
			1st Prefs	606	49.92		608	50.08		1214	
		"O'BRIEN, Larry (GRN)"	49	23	46.94		26	53.06		49	
		"BENNISON, Rod (DEM)"	71	33	46.48		38	53.52		71	
		"LAWLER, Ann (CEC)"	16	12	75.00		4	25.00		16	
		"FOX, Bill (HAN)"	87	61	70.11		26	29.89		87	
		Total	223	735	51.15		702	48.85		1437	

	Bellbird										
			1st Prefs	169	17.32		807	82.68		976	
		"O'BRIEN, Larry (GRN)"	41	16	39.02		25	60.98		41	
		"BENNISON, Rod (DEM)"	46	25	54.35		21	45.65		46	
		"LAWLER, Ann (CEC)"	7	3	42.86		4	57.14		7	
		"FOX, Bill (HAN)"	138	104	75.36		34	24.64		138	
		Total	232	317	26.24		891	73.76		1208	

	Black Hill										
			1st Prefs	67	66.34		34	33.66		101	
		"O'BRIEN, Larry (GRN)"	8	1	12.50		7	87.50		8	
		"BENNISON, Rod (DEM)"	6	0	0.00		6	100.00		6	
		"LAWLER, Ann (CEC)"	2	2	100.00		0	0.00		2	
		"FOX, Bill (HAN)"	20	19	95.00		1	5.00		20	
		Total	36	89	64.96		48	35.04		137	

	Bolwarra										
			1st Prefs	516	65.82		268	34.18		784	
		"O'BRIEN, Larry (GRN)"	51	20	39.22		31	60.78		51	
		"BENNISON, Rod (DEM)"	51	25	49.02		26	50.98		51	
		"LAWLER, Ann (CEC)"	26	18	69.23		8	30.77		26	
		"FOX, Bill (HAN)"	76	66	86.84		10	13.16		76	
		Total	204	645	65.28		343	34.72		988	

	Branxton										
			1st Prefs	439	33.21		883	66.79		1322	
		"O'BRIEN, Larry (GRN)"	88	34	38.64		54	61.36		88	
		"BENNISON, Rod (DEM)"	46	18	39.13		28	60.87		46	
		"LAWLER, Ann (CEC)"	9	7	77.78		2	22.22		9	
		"FOX, Bill (HAN)"	172	121	70.35		51	29.65		172	
		Total	315	619	37.81		1018	62.19		1637	

	Broke										
			1st Prefs	131	50.97		126	49.03		257	
		"O'BRIEN, Larry (GRN)"	7	3	42.86		4	57.14		7	
		"BENNISON, Rod (DEM)"	20	9	45.00		11	55.00		20	
		"LAWLER, Ann (CEC)"	3	1	33.33		2	66.67		3	
		"FOX, Bill (HAN)"	44	28	63.64		16	36.36		44	
		Total	74	172	51.96		159	48.04		331	

	Camberwell										
			1st Prefs	38	51.35		36	48.65		74	
		"O'BRIEN, Larry (GRN)"	4	2	50.00		2	50.00		4	
		"BENNISON, Rod (DEM)"	3	1	33.33		2	66.67		3	
		"LAWLER, Ann (CEC)"	2	1	50.00		1	50.00		2	
		"FOX, Bill (HAN)"	20	16	80.00		4	20.00		20	
