House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lowe (83707)											
		Candidate		"MURPHY, John"		               	"DOUST, David"		               	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Abbotsford										
			1st Prefs	1457	46.97		1645	53.03		3102	
		"GARRETT, Anna (DEM)"	173	127	73.41		46	26.59		173	
		"WONG, Ernest (UNI)"	31	21	67.74		10	32.26		31	
		"KRUMINS, Harry (HAN)"	64	14	21.88		50	78.13		64	
		"LANE, Max ()"	14	12	85.71		2	14.29		14	
		"SOULOS, Mersina (GRN)"	150	105	70.00		45	30.00		150	
		Total	432	1736	49.12		1798	50.88		3534	

	Ashfield North (Lowe)										
			1st Prefs	546	62.61		326	37.39		872	
		"GARRETT, Anna (DEM)"	61	42	68.85		19	31.15		61	
		"WONG, Ernest (UNI)"	26	24	92.31		2	7.69		26	
		"KRUMINS, Harry (HAN)"	38	13	34.21		25	65.79		38	
		"LANE, Max ()"	5	2	40.00		3	60.00		5	
		"SOULOS, Mersina (GRN)"	78	66	84.62		12	15.38		78	
		Total	208	693	64.17		387	35.83		1080	

	Burwood										
			1st Prefs	1778	60.21		1175	39.79		2953	
		"GARRETT, Anna (DEM)"	115	85	73.91		30	26.09		115	
		"WONG, Ernest (UNI)"	252	206	81.75		46	18.25		252	
		"KRUMINS, Harry (HAN)"	67	25	37.31		42	62.69		67	
		"LANE, Max ()"	20	16	80.00		4	20.00		20	
		"SOULOS, Mersina (GRN)"	136	106	77.94		30	22.06		136	
		Total	590	2216	62.55		1327	37.45		3543	

	Burwood East										
			1st Prefs	1540	62.68		917	37.32		2457	
		"GARRETT, Anna (DEM)"	140	105	75.00		35	25.00		140	
		"WONG, Ernest (UNI)"	79	53	67.09		26	32.91		79	
		"KRUMINS, Harry (HAN)"	47	24	51.06		23	48.94		47	
		"LANE, Max ()"	12	9	75.00		3	25.00		12	
		"SOULOS, Mersina (GRN)"	108	85	78.70		23	21.30		108	
		Total	386	1816	63.88		1027	36.12		2843	

	Burwood North										
			1st Prefs	187	58.99		130	41.01		317	
		"GARRETT, Anna (DEM)"	8	7	87.50		1	12.50		8	
		"WONG, Ernest (UNI)"	17	16	94.12		1	5.88		17	
		"KRUMINS, Harry (HAN)"	12	3	25.00		9	75.00		12	
		"LANE, Max ()"	1	1	100.00		0	0.00		1	
		"SOULOS, Mersina (GRN)"	6	4	66.67		2	33.33		6	
		Total	44	218	60.39		143	39.61		361	

	Burwood Park										
			1st Prefs	445	61.04		284	38.96		729	
		"GARRETT, Anna (DEM)"	30	21	70.00		9	30.00		30	
		"WONG, Ernest (UNI)"	49	39	79.59		10	20.41		49	
		"KRUMINS, Harry (HAN)"	24	10	41.67		14	58.33		24	
		"LANE, Max ()"	1	1	100.00		0	0.00		1	
		"SOULOS, Mersina (GRN)"	28	21	75.00		7	25.00		28	
		Total	132	537	62.37		324	37.63		861	

	Canada Bay										
			1st Prefs	339	54.50		283	45.50		622	
		"GARRETT, Anna (DEM)"	30	20	66.67		10	33.33		30	
		"WONG, Ernest (UNI)"	8	7	87.50		1	12.50		8	
		"KRUMINS, Harry (HAN)"	11	5	45.45		6	54.55		11	
		"LANE, Max ()"	0	0	0.00		0	0.00		0	
		"SOULOS, Mersina (GRN)"	23	19	82.61		4	17.39		23	
		Total	72	390	56.20		304	43.80		694	

	Chiswick										
