House of Representatives - 2001 Election: New South Wales 											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Lyne (86901)											
		Candidate		"VAILE, Mark"		                	"STEVENS, Pat"		               	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Aldavilla										
			1st Prefs	577	63.34		334	36.66		911	
		"STANFIELD, Lynn (HAN)"	227	107	47.14		120	52.86		227	
		"SARA, Dane William (IND)"	12	8	66.67		4	33.33		12	
		"ISHERWOOD, Siobhan (GRN)"	25	6	24.00		19	76.00		25	
		"JIRMAN, Philip (DEM)"	24	8	33.33		16	66.67		24	
		"MULDOON, Graeme (CEC)"	3	1	33.33		2	66.67		3	
		Total	291	707	58.82		495	41.18		1202	

	Beechwood										
			1st Prefs	438	70.08		187	29.92		625	
		"STANFIELD, Lynn (HAN)"	79	51	64.56		28	35.44		79	
		"SARA, Dane William (IND)"	8	6	75.00		2	25.00		8	
		"ISHERWOOD, Siobhan (GRN)"	24	6	25.00		18	75.00		24	
		"JIRMAN, Philip (DEM)"	16	3	18.75		13	81.25		16	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	128	504	66.93		249	33.07		753	

	Bonny Hills										
			1st Prefs	527	60.44		345	39.56		872	
		"STANFIELD, Lynn (HAN)"	73	43	58.90		30	41.10		73	
		"SARA, Dane William (IND)"	13	8	61.54		5	38.46		13	
		"ISHERWOOD, Siobhan (GRN)"	70	31	44.29		39	55.71		70	
		"JIRMAN, Philip (DEM)"	53	27	50.94		26	49.06		53	
		"MULDOON, Graeme (CEC)"	1	0	0.00		1	100.00		1	
		Total	210	636	58.78		446	41.22		1082	

	Burrell Creek										
			1st Prefs	102	66.23		52	33.77		154	
		"STANFIELD, Lynn (HAN)"	52	32	61.54		20	38.46		52	
		"SARA, Dane William (IND)"	2	1	50.00		1	50.00		2	
		"ISHERWOOD, Siobhan (GRN)"	5	0	0.00		5	100.00		5	
		"JIRMAN, Philip (DEM)"	5	2	40.00		3	60.00		5	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	64	137	62.84		81	37.16		218	

	Byabarra										
			1st Prefs	58	63.04		34	36.96		92	
		"STANFIELD, Lynn (HAN)"	14	10	71.43		4	28.57		14	
		"SARA, Dane William (IND)"	2	1	50.00		1	50.00		2	
		"ISHERWOOD, Siobhan (GRN)"	7	1	14.29		6	85.71		7	
		"JIRMAN, Philip (DEM)"	3	0	0.00		3	100.00		3	
		"MULDOON, Graeme (CEC)"	0	0	0.00		0	0.00		0	
		Total	26	70	59.32		48	40.68		118	

	Chatham										
			1st Prefs	834	56.85		633	43.15		1467	
		"STANFIELD, Lynn (HAN)"	187	69	36.90		118	63.10		187	
		"SARA, Dane William (IND)"	24	13	54.17		11	45.83		24	
		"ISHERWOOD, Siobhan (GRN)"	24	7	29.17		17	70.83		24	
		"JIRMAN, Philip (DEM)"	41	16	39.02		25	60.98		41	
		"MULDOON, Graeme (CEC)"	16	10	62.50		6	37.50		16	
		Total	292	949	53.95		810	46.05		1759	

	Comboyne										
			1st Prefs	195	89.04		24	10.96		219	
		"STANFIELD, Lynn (HAN)"	38	28	73.68		10	26.32		38	
		"SARA, Dane William (IND)"	4	2	50.00		2	50.00		4	
		"ISHERWOOD, Siobhan (GRN)"	17	7	41.18		10	58.82		17	
