House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Newcastle (89198)											
		Candidate		"WILLIAMS, David M"		          	"GRIERSON, Sharon"		           	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Adamstown										
			1st Prefs	638	43.02		845	56.98		1483	
		"WILLIAMS, Harry (PLP)"	97	57	58.76		40	41.24		97	
		"CRITICOS, Harry (IND)"	44	28	63.64		16	36.36		44	
		"SUTTON, John (GRN)"	153	57	37.25		96	62.75		153	
		"KILLION-DELCASTILLO, Erin ()"	19	4	21.05		15	78.95		19	
		"BATTERSBY, Elaine (CTA)"	32	25	78.13		7	21.88		32	
		"KAVANAGH, Mary (DEM)"	127	51	40.16		76	59.84		127	
		"LAWN, Barrie (HAN)"	103	68	66.02		35	33.98		103	
		Total	575	928	45.09		1130	54.91		2058	

	Adamstown Heights										
			1st Prefs	1075	57.52		794	42.48		1869	
		"WILLIAMS, Harry (PLP)"	74	35	47.30		39	52.70		74	
		"CRITICOS, Harry (IND)"	70	47	67.14		23	32.86		70	
		"SUTTON, John (GRN)"	133	44	33.08		89	66.92		133	
		"KILLION-DELCASTILLO, Erin ()"	9	3	33.33		6	66.67		9	
		"BATTERSBY, Elaine (CTA)"	56	47	83.93		9	16.07		56	
		"KAVANAGH, Mary (DEM)"	158	62	39.24		96	60.76		158	
		"LAWN, Barrie (HAN)"	115	85	73.91		30	26.09		115	
		Total	615	1398	56.28		1086	43.72		2484	

	Adamstown North										
			1st Prefs	269	33.92		524	66.08		793	
		"WILLIAMS, Harry (PLP)"	62	29	46.77		33	53.23		62	
		"CRITICOS, Harry (IND)"	21	11	52.38		10	47.62		21	
		"SUTTON, John (GRN)"	92	24	26.09		68	73.91		92	
		"KILLION-DELCASTILLO, Erin ()"	5	0	0.00		5	100.00		5	
		"BATTERSBY, Elaine (CTA)"	13	9	69.23		4	30.77		13	
		"KAVANAGH, Mary (DEM)"	52	18	34.62		34	65.38		52	
		"LAWN, Barrie (HAN)"	68	44	64.71		24	35.29		68	
		Total	313	404	36.53		702	63.47		1106	

	Adamstown West										
			1st Prefs	93	45.81		110	54.19		203	
		"WILLIAMS, Harry (PLP)"	8	2	25.00		6	75.00		8	
		"CRITICOS, Harry (IND)"	1	0	0.00		1	100.00		1	
		"SUTTON, John (GRN)"	26	8	30.77		18	69.23		26	
		"KILLION-DELCASTILLO, Erin ()"	0	0	0.00		0	0.00		0	
		"BATTERSBY, Elaine (CTA)"	4	3	75.00		1	25.00		4	
		"KAVANAGH, Mary (DEM)"	22	11	50.00		11	50.00		22	
		"LAWN, Barrie (HAN)"	13	10	76.92		3	23.08		13	
		Total	74	127	45.85		150	54.15		277	

	Beaumont Park										
			1st Prefs	161	26.83		439	73.17		600	
		"WILLIAMS, Harry (PLP)"	59	29	49.15		30	50.85		59	
		"CRITICOS, Harry (IND)"	18	13	72.22		5	27.78		18	
		"SUTTON, John (GRN)"	38	12	31.58		26	68.42		38	
		"KILLION-DELCASTILLO, Erin ()"	2	1	50.00		1	50.00		2	
		"BATTERSBY, Elaine (CTA)"	8	5	62.50		3	37.50		8	
		"KAVANAGH, Mary (DEM)"	22	3	13.64		19	86.36		22	
		"LAWN, Barrie (HAN)"	32	16	50.00		16	50.00		32	
		Total	179	240	30.81		539	69.19		779	

	Birmingham Gardens										
			1st Prefs	253	41.54		356	58.46		609	
		"WILLIAMS, Harry (PLP)"	41	16	39.02		25	60.98		41	
		"CRITICOS, Harry (IND)"	21	11	52.38		10	47.62		21	
		"SUTTON, John (GRN)"	44	13	29.55		31	70.45		44	
		"KILLION-DELCASTILLO, Erin ()"	1	1	100.00		0	0.00		1	
		"BATTERSBY, Elaine (CTA)"	20	18	90.00		2	10.00		20	
		"KAVANAGH, Mary (DEM)"	36	5	13.89		31	86.11		36	
		"LAWN, Barrie (HAN)"	71	42	59.15		29	40.85		71	
		Total	234	359	42.59		484	57.41		843	

	Birmingham Gardens North										
			1st Prefs	249	36.09		441	63.91		690	
		"WILLIAMS, Harry (PLP)"	32	13	40.63		19	59.38		32	
		"CRITICOS, Harry (IND)"	16	5	31.25		11	68.75		16	
		"SUTTON, John (GRN)"	39	10	25.64		29	74.36		39	
		"KILLION-DELCASTILLO, Erin ()"	6	2	33.33		4	66.67		6	
		"BATTERSBY, Elaine (CTA)"	9	6	66.67		3	33.33		9	
		"KAVANAGH, Mary (DEM)"	10	2	20.00		8	80.00		10	
		"LAWN, Barrie (HAN)"	127	45	35.43		82	64.57		127	
		Total	239	332	35.74		597	64.26		929	

	Carrington										
			1st Prefs	131	19.52		540	80.48		671	
		"WILLIAMS, Harry (PLP)"	51	20	39.22		31	60.78		51	
		"CRITICOS, Harry (IND)"	15	8	53.33		7	46.67		15	
		"SUTTON, John (GRN)"	71	18	25.35		53	74.65		71	
		"KILLION-DELCASTILLO, Erin ()"	3	1	33.33		2	66.67		3	
		"BATTERSBY, Elaine (CTA)"	14	11	78.57		3	21.43		14	
		"KAVANAGH, Mary (DEM)"	39	11	28.21		28	71.79		39	
		"LAWN, Barrie (HAN)"	44	26	59.09		18	40.91		44	
		Total	237	226	24.89		682	75.11		908	

	Cooks Hill										
			1st Prefs	209	46.34		242	53.66		451	
		"WILLIAMS, Harry (PLP)"	22	7	31.82		15	68.18		22	
		"CRITICOS, Harry (IND)"	17	10	58.82		7	41.18		17	
		"SUTTON, John (GRN)"	119	18	15.13		101	84.87		119	
		"KILLION-DELCASTILLO, Erin ()"	4	1	25.00		3	75.00		4	
		"BATTERSBY, Elaine (CTA)"	16	12	75.00		4	25.00		16	
		"KAVANAGH, Mary (DEM)"	73	21	28.77		52	71.23		73	
		"LAWN, Barrie (HAN)"	16	13	81.25		3	18.75		16	
		Total	267	291	40.53		427	59.47		718	

	Cooks Hill South										
			1st Prefs	714	53.01		633	46.99		1347	
		"WILLIAMS, Harry (PLP)"	86	30	34.88		56	65.12		86	
		"CRITICOS, Harry (IND)"	29	16	55.17		13	44.83		29	
		"SUTTON, John (GRN)"	226	60	26.55		166	73.45		226	
		"KILLION-DELCASTILLO, Erin ()"	13	11	84.62		2	15.38		13	
		"BATTERSBY, Elaine (CTA)"	17	13	76.47		4	23.53		17	
		"KAVANAGH, Mary (DEM)"	178	60	33.71		118	66.29		178	
		"LAWN, Barrie (HAN)"	62	35	56.45		27	43.55		62	
		Total	611	939	47.96		1019	52.04		1958	

	Garden Suburb (Newcastle)										
			1st Prefs	88	59.06		61	40.94		149	
		"WILLIAMS, Harry (PLP)"	8	3	37.50		5	62.50		8	
		"CRITICOS, Harry (IND)"	4	3	75.00		1	25.00		4	
		"SUTTON, John (GRN)"	13	4	30.77		9	69.23		13	
		"KILLION-DELCASTILLO, Erin ()"	0	0	0.00		0	0.00		0	
		"BATTERSBY, Elaine (CTA)"	4	4	100.00		0	0.00		4	
		"KAVANAGH, Mary (DEM)"	8	3	37.50		5	62.50		8	
		"LAWN, Barrie (HAN)"	14	10	71.43		4	28.57		14	
		Total	51	115	57.50		85	42.50		200	

	Georgetown										
			1st Prefs	125	29.98		292	70.02		417	
		"WILLIAMS, Harry (PLP)"	26	17	65.38		9	34.62		26	
		"CRITICOS, Harry (IND)"	5	2	40.00		3	60.00		5	
		"SUTTON, John (GRN)"	40	9	22.50		31	77.50		40	
		"KILLION-DELCASTILLO, Erin ()"	1	0	0.00		1	100.00		1	
		"BATTERSBY, Elaine (CTA)"	11	9	81.82		2	18.18		11	
		"KAVANAGH, Mary (DEM)"	19	4	21.05		15	78.95		19	
		"LAWN, Barrie (HAN)"	23	11	47.83		12	52.17		23	
		Total	125	177	32.66		365	67.34		542	

	Hamilton										
			1st Prefs	412	35.79		739	64.21		1151	
		"WILLIAMS, Harry (PLP)"	111	27	24.32		84	75.68		111	
		"CRITICOS, Harry (IND)"	57	26	45.61		31	54.39		57	
		"SUTTON, John (GRN)"	225	42	18.67		183	81.33		225	
		"KILLION-DELCASTILLO, Erin ()"	8	1	12.50		7	87.50		8	
		"BATTERSBY, Elaine (CTA)"	15	12	80.00		3	20.00		15	
		"KAVANAGH, Mary (DEM)"	132	36	27.27		96	72.73		132	
		"LAWN, Barrie (HAN)"	43	17	39.53		26	60.47		43	
		Total	591	573	32.89		1169	67.11		1742	

	Hamilton Central										
			1st Prefs	294	38.08		478	61.92		772	
		"WILLIAMS, Harry (PLP)"	64	23	35.94		41	64.06		64	
		"CRITICOS, Harry (IND)"	37	19	51.35		18	48.65		37	
		"SUTTON, John (GRN)"	115	19	16.52		96	83.48		115	
		"KILLION-DELCASTILLO, Erin ()"	4	0	0.00		4	100.00		4	
		"BATTERSBY, Elaine (CTA)"	12	8	66.67		4	33.33		12	
		"KAVANAGH, Mary (DEM)"	96	24	25.00		72	75.00		96	
		"LAWN, Barrie (HAN)"	53	34	64.15		19	35.85		53	
		Total	381	421	36.51		732	63.49		1153	

	Hamilton North										
