House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
North Sydney (88755)											
		Candidate		"HOCKEY, Joe"		                	"TEIRNEY, Fran"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Artarmon										
			1st Prefs	680	60.61		442	39.39		1122	
		"WARD, Colin (CTA)"	26	17	65.38		9	34.62		26	
		"MCGUIRE, Bryan (DEM)"	127	37	29.13		90	70.87		127	
		"STEEL, Mike (GRN)"	99	25	25.25		74	74.75		99	
		"LAM, Brian (UNI)"	9	3	33.33		6	66.67		9	
		Total	261	762	55.10		621	44.90		1383	

	Artarmon Central										
			1st Prefs	1047	61.99		642	38.01		1689	
		"WARD, Colin (CTA)"	54	34	62.96		20	37.04		54	
		"MCGUIRE, Bryan (DEM)"	186	66	35.48		120	64.52		186	
		"STEEL, Mike (GRN)"	109	26	23.85		83	76.15		109	
		"LAM, Brian (UNI)"	48	9	18.75		39	81.25		48	
		Total	397	1182	56.66		904	43.34		2086	

	Boronia Park (North Sydney)										
			1st Prefs	747	64.34		414	35.66		1161	
		"WARD, Colin (CTA)"	26	19	73.08		7	26.92		26	
		"MCGUIRE, Bryan (DEM)"	123	43	34.96		80	65.04		123	
		"STEEL, Mike (GRN)"	92	16	17.39		76	82.61		92	
		"LAM, Brian (UNI)"	12	1	8.33		11	91.67		12	
		Total	253	826	58.42		588	41.58		1414	

	Cammeray										
			1st Prefs	1698	70.66		705	29.34		2403	
		"WARD, Colin (CTA)"	25	17	68.00		8	32.00		25	
		"MCGUIRE, Bryan (DEM)"	228	73	32.02		155	67.98		228	
		"STEEL, Mike (GRN)"	268	51	19.03		217	80.97		268	
		"LAM, Brian (UNI)"	32	14	43.75		18	56.25		32	
		Total	553	1853	62.69		1103	37.31		2956	

	Castlecrag										
			1st Prefs	675	73.05		249	26.95		924	
		"WARD, Colin (CTA)"	16	12	75.00		4	25.00		16	
		"MCGUIRE, Bryan (DEM)"	88	16	18.18		72	81.82		88	
		"STEEL, Mike (GRN)"	119	22	18.49		97	81.51		119	
		"LAM, Brian (UNI)"	13	2	15.38		11	84.62		13	
		Total	236	727	62.67		433	37.33		1160	

	Chatswood (North Sydney)										
			1st Prefs	97	65.54		51	34.46		148	
		"WARD, Colin (CTA)"	9	7	77.78		2	22.22		9	
		"MCGUIRE, Bryan (DEM)"	19	7	36.84		12	63.16		19	
		"STEEL, Mike (GRN)"	21	7	33.33		14	66.67		21	
		"LAM, Brian (UNI)"	9	6	66.67		3	33.33		9	
		Total	58	124	60.19		82	39.81		206	

	Chatswood East (North Sydney)										
			1st Prefs	220	64.71		120	35.29		340	
		"WARD, Colin (CTA)"	10	9	90.00		1	10.00		10	
		"MCGUIRE, Bryan (DEM)"	32	12	37.50		20	62.50		32	
		"STEEL, Mike (GRN)"	19	4	21.05		15	78.95		19	
		"LAM, Brian (UNI)"	1	0	0.00		1	100.00		1	
		Total	62	245	60.95		157	39.05		402	

	Chatswood South (North Sydney)										
			1st Prefs	408	64.97		220	35.03		628	
		"WARD, Colin (CTA)"	20	15	75.00		5	25.00		20	
		"MCGUIRE, Bryan (DEM)"	65	21	32.31		44	67.69		65	
		"STEEL, Mike (GRN)"	54	18	33.33		36	66.67		54	
		"LAM, Brian (UNI)"	17	7	41.18		10	58.82		17	
		Total	156	469	59.82		315	40.18		784	

	Cremorne										
			1st Prefs	1629	76.23		508	23.77		2137	
		"WARD, Colin (CTA)"	24	23	95.83		1	4.17		24	
		"MCGUIRE, Bryan (DEM)"	203	71	34.98		132	65.02		203	
		"STEEL, Mike (GRN)"	212	50	23.58		162	76.42		212	
		"LAM, Brian (UNI)"	22	4	18.18		18	81.82		22	
		Total	461	1777	68.40		821	31.60		2598	

	Cremorne South (North Sydney)										
			1st Prefs	1191	72.76		446	27.24		1637	
		"WARD, Colin (CTA)"	27	21	77.78		6	22.22		27	
		"MCGUIRE, Bryan (DEM)"	152	54	35.53		98	64.47		152	
		"STEEL, Mike (GRN)"	149	35	23.49		114	76.51		149	
		"LAM, Brian (UNI)"	12	5	41.67		7	58.33		12	
		Total	340	1306	66.06		671	33.94		1977	

	Crows Nest										
			1st Prefs	773	66.52		389	33.48		1162	
		"WARD, Colin (CTA)"	18	15	83.33		3	16.67		18	
		"MCGUIRE, Bryan (DEM)"	138	43	31.16		95	68.84		138	
		"STEEL, Mike (GRN)"	84	24	28.57		60	71.43		84	
		"LAM, Brian (UNI)"	22	11	50.00		11	50.00		22	
		Total	262	866	60.81		558	39.19		1424	

	Crows Nest East										
			1st Prefs	641	64.10		359	35.90		1000	
		"WARD, Colin (CTA)"	13	10	76.92		3	23.08		13	
		"MCGUIRE, Bryan (DEM)"	109	48	44.04		61	55.96		109	
		"STEEL, Mike (GRN)"	107	17	15.89		90	84.11		107	
		"LAM, Brian (UNI)"	16	7	43.75		9	56.25		16	
		Total	245	723	58.07		522	41.93		1245	

	Cullen										
			1st Prefs	844	70.69		350	29.31		1194	
		"WARD, Colin (CTA)"	21	19	90.48		2	9.52		21	
		"MCGUIRE, Bryan (DEM)"	128	35	27.34		93	72.66		128	
		"STEEL, Mike (GRN)"	72	28	38.89		44	61.11		72	
		"LAM, Brian (UNI)"	17	8	47.06		9	52.94		17	
		Total	238	934	65.22		498	34.78		1432	

	Gladesville (North Sydney)										
			1st Prefs	493	59.83		331	40.17		824	
		"WARD, Colin (CTA)"	26	22	84.62		4	15.38		26	
		"MCGUIRE, Bryan (DEM)"	46	9	19.57		37	80.43		46	
		"STEEL, Mike (GRN)"	44	11	25.00		33	75.00		44	
		"LAM, Brian (UNI)"	6	2	33.33		4	66.67		6	
		Total	122	537	56.77		409	43.23		946	

	Greenwich										
			1st Prefs	941	67.99		443	32.01		1384	
		"WARD, Colin (CTA)"	16	15	93.75		1	6.25		16	
		"MCGUIRE, Bryan (DEM)"	168	55	32.74		113	67.26		168	
		"STEEL, Mike (GRN)"	186	45	24.19		141	75.81		186	
		"LAM, Brian (UNI)"	17	5	29.41		12	70.59		17	
		Total	387	1061	59.91		710	40.09		1771	

	Greenwich North										
			1st Prefs	388	67.60		186	32.40		574	
		"WARD, Colin (CTA)"	15	15	100.00		0	0.00		15	
		"MCGUIRE, Bryan (DEM)"	55	16	29.09		39	70.91		55	
		"STEEL, Mike (GRN)"	73	11	15.07		62	84.93		73	
		"LAM, Brian (UNI)"	4	1	25.00		3	75.00		4	
		Total	147	431	59.78		290	40.22		721	

	Henley										
			1st Prefs	233	73.50		84	26.50		317	
		"WARD, Colin (CTA)"	5	3	60.00		2	40.00		5	
		"MCGUIRE, Bryan (DEM)"	17	3	17.65		14	82.35		17	
		"STEEL, Mike (GRN)"	28	6	21.43		22	78.57		28	
		"LAM, Brian (UNI)"	5	3	60.00		2	40.00		5	
		Total	55	248	66.67		124	33.33		372	

	Hunters Hill										
			1st Prefs	1164	80.61		280	19.39		1444	
		"WARD, Colin (CTA)"	21	21	100.00		0	0.00		21	
		"MCGUIRE, Bryan (DEM)"	98	37	37.76		61	62.24		98	
		"STEEL, Mike (GRN)"	121	25	20.66		96	79.34		121	
		"LAM, Brian (UNI)"	14	8	57.14		6	42.86		14	
		Total	254	1255	73.91		443	26.09		1698	

	Hunters Hill West										
			1st Prefs	634	69.29		281	30.71		915	
		"WARD, Colin (CTA)"	13	7	53.85		6	46.15		13	
		"MCGUIRE, Bryan (DEM)"	89	35	39.33		54	60.67		89	
		"STEEL, Mike (GRN)"	84	19	22.62		65	77.38		84	
		"LAM, Brian (UNI)"	6	1	16.67		5	83.33		6	
		Total	192	696	62.87		411	37.13		1107	

	Kirribilli										
			1st Prefs	844	65.89		437	34.11		1281	
		"WARD, Colin (CTA)"	17	13	76.47		4	23.53		17	
		"MCGUIRE, Bryan (DEM)"	134	30	22.39		104	77.61		134	
		"STEEL, Mike (GRN)"	126	19	15.08		107	84.92		126	
		"LAM, Brian (UNI)"	12	4	33.33		8	66.67		12	
		Total	289	910	57.96		660	42.04		1570	

	Lane Cove										
			1st Prefs	1898	67.66		907	32.34		2805	
		"WARD, Colin (CTA)"	57	47	82.46		10	17.54		57	
		"MCGUIRE, Bryan (DEM)"	295	103	34.92		192	65.08		295	
		"STEEL, Mike (GRN)"	303	60	19.80		243	80.20		303	
		"LAM, Brian (UNI)"	43	14	32.56		29	67.44		43	
		Total	698	2122	60.58		1381	39.42		3503	

	Lane Cove South										
			1st Prefs	700	73.38		254	26.62		954	
		"WARD, Colin (CTA)"	17	13	76.47		4	23.53		17	
		"MCGUIRE, Bryan (DEM)"	93	26	27.96		67	72.04		93	
		"STEEL, Mike (GRN)"	77	15	19.48		62	80.52		77	
		"LAM, Brian (UNI)"	13	5	38.46		8	61.54		13	
		Total	200	759	65.77		395	34.23		1154	

	Lane Cove West										
			1st Prefs	1008	70.79		416	29.21		1424	
		"WARD, Colin (CTA)"	20	15	75.00		5	25.00		20	
