House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Parkes (83036)											
		Candidate		"KNAGGE, Joe"		                	"COBB, John"		                 	Total	
				CLR		                        	NP		                         		
				Votes	%	                     	Votes	%	                     		
	Albert										
			1st Prefs	13	14.94		74	85.06		87	
		"REDFERN, Bob (HAN)"	8	2	25.00		6	75.00		8	
		"DUNLOP, Samantha (GRN)"	1	0	0.00		1	100.00		1	
		"WARD, Geoff (DEM)"	1	0	0.00		1	100.00		1	
		Total	10	15	15.46		82	84.54		97	

	Alectown										
			1st Prefs	39	25.83		112	74.17		151	
		"REDFERN, Bob (HAN)"	19	7	36.84		12	63.16		19	
		"DUNLOP, Samantha (GRN)"	3	2	66.67		1	33.33		3	
		"WARD, Geoff (DEM)"	1	1	100.00		0	0.00		1	
		Total	23	49	28.16		125	71.84		174	

	Alma										
			1st Prefs	1112	73.69		397	26.31		1509	
		"REDFERN, Bob (HAN)"	260	182	70.00		78	30.00		260	
		"DUNLOP, Samantha (GRN)"	36	27	75.00		9	25.00		36	
		"WARD, Geoff (DEM)"	41	28	68.29		13	31.71		41	
		Total	337	1349	73.08		497	26.92		1846	

	Ballimore										
			1st Prefs	30	33.71		59	66.29		89	
		"REDFERN, Bob (HAN)"	10	2	20.00		8	80.00		10	
		"DUNLOP, Samantha (GRN)"	3	2	66.67		1	33.33		3	
		"WARD, Geoff (DEM)"	7	4	57.14		3	42.86		7	
		Total	20	38	34.86		71	65.14		109	

	Barmedman										
			1st Prefs	52	25.24		154	74.76		206	
		"REDFERN, Bob (HAN)"	26	15	57.69		11	42.31		26	
		"DUNLOP, Samantha (GRN)"	4	1	25.00		3	75.00		4	
		"WARD, Geoff (DEM)"	5	3	60.00		2	40.00		5	
		Total	35	71	29.46		170	70.54		241	

	Bedgerebong										
			1st Prefs	13	11.11		104	88.89		117	
		"REDFERN, Bob (HAN)"	13	3	23.08		10	76.92		13	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	3	1	33.33		2	66.67		3	
		Total	16	17	12.78		116	87.22		133	

	Bogan Gate										
			1st Prefs	36	20.34		141	79.66		177	
		"REDFERN, Bob (HAN)"	29	17	58.62		12	41.38		29	
		"DUNLOP, Samantha (GRN)"	6	3	50.00		3	50.00		6	
		"WARD, Geoff (DEM)"	11	4	36.36		7	63.64		11	
		Total	46	60	26.91		163	73.09		223	

	Broken Hill										
			1st Prefs	832	65.62		436	34.38		1268	
		"REDFERN, Bob (HAN)"	177	115	64.97		62	35.03		177	
		"DUNLOP, Samantha (GRN)"	52	40	76.92		12	23.08		52	
		"WARD, Geoff (DEM)"	39	31	79.49		8	20.51		39	
		Total	268	1018	66.28		518	33.72		1536	

	Broken Hill Hospital										
			1st Prefs	98	73.68		35	26.32		133	
		"REDFERN, Bob (HAN)"	11	5	45.45		6	54.55		11	
		"DUNLOP, Samantha (GRN)"	8	8	100.00		0	0.00		8	
		"WARD, Geoff (DEM)"	5	4	80.00		1	20.00		5	
		Total	24	115	73.25		42	26.75		157	

	Broken Hill North										
			1st Prefs	1161	66.96		573	33.04		1734	
		"REDFERN, Bob (HAN)"	257	164	63.81		93	36.19		257	
		"DUNLOP, Samantha (GRN)"	30	17	56.67		13	43.33		30	
		"WARD, Geoff (DEM)"	42	22	52.38		20	47.62		42	
		Total	329	1364	66.12		699	33.88		2063	

	Broken Hill West										
			1st Prefs	611	65.63		320	34.37		931	
		"REDFERN, Bob (HAN)"	102	60	58.82		42	41.18		102	
		"DUNLOP, Samantha (GRN)"	24	14	58.33		10	41.67		24	
		"WARD, Geoff (DEM)"	18	5	27.78		13	72.22		18	
		Total	144	690	64.19		385	35.81		1075	

	Burcher										
			1st Prefs	5	6.94		67	93.06		72	
		"REDFERN, Bob (HAN)"	2	0	0.00		2	100.00		2	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	2	0	0.00		2	100.00		2	
		Total	4	5	6.58		71	93.42		76	

	Caragabal										
			1st Prefs	20	14.71		116	85.29		136	
		"REDFERN, Bob (HAN)"	18	7	38.89		11	61.11		18	
		"DUNLOP, Samantha (GRN)"	2	1	50.00		1	50.00		2	
		"WARD, Geoff (DEM)"	4	1	25.00		3	75.00		4	
		Total	24	29	18.13		131	81.88		160	

	Churchill Gardens										
			1st Prefs	515	36.73		887	63.27		1402	
		"REDFERN, Bob (HAN)"	154	63	40.91		91	59.09		154	
		"DUNLOP, Samantha (GRN)"	42	24	57.14		18	42.86		42	
		"WARD, Geoff (DEM)"	41	20	48.78		21	51.22		41	
		Total	237	622	37.95		1017	62.05		1639	

	Cobar										
			1st Prefs	686	42.48		929	57.52		1615	
		"REDFERN, Bob (HAN)"	310	173	55.81		137	44.19		310	
		"DUNLOP, Samantha (GRN)"	52	27	51.92		25	48.08		52	
		"WARD, Geoff (DEM)"	52	32	61.54		20	38.46		52	
		Total	414	918	45.24		1111	54.76		2029	

	Condobolin										
			1st Prefs	576	33.64		1136	66.36		1712	
		"REDFERN, Bob (HAN)"	165	83	50.30		82	49.70		165	
		"DUNLOP, Samantha (GRN)"	21	11	52.38		10	47.62		21	
		"WARD, Geoff (DEM)"	28	17	60.71		11	39.29		28	
		Total	214	687	35.67		1239	64.33		1926	

	Cookamidgera										
			1st Prefs	17	29.31		41	70.69		58	
		"REDFERN, Bob (HAN)"	9	4	44.44		5	55.56		9	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	1	0	0.00		1	100.00		1	
		Total	10	21	30.88		47	69.12		68	

	Coolabah										
			1st Prefs	7	21.88		25	78.13		32	
		"REDFERN, Bob (HAN)"	4	2	50.00		2	50.00		4	
		"DUNLOP, Samantha (GRN)"	0	0	0.00		0	0.00		0	
		"WARD, Geoff (DEM)"	0	0	0.00		0	0.00		0	
		Total	4	9	25.00		27	75.00		36	

	Dubbo										
			1st Prefs	507	36.16		895	63.84		1402	
		"REDFERN, Bob (HAN)"	143	67	46.85		76	53.15		143	
		"DUNLOP, Samantha (GRN)"	74	51	68.92		23	31.08		74	
		"WARD, Geoff (DEM)"	52	29	55.77		23	44.23		52	
		Total	269	654	39.14		1017	60.86		1671	

	Dubbo East										
			1st Prefs	792	34.63		1495	65.37		2287	
		"REDFERN, Bob (HAN)"	201	107	53.23		94	46.77		201	
		"DUNLOP, Samantha (GRN)"	88	53	60.23		35	39.77		88	
		"WARD, Geoff (DEM)"	94	44	46.81		50	53.19		94	
		Total	383	996	37.30		1674	62.70		2670	

	Dubbo Grove										
			1st Prefs	668	31.57		1448	68.43		2116	
		"REDFERN, Bob (HAN)"	252	128	50.79		124	49.21		252	
		"DUNLOP, Samantha (GRN)"	66	42	63.64		24	36.36		66	
		"WARD, Geoff (DEM)"	68	39	57.35		29	42.65		68	
		Total	386	877	35.05		1625	64.95		2502	

	Dubbo Hospital										
			1st Prefs	69	38.33		111	61.67		180	
		"REDFERN, Bob (HAN)"	11	4	36.36		7	63.64		11	
		"DUNLOP, Samantha (GRN)"	13	8	61.54		5	38.46		13	
		"WARD, Geoff (DEM)"	16	10	62.50		6	37.50		16	
