House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Paterson (82782)											
		Candidate		"HORNE, Bob"		                 	"BALDWIN, Bob"		               	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Anna Bay										
			1st Prefs	986	54.87		811	45.13		1797	
		"SHAW, Ian (NP)"	114	21	18.42		93	81.58		114	
		"DAVIES, Sharon (DEM)"	55	39	70.91		16	29.09		55	
		"RANKE, Aina (GRN)"	95	66	69.47		29	30.53		95	
		"HENNELLY, Paul (FPY)"	22	14	63.64		8	36.36		22	
		"KING, Tony (CEC)"	7	2	28.57		5	71.43		7	
		"CARY, Paul (HAN)"	84	41	48.81		43	51.19		84	
		Total	377	1169	53.77		1005	46.23		2174	

	Bandon Grove										
			1st Prefs	38	42.22		52	57.78		90	
		"SHAW, Ian (NP)"	15	0	0.00		15	100.00		15	
		"DAVIES, Sharon (DEM)"	3	2	66.67		1	33.33		3	
		"RANKE, Aina (GRN)"	0	0	0.00		0	0.00		0	
		"HENNELLY, Paul (FPY)"	2	0	0.00		2	100.00		2	
		"KING, Tony (CEC)"	0	0	0.00		0	0.00		0	
		"CARY, Paul (HAN)"	13	1	7.69		12	92.31		13	
		Total	33	41	33.33		82	66.67		123	

	Barrington										
			1st Prefs	65	35.52		118	64.48		183	
		"SHAW, Ian (NP)"	114	10	8.77		104	91.23		114	
		"DAVIES, Sharon (DEM)"	6	3	50.00		3	50.00		6	
		"RANKE, Aina (GRN)"	17	12	70.59		5	29.41		17	
		"HENNELLY, Paul (FPY)"	3	2	66.67		1	33.33		3	
		"KING, Tony (CEC)"	4	2	50.00		2	50.00		4	
		"CARY, Paul (HAN)"	8	1	12.50		7	87.50		8	
		Total	152	95	28.36		240	71.64		335	

	Beresfield										
			1st Prefs	1247	67.08		612	32.92		1859	
		"SHAW, Ian (NP)"	36	13	36.11		23	63.89		36	
		"DAVIES, Sharon (DEM)"	73	52	71.23		21	28.77		73	
		"RANKE, Aina (GRN)"	55	38	69.09		17	30.91		55	
		"HENNELLY, Paul (FPY)"	28	17	60.71		11	39.29		28	
		"KING, Tony (CEC)"	11	5	45.45		6	54.55		11	
		"CARY, Paul (HAN)"	110	66	60.00		44	40.00		110	
		Total	313	1438	66.21		734	33.79		2172	

	Bobs Farm										
			1st Prefs	89	43.41		116	56.59		205	
		"SHAW, Ian (NP)"	32	0	0.00		32	100.00		32	
		"DAVIES, Sharon (DEM)"	6	6	100.00		0	0.00		6	
		"RANKE, Aina (GRN)"	9	5	55.56		4	44.44		9	
		"HENNELLY, Paul (FPY)"	1	0	0.00		1	100.00		1	
		"KING, Tony (CEC)"	1	0	0.00		1	100.00		1	
		"CARY, Paul (HAN)"	21	10	47.62		11	52.38		21	
		Total	70	110	40.00		165	60.00		275	

	Booral										
			1st Prefs	135	46.55		155	53.45		290	
		"SHAW, Ian (NP)"	54	10	18.52		44	81.48		54	
		"DAVIES, Sharon (DEM)"	4	2	50.00		2	50.00		4	
		"RANKE, Aina (GRN)"	7	5	71.43		2	28.57		7	
		"HENNELLY, Paul (FPY)"	0	0	0.00		0	0.00		0	
		"KING, Tony (CEC)"	16	6	37.50		10	62.50		16	
		"CARY, Paul (HAN)"	36	13	36.11		23	63.89		36	
		Total	117	171	42.01		236	57.99		407	

	Bulahdelah										
			1st Prefs	315	42.51		426	57.49		741	
