House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Richmond (81312)											
		Candidate		"ANTHONY, Larry"		             	"MCALLISTER, Jenny"		          	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Alstonville										
			1st Prefs	1670	68.05		784	31.95		2454	
		"NATHAN, Julie (IND)"	43	28	65.12		15	34.88		43	
		"PENHALIGON, John (IND)"	40	30	75.00		10	25.00		40	
		"FAULKNER, Nicolas de Bray (IND)"	4	2	50.00		2	50.00		4	
		"BARHAM, Jan (GRN)"	198	44	22.22		154	77.78		198	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	83	36	43.37		47	56.63		83	
		"JEFFERYS, Dean (HMP)"	36	7	19.44		29	80.56		36	
		"ROLFE, Dell (HAN)"	90	46	51.11		44	48.89		90	
		"SIMPSON, Rob (IND)"	17	6	35.29		11	64.71		17	
		Total	512	1870	63.05		1096	36.95		2966	

	Bangalow										
			1st Prefs	427	51.02		410	48.98		837	
		"NATHAN, Julie (IND)"	15	6	40.00		9	60.00		15	
		"PENHALIGON, John (IND)"	8	5	62.50		3	37.50		8	
		"FAULKNER, Nicolas de Bray (IND)"	6	1	16.67		5	83.33		6	
		"BARHAM, Jan (GRN)"	319	35	10.97		284	89.03		319	
		"PENIAZEV, Alexander (NCP)"	1	0	0.00		1	100.00		1	
		"BALK, Casey (DEM)"	55	9	16.36		46	83.64		55	
		"JEFFERYS, Dean (HMP)"	31	7	22.58		24	77.42		31	
		"ROLFE, Dell (HAN)"	31	22	70.97		9	29.03		31	
		"SIMPSON, Rob (IND)"	1	1	100.00		0	0.00		1	
		Total	467	513	39.34		791	60.66		1304	

	Banora Point										
			1st Prefs	1612	64.90		872	35.10		2484	
		"NATHAN, Julie (IND)"	25	14	56.00		11	44.00		25	
		"PENHALIGON, John (IND)"	17	11	64.71		6	35.29		17	
		"FAULKNER, Nicolas de Bray (IND)"	4	1	25.00		3	75.00		4	
		"BARHAM, Jan (GRN)"	97	16	16.49		81	83.51		97	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	55	17	30.91		38	69.09		55	
		"JEFFERYS, Dean (HMP)"	8	5	62.50		3	37.50		8	
		"ROLFE, Dell (HAN)"	140	107	76.43		33	23.57		140	
		"SIMPSON, Rob (IND)"	3	1	33.33		2	66.67		3	
		Total	349	1784	62.97		1049	37.03		2833	

	Banora Point South										
			1st Prefs	1227	54.32		1032	45.68		2259	
		"NATHAN, Julie (IND)"	28	17	60.71		11	39.29		28	
		"PENHALIGON, John (IND)"	25	18	72.00		7	28.00		25	
		"FAULKNER, Nicolas de Bray (IND)"	5	1	20.00		4	80.00		5	
		"BARHAM, Jan (GRN)"	63	7	11.11		56	88.89		63	
		"PENIAZEV, Alexander (NCP)"	3	2	66.67		1	33.33		3	
		"BALK, Casey (DEM)"	36	12	33.33		24	66.67		36	
		"JEFFERYS, Dean (HMP)"	8	4	50.00		4	50.00		8	
		"ROLFE, Dell (HAN)"	137	98	71.53		39	28.47		137	
		"SIMPSON, Rob (IND)"	4	3	75.00		1	25.00		4	
		Total	309	1389	54.09		1179	45.91		2568	

	Banora Point West										
			1st Prefs	1059	61.75		656	38.25		1715	
