House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
by Polling Place											
											
Sydney (86143)											
		Candidate		"PLIBERSEK, Tanya"		           	"PETTETT, Jeff"		              	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Alexandria										
			1st Prefs	704	62.30		426	37.70		1130	
		"HICKMAN, Sydney (DEM)"	158	121	76.58		37	23.42		158	
		"PARKER, Jamie (GRN)"	201	181	90.05		20	9.95		201	
		Total	359	1006	67.56		483	32.44		1489	

	Annandale North (Sydney)										
			1st Prefs	511	58.80		358	41.20		869	
		"HICKMAN, Sydney (DEM)"	175	132	75.43		43	24.57		175	
		"PARKER, Jamie (GRN)"	257	217	84.44		40	15.56		257	
		Total	432	860	66.10		441	33.90		1301	

	Bald Rock										
			1st Prefs	160	57.76		117	42.24		277	
		"HICKMAN, Sydney (DEM)"	38	28	73.68		10	26.32		38	
		"PARKER, Jamie (GRN)"	79	72	91.14		7	8.86		79	
		Total	117	260	65.99		134	34.01		394	

	Balmain										
			1st Prefs	797	53.17		702	46.83		1499	
		"HICKMAN, Sydney (DEM)"	237	185	78.06		52	21.94		237	
		"PARKER, Jamie (GRN)"	350	296	84.57		54	15.43		350	
		Total	587	1278	61.27		808	38.73		2086	

	Balmain East										
			1st Prefs	334	52.68		300	47.32		634	
		"HICKMAN, Sydney (DEM)"	91	65	71.43		26	28.57		91	
		"PARKER, Jamie (GRN)"	188	159	84.57		29	15.43		188	
		Total	279	558	61.12		355	38.88		913	

	Balmain Hospital										
			1st Prefs	140	51.85		130	48.15		270	
		"HICKMAN, Sydney (DEM)"	30	20	66.67		10	33.33		30	
		"PARKER, Jamie (GRN)"	44	40	90.91		4	9.09		44	
		Total	74	200	58.14		144	41.86		344	

	Barcom										
			1st Prefs	270	57.45		200	42.55		470	
		"HICKMAN, Sydney (DEM)"	69	52	75.36		17	24.64		69	
		"PARKER, Jamie (GRN)"	90	78	86.67		12	13.33		90	
		Total	159	400	63.59		229	36.41		629	

	Beaconsfield										
			1st Prefs	240	65.93		124	34.07		364	
		"HICKMAN, Sydney (DEM)"	35	27	77.14		8	22.86		35	
		"PARKER, Jamie (GRN)"	34	25	73.53		9	26.47		34	
		Total	69	292	67.44		141	32.56		433	

	Birchgrove										
			1st Prefs	765	52.80		684	47.20		1449	
		"HICKMAN, Sydney (DEM)"	216	171	79.17		45	20.83		216	
		"PARKER, Jamie (GRN)"	315	270	85.71		45	14.29		315	
		Total	531	1206	60.91		774	39.09		1980	

	Blackfriars										
			1st Prefs	261	64.44		144	35.56		405	
		"HICKMAN, Sydney (DEM)"	85	57	67.06		28	32.94		85	
		"PARKER, Jamie (GRN)"	101	90	89.11		11	10.89		101	
		Total	186	408	69.04		183	30.96		591	

	Chippendale										
			1st Prefs	439	74.16		153	25.84		592	
		"HICKMAN, Sydney (DEM)"	129	97	75.19		32	24.81		129	
		"PARKER, Jamie (GRN)"	212	191	90.09		21	9.91		212	
		Total	341	727	77.92		206	22.08		933	

	Darlinghurst										
			1st Prefs	106	51.71		99	48.29		205	
		"HICKMAN, Sydney (DEM)"	27	21	77.78		6	22.22		27	
		"PARKER, Jamie (GRN)"	33	27	81.82		6	18.18		33	
		Total	60	154	58.11		111	41.89		265	

	Darlington										
			1st Prefs	434	65.86		225	34.14		659	
