House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Warringah (85405)											
		Candidate		"MACDONALD, Peter"		           	"ABBOTT, Tony"		               	Total	
				IND		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Allambie										
			1st Prefs	162	36.32		284	63.68		446	
		"LAM, Keelah (GRN)"	13	11	84.62		2	15.38		13	
		"HERAGHTY, Julie (ALP)"	80	70	87.50		10	12.50		80	
		"BURRIDGE, Nina (DEM)"	14	12	85.71		2	14.29		14	
		"FERGUSON, Christine (NGST)"	4	3	75.00		1	25.00		4	
		"KELLY, David (HAN)"	24	15	62.50		9	37.50		24	
		Total	135	273	46.99		308	53.01		581	

	Allambie Heights										
			1st Prefs	846	35.43		1542	64.57		2388	
		"LAM, Keelah (GRN)"	73	55	75.34		18	24.66		73	
		"HERAGHTY, Julie (ALP)"	438	401	91.55		37	8.45		438	
		"BURRIDGE, Nina (DEM)"	81	62	76.54		19	23.46		81	
		"FERGUSON, Christine (NGST)"	19	11	57.89		8	42.11		19	
		"KELLY, David (HAN)"	88	58	65.91		30	34.09		88	
		Total	699	1433	46.42		1654	53.58		3087	

	Balgowlah										
			1st Prefs	414	37.20		699	62.80		1113	
		"LAM, Keelah (GRN)"	41	32	78.05		9	21.95		41	
		"HERAGHTY, Julie (ALP)"	108	103	95.37		5	4.63		108	
		"BURRIDGE, Nina (DEM)"	28	19	67.86		9	32.14		28	
		"FERGUSON, Christine (NGST)"	3	1	33.33		2	66.67		3	
		"KELLY, David (HAN)"	14	7	50.00		7	50.00		14	
		Total	194	576	44.07		731	55.93		1307	

	Balgowlah Heights										
			1st Prefs	703	31.20		1550	68.80		2253	
		"LAM, Keelah (GRN)"	64	50	78.13		14	21.88		64	
		"HERAGHTY, Julie (ALP)"	95	86	90.53		9	9.47		95	
		"BURRIDGE, Nina (DEM)"	39	26	66.67		13	33.33		39	
		"FERGUSON, Christine (NGST)"	6	4	66.67		2	33.33		6	
		"KELLY, David (HAN)"	22	12	54.55		10	45.45		22	
		Total	226	881	35.54		1598	64.46		2479	

	Balmoral										
			1st Prefs	324	35.26		595	64.74		919	
		"LAM, Keelah (GRN)"	18	15	83.33		3	16.67		18	
		"HERAGHTY, Julie (ALP)"	53	45	84.91		8	15.09		53	
		"BURRIDGE, Nina (DEM)"	19	14	73.68		5	26.32		19	
		"FERGUSON, Christine (NGST)"	1	0	0.00		1	100.00		1	
		"KELLY, David (HAN)"	5	0	0.00		5	100.00		5	
		Total	96	398	39.21		617	60.79		1015	

	Beacon Hill (Warringah)										
			1st Prefs	255	31.06		566	68.94		821	
		"LAM, Keelah (GRN)"	38	30	78.95		8	21.05		38	
