House of Representatives - 2001 Election: New South Wales																																														
First Preference Votes and TCP																																														
By Candidate by Polling Place																																														

Banks (83122)																																														
	O'LEARY			WILCOX			ABRAHAMS			HANNOUN			WATZLAFF			MURPHY			COLE			# MELHAM			BAISSARI			FORMAL			INFORMAL			TOTAL												
	Ken			David			Lynn			Nazim			Marcus			Lynne			Stephen			Daryl			Sam												Two Candidate Preferred									
	AFI			GRN			HAN			IND			LP			UNI			DEM			ALP			CTA												 WATZLAFF LP			# MELHAM ALP						
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Beverly Hills North	67	2.58		69	2.66		116	4.47		11	0.42		854	32.90		53	2.04		67	2.58		1281	49.35		78	3.00		2596	92.25		218	7.75		2814	3.56		1097	42.26		1499	57.74					
Beverly Hills South (Banks)	35	5.01		10	1.43		11	1.57		4	0.57		215	30.76		17	2.43		25	3.58		360	51.50		22	3.15		699	93.70		47	6.30		746	0.94		275	39.34		424	60.66					
East Hills	51	4.86		36	3.43		103	9.81		7	0.67		359	34.19		6	0.57		24	2.29		426	40.57		38	3.62		1050	92.19		89	7.81		1139	1.44		517	49.24		533	50.76					
Hannans Road	57	2.36		55	2.28		143	5.93		15	0.62		554	22.98		43	1.78		58	2.41		1450	60.14		36	1.49		2411	92.06		208	7.94		2619	3.31		787	32.64		1624	67.36					
Lugarno	57	1.91		90	3.01		169	5.66		11	0.37		1669	55.88		9	0.30		106	3.55		790	26.45		86	2.88		2987	95.19		151	4.81		3138	3.97		2001	66.99		986	33.01					
Milperra	159	6.56		64	2.64		232	9.57		12	0.50		956	39.44		11	0.45		70	2.89		861	35.52		59	2.43		2424	94.39		144	5.61		2568	3.25		1332	54.95		1092	45.05					
Mortdale Central	51	2.65		65	3.38		100	5.19		10	0.52		669	34.75		18	0.94		59	3.06		921	47.84		32	1.66		1925	92.55		155	7.45		2080	2.63		852	44.26		1073	55.74					
Mortdale Heights	17	1.75		23	2.37		74	7.61		3	0.31		436	44.86		2	0.21		29	2.98		372	38.27		16	1.65		972	92.75		76	7.25		1048	1.33		536	55.14		436	44.86
Mortdale West	52	2.74		53	2.79		87	4.58		9	0.47		739	38.92		13	0.68		77	4.05		829	43.65		40	2.11		1899	93.59		130	6.41		2029	2.57		909	47.87		990	52.13
Narwee	65	2.37		44	1.60		121	4.40		18	0.66		1006	36.61		43	1.56		109	3.97		1281	46.62		61	2.22		2748	92.09		236	7.91		2984	3.77		1256	45.71		1492	54.29
Oatley (Banks)	13	2.26		31	5.38		20	3.47		4	0.69		271	47.05		4	0.69		44	7.64		173	30.03		16	2.78		576	94.89		31	5.11		607	0.77		337	58.51		239	41.49
Oatley West	52	2.13		113	4.62		101	4.13		4	0.16		1155	47.22		12	0.49		149	6.09		809	33.07		51	2.09		2446	95.21		123	4.79		2569	3.25		1369	55.97		1077	44.03
Padstow	135	3.89		86	2.48		211	6.09		12	0.35		1094	31.56		50	1.44		117	3.38		1646	47.49		115	3.32		3466	92.01		301	7.99		3767	4.77		1508	43.51		1958	56.49
Padstow East	36	2.38		16	1.06		152	10.05		6	0.40		488	32.25		25	1.65		28	1.85		688	45.47		74	4.89		1513	94.15		94	5.85		1607	2.03		697	46.07		816	53.93
Padstow North	18	3.31		14	2.58		48	8.84		1	0.18		173	31.86		3	0.55		18	3.31		244	44.94		24	4.42		543	92.03		47	7.97		590	0.75		261	48.07		282	51.93
Padstow South	105	3.99		74	2.81		190	7.21		5	0.19		1043	39.60		15	0.57		95	3.61		1026	38.95		81	3.08		2634	93.17		193	6.83		2827	3.58		1399	53.11		1235	46.89
Panania	58	3.38		48	2.79		133	7.74		7	0.41		539	31.37		8	0.47		34	1.98		831	48.37		60	3.49		1718	93.42		121	6.58		1839	2.33		757	44.06		961	55.94
Panania Central	61	4.37		34	2.44		125	8.96		5	0.36		443	31.76		6	0.43		26	1.86		654	46.88		41	2.94		1395	93.69		94	6.31		1489	1.88		643	46.09		752	53.91
Panania North	56	2.96		39	2.06		152	8.04		9	0.48		621	32.84		3	0.16		39	2.06		917	48.49		55	2.91		1891	93.75		126	6.25		2017	2.55		835	44.16		1056	55.84
