House of Representatives - 2001 Election: New South Wales																																															
First Preference Votes and TCP																																															
By Candidate by Polling Place																																															

Bennelong (86896)																																															
	WEBECK			CAMPBELL			HARKNESS			PLUMB			DAWSON			SHAW			GOLDFINCH			MARSH			LAW			# HOWARD			FORMAL			INFORMAL			TOTAL										
	Robert			Nicole			Bruce			Noel			John			Jimmy			Peter Lloyd			Peter			May			John Winston												Two Candidate Preferred							
	HAN			ALP			NGST			SAS			IND			GRN			DEM			NCP			UNI			LP												 CAMPBELL ALP			# HOWARD LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Balaclava	44	1.79		691	28.04		16	0.65		2	0.08		19	0.77		129	5.24		202	8.20		3	0.12		84	3.41		1274	51.70		2464	95.10		127	4.90		2591	3.15		1034	41.96		1430	58.04			
Boronia Park (Bennelong)	17	1.96		256	29.49		4	0.46		5	0.58		1	0.12		57	6.57		47	5.41		1	0.12		2	0.23		478	55.07		868	93.43		61	6.57		929	1.13		366	42.17		502	57.83			
Carlingford (Bennelong)	22	2.01		285	26.08		7	0.64		0	0.00		8	0.73		19	1.74		64	5.86		1	0.09		41	3.75		646	59.10		1093	94.88		59	5.12		1152	1.40		411	37.60		682	62.40			
Denistone	20	2.32		292	33.91		7	0.81		2	0.23		7	0.81		29	3.37		51	5.92		1	0.12		18	2.09		434	50.41		861	94.41		51	5.59		912	1.11		389	45.18		472	54.82			
Denistone East	60	2.56		750	32.00		9	0.38		6	0.26		5	0.21		89	3.80		134	5.72		3	0.13		51	2.18		1237	52.77		2344	94.82		128	5.18		2472	3.01		1000	42.66		1344	57.34			
Denistone West	37	3.19		367	31.61		7	0.60		2	0.17		5	0.43		32	2.76		57	4.91		0	0.00		14	1.21		640	55.12		1161	94.70		65	5.30		1226	1.49		466	40.14		695	59.86			
Eastview	30	3.39		286	32.35		9	1.02		1	0.11		6	0.68		32	3.62		31	3.51		2	0.23		9	1.02		478	54.07		884	93.84		58	6.16		942	1.15		366	41.40		518	58.60			
Eastwood	91	2.09		1474	33.93		24	0.55		10	0.23		15	0.35		189	4.35		273	6.28		4	0.09		217	5.00		2047	47.12		4344	95.41		209	4.59		4553	5.54		2070	47.65		2274	52.35
Eastwood Heights	45	2.48		597	32.84		8	0.44		5	0.28		13	0.72		56	3.08		109	6.00		4	0.22		30	1.65		951	52.31		1818	94.29		110	5.71		1928	2.35		768	42.24		1050	57.76
Eastwood West	18	2.48		205	28.28		1	0.14		0	0.00		5	0.69		18	2.48		44	6.07		0	0.00		5	0.69		429	59.17		725	97.71		17	2.29		742	0.90		268	36.97		457	63.03
Epping	57	2.54		644	28.65		9	0.40		4	0.18		11	0.49		91	4.05		150	6.67		3	0.13		71	3.16		1208	53.74		2248	96.27		87	3.73		2335	2.84		915	40.70		1333	59.30
Epping East	62	2.33		753	28.35		12	0.45		8	0.30		11	0.41		127	4.78		184	6.93		2	0.08		93	3.50		1404	52.86		2656	96.16		106	3.84		2762	3.36		1114	41.94		1542	58.06
Epping Heights (Bennelong)	25	1.73		410	28.45		6	0.42		6	0.42		7	0.49		60	4.16		95	6.59		0	0.00		54	3.75		778	53.99		1441	96.32		55	3.68		1496	1.82		595	41.29		846	58.71
Epping North	62	2.64		558	23.72		15	0.64		9	0.38		9	0.38		123	5.23		172	7.31		1	0.04		19	0.81		1384	58.84		2352	96.51		85	3.49		2437	2.96		842	35.80		1510	64.20
Epping West	71	2.32		927	30.24		15	0.49		5	0.16		16	0.52		88	2.87		173	5.64		2	0.07		83	2.71		1685	54.98		3065	94.98		162	5.02		3227	3.93		1241	40.49		1824	59.51
Gladesville (Bennelong)	62	3.41		616	33.88		15	0.83		2	0.11		9	0.50		95	5.23		121	6.66		4	0.22		21	1.16		873	48.02		1818	93.04		136	6.96		1954	2.38		856	47.08		962	52.92
Gladesville Central	17	2.57		191	28.85		9	1.36		2	0.30		3	0.45		38	5.74		39	5.89		1	0.15		3	0.45		359	54.23		662	97.50		17	2.50		679	0.83		274	41.39		388	58.61
Gladesville East	6	1.95		93	30.29		2	0.65		0	0.00		3	0.98		21	6.84		16	5.21		0	0.00		1	0.33		165	53.75		307	97.46		8	2.54		315	0.38		125	40.72		182	59.28
Gladesville North	44	2.81		532	33.97		13	0.83		6	0.38		12	0.77		65	4.15		97	6.19		2	0.13		12	0.77		783	50.00		1566	92.88		120	7.12		1686	2.05		715	45.66		851	54.34
Gladesville West	14	4.20		101	30.33		0	0.00		0	0.00		3	0.90		11	3.30		16	4.80		0	0.00		0	0.00		188	56.46		333	98.52		5	1.48		338	0.41		132	39.64		201	60.36
Holy Cross Ryde	7	1.89		134	36.22		4	1.08		0	0.00		3	0.81		23	6.22		18	4.86		1	0.27		4	1.08		176	47.57		370	93.43		26	6.57		396	0.48		178	48.11		192	51.89
Kent Road	60	2.75		725	33.23		13	0.60		5	0.23		12	0.55		80	3.67		135	6.19		2	0.09		42	1.92		1108	50.78		2182	92.26		183	7.74		2365	2.88		977	44.78		1205	55.22
Kittys Creek	13	3.68		98	27.76		1	0.28		3	0.85		0	0.00		13	3.68		13	3.68		0	0.00		3	0.85		209	59.21		353	97.78		8	2.22		361	0.44		127	35.98		226	64.02
Lyon Park	29	2.05		472	33.29		13	0.92		8	0.56		9	0.63		97	6.84		109	7.69		4	0.28		28	1.97		649	45.77		1418	92.98		107	7.02		1525	1.86		687	48.45		731	51.55
Marsfield	43	2.16		624	31.28		17	0.85		4	0.20		7	0.35		55	2.76		100	5.01		2	0.10		49	2.46		1094	54.84		1995	93.84		131	6.16		2126	2.59		800	40.10		1195	59.90
