House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Berowra (85766)																																										
	SPARKS			BALL			CHOI			SLATER			# RUDDOCK			GALE			NANNELLI			GALLAGHER			FORMAL			INFORMAL			TOTAL											
	Philip			Harry			Daniel			Richard			Philip Maxwell			Maureen			Owen			P J												Two Candidate Preferred								
	DEM			HAN			UNI			ALP			LP			GRN			CTA			NGST												 SLATER ALP			# RUDDOCK LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Arcadia	41	5.07		31	3.83		1	0.12		127	15.70		538	66.50		46	5.69		19	2.35		6	0.74		809	93.31		58	6.69		867	1.07		202	24.97		607	75.03				
Asquith	135	6.38		52	2.46		44	2.08		648	30.64		1090	51.54		79	3.74		29	1.37		38	1.80		2115	96.05		87	3.95		2202	2.71		886	41.89		1229	58.11				
Beecroft	258	7.93		30	0.92		76	2.34		620	19.07		1982	60.95		199	6.12		72	2.21		15	0.46		3252	97.05		99	2.95		3351	4.12		1065	32.75		2187	67.25				
Berowra	226	7.04		69	2.15		23	0.72		813	25.33		1821	56.75		141	4.39		63	1.96		53	1.65		3209	95.85		139	4.15		3348	4.12		1137	35.43		2072	64.57				
Berowra Heights	104	5.89		45	2.55		5	0.28		458	25.92		956	54.10		117	6.62		57	3.23		25	1.41		1767	95.93		75	4.07		1842	2.26		672	38.03		1095	61.97				
Berowra Waters	2	2.63		4	5.26		0	0.00		17	22.37		49	64.47		3	3.95		0	0.00		1	1.32		76	95.00		4	5.00		80	0.10		24	31.58		52	68.42				
Bowden Brae	20	4.12		10	2.06		5	1.03		82	16.91		329	67.84		30	6.19		6	1.24		3	0.62		485	96.42		18	3.58		503	0.62		132	27.22		353	72.78				
Brooklyn	31	6.94		23	5.15		1	0.22		142	31.77		213	47.65		24	5.37		2	0.45		11	2.46		447	95.51		21	4.49		468	0.58		210	46.98		237	53.02
Cheltenham	108	8.23		17	1.29		17	1.29		263	20.03		766	58.34		109	8.30		25	1.90		8	0.61		1313	96.33		50	3.67		1363	1.68		452	34.42		861	65.58
Cherrybrook	131	4.47		35	1.19		58	1.98		706	24.07		1819	62.02		91	3.10		60	2.05		33	1.13		2933	95.41		141	4.59		3074	3.78		968	33.00		1965	67.00
Cherrybrook Central	40	4.34		11	1.19		10	1.08		202	21.91		596	64.64		22	2.39		35	3.80		6	0.65		922	96.95		29	3.05		951	1.17		264	28.63		658	71.37
Cherrybrook South	58	4.92		14	1.19		17	1.44		224	19.02		797	67.66		35	2.97		28	2.38		5	0.42		1178	97.60		29	2.40		1207	1.48		306	25.98		872	74.02
Cowan	20	6.67		17	5.67		1	0.33		88	29.33		137	45.67		19	6.33		9	3.00		9	3.00		300	92.02		26	7.98		326	0.40		136	45.33		164	54.67
Dangar Island	17	13.71		0	0.00		2	1.61		40	32.26		30	24.19		30	24.19		3	2.42		2	1.61		124	95.38		6	4.62		130	0.16		86	69.35		38	30.65
Dural (Berowra)	75	4.71		31	1.95		6	0.38		218	13.69		1162	72.99		68	4.27		19	1.19		13	0.82		1592	93.10		118	6.90		1710	2.10		343	21.55		1249	78.45
Epping Heights (Berowra)	10	6.37		1	0.64		3	1.91		40	25.48		91	57.96		8	5.10		4	2.55		0	0.00		157	93.45		11	6.55		168	0.21		56	35.67		101	64.33
Galston	69	4.17		33	2.00		7	0.42		237	14.34		1136	68.72		112	6.78		39	2.36		20	1.21		1653	95.05		86	4.95		1739	2.14		391	23.65		1262	76.35
Glenorie	73	4.93		57	3.85		5	0.34		237	15.99		1025	69.16		53	3.58		10	0.67		22	1.48		1482	93.56		102	6.44		1584	1.95		355	23.95		1127	76.05
