House of Representatives - 2001 Election: New South Wales																																													
First Preference Votes and TCP																																													
By Candidate by Polling Place																																													

Blaxland (82779)																																													
	MCDERMOTT			VINNICOMBE			ANNY			# HATTON			SAYEGH			PETERSON			HAWAT			MCKAY			OSMOND			FORMAL			INFORMAL			TOTAL											
	Colin			Bob			Munther			Michael			Peter			Janne			Dario			Sonya			Les												Two Candidate Preferred								
	DEM			HAN			IND			ALP			IND			CTA			UNI			GRN			LP												# HATTON ALP			 OSMOND LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Bankstown	146	5.47		73	2.73		16	0.60		1833	68.65		50	1.87		41	1.54		104	3.90		52	1.95		355	13.30		2670	89.27		321	10.73		2991	3.85		2168	81.20		502	18.80				
Bankstown Central	75	3.74		44	2.19		8	0.40		1347	67.08		35	1.74		9	0.45		101	5.03		35	1.74		354	17.63		2008	89.68		231	10.32		2239	2.88		1526	76.00		482	24.00				
Bankstown North	75	6.12		88	7.18		6	0.49		708	57.75		6	0.49		10	0.82		34	2.77		32	2.61		267	21.78		1226	90.88		123	9.12		1349	1.74		867	70.72		359	29.28				
Bankstown South	82	5.06		92	5.68		11	0.68		926	57.20		17	1.05		20	1.24		27	1.67		46	2.84		398	24.58		1619	91.37		153	8.63		1772	2.28		1085	67.02		534	32.98				
Bankstown West	90	5.32		88	5.20		8	0.47		998	58.98		39	2.30		42	2.48		36	2.13		43	2.54		348	20.57		1692	89.29		203	10.71		1895	2.44		1182	69.86		510	30.14				
Bass Hill	126	5.70		210	9.49		8	0.36		1098	49.64		46	2.08		39	1.76		28	1.27		38	1.72		619	27.98		2212	89.96		247	10.04		2459	3.16		1358	61.39		854	38.61				
Bass Hill Central	73	4.92		135	9.10		4	0.27		692	46.66		26	1.75		29	1.96		13	0.88		39	2.63		472	31.83		1483	90.59		154	9.41		1637	2.11		834	56.24		649	43.76				
Bass Hill West	160	6.08		234	8.89		13	0.49		1101	41.83		36	1.37		66	2.51		22	0.84		89	3.38		911	34.61		2632	89.83		298	10.17		2930	3.77		1388	52.74		1244	47.26
Birrong	150	5.39		200	7.18		11	0.39		1421	51.02		26	0.93		80	2.87		67	2.41		50	1.80		780	28.01		2785	90.54		291	9.46		3076	3.96		1702	61.11		1083	38.89
Chester Hill	107	3.91		191	6.97		15	0.55		1517	55.36		19	0.69		76	2.77		30	1.09		69	2.52		716	26.13		2740	88.59		353	11.41		3093	3.98		1771	64.64		969	35.36
Chester Hill North	90	4.08		219	9.92		23	1.04		1091	49.41		37	1.68		43	1.95		41	1.86		40	1.81		624	28.26		2208	92.15		188	7.85		2396	3.08		1324	59.96		884	40.04
Chullora	80	3.70		155	7.17		20	0.92		1103	50.99		38	1.76		61	2.82		45	2.08		55	2.54		606	28.02		2163	90.43		229	9.57		2392	3.08		1337	61.81		826	38.19
Condell Park	175	4.67		268	7.15		18	0.48		1932	51.55		42	1.12		102	2.72		42	1.12		115	3.07		1054	28.12		3748	90.10		412	9.90		4160	5.35		2363	63.05		1385	36.95
