House of Representatives - 2001 Election: New South Wales																																											
First Preference Votes and TCP 																																											
By Candidate by Polling Place																																											

Calare (85310)																																											
	MARSHALL			WATTS			# ANDREN			SIMPSON			SHEARING			NIXON			KNOWLES			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred												
	Don			Ian			Peter			David			Dave			Terry			Kath												# ANDREN			 SHEARING									
	DEM			GRN			IND			CEC			NP			HAN			CLR												IND			NP									
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%								
Barry	1	0.93		1	0.93		56	52.34		1	0.93		31	28.97		2	1.87		15	14.02		107	97.27		3	2.73		110	0.13		73	68.22		34	31.78								
Bathurst	42	1.70		52	2.10		1267	51.23		8	0.32		405	16.38		60	2.43		639	25.84		2473	97.67		59	2.33		2532	3.09		1964	79.42		509	20.58								
Bathurst Central	25	2.15		27	2.33		594	51.16		5	0.43		178	15.33		28	2.41		304	26.18		1161	96.83		38	3.17		1199	1.46		929	80.02		232	19.98								
Bathurst City	20	1.47		37	2.73		697	51.36		6	0.44		248	18.28		31	2.28		318	23.43		1357	96.93		43	3.07		1400	1.71		1056	77.82		301	22.18								
Bathurst High	14	1.31		15	1.40		584	54.53		4	0.37		177	16.53		23	2.15		254	23.72		1071	97.99		22	2.01		1093	1.33		861	80.39		210	19.61								
Bathurst Hospital	9	1.25		9	1.25		387	53.75		2	0.28		114	15.83		15	2.08		184	25.56		720	97.30		20	2.70		740	0.90		574	79.72		146	20.28								
Bathurst St Vincents	1	0.36		4	1.44		120	43.32		2	0.72		47	16.97		10	3.61		93	33.57		277	97.19		8	2.81		285	0.35		217	78.34		60	21.66								
Bathurst South	12	0.98		18	1.47		682	55.86		4	0.33		147	12.04		33	2.70		325	26.62		1221	96.67		42	3.33		1263	1.54		1030	84.36		191	15.64
Bathurst West	27	1.12		30	1.25		1275	52.99		8	0.33		450	18.70		70	2.91		546	22.69		2406	96.82		79	3.18		2485	3.03		1865	77.51		541	22.49
Billimari	2	1.41		0	0.00		89	62.68		1	0.70		31	21.83		5	3.52		14	9.86		142	97.93		3	2.07		145	0.18		108	76.06		34	23.94
Black Springs	0	0.00		2	0.93		114	52.78		1	0.46		45	20.83		16	7.41		38	17.59		216	94.74		12	5.26		228	0.28		160	74.07		56	25.93
Blayney	18	1.00		15	0.83		949	52.46		3	0.17		369	20.40		96	5.31		359	19.85		1809	97.00		56	3.00		1865	2.27		1354	74.85		455	25.15
Bletchington	35	1.25		47	1.68		1467	52.36		8	0.29		696	24.84		89	3.18		460	16.42		2802	96.59		99	3.41		2901	3.54		1996	71.23		806	28.77
Bloomfield Hospital	4	2.53		3	1.90		86	54.43		0	0.00		33	20.89		6	3.80		26	16.46		158	92.94		12	7.06		170	0.21		115	72.78		43	27.22
Borenore	0	0.00		3	1.16		142	54.83		1	0.39		85	32.82		9	3.47		19	7.34		259	97.74		6	2.26		265	0.32		166	64.09		93	35.91
Bowen	31	1.32		47	2.00		1225	52.19		2	0.09		473	20.15		125	5.33		444	18.92		2347	96.03		97	3.97		2444	2.98		1774	75.59		573	24.41
Bowenfels South	1	0.46		1	0.46		126	58.06		0	0.00		36	16.59		5	2.30		48	22.12		217	97.31		6	2.69		223	0.27		173	79.72		44	20.28
Burraga	0	0.00		1	1.45		46	66.67		0	0.00		8	11.59		4	5.80		10	14.49		69	94.52		4	5.48		73	0.09		60	86.96		9	13.04
Calare School	23	1.36		24	1.42		923	54.42		5	0.29		434	25.59		42	2.48		245	14.45		1696	96.91		54	3.09		1750	2.13		1203	70.93		493	29.07
Canobolas	0	0.00		4	2.45		103	63.19		1	0.61		48	29.45		3	1.84		4	2.45		163	98.19		3	1.81		166	0.20		110	67.48		53	32.52
