House of Representatives - 2001 Election: New South Wales																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													

Chifley (83474)																																													
	ASARLOGLOU			BUTLER			HYLAND			DAMJANOVIC			BATES			CLACK			CUNNINGHAM			# PRICE			WYNESS			FORMAL			INFORMAL			TOTAL											
	Costa			Lindsey			Wayne			Joe			Barbie			S J			David			Roger			Joseph												Two Candidate Preferred								
	LP			AFI			IND			HAN			SAS			DEM			GRN			ALP			CTA												 ASARLOGLOU LP			# PRICE ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Bennett Road	1124	32.00		73	2.08		22	0.63		248	7.06		131	3.73		64	1.82		47	1.34		1726	49.15		77	2.19		3512	90.19		382	9.81		3894	4.95		1475	42.00		2037	58.00				
Bidwill	349	17.88		42	2.15		11	0.56		100	5.12		78	4.00		15	0.77		24	1.23		1298	66.50		35	1.79		1952	91.00		193	9.00		2145	2.73		502	25.72		1450	74.28				
Blackett	312	18.21		24	1.40		11	0.64		137	8.00		63	3.68		27	1.58		26	1.52		1086	63.40		27	1.58		1713	91.07		168	8.93		1881	2.39		466	27.20		1247	72.80				
Blacktown West (Chifley)	657	30.43		34	1.57		37	1.71		165	7.64		27	1.25		47	2.18		42	1.95		1079	49.98		71	3.29		2159	90.03		239	9.97		2398	3.05		893	41.36		1266	58.64				
Dharruk	267	18.03		23	1.55		15	1.01		98	6.62		82	5.54		23	1.55		23	1.55		928	62.66		22	1.49		1481	91.19		143	8.81		1624	2.06		410	27.68		1071	72.32				
Doonside	475	25.16		30	1.59		14	0.74		112	5.93		52	2.75		26	1.38		33	1.75		1089	57.68		57	3.02		1888	90.90		189	9.10		2077	2.64		635	33.63		1253	66.37				
Doonside North	1006	27.43		45	1.23		23	0.63		185	5.04		54	1.47		79	2.15		56	1.53		2089	56.95		131	3.57		3668	91.65		334	8.35		4002	5.09		1291	35.20		2377	64.80				
Eastern Creek	170	28.01		12	1.98		3	0.49		50	8.24		3	0.49		11	1.81		7	1.15		336	55.35		15	2.47		607	92.53		49	7.47		656	0.83		229	37.73		378	62.27
Emerton	200	21.01		13	1.37		7	0.74		69	7.25		22	2.31		15	1.58		17	1.79		586	61.55		23	2.42		952	89.22		115	10.78		1067	1.36		299	31.41		653	68.59
Glendenning	512	24.35		33	1.57		11	0.52		91	4.33		43	2.04		60	2.85		25	1.19		1274	60.58		54	2.57		2103	91.16		204	8.84		2307	2.93		668	31.76		1435	68.24
Hassall Grove	658	23.30		34	1.20		19	0.67		126	4.46		61	2.16		61	2.16		37	1.31		1771	62.71		57	2.02		2824	91.04		278	8.96		3102	3.94		846	29.96		1978	70.04
Hebersham	414	22.13		25	1.34		14	0.75		116	6.20		91	4.86		26	1.39		29	1.55		1125	60.13		31	1.66		1871	90.21		203	9.79		2074	2.64		573	30.63		1298	69.37
Lethbridge Park	398	19.93		31	1.55		8	0.40		164	8.21		88	4.41		31	1.55		26	1.30		1224	61.29		27	1.35		1997	90.57		208	9.43		2205	2.80		578	28.94		1419	71.06
Madang	121	17.72		12	1.76		6	0.88		47	6.88		25	3.66		9	1.32		7	1.02		428	62.66		28	4.10		683	92.55		55	7.45		738	0.94		192	28.11		491	71.89
