House of Representatives - 2001 Election: New South Wales																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													

Cook (82150)																																													
	FREW			POULOS			STRANG			PETERS-POWER			# BAIRD			BAILEY			YOUNG			SMITH			JAMES			FORMAL			INFORMAL			TOTAL											
	Andy			Patricia			Graeme			Cathy			Bruce			Alison			Peri			Malcolm			Peter												Two Candidate Preferred								
	HAN						IND			GRN			LP			DEM			ALP			CTA			AFI												# BAIRD LP			 YOUNG ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Bundeena	66	5.98		3	0.27		4	0.36		137	12.42		447	40.53		73	6.62		353	32.00		11	1.00		9	0.82		1103	95.42		53	4.58		1156	1.48		530	48.05		573	51.95				
Burraneer Bay	152	4.54		14	0.42		14	0.42		84	2.51		2300	68.72		99	2.96		625	18.67		30	0.90		29	0.87		3347	95.96		141	4.04		3488	4.46		2490	74.39		857	25.61				
Caringbah	191	5.74		20	0.60		18	0.54		81	2.43		1945	58.41		148	4.44		849	25.50		49	1.47		29	0.87		3330	94.60		190	5.40		3520	4.50		2168	65.11		1162	34.89				
Caringbah Central	70	6.52		7	0.65		10	0.93		25	2.33		566	52.75		37	3.45		313	29.17		36	3.36		9	0.84		1073	94.37		64	5.63		1137	1.45		648	60.39		425	39.61				
Caringbah North	192	7.20		14	0.52		15	0.56		100	3.75		1346	50.47		101	3.79		821	30.78		40	1.50		38	1.42		2667	94.27		162	5.73		2829	3.61		1560	58.49		1107	41.51				
Caringbah West	110	5.76		8	0.42		8	0.42		76	3.98		1063	55.63		56	2.93		545	28.52		34	1.78		11	0.58		1911	95.74		85	4.26		1996	2.55		1186	62.06		725	37.94				
Cronulla	122	5.31		13	0.57		14	0.61		87	3.79		1426	62.11		104	4.53		476	20.73		29	1.26		25	1.09		2296	95.59		106	4.41		2402	3.07		1603	69.82		693	30.18				
Cronulla Central	117	6.21		9	0.48		9	0.48		95	5.04		1021	54.19		75	3.98		500	26.54		33	1.75		25	1.33		1884	95.01		99	4.99		1983	2.53		1181	62.69		703	37.31
Cronulla North	90	6.44		5	0.36		12	0.86		94	6.72		620	44.35		51	3.65		473	33.83		30	2.15		23	1.65		1398	94.91		75	5.09		1473	1.88		756	54.08		642	45.92
Cronulla South	123	5.01		16	0.65		14	0.57		99	4.04		1520	61.96		74	3.02		537	21.89		42	1.71		28	1.14		2453	95.67		111	4.33		2564	3.28		1704	69.47		749	30.53
Dolans Bay	44	4.19		3	0.29		4	0.38		28	2.66		664	63.18		28	2.66		259	24.64		15	1.43		6	0.57		1051	96.07		43	3.93		1094	1.40		735	69.93		316	30.07
Grays Point	92	6.01		2	0.13		9	0.59		67	4.37		788	51.44		61	3.98		448	29.24		49	3.20		16	1.04		1532	96.35		58	3.65		1590	2.03		929	60.64		603	39.36
Gymea	149	5.42		24	0.87		13	0.47		86	3.13		1348	49.00		102	3.71		935	33.99		68	2.47		26	0.95		2751	94.73		153	5.27		2904	3.71		1565	56.89		1186	43.11
Gymea North	68	6.63		1	0.10		9	0.88		21	2.05		587	57.27		42	4.10		272	26.54		16	1.56		9	0.88		1025	95.35		50	4.65		1075	1.37		647	63.12		378	36.88
Gymea South	189	5.60		19	0.56		20	0.59		127	3.77		1888	55.99		164	4.86		872	25.86		52	1.54		41	1.22		3372	95.90		144	4.10		3516	4.49		2134	63.29		1238	36.71
Kareela	98	4.40		15	0.67		7	0.31		67	3.01		1393	62.55		68	3.05		548	24.61		16	0.72		15	0.67		2227	95.46		106	4.54		2333	2.98		1526	68.52		701	31.48
Kirrawee	151	8.40		9	0.50		9	0.50		54	3.01		965	53.70		64	3.56		483	26.88		43	2.39		19	1.06		1797	96.10		73	3.90		1870	2.39		1115	62.05		682	37.95
Kirrawee South	75	5.21		2	0.14		10	0.69		38	2.64		832	57.82		52	3.61		382	26.55		31	2.15		17	1.18		1439	95.61		66	4.39		1505	1.92		941	65.39		498	34.61
Kurnell	142	12.76		8	0.72		8	0.72		53	4.76		501	45.01		33	2.96		330	29.65		23	2.07		15	1.35		1113	93.92		72	6.08		1185	1.51		610	54.81		503	45.19
Lilli Pilli	45	3.63		2	0.16		5	0.40		27	2.18		865	69.70		39	3.14		248	19.98		4	0.32		6	0.48		1241	96.13		50	3.87		1291	1.65		918	73.97		323	26.03
Maianbar	17	6.91		0	0.00		3	1.22		28	11.38		97	39.43		16	6.50		83	33.74		1	0.41		1	0.41		246	93.18		18	6.82		264	0.34		126	51.22		120	48.78
Miranda	123	5.04		16	0.66		9	0.37		85	3.48		1223	50.12		101	4.14		821	33.65		28	1.15		34	1.39		2440	94.76		135	5.24		2575	3.29		1386	56.80		1054	43.20
Miranda Central	107	7.77		5	0.36		10	0.73		44	3.20		630	45.75		48	3.49		494	35.88		28	2.03		11	0.80		1377	95.43		66	4.57		1443	1.84		738	53.59		639	46.41
Miranda North	146	7.45		13	0.66		6	0.31		53	2.70		1078	55.00		52	2.65		564	28.78		25	1.28		23	1.17		1960	93.33		140	6.67		2100	2.68		1236	63.06		724	36.94			
Sutherland Hospital	59	7.88		7	0.93		5	0.67		23	3.07		379	50.60		17	2.27		235	31.38		20	2.67		4	0.53		749	95.29		37	4.71		786	1.00		455	60.75		294	39.25			
Sutherland North (Cook)	76	5.19		8	0.55		12	0.82		52	3.55		776	53.04		47	3.21		447	30.55		20	1.37		25	1.71		1463	94.27		89	5.73		1552	1.98		874	59.74		589	40.26			
Sydney (Cook)	3	3.33		1	1.11		1	1.11		6	6.67		50	55.56		3	3.33		25	27.78		1	1.11		0	0.00		90	93.75		6	6.25		96	0.12		58	64.44		32	35.56			
Sylvania	88	6.16		11	0.77		6	0.42		32	2.24		870	60.92		62	4.34		320	22.41		27	1.89		12	0.84		1428	94.57		82	5.43		1510	1.93		978	68.49		450	31.51			
Sylvania Central	45	6.32		13	1.83		0	0.00		16	2.25		420	58.99		21	2.95		183	25.70		10	1.40		4	0.56		712	93.93		46	6.07		758	0.97		473	66.43		239	33.57			
Sylvania Heights	195	5.59		41	1.17		17	0.49		95	2.72		2029	58.14		137	3.93		884	25.33		63	1.81		29	0.83		3490	94.89		188	5.11		3678	4.70		2300	65.90		1190	34.10			
Sylvania South	87	6.32		12	0.87		7	0.51		20	1.45		885	64.27		27	1.96		303	22.00		28	2.03		8	0.58		1377	95.63		63	4.38		1440	1.84		991	71.97		386	28.03			
Sylvania Waters	67	5.76		13	1.12		6	0.52		23	1.98		761	65.38		24	2.06		248	21.31		13	1.12		9	0.77		1164	97.16		34	2.84		1198	1.53		841	72.25		323	27.75			
Taren Point	69	7.48		11	1.19		4	0.43		24	2.60		555	60.13		21	2.28		218	23.62		18	1.95		3	0.33		923	93.61		63	6.39		986	1.26		629	68.15		294	31.85			
Wanda Beach	79	7.21		4	0.36		7	0.64		54	4.93		604	55.11		37	3.38		274	25.00		18	1.64		19	1.73		1096	96.91		35	3.09		1131	1.44		703	64.14		393	35.86			
Woolooware	122	6.30		9	0.47		10	0.52		82	4.24		1034	53.44		86	4.44		517	26.72		57	2.95		18	0.93		1935	93.70		130	6.30		2065	2.64		1203	62.17		732	37.83			
Yowie Bay	143	5.74		15	0.60		10	0.40		67	2.69		1541	61.81		95	3.81		554	22.22		45	1.81		23	0.92		2493	96.07		102	3.93		2595	3.32		1744	69.96		749	30.04			
Special Hospitals	9	3.17		1	0.35		0	0.00		1	0.35		184	64.79		2	0.70		86	30.28		0	0.00		1	0.35		284	95.62		13	4.38		297	0.38		191	67.25		93	32.75			
Total Ordinary	3721	5.98		374	0.60		325	0.52		2151	3.46		35201	56.56		2267	3.64		16525	26.55		1053	1.69		620	1.00		62237	95.19		3148	4.81		65385	83.53		39872	64.06		22365	35.94			
ABSENT	269	5.98		45	1.00		44	0.98		273	6.07		2249	49.97		255	5.67		1156	25.68		83	1.84		127	2.82		4501	94.38		268	5.62		4769	6.09		2764	61.41		1737	38.59			
POSTAL	174	5.76		8	0.26		18	0.60		59	1.95		1854	61.35		99	3.28		721	23.86		51	1.69		38	1.26		3022	98.50		46	1.50		3068	3.92		2096	69.36		926	30.64			
PRE_POLL	243	5.67		18	0.42		28	0.65		140	3.27		2350	54.82		174	4.06		1216	28.36		62	1.45		56	1.31		4287	96.88		138	3.12		4425	5.65		2668	62.23		1619	37.77			
PROVISIONAL	46	7.84		8	1.36		8	1.36		32	5.45		305	51.96		20	3.41		150	25.55		7	1.19		11	1.87		587	93.62		40	6.38		627	0.80		368	62.69		219	37.31			
Division Summary	4453	5.97		453	0.61		423	0.57		2655	3.56		41959	56.22		2815	3.77		19768	26.49		1256	1.68		852	1.14		74634	95.35		3640	4.65		78274	95.28		47768	64.00		26866	36.00			
																																												
																																												
																																												
																																												
																																												
