House of Representatives -2001 Election: New South Wales																																																	
First Preference Votes and TCP																																																	
By Candidate by Polling Place																																																	

Cowper (79982)																																																	
	MAGUIRE			BONFIELD			WILLEY			NEUSS			# HARTSUYKER			VAN BLADEL			CRANNY			FENTON			KORN			STOKES			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred									
	John			Jenny			John			Phillip			Luke			Paul			Jillian			Michael			Bruce			Allan												 BONFIELD ALP			# HARTSUYKER NP						
	LEF			CLR			IND			LP			NP			IND			GRN			DEM			CTA			HAN																					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%					
Argents Hill	0	0.00		26	28.26		7	7.61		3	3.26		19	20.65		0	0.00		23	25.00		5	5.43		1	1.09		8	8.70		92	100.00		0	0.00		92	0.12		56	60.87		36	39.13					
Bayldon	95	4.44		740	34.56		14	0.65		342	15.97		636	29.71		14	0.65		70	3.27		42	1.96		63	2.94		125	5.84		2141	96.14		86	3.86		2227	2.92		946	44.18		1195	55.82					
Bellbrook	1	0.86		47	40.52		1	0.86		10	8.62		37	31.90		0	0.00		4	3.45		3	2.59		2	1.72		11	9.48		116	95.08		6	4.92		122	0.16		64	55.17		52	44.83					
Bellimbopinni	2	1.12		57	32.02		3	1.69		25	14.04		60	33.71		0	0.00		8	4.49		3	1.69		0	0.00		20	11.24		178	97.27		5	2.73		183	0.24		82	46.07		96	53.93					
Bellingen	37	1.84		661	32.79		20	0.99		213	10.57		450	22.32		6	0.30		380	18.85		122	6.05		57	2.83		70	3.47		2016	96.32		77	3.68		2093	2.75		1189	58.98		827	41.02					
Bellingen Hospital	2	1.05		76	39.79		1	0.52		12	6.28		51	26.70		0	0.00		28	14.66		6	3.14		10	5.24		5	2.62		191	94.09		12	5.91		203	0.27		111	58.12		80	41.88					
Boambee	32	2.44		273	20.78		12	0.91		270	20.55		500	38.05		8	0.61		45	3.42		53	4.03		61	4.64		60	4.57		1314	96.33		50	3.67		1364	1.79		423	32.19		891	67.81					
Bonville	19	2.26		179	21.31		13	1.55		159	18.93		328	39.05		3	0.36		38	4.52		24	2.86		24	2.86		53	6.31		840	97.11		25	2.89		865	1.13		261	31.07		579	68.93
Bostobrick	2	2.06		22	22.68		2	2.06		4	4.12		41	42.27		1	1.03		8	8.25		4	4.12		2	2.06		11	11.34		97	96.04		4	3.96		101	0.13		38	39.18		59	60.82
Bowraville	26	2.52		318	30.81		37	3.59		148	14.34		267	25.87		2	0.19		96	9.30		16	1.55		9	0.87		113	10.95		1032	94.33		62	5.67		1094	1.44		495	47.97		537	52.03
Brooms Head	0	0.00		70	39.11		0	0.00		15	8.38		45	25.14		2	1.12		7	3.91		2	1.12		0	0.00		38	21.23		179	98.35		3	1.65		182	0.24		90	50.28		89	49.72
Coffs Harbour	60	3.75		420	26.27		14	0.88		246	15.38		581	36.34		14	0.88		88	5.50		40	2.50		42	2.63		94	5.88		1599	93.95		103	6.05		1702	2.23		591	36.96		1008	63.04
Coffs Harbour East	57	3.42		560	33.55		15	0.90		278	16.66		502	30.08		19	1.14		68	4.07		36	2.16		32	1.92		102	6.11		1669	95.21		84	4.79		1753	2.30		747	44.76		922	55.24
Coffs Harbour Hospital	11	4.60		91	38.08		2	0.84		38	15.90		60	25.10		0	0.00		14	5.86		6	2.51		8	3.35		9	3.77		239	94.09		15	5.91		254	0.33		130	54.39		109	45.61
Coffs Harbour Jetty	27	2.29		334	28.33		7	0.59		224	19.00		374	31.72		15	1.27		66	5.60		36	3.05		37	3.14		59	5.00		1179	96.72		40	3.28		1219	1.60		455	38.59		724	61.41
Coffs Harbour Narranga	56	2.81		562	28.16		14	0.70		297	14.88		781	39.13		19	0.95		64	3.21		45	2.25		45	2.25		113	5.66		1996	95.46		95	4.54		2091	2.74		757	37.93		1239	62.07
