House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP 																																										
By Candidate by Polling Place																																										

Cunningham (81540)																																										
	CURTIS			PINK			FIELDS			BERRY			MOTT			# MARTIN			NEWMAN			SKINNER			FORMAL			INFORMAL			TOTAL											
	John			J Edwin			Jeremy			Carol			Trevor			Stephen			Michael			Paul												Two Candidate Preferred								
	HAN			NGST			LP			GRN			IND			ALP			DEM			CTA												 FIELDS LP			# MARTIN ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Austinmer	30	3.02		2	0.20		249	25.03		180	18.09		58	5.83		369	37.09		93	9.35		14	1.41		995	96.60		35	3.40		1030	1.32		333	33.47		662	66.53				
Balgownie	40	3.19		3	0.24		445	35.51		68	5.43		73	5.83		488	38.95		107	8.54		29	2.31		1253	96.83		41	3.17		1294	1.66		577	46.05		676	53.95				
Balgownie Central	89	3.66		18	0.74		789	32.47		103	4.24		111	4.57		1136	46.75		141	5.80		43	1.77		2430	94.48		142	5.52		2572	3.31		1001	41.19		1429	58.81				
Bellambi	82	6.23		31	2.36		196	14.89		48	3.65		80	6.08		801	60.87		48	3.65		30	2.28		1316	95.16		67	4.84		1383	1.78		316	24.01		1000	75.99				
Bulli	55	7.02		8	1.02		160	20.43		44	5.62		91	11.62		360	45.98		59	7.54		6	0.77		783	96.43		29	3.57		812	1.04		261	33.33		522	66.67				
Bulli Central	133	5.44		26	1.06		525	21.47		114	4.66		405	16.56		1035	42.33		171	6.99		36	1.47		2445	95.62		112	4.38		2557	3.29		830	33.95		1615	66.05				
Bulli Hospital	6	4.17		1	0.69		40	27.78		11	7.64		13	9.03		61	42.36		10	6.94		2	1.39		144	98.63		2	1.37		146	0.19		53	36.81		91	63.19				
Coalcliff	11	10.48		0	0.00		25	23.81		4	3.81		8	7.62		47	44.76		9	8.57		1	0.95		105	97.22		3	2.78		108	0.14		43	40.95		62	59.05
Coledale	40	5.08		5	0.64		162	20.58		162	20.58		46	5.84		313	39.77		47	5.97		12	1.52		787	96.80		26	3.20		813	1.04		240	30.50		547	69.50
Coniston	94	5.51		32	1.88		346	20.29		90	5.28		57	3.34		934	54.78		125	7.33		27	1.58		1705	92.66		135	7.34		1840	2.36		531	31.14		1174	68.86
Cordeaux Heights	32	2.89		7	0.63		381	34.42		27	2.44		42	3.79		457	41.28		95	8.58		66	5.96		1107	96.51		40	3.49		1147	1.47		526	47.52		581	52.48
Corrimal	121	5.11		33	1.39		587	24.79		93	3.93		98	4.14		1271	53.67		87	3.67		78	3.29		2368	93.56		163	6.44		2531	3.25		832	35.14		1536	64.86
Corrimal East	161	5.32		37	1.22		690	22.79		142	4.69		162	5.35		1591	52.56		168	5.55		76	2.51		3027	94.21		186	5.79		3213	4.13		1014	33.50		2013	66.50
Fairy Meadow	83	4.43		19	1.01		448	23.93		97	5.18		67	3.58		1007	53.79		115	6.14		36	1.92		1872	93.09		139	6.91		2011	2.58		616	32.91		1256	67.09
Fairy Meadow South	8	4.06		2	1.02		44	22.34		20	10.15		6	3.05		97	49.24		16	8.12		4	2.03		197	95.63		9	4.37		206	0.26		64	32.49		133	67.51
Figtree	155	4.65		40	1.20		1075	32.22		155	4.65		130	3.90		1370	41.07		275	8.24		136	4.08		3336	94.45		196	5.55		3532	4.54		1517	45.47		1819	54.53
Figtree Heights	50	3.74		14	1.05		501	37.50		56	4.19		90	6.74		438	32.78		125	9.36		62	4.64		1336	96.05		55	3.95		1391	1.79		686	51.35		650	48.65
Gwynneville	50	3.41		8	0.54		338	23.02		106	7.22		66	4.50		686	46.73		163	11.10		51	3.47		1468	94.83		80	5.17		1548	1.99		503	34.26		965	65.74
Helensburgh	156	7.01		27	1.21		790	35.51		129	5.80		83	3.73		879	39.51		75	3.37		86	3.87		2225	95.37		108	4.63		2333	3.00		1043	46.88		1182	53.12
Helensburgh North	50	6.19		12	1.49		256	31.68		44	5.45		60	7.43		325	40.22		33	4.08		28	3.47		808	97.35		22	2.65		830	1.07		344	42.57		464	57.43
Keiraville	100	3.77		16	0.60		853	32.18		204	7.70		207	7.81		908	34.25		292	11.01		71	2.68		2651	95.19		134	4.81		2785	3.58		1216	45.87		1435	54.13
