House of Representatives - 2001 Election: New South Wales																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Farrer (84423)																																																					
	SOBEY			WEYRICH			BOTT			WILKINSON			WATSON			KREUTZBERGER			MILLEN			# LEY			CORBETT			PATERSON			TAYLOR			GIBSON			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred							
	Chris			Tom			Bill			Max			Stuart			Keith			Frank			Sussan			David			Brett			Sue			Andrew												 BOTT			# LEY				
	GRN			IND			NP			HAN			IND						CLR			LP			IND			DEM			IND			IND												NP			LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Adelong	25	3.34		5	0.67		117	15.62		58	7.74		51	6.81		7	0.93		184	24.57		276	36.85		2	0.27		14	1.87		8	1.07		2	0.27		749	92.24		63	7.76		812	1.01		367	49.00		382	51.00			
Albury	165	7.74		14	0.66		331	15.53		83	3.89		22	1.03		19	0.89		479	22.47		841	39.45		18	0.84		129	6.05		21	0.98		10	0.47		2132	94.29		129	5.71		2261	2.80		924	43.34		1208	56.66			
Albury East	38	3.61		5	0.48		184	17.49		57	5.42		13	1.24		16	1.52		243	23.10		442	42.02		8	0.76		30	2.85		11	1.05		5	0.48		1052	92.61		84	7.39		1136	1.41		465	44.20		587	55.80			
Albury High School	197	8.88		9	0.41		310	13.97		75	3.38		13	0.59		16	0.72		402	18.12		1018	45.88		10	0.45		136	6.13		27	1.22		6	0.27		2219	94.79		122	5.21		2341	2.90		854	38.49		1365	61.51			
Albury Mercy Hospital	3	3.37		0	0.00		15	16.85		3	3.37		1	1.12		0	0.00		24	26.97		39	43.82		0	0.00		2	2.25		1	1.12		1	1.12		89	94.68		5	5.32		94	0.12		38	42.70		51	57.30			
Albury North	85	5.06		11	0.66		285	16.97		101	6.02		21	1.25		26	1.55		355	21.14		660	39.31		14	0.83		81	4.82		24	1.43		16	0.95		1679	92.30		140	7.70		1819	2.25		777	46.28		902	53.72			
Albury North Central	38	2.85		12	0.90		199	14.94		96	7.21		17	1.28		18	1.35		363	27.25		510	38.29		10	0.75		42	3.15		18	1.35		9	0.68		1332	92.82		103	7.18		1435	1.78		648	48.65		684	51.35			
Albury South	61	4.40		6	0.43		211	15.21		67	4.83		16	1.15		19	1.37		323	23.29		596	42.97		7	0.50		55	3.97		12	0.87		14	1.01		1387	94.03		88	5.97		1475	1.83		623	44.92		764	55.08
Albury West	96	5.53		11	0.63		312	17.97		57	3.28		14	0.81		9	0.52		356	20.51		769	44.30		7	0.40		81	4.67		18	1.04		6	0.35		1736	94.09		109	5.91		1845	2.29		727	41.88		1009	58.12
Balldale	4	3.42		1	0.85		44	37.61		6	5.13		0	0.00		1	0.85		13	11.11		45	38.46		2	1.71		0	0.00		1	0.85		0	0.00		117	92.13		10	7.87		127	0.16		67	57.26		50	42.74
Balranald	17	2.25		4	0.53		102	13.49		80	10.58		3	0.40		1	0.13		233	30.82		296	39.15		1	0.13		10	1.32		6	0.79		3	0.40		756	88.52		98	11.48		854	1.06		364	48.15		392	51.85
Barham	24	2.38		3	0.30		267	26.44		68	6.73		11	1.09		0	0.00		164	16.24		423	41.88		5	0.50		17	1.68		10	0.99		18	1.78		1010	93.35		72	6.65		1082	1.34		471	46.63		539	53.37
Barooga	26	2.95		3	0.34		195	22.13		30	3.41		2	0.23		4	0.45		206	23.38		378	42.91		1	0.11		12	1.36		20	2.27		4	0.45		881	93.03		66	6.97		947	1.17		431	48.92		450	51.08
Batlow	38	4.41		3	0.35		117	13.59		89	10.34		45	5.23		4	0.46		294	34.15		253	29.38		2	0.23		6	0.70		8	0.93		2	0.23		861	94.62		49	5.38		910	1.13		471	54.70		390	45.30
Berrigan	18	2.11		1	0.12		420	49.24		66	7.74		11	1.29		1	0.12		105	12.31		200	23.45		2	0.23		4	0.47		22	2.58		3	0.35		853	95.41		41	4.59		894	1.11		578	67.76		275	32.24
Blighty	0	0.00		0	0.00		66	35.87		6	3.26		2	1.09		0	0.00		6	3.26		96	52.17		1	0.54		0	0.00		4	2.17		3	1.63		184	95.34		9	4.66		193	0.24		82	44.57		102	55.43
Boree Creek	2	1.39		0	0.00		79	54.86		7	4.86		1	0.69		0	0.00		18	12.50		32	22.22		0	0.00		3	2.08		2	1.39		0	0.00		144	95.36		7	4.64		151	0.19		100	69.44		44	30.56
Brocklesby	1	0.84		2	1.68		60	50.42		7	5.88		1	0.84		0	0.00		16	13.45		28	23.53		0	0.00		2	1.68		0	0.00		2	1.68		119	95.97		5	4.03		124	0.15		80	67.23		39	32.77
Brungle	4	4.35		0	0.00		19	20.65		5	5.43		5	5.43		0	0.00		26	28.26		30	32.61		0	0.00		2	2.17		1	1.09		0	0.00		92	91.09		9	8.91		101	0.13		50	54.35		42	45.65
Bunnaloo	3	1.66		4	2.21		93	51.38		8	4.42		1	0.55		1	0.55		11	6.08		52	28.73		3	1.66		1	0.55		3	1.66		1	0.55		181	98.37		3	1.63		184	0.23		111	61.33		70	38.67
Buronga	25	3.18		4	0.51		206	26.18		140	17.79		6	0.76		4	0.51		101	12.83		275	34.94		5	0.64		13	1.65		6	0.76		2	0.25		787	92.37		65	7.63		852	1.06		376	47.78		411	52.22
Burrumbuttock	6	3.26		0	0.00		47	25.54		10	5.43		2	1.09		8	4.35		14	7.61		97	52.72		0	0.00		0	0.00		0	0.00		0	0.00		184	96.84		6	3.16		190	0.24		70	38.04		114	61.96
Conargo	2	2.04		1	1.02		42	42.86		6	6.12		1	1.02		0	0.00		8	8.16		32	32.65		0	0.00		0	0.00		4	4.08		2	2.04		98	96.08		4	3.92		102	0.13		57	58.16		41	41.84
Corowa	40	2.24		5	0.28		735	41.18		90	5.04		11	0.62		23	1.29		376	21.06		442	24.76		12	0.67		34	1.90		8	0.45		9	0.50		1785	93.36		127	6.64		1912	2.37		1205	67.51		580	32.49
Corowa Hospital	15	1.50		1	0.10		443	44.39		41	4.11		5	0.50		11	1.10		233	23.35		230	23.05		3	0.30		7	0.70		8	0.80		1	0.10		998	93.80		66	6.20		1064	1.32		699	70.04		299	29.96
Corowa South	6	1.04		1	0.17		252	43.83		19	3.30		3	0.52		6	1.04		132	22.96		143	24.87		1	0.17		8	1.39		3	0.52		1	0.17		575	92.44		47	7.56		622	0.77		398	69.22		177	30.78
