House of Representatives - 2001 Election: New South Wales																																																
First Preference Votes and TCP 																																																
By Candidate by Polling Place																																																

Fowler (82745)																																																
	JOHNSON			GRANT			POULARAS			WATSON			BRAZENALL			CHUNG			ROSSO			GASKELL			MENDELSSOHN			# IRWIN			FORMAL			INFORMAL			TOTAL											
	Hal			Lee			Manny			Glenn			Max			Steve			Oscar			Robin			David			Julia												Two Candidate Preferred								
	CEC			GRN			CTA			LP			AFI			UNI			HAN			NGST			DEM			ALP												 WATSON LP			# IRWIN ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Ashcroft	34	2.29		37	2.49		21	1.42		228	15.36		34	2.29		19	1.28		80	5.39		23	1.55		21	1.42		987	66.51		1484	90.21		161	9.79		1645	2.13		366	24.66		1118	75.34				
Bonnyrigg	68	3.51		46	2.38		14	0.72		197	10.18		19	0.98		111	5.74		35	1.81		47	2.43		39	2.02		1359	70.23		1935	86.31		307	13.69		2242	2.90		370	19.12		1565	80.88				
Bonnyrigg Heights	51	1.89		61	2.26		43	1.59		573	21.20		19	0.70		77	2.85		73	2.70		36	1.33		46	1.70		1724	63.78		2703	85.46		460	14.54		3163	4.09		792	29.30		1911	70.70				
Bonnyrigg High	29	2.68		22	2.04		16	1.48		137	12.67		14	1.30		91	8.42		26	2.41		23	2.13		16	1.48		707	65.40		1081	86.55		168	13.45		1249	1.62		247	22.85		834	77.15				
Cabramatta	127	2.90		74	1.69		27	0.62		380	8.68		31	0.71		490	11.19		32	0.73		78	1.78		58	1.32		3081	70.37		4378	88.37		576	11.63		4954	6.41		732	16.72		3646	83.28				
Cabramatta East	88	3.63		42	1.73		33	1.36		272	11.21		27	1.11		213	8.78		44	1.81		43	1.77		32	1.32		1632	67.27		2426	83.89		466	16.11		2892	3.74		499	20.57		1927	79.43				
Cabramatta High	62	2.91		36	1.69		19	0.89		277	13.00		15	0.70		228	10.70		30	1.41		36	1.69		19	0.89		1408	66.10		2130	89.61		247	10.39		2377	3.08		453	21.27		1677	78.73				
Cabramatta West	62	3.88		44	2.75		34	2.13		258	16.15		14	0.88		123	7.70		45	2.82		33	2.07		37	2.32		948	59.32		1598	83.53		315	16.47		1913	2.48		446	27.91		1152	72.09
Canley Heights	97	3.16		65	2.12		39	1.27		483	15.73		32	1.04		215	7.00		101	3.29		64	2.08		46	1.50		1929	62.81		3071	86.22		491	13.78		3562	4.61		812	26.44		2259	73.56
Canley Vale	100	3.96		47	1.86		39	1.54		268	10.61		24	0.95		290	11.48		28	1.11		39	1.54		29	1.15		1662	65.80		2526	86.86		382	13.14		2908	3.76		550	21.77		1976	78.23
Canley Vale High	3	0.85		10	2.82		4	1.13		62	17.46		3	0.85		24	6.76		14	3.94		8	2.25		11	3.10		216	60.85		355	90.79		36	9.21		391	0.51		83	23.38		272	76.62
Cartwright (Fowler)	18	2.66		12	1.78		11	1.63		134	19.82		13	1.92		6	0.89		35	5.18		12	1.78		16	2.37		419	61.98		676	88.95		84	11.05		760	0.98		197	29.14		479	70.86
Edensor Park	84	3.49		53	2.20		66	2.74		611	25.35		42	1.74		108	4.48		63	2.61		42	1.74		71	2.95		1270	52.70		2410	87.00		360	13.00		2770	3.59		889	36.89		1521	63.11
Fairfield East (Fowler)	21	4.95		9	2.12		7	1.65		84	19.81		5	1.18		22	5.19		11	2.59		9	2.12		7	1.65		249	58.73		424	85.48		72	14.52		496	0.64		131	30.90		293	69.10
Harrington Street	90	3.10		69	2.38		26	0.90		552	19.03		20	0.69		158	5.45		109	3.76		47	1.62		52	1.79		1777	61.28		2900	83.62		568	16.38		3468	4.49		834	28.76		2066	71.24
Heckenberg	38	2.33		27	1.66		37	2.27		277	16.98		25	1.53		30	1.84		79	4.84		35	2.15		32	1.96		1051	64.44		1631	88.98		202	11.02		1833	2.37		429	26.30		1202	73.70
James Busby (Fowler)	60	3.48		52	3.01		25	1.45		356	20.63		19	1.10		24	1.39		104	6.03		30	1.74		36	2.09		1020	59.10		1726	88.06		234	11.94		1960	2.54		559	32.39		1167	67.61
Lansvale	65	3.68		40	2.27		23	1.30		223	12.64		12	0.68		142	8.05		69	3.91		37	2.10		28	1.59		1125	63.78		1764	88.55		228	11.45		1992	2.58		422	23.92		1342	76.08
Lansvale East	28	2.31		18	1.48		15	1.24		398	32.81		16	1.32		35	2.89		72	5.94		25	2.06		18	1.48		588	48.47		1213	90.52		127	9.48		1340	1.73		522	43.03		691	56.97
Liverpool	57	2.39		73	3.06		40	1.68		402	16.86		34	1.43		32	1.34		99	4.15		46	1.93		57	2.39		1545	64.78		2385	85.39		408	14.61		2793	3.62		620	26.00		1765	74.00
Liverpool North	11	2.37		14	3.01		3	0.65		86	18.49		2	0.43		8	1.72		16	3.44		18	3.87		14	3.01		293	63.01		465	83.78		90	16.22		555	0.72		128	27.53		337	72.47
Liverpool South	15	1.99		24	3.18		18	2.39		131	17.37		10	1.33		12	1.59		28	3.71		10	1.33		23	3.05		483	64.06		754	88.60		97	11.40		851	1.10		196	25.99		558	74.01
Liverpool West (Fowler)	79	3.23		59	2.41		66	2.70		691	28.27		34	1.39		20	0.82		134	5.48		51	2.09		58	2.37		1252	51.23		2444	84.89		435	15.11		2879	3.73		975	39.89		1469	60.11
Marsden Road	53	2.77		45	2.35		33	1.73		475	24.83		25	1.31		44	2.30		106	5.54		30	1.57		48	2.51		1054	55.10		1913	88.40		251	11.60		2164	2.80		676	35.34		1237	64.66			
Miller (Fowler)	7	3.65		2	1.04		3	1.56		27	14.06		5	2.60		5	2.60		12	6.25		6	3.13		1	0.52		124	64.58		192	90.14		21	9.86		213	0.28		50	26.04		142	73.96			
Mount Pritchard	89	3.26		70	2.56		47	1.72		714	26.14		54	1.98		121	4.43		132	4.83		47	1.72		55	2.01		1402	51.34		2731	85.34		469	14.66		3200	4.14		1021	37.39		1710	62.61			
Mount Pritchard East	50	3.09		45	2.78		34	2.10		309	19.07		24	1.48		51	3.15		84	5.19		31	1.91		24	1.48		968	59.75		1620	86.77		247	13.23		1867	2.42		488	30.12		1132	69.88			
Sadleir	36	2.91		29	2.34		13	1.05		173	13.97		19	1.53		33	2.67		79	6.38		17	1.37		28	2.26		811	65.51		1238	90.17		135	9.83		1373	1.78		298	24.07		940	75.93			
St Johns Park	94	3.09		47	1.54		42	1.38		595	19.55		25	0.82		170	5.58		47	1.54		46	1.51		53	1.74		1925	63.24		3044	85.72		507	14.28		3551	4.60		838	27.53		2206	72.47			
Sydney (Fowler)	1	1.23		6	7.41		1	1.23		17	20.99		1	1.23		6	7.41		0	0.00		6	7.41		3	3.70		40	49.38		81	89.01		10	10.99		91	0.12		22	27.16		59	72.84			
Villawood	70	3.60		43	2.21		45	2.31		289	14.87		25	1.29		77	3.96		69	3.55		24	1.23		48	2.47		1254	64.51		1944	88.52		252	11.48		2196	2.84		489	25.15		1455	74.85			
Villawood North	54	3.69		34	2.33		12	0.82		212	14.50		15	1.03		104	7.11		41	2.80		30	2.05		27	1.85		933	63.82		1462	85.35		251	14.65		1713	2.22		367	25.10		1095	74.90			
Wakeley (Fowler)	41	4.19		22	2.25		34	3.47		169	17.26		3	0.31		72	7.35		30	3.06		33	3.37		19	1.94		556	56.79		979	86.33		155	13.67		1134	1.47		302	30.85		677	69.15			
Warwick Farm	40	3.13		25	1.96		23	1.80		178	13.93		15	1.17		32	2.50		64	5.01		23	1.80		23	1.80		855	66.90		1278	89.25		154	10.75		1432	1.85		315	24.65		963	75.35			
Yennora (Fowler)	18	6.12		11	3.74		6	2.04		61	20.75		3	1.02		13	4.42		7	2.38		6	2.04		8	2.72		161	54.76		294	84.24		55	15.76		349	0.45		101	34.35		193	65.65			
Total Ordinary	1840	3.11		1313	2.22		919	1.55		10299	17.38		678	1.14		3206	5.41		1998	3.37		1091	1.84		1103	1.86		36808	62.12		59255	86.79		9021	13.21		68276	88.39		16219	27.37		43036	72.63			
ABSENT	205	4.97		243	5.89		115	2.79		938	22.72		125	3.03		121	2.93		169	4.09		170	4.12		131	3.17		1911	46.29		4128	88.68		527	11.32		4655	6.03		1629	39.46		2499	60.54			
POSTAL	19	1.14		13	0.78		40	2.40		481	28.85		19	1.14		47	2.82		92	5.52		30	1.80		25	1.50		901	54.05		1667	97.20		48	2.80		1715	2.22		621	37.25		1046	62.75			
PRE_POLL	67	3.73		69	3.84		31	1.73		374	20.84		28	1.56		72	4.01		91	5.07		76	4.23		54	3.01		933	51.98		1795	92.29		150	7.71		1945	2.52		611	34.04		1184	65.96			
PROVISIONAL	35	6.43		16	2.94		5	0.92		62	11.40		3	0.55		30	5.51		7	1.29		28	5.15		7	1.29		351	64.52		544	83.69		106	16.31		650	0.84		135	24.82		409	75.18			
Division Summary	2166	3.21		1654	2.45		1110	1.65		12154	18.04		853	1.27		3476	5.16		2357	3.50		1395	2.07		1320	1.96		40904	60.70		67389	87.25		9852	12.75		77241	93.35		19215	28.51		48174	71.49			
																																															
																																															
																																															
																																															
																																															
