House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										

Gilmore (83909)																																										
	KNOTT			# GASH			RYAN			MCCLUNG			BANGE			HAYES			MCLEOD			CROCKER			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred								
	Peter			Joanna			Steve			Jean			Jane			Michael			Paul			Geoff												 KNOTT			# GASH					
	CLR			LP			CTA			CEC			GRN			DEM			UNI			HAN												CLR			LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Avoca	27	12.92		148	70.81		4	1.91		0	0.00		11	5.26		8	3.83		0	0.00		11	5.26		209	97.21		6	2.79		215	0.27		44	21.05		165	78.95				
Basin View	249	28.65		480	55.24		12	1.38		0	0.00		34	3.91		37	4.26		2	0.23		55	6.33		869	92.94		66	7.06		935	1.16		329	37.86		540	62.14				
Bawley Point	186	34.19		244	44.85		5	0.92		0	0.00		32	5.88		15	2.76		0	0.00		62	11.40		544	96.28		21	3.72		565	0.70		242	44.49		302	55.51				
Berry	331	17.21		1170	60.84		23	1.20		3	0.16		182	9.46		143	7.44		5	0.26		66	3.43		1923	95.62		88	4.38		2011	2.50		600	31.20		1323	68.80				
Bomaderry	600	21.39		1767	62.99		54	1.93		5	0.18		96	3.42		97	3.46		12	0.43		174	6.20		2805	95.93		119	4.07		2924	3.64		790	28.16		2015	71.84				
Bomaderry South	136	21.32		395	61.91		22	3.45		1	0.16		24	3.76		24	3.76		0	0.00		36	5.64		638	95.94		27	4.06		665	0.83		174	27.27		464	72.73				
Bundanoon	276	25.32		581	53.30		23	2.11		6	0.55		89	8.17		68	6.24		3	0.28		44	4.04		1090	94.62		62	5.38		1152	1.43		411	37.71		679	62.29				
Burrawang	42	12.28		230	67.25		6	1.75		1	0.29		25	7.31		24	7.02		0	0.00		14	4.09		342	95.80		15	4.20		357	0.44		84	24.56		258	75.44
Burrill Lake	363	31.35		614	53.02		7	0.60		1	0.09		55	4.75		29	2.50		2	0.17		87	7.51		1158	94.07		73	5.93		1231	1.53		452	39.03		706	60.97
Callala Bay	261	28.43		496	54.03		12	1.31		0	0.00		39	4.25		22	2.40		2	0.22		86	9.37		918	94.93		49	5.07		967	1.20		326	35.51		592	64.49
