House of Representatives - 2001 Election: New South Wales																																										
First Preference Votes and TCP 																																										
By Candidate by Polling Place																																										

Grayndler (86146)																																										
	BAIRD			O'CONNOR			JOHNSON			# ALBANESE			KENWORTHY			HALE			WAN			HERDEN			FORMAL			INFORMAL			TOTAL											
	Matthew			Kane			Sue			Anthony			Brett			Sylvia			Guang Hua			Chris												Two Candidate Preferred								
	DEM			HAN						ALP			LP			GRN			UNI			CTA												# ALBANESE ALP			 KENWORTHY LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Annandale	269	14.13		27	1.42		21	1.10		747	39.23		481	25.26		321	16.86		21	1.10		17	0.89		1904	95.77		84	4.23		1988	2.51		1296	68.07		608	31.93				
Annandale North (Grayndler)	171	12.50		24	1.75		8	0.58		518	37.87		375	27.41		248	18.13		14	1.02		10	0.73		1368	96.13		55	3.87		1423	1.80		909	66.45		459	33.55				
Ashbury	109	5.10		50	2.34		21	0.98		1050	49.09		720	33.66		134	6.26		23	1.08		32	1.50		2139	94.56		123	5.44		2262	2.86		1310	61.24		829	38.76				
Ashfield	106	5.34		44	2.22		19	0.96		1092	55.01		503	25.34		108	5.44		89	4.48		24	1.21		1985	93.37		141	6.63		2126	2.68		1382	69.62		603	30.38				
Ashfield East	75	6.38		22	1.87		18	1.53		600	51.02		327	27.81		82	6.97		33	2.81		19	1.62		1176	92.38		97	7.62		1273	1.61		792	67.35		384	32.65				
Ashfield North (Grayndler)	66	7.20		26	2.84		20	2.18		437	47.66		263	28.68		73	7.96		16	1.74		16	1.74		917	92.16		78	7.84		995	1.26		585	63.79		332	36.21				
Camdenville	137	11.87		25	2.17		12	1.04		509	44.11		214	18.54		242	20.97		8	0.69		7	0.61		1154	94.59		66	5.41		1220	1.54		865	74.96		289	25.04				
Camperdown	51	12.26		11	2.64		6	1.44		193	46.39		68	16.35		80	19.23		6	1.44		1	0.24		416	94.55		24	5.45		440	0.56		329	79.09		87	20.91
Camperdown South	259	13.45		25	1.30		42	2.18		793	41.19		295	15.32		481	24.99		20	1.04		10	0.52		1925	95.49		91	4.51		2016	2.55		1520	78.96		405	21.04
Canterbury North	80	5.76		48	3.46		2	0.14		830	59.76		298	21.45		90	6.48		24	1.73		17	1.22		1389	91.50		129	8.50		1518	1.92		1037	74.66		352	25.34
Dulwich Hill	165	8.01		35	1.70		34	1.65		1138	55.24		418	20.29		216	10.49		40	1.94		14	0.68		2060	91.19		199	8.81		2259	2.85		1547	75.10		513	24.90
Dulwich Hill West	75	7.61		11	1.12		8	0.81		560	56.80		208	21.10		108	10.95		7	0.71		9	0.91		986	92.24		83	7.76		1069	1.35		740	75.05		246	24.95
Enmore	256	12.85		31	1.56		46	2.31		896	44.98		361	18.12		365	18.32		21	1.05		16	0.80		1992	94.81		109	5.19		2101	2.65		1515	76.05		477	23.95
Hurlstone Park	148	7.88		25	1.33		25	1.33		1065	56.68		422	22.46		158	8.41		19	1.01		17	0.90		1879	90.16		205	9.84		2084	2.63		1384	73.66		495	26.34
Kegworth	123	8.70		26	1.84		16	1.13		690	48.83		357	25.27		182	12.88		12	0.85		7	0.50		1413	93.08		105	6.92		1518	1.92		981	69.43		432	30.57
Leichhardt	365	11.26		37	1.14		48	1.48		1388	42.81		880	27.14		474	14.62		27	0.83		23	0.71		3242	94.11		203	5.89		3445	4.35		2160	66.63		1082	33.37
Leichhardt East	139	10.89		36	2.82		6	0.47		568	44.51		366	28.68		154	12.07		4	0.31		3	0.24		1276	93.27		92	6.73		1368	1.73		843	66.07		433	33.93
Leichhardt South	86	8.54		21	2.09		4	0.40		491	48.76		268	26.61		127	12.61		3	0.30		7	0.70		1007	95.54		47	4.46		1054	1.33		693	68.82		314	31.18
Lewisham	196	8.97		32	1.46		35	1.60		1105	50.55		466	21.32		290	13.27		24	1.10		38	1.74		2186	93.54		151	6.46		2337	2.95		1591	72.78		595	27.22
Lilyfield	148	9.19		36	2.24		20	1.24		687	42.67		495	30.75		204	12.67		10	0.62		10	0.62		1610	93.60		110	6.40		1720	2.17		1024	63.60		586	36.40
Lilyfield North	56	7.24		21	2.72		2	0.26		280	36.22		262	33.89		144	18.63		4	0.52		4	0.52		773	94.73		43	5.27		816	1.03		467	60.41		306	39.59
Marrickville	216	6.67		34	1.05		52	1.60		2091	64.54		478	14.75		256	7.90		78	2.41		35	1.08		3240	90.96		322	9.04		3562	4.50		2628	81.11		612	18.89
Marrickville Central	85	6.70		33	2.60		11	0.87		729	57.45		234	18.44		144	11.35		25	1.97		8	0.63		1269	92.43		104	7.57		1373	1.73		967	76.20		302	23.80
Marrickville South	38	4.48		23	2.71		7	0.82		495	58.30		125	14.72		141	16.61		15	1.77		5	0.59		849	93.30		61	6.70		910	1.15		673	79.27		176	20.73
Newington	60	9.85		5	0.82		5	0.82		317	52.05		108	17.73		100	16.42		2	0.33		12	1.97		609	93.84		40	6.16		649	0.82		462	75.86		147	24.14
Newtown North (Grayndler)	118	15.65		9	1.19		17	2.25		294	38.99		89	11.80		218	28.91		4	0.53		5	0.66		754	97.42		20	2.58		774	0.98		617	81.83		137	18.17
Petersham	184	9.71		34	1.79		21	1.11		880	46.44		430	22.69		298	15.73		15	0.79		33	1.74		1895	91.28		181	8.72		2076	2.62		1348	71.13		547	28.87
Petersham East	67	9.84		18	2.64		3	0.44		340	49.93		159	23.35		87	12.78		1	0.15		6	0.88		681	91.29		65	8.71		746	0.94		489	71.81		192	28.19
Petersham North	40	10.47		5	1.31		2	0.52		183	47.91		63	16.49		77	20.16		2	0.52		10	2.62		382	93.17		28	6.83		410	0.52		291	76.18		91	23.82
Riverside	134	5.67		39	1.65		30	1.27		1469	62.17		386	16.34		242	10.24		38	1.61		25	1.06		2363	92.81		183	7.19		2546	3.21		1884	79.73		479	20.27
Riverside North	104	8.32		16	1.28		14	1.12		711	56.88		246	19.68		137	10.96		12	0.96		10	0.80		1250	93.35		89	6.65		1339	1.69		957	76.56		293	23.44
St Clements	60	7.26		17	2.06		21	2.54		471	56.95		135	16.32		100	12.09		13	1.57		10	1.21		827	92.71		65	7.29		892	1.13		651	78.72		176	21.28
St Peters	54	7.51		39	5.42		12	1.67		360	50.07		127	17.66		118	16.41		5	0.70		4	0.56		719	92.89		55	7.11		774	0.98		539	74.97		180	25.03
Stanmore	208	11.05		33	1.75		32	1.70		863	45.83		395	20.98		303	16.09		29	1.54		20	1.06		1883	93.82		124	6.18		2007	2.53		1361	72.28		522	27.72
Stanmore North	184	10.54		25	1.43		22	1.26		762	43.64		460	26.35		264	15.12		12	0.69		17	0.97		1746	93.77		116	6.23		1862	2.35		1181	67.64		565	32.36
Summer Hill	144	9.11		33	2.09		29	1.83		705	44.59		425	26.88		195	12.33		27	1.71		23	1.45		1581	93.22		115	6.78		1696	2.14		1061	67.11		520	32.89
Summer Hill North	59	7.86		19	2.53		6	0.80		368	49.00		191	25.43		91	12.12		10	1.33		7	0.93		751	92.83		58	7.17		809	1.02		511	68.04		240	31.96
Summer Hill South	177	10.54		40	2.38		22	1.31		739	43.99		336	20.00		324	19.29		16	0.95		26	1.55		1680	94.92		90	5.08		1770	2.23		1215	72.32		465	27.68
Sydenham	59	6.39		32	3.46		13	1.41		529	57.25		156	16.88		115	12.45		7	0.76		13	1.41		924	91.85		82	8.15		1006	1.27		693	75.00		231	25.00
