House of Representatives - 2001 Election: New South Wales																																																
First Preference Votes and TCP 																																																
By Candidate by Polling Place																																																

Gwydir (84602)																																																
	WITTEN			HAIGH			GRAHAM			ROGERS			STRACHAN			WEBER			# ANDERSON			MURNAIN			EDWARDS			O'REGAN			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred								
	Richard			Bruce			Ken			Colin			Neil			Harry			John			Anne			Gary			Bevan												# ANDERSON			 MURNAIN					
	CEC			IND			DEM			HAN			GRN			LEF			NP			CLR			IND			IND												NP			CLR					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Aberdeen	26	2.43		23	2.15		30	2.81		116	10.86		19	1.78		27	2.53		424	39.70		387	36.24		5	0.47		11	1.03		1068	90.82		108	9.18		1176	1.46		557	52.15		511	47.85				
Ashley	2	1.35		4	2.70		1	0.68		19	12.84		1	0.68		0	0.00		93	62.84		23	15.54		1	0.68		4	2.70		148	92.50		12	7.50		160	0.20		108	72.97		40	27.03				
Baan Baa	1	0.74		9	6.62		0	0.00		12	8.82		2	1.47		2	1.47		89	65.44		10	7.35		1	0.74		10	7.35		136	96.45		5	3.55		141	0.18		113	83.09		23	16.91				
Balladoran	0	0.00		6	6.12		0	0.00		31	31.63		0	0.00		0	0.00		55	56.12		6	6.12		0	0.00		0	0.00		98	98.99		1	1.01		99	0.12		65	66.33		33	33.67				
Baradine	19	3.10		19	3.10		1	0.16		75	12.23		1	0.16		6	0.98		382	62.32		106	17.29		1	0.16		3	0.49		613	95.78		27	4.22		640	0.80		440	71.78		173	28.22				
Bellata	2	0.91		13	5.91		2	0.91		25	11.36		2	0.91		3	1.36		140	63.64		12	5.45		2	0.91		19	8.64		220	93.22		16	6.78		236	0.29		180	81.82		40	18.18				
Binnaway	18	3.99		35	7.76		8	1.77		75	16.63		9	2.00		10	2.22		165	36.59		127	28.16		1	0.22		3	0.67		451	94.15		28	5.85		479	0.60		239	52.99		212	47.01				
Blackville	4	4.60		1	1.15		0	0.00		5	5.75		3	3.45		0	0.00		67	77.01		4	4.60		1	1.15		2	2.30		87	96.67		3	3.33		90	0.11		74	85.06		13	14.94
Blandford	2	1.02		8	4.06		1	0.51		18	9.14		2	1.02		2	1.02		120	60.91		41	20.81		2	1.02		1	0.51		197	94.71		11	5.29		208	0.26		137	69.54		60	30.46
Boggabilla	10	2.62		7	1.83		13	3.40		57	14.92		4	1.05		7	1.83		176	46.07		100	26.18		3	0.79		5	1.31		382	96.22		15	3.78		397	0.49		225	58.90		157	41.10
Boggabri	5	0.72		42	6.02		12	1.72		66	9.46		3	0.43		6	0.86		377	54.01		137	19.63		2	0.29		48	6.88		698	93.82		46	6.18		744	0.92		468	67.05		230	32.95
Boomi	2	1.39		7	4.86		0	0.00		15	10.42		1	0.69		1	0.69		94	65.28		21	14.58		2	1.39		1	0.69		144	98.63		2	1.37		146	0.18		111	77.08		33	22.92
Bourke	25	2.00		30	2.40		27	2.16		172	13.74		17	1.36		30	2.40		651	52.00		282	22.52		9	0.72		9	0.72		1252	93.85		82	6.15		1334	1.66		835	66.69		417	33.31
Breeza	0	0.00		17	14.78		3	2.61		7	6.09		0	0.00		3	2.61		64	55.65		16	13.91		2	1.74		3	2.61		115	93.50		8	6.50		123	0.15		82	71.30		33	28.70
Brewarrina	18	3.35		12	2.23		4	0.74		55	10.24		4	0.74		8	1.49		236	43.95		194	36.13		3	0.56		3	0.56		537	91.79		48	8.21		585	0.73		309	57.54		228	42.46
Bugaldie	1	1.09		4	4.35		1	1.09		11	11.96		5	5.43		0	0.00		65	70.65		3	3.26		0	0.00		2	2.17		92	93.88		6	6.12		98	0.12		78	84.78		14	15.22
Bullarah	0	0.00		4	3.60		0	0.00		13	11.71		0	0.00		2	1.80		83	74.77		4	3.60		0	0.00		5	4.50		111	99.11		1	0.89		112	0.14		100	90.09		11	9.91
Bunnan	1	0.60		4	2.40		0	0.00		11	6.59		2	1.20		1	0.60		128	76.65		20	11.98		0	0.00		0	0.00		167	93.82		11	6.18		178	0.22		140	83.83		27	16.17
Burren Junction	1	0.49		3	1.47		1	0.49		18	8.82		3	1.47		6	2.94		155	75.98		11	5.39		0	0.00		6	2.94		204	94.01		13	5.99		217	0.27		177	86.76		27	13.24
Bylong	2	3.08		1	1.54		0	0.00		7	10.77		1	1.54		0	0.00		50	76.92		4	6.15		0	0.00		0	0.00		65	100.00		0	0.00		65	0.08		54	83.08		11	16.92
Carinda	2	1.90		1	0.95		0	0.00		11	10.48		0	0.00		1	0.95		74	70.48		15	14.29		1	0.95		0	0.00		105	91.30		10	8.70		115	0.14		85	80.95		20	19.05
Caroona	2	1.07		10	5.35		0	0.00		8	4.28		3	1.60		1	0.53		79	42.25		82	43.85		0	0.00		2	1.07		187	96.39		7	3.61		194	0.24		92	49.20		95	50.80
