House of Representatives - 2001 Election: New South Wales																																	
First Preference Votes and TCP																																	
By Candidate by Polling Place																																	

Hume (85640)																																	
	# SCHULTZ			WATCHIRS			ROXBURGH			PRELL			MERRIMAN			FORMAL			INFORMAL			TOTAL											
	Alby			Kevin			James			Charlie			Jan												Two Candidate Preferred								
	LP			GRN			DEM			HAN			ALP												# SCHULTZ LP			 MERRIMAN ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Appin	462	49.78		34	3.66		42	4.53		98	10.56		292	31.47		928	95.67		42	4.33		970	1.18		536	57.76		392	42.24				
Bargo	870	46.85		81	4.36		92	4.95		169	9.10		645	34.73		1857	96.02		77	3.98		1934	2.36		1003	54.01		854	45.99				
Bendick Murrell	91	59.09		3	1.95		5	3.25		18	11.69		37	24.03		154	97.47		4	2.53		158	0.19		100	64.94		54	35.06				
Berrima	311	57.81		40	7.43		24	4.46		38	7.06		125	23.23		538	97.29		15	2.71		553	0.67		351	65.24		187	34.76				
Bigga	114	63.69		2	1.12		3	1.68		26	14.53		34	18.99		179	98.90		2	1.10		181	0.22		128	71.51		51	28.49				
Binalong	185	62.08		14	4.70		2	0.67		28	9.40		69	23.15		298	96.44		11	3.56		309	0.38		198	66.44		100	33.56				
Binda	104	55.03		7	3.70		2	1.06		23	12.17		53	28.04		189	100.00		0	0.00		189	0.23		111	58.73		78	41.27				
Bookham	88	71.54		2	1.63		1	0.81		13	10.57		19	15.45		123	97.62		3	2.38		126	0.15		98	79.67		25	20.33
Boorowa	544	57.02		9	0.94		11	1.15		93	9.75		297	31.13		954	97.45		25	2.55		979	1.19		593	62.16		361	37.84
Bowning	147	63.36		8	3.45		7	3.02		5	2.16		65	28.02		232	98.31		4	1.69		236	0.29		154	66.38		78	33.62
Bowral	2120	61.74		230	6.70		233	6.79		121	3.52		730	21.26		3434	96.81		113	3.19		3547	4.33		2320	67.56		1114	32.44
Bowral South	1262	60.07		107	5.09		141	6.71		92	4.38		499	23.75		2101	96.91		67	3.09		2168	2.64		1371	65.25		730	34.75
Bradfordville	716	42.44		47	2.79		75	4.45		185	10.97		664	39.36		1687	96.90		54	3.10		1741	2.12		845	50.09		842	49.91
Bribbaree	129	78.66		0	0.00		1	0.61		19	11.59		15	9.15		164	99.39		1	0.61		165	0.20		136	82.93		28	17.07
Bungonia	89	46.84		9	4.74		12	6.32		31	16.32		49	25.79		190	97.44		5	2.56		195	0.24		103	54.21		87	45.79
Buxton	332	40.24		48	5.82		44	5.33		102	12.36		299	36.24		825	94.72		46	5.28		871	1.06		426	51.64		399	48.36
Canyonleigh	67	56.78		14	11.86		0	0.00		10	8.47		27	22.88		118	98.33		2	1.67		120	0.15		76	64.41		42	35.59
Cawdor (Hume)	270	74.18		15	4.12		14	3.85		15	4.12		50	13.74		364	96.55		13	3.45		377	0.46		292	80.22		72	19.78
Cobbitty (Hume)	218	66.26		15	4.56		8	2.43		29	8.81		59	17.93		329	94.27		20	5.73		349	0.43		240	72.95		89	27.05
Collector	84	52.17		9	5.59		17	10.56		18	11.18		33	20.50		161	98.77		2	1.23		163	0.20		108	67.08		53	32.92
Colo Vale	366	47.91		49	6.41		42	5.50		54	7.07		253	33.12		764	95.86		33	4.14		797	0.97		418	54.71		346	45.29
Crookwell	846	51.55		24	1.46		59	3.60		224	13.65		488	29.74		1641	98.09		32	1.91		1673	2.04		971	59.17		670	40.83
Dalton	131	60.09		14	6.42		4	1.83		19	8.72		50	22.94		218	96.89		7	3.11		225	0.27		143	65.60		75	34.40
Douglas Park	369	50.20		32	4.35		30	4.08		90	12.24		214	29.12		735	96.20		29	3.80		764	0.93		422	57.41		313	42.59
Frogmore	73	70.19		1	0.96		3	2.88		10	9.62		17	16.35		104	98.11		2	1.89		106	0.13		77	74.04		27	25.96
Galong	93	72.66		3	2.34		0	0.00		4	3.13		28	21.88		128	96.24		5	3.76		133	0.16		96	75.00		32	25.00
Glenquarry	83	67.48		1	0.81		5	4.07		3	2.44		31	25.20		123	98.40		2	1.60		125	0.15		87	70.73		36	29.27
Goulburn	722	41.66		109	6.29		102	5.89		147	8.48		653	37.68		1733	96.98		54	3.02		1787	2.18		847	48.87		886	51.13
Goulburn East	300	42.49		20	2.83		30	4.25		93	13.17		263	37.25		706	97.25		20	2.75		726	0.89		362	51.27		344	48.73
Goulburn High	1129	47.04		70	2.92		166	6.92		236	9.83		799	33.29		2400	97.01		74	2.99		2474	3.02		1305	54.38		1095	45.63
Goulburn North	629	41.06		55	3.59		69	4.50		186	12.14		593	38.71		1532	94.98		81	5.02		1613	1.97		727	47.45		805	52.55
Goulburn South	1016	41.44		66	2.69		102	4.16		298	12.15		970	39.56		2452	96.42		91	3.58		2543	3.10		1203	49.06		1249	50.94
Goulburn West	851	48.71		42	2.40		85	4.87		168	9.62		601	34.40		1747	97.49		45	2.51		1792	2.19		972	55.64		775	44.36
Grabben Gullen	140	72.16		0	0.00		3	1.55		30	15.46		21	10.82		194	96.52		7	3.48		201	0.25		157	80.93		37	19.07
Gundaroo	179	40.04		40	8.95		38	8.50		16	3.58		174	38.93		447	98.24		8	1.76		455	0.55		213	47.65		234	52.35
Gunning	326	59.82		14	2.57		22	4.04		47	8.62		136	24.95		545	96.98		17	3.02		562	0.69		362	66.42		183	33.58
Harden	515	54.96		9	0.96		10	1.07		54	5.76		349	37.25		937	96.30		36	3.70		973	1.19		540	57.63		397	42.37
Hill Top	411	39.60		72	6.94		57	5.49		117	11.27		381	36.71		1038	96.02		43	3.98		1081	1.32		485	46.72		553	53.28
Jugiong	114	61.29		2	1.08		3	1.61		11	5.91		56	30.11		186	98.41		3	1.59		189	0.23		123	66.13		63	33.87
Kangaloon	82	62.60		8	6.11		11	8.40		6	4.58		24	18.32		131	96.32		5	3.68		136	0.17		92	70.23		39	29.77
Koorawatha	87	49.43		3	1.70		4	2.27		30	17.05		52	29.55		176	93.12		13	6.88		189	0.23		97	55.11		79	44.89
Laggan	188	72.31		8	3.08		6	2.31		23	8.85		35	13.46		260	99.62		1	0.38		261	0.32		201	77.31		59	22.69
Maimuru	69	77.53		0	0.00		2	2.25		3	3.37		15	16.85		89	98.89		1	1.11		90	0.11		72	80.90		17	19.10
Marulan	269	48.91		11	2.00		17	3.09		62	11.27		191	34.73		550	95.49		26	4.51		576	0.70		307	55.82		243	44.18
Menangle (Hume)	196	61.06		18	5.61		18	5.61		28	8.72		61	19.00		321	97.57		8	2.43		329	0.40		226	70.40		95	29.60
Milvale	60	88.24		1	1.47		1	1.47		2	2.94		4	5.88		68	95.77		3	4.23		71	0.09		63	92.65		5	7.35
Mittagong	1245	49.60		182	7.25		193	7.69		130	5.18		760	30.28		2510	95.51		118	4.49		2628	3.21		1391	55.42		1119	44.58
Mittagong South	501	58.73		47	5.51		66	7.74		33	3.87		206	24.15		853	96.17		34	3.83		887	1.08		556	65.18		297	34.82
Monteagle	90	70.31		1	0.78		0	0.00		8	6.25		29	22.66		128	97.71		3	2.29		131	0.16		96	75.00		32	25.00
Mount Hunter	381	65.13		21	3.59		23	3.93		32	5.47		128	21.88		585	96.53		21	3.47		606	0.74		407	69.57		178	30.43
Murringo	116	67.84		1	0.58		5	2.92		15	8.77		34	19.88		171	97.16		5	2.84		176	0.21		123	71.93		48	28.07
Murrumbateman	533	48.63		55	5.02		106	9.67		61	5.57		341	31.11		1096	97.08		33	2.92		1129	1.38		616	56.20		480	43.80
Murrumburrah	308	55.80		7	1.27		5	0.91		50	9.06		182	32.97		552	95.17		28	4.83		580	0.71		336	60.87		216	39.13
New Berrima	110	41.35		14	5.26		15	5.64		29	10.90		98	36.84		266	94.66		15	5.34		281	0.34		132	49.62		134	50.38
Oakdale	467	52.12		38	4.24		33	3.68		111	12.39		247	27.57		896	95.93		38	4.07		934	1.14		551	61.50		345	38.50
Orangeville	381	71.21		23	4.30		14	2.62		46	8.60		71	13.27		535	95.20		27	4.80		562	0.69		433	80.93		102	19.07
Picton	1113	52.80		134	6.36		111	5.27		146	6.93		604	28.65		2108	96.30		81	3.70		2189	2.67		1241	58.87		867	41.13
Reids Flat	40	49.38		2	2.47		1	1.23		11	13.58		27	33.33		81	97.59		2	2.41		83	0.10		46	56.79		35	43.21
Rugby	38	67.86		0	0.00		1	1.79		3	5.36		14	25.00		56	100.00		0	0.00		56	0.07		40	71.43		16	28.57
Rye Park	93	65.03		2	1.40		6	4.20		22	15.38		20	13.99		143	97.28		4	2.72		147	0.18		108	75.52		35	24.48
Silverdale	327	65.93		11	2.22		10	2.02		43	8.67		105	21.17		496	96.69		17	3.31		513	0.63		345	69.56		151	30.44
Sutton (Hume)	56	44.09		17	13.39		9	7.09		9	7.09		36	28.35		127	100.00		0	0.00		127	0.15		64	50.39		63	49.61
Sydney (Hume)	37	58.73		4	6.35		5	7.94		0	0.00		17	26.98		63	96.92		2	3.08		65	0.08		40	63.49		23	36.51
Tahmoor	1238	47.18		143	5.45		108	4.12		245	9.34		890	33.92		2624	94.70		147	5.30		2771	3.38		1410	53.73		1214	46.27
Tallong	88	42.72		9	4.37		13	6.31		25	12.14		71	34.47		206	93.64		14	6.36		220	0.27		111	53.88		95	46.12
Tarago	162	55.86		9	3.10		22	7.59		34	11.72		63	21.72		290	96.67		10	3.33		300	0.37		188	64.83		102	35.17
Taralga	280	66.99		11	2.63		6	1.44		57	13.64		64	15.31		418	96.98		13	3.02		431	0.53		316	75.60		102	24.40
The Oaks	889	56.23		77	4.87		67	4.24		160	10.12		388	24.54		1581	95.88		68	4.12		1649	2.01		1012	64.01		569	35.99
Thirlmere	936	46.71		111	5.54		105	5.24		193	9.63		659	32.88		2004	95.34		98	4.66		2102	2.56		1067	53.24		937	46.76
Tuena	42	51.22		3	3.66		6	7.32		17	20.73		14	17.07		82	100.00		0	0.00		82	0.10		50	60.98		32	39.02
Warragamba	930	50.57		76	4.13		80	4.35		179	9.73		574	31.21		1839	94.07		116	5.93		1955	2.38		1068	58.08		771	41.92
Wee Jasper	43	58.11		4	5.41		5	6.76		3	4.05		19	25.68		74	98.67		1	1.33		75	0.09		49	66.22		25	33.78			
Welby	293	45.50		51	7.92		36	5.59		51	7.92		213	33.07		644	96.12		26	3.88		670	0.82		350	54.35		294	45.65			
Wilton	363	52.08		26	3.73		34	4.88		64	9.18		210	30.13		697	96.94		22	3.06		719	0.88		425	60.98		272	39.02			
Wombat	134	61.47		3	1.38		8	3.67		18	8.26		55	25.23		218	97.32		6	2.68		224	0.27		143	65.60		75	34.40			
Yanderra	131	42.39		16	5.18		17	5.50		17	5.50		128	41.42		309	97.78		7	2.22		316	0.39		151	48.87		158	51.13			
Yass	1314	53.99		82	3.37		91	3.74		160	6.57		787	32.33		2434	96.43		90	3.57		2524	3.08		1430	58.75		1004	41.25			
Yass North	503	49.07		32	3.12		43	4.20		90	8.78		357	34.83		1025	96.06		42	3.94		1067	1.30		575	56.10		450	43.90			
Yerrinbool	224	44.18		21	4.14		33	6.51		43	8.48		186	36.69		507	96.39		19	3.61		526	0.64		264	52.07		243	47.93			
Young	1616	61.42		66	2.51		46	1.75		154	5.85		749	28.47		2631	95.60		121	4.40		2752	3.36		1722	65.45		909	34.55			
Young North	1066	59.62		39	2.18		26	1.45		114	6.38		543	30.37		1788	96.54		64	3.46		1852	2.26		1149	64.26		639	35.74			
Young South	646	58.73		18	1.64		30	2.73		81	7.36		325	29.55		1100	95.99		46	4.01		1146	1.40		711	64.64		389	35.36			
Special Hospitals	393	62.28		5	0.79		9	1.43		17	2.69		207	32.81		631	95.75		28	4.25		659	0.80		407	64.50		224	35.50			
Total Ordinary	34574	52.53		2727	4.14		3011	4.57		5565	8.46		19941	30.30		65818	96.32		2518	3.68		68336	83.35		38880	59.07		26938	40.93			
ABSENT	2949	53.58		426	7.74		355	6.45		393	7.14		1381	25.09		5504	96.11		223	3.89		5727	6.99		3458	62.83		2046	37.17			
POSTAL	1911	62.90		74	2.44		106	3.49		228	7.50		719	23.67		3038	98.57		44	1.43		3082	3.76		2100	69.12		938	30.88			
PRE_POLL	2286	53.08		189	4.39		266	6.18		372	8.64		1194	27.72		4307	97.73		100	2.27		4407	5.38		2623	60.90		1684	39.10			
PROVISIONAL	179	43.98		19	4.67		24	5.90		31	7.62		154	37.84		407	94.65		23	5.35		430	0.52		217	53.32		190	46.68			
Division Summary	41899	52.99		3435	4.34		3762	4.76		6589	8.33		23389	29.58		79074	96.45		2908	3.55		81982	95.73		47278	59.79		31796	40.21			
																																
																																
																																
																																
																																
